Comment ID,Author,Content,Publish Date,Like Count,Reply Count
UgwnjBatIJKfLV8v5Yx4AaABAg,@aragusea,Thank you Helix Sleep for sponsoring! Helix’s Black Friday Sale is running now for a limited time – Visit https://helixsleep.com/ragusea to get 25% off your mattress (plus two FREE pillows) and receive a Free Bedding Bundle with your Luxe or Elite order. Offers subject to change. #helixsleep,2024-11-15T22:24:16Z,28,2
UgwYVQ-ivJgodOqxNG94AaABAg,@MarioBecerraC,"6:47 ""Vanilla iced cream"" gives the same vibes as ""marshed mellows""",2025-05-22T09:29:28Z,2,0
Ugy3WHWChCsSVSkwEud4AaABAg,@ickyelf4549,How is nobody talking about that big-ass orange? That pith was a cm thick!,2025-03-06T23:58:28Z,1,0
UgwBMZ5ii-VLsCUMUnx4AaABAg,@ImNotQualifiedToSayThisBut,But that's not caramel though? I thought,2025-02-21T00:20:20Z,0,0
UgyQJU-L-swpRB2bDF14AaABAg,@beirch,"Small tip for squeezing oranges and lemons and avoiding seeds getting in, without having to use your hands: Sieve.",2025-02-01T14:45:27Z,0,0
UgxV3UZQ-mpL0MlHMrN4AaABAg,@sok1720,Can I make these without alcohol?,2025-01-27T20:54:00Z,0,0
Ugz9P5amOm-zjQwTAwd4AaABAg,@starscreamjan6155,mate its called Crêpes not kraipes,2025-01-26T20:47:15Z,0,0
Ugwh8sMFvCB407tpA5R4AaABAg,@distortedmeatbal7191,"Is there an alternative to the alcohol? I don't really want to use that when cookng because of some personal safety issues, and I don't want to buy a whole bottle of liquor for a few crepes. I don't really care if I miss out on some key flavors.",2025-01-17T21:11:43Z,0,0
UgxpbvwnlB3n8Oe2Qdh4AaABAg,@rickh9396,Instructions unclear. Set myself on fire.,2025-01-13T02:07:42Z,0,0
UgxO1BOzFzPgqS6fPQ54AaABAg,@spikejoseph5482,"I know it’s a bit random Adam but if you do have loads of these mattresses, maybe consider donating them if you don’t need them anymore? I know in my country a clean mattresses is often needed by many charities (women’s shelters , homeless shelters, halfway houses, refugee housing etc.) but rarely donated! Would be a good thing for an advert even!",2025-01-12T23:12:49Z,0,1
Ugwn7pPrS3Qi46mWTaV4AaABAg,@kleptosepto1848,Bakshi's best rotoscoped animated movie,2024-12-26T15:51:35Z,0,0
Ugw6HxJ2haeCOPdq4fV4AaABAg,@samuelmoehring3783,"Your order of operations for the batter is right on. 

Melted butter with the egg first to emulsify the butter so I won’t separate

Flour before liquid to work out the lumps before the texture thins out

You have a great eye for the details!",2024-12-13T04:59:33Z,1,0
Ugxpr3ZFfgHO4kVS3-V4AaABAg,@tzisorey,Might have to give this a try.  My biggest thing with crepes lately has been doing them tamagoyaki style in a tamagoyaki pan.,2024-12-04T02:19:51Z,0,0
Ugw79fJ9Qxu7WUsxUld4AaABAg,@mangamaster03,"I tried to follow along, and ended up making a Krabby Patty instead. https://youtu.be/eX4ZmkPHI6k",2024-11-26T23:54:52Z,0,0
Ugzdwa7PYu9y_Yls3pl4AaABAg,@Punkyrooster6,"Adam is like a less ADHD-kid-off-their-meds version of Alton Brown. Same effective educational style, less annoying energy.",2024-11-26T01:31:37Z,0,0
UgwK31_QIAwBjVipuf14AaABAg,@projectarduino2295,"Thanks so much for actually writing the recipe down! I love to put them in my notes for use later and this makes it so much easier.

Not everyone does it and I am thankful when they do.",2024-11-24T15:54:41Z,2,0
Ugydd7hju-I4VyLv3zR4AaABAg,@anabukashka,"You know how in English someone can say ""Fudge"" as a less offensive alternative to an F word. In russian we say ""Блин"" as a less offensive child friendly alternative to a bad word. You might want to google Блин right now. We make them with everything or just eat as is. We make a lot of them on Maslenitsa (a butter holiday), then we build a huge effigy and burn it. Did you know that its actually church sanctioned totally christian activity without any pagan undertones! I just want you to know that.",2024-11-23T03:47:38Z,1,0
UgxP8vSEln8MUmnmrZp4AaABAg,@abyssal_phoenix,"Still perplexes me how thin the crepes are
Mostly because they are super similar to dutch pancakes, which at least in my surroundings, are slightly thicker crepes, typically a bit wider too and usually eaten during lunch or dinner with most typically powdered sugar or ""stroop""",2024-11-22T20:14:29Z,0,0
UgwG5sN1HFuCJSH7JTx4AaABAg,@faiyazkhan6291,Can the alcohol be substituted?,2024-11-22T11:05:25Z,0,1
UgyRon96Ph5kO7N6nFt4AaABAg,@Jenachy,Christmas market has come to my city and I look forward to getting my yearly crayp,2024-11-21T20:42:30Z,0,0
