Comment ID,Author,Content,Publish Date,Like Count,Reply Count
UgylOz9HAMgvWwCZyeV4AaABAg,@Philo-z2m,You could be a great audiobook narrator,2025-11-21T15:03:45Z,0,0
UgwiZ6WdPFNKDfSg8nl4AaABAg,@fioralaurent7059,This video is so informative thank you for the guide,2025-11-13T22:08:50Z,0,0
UgzVE3TDp1jBZMtJW9F4AaABAg,@Jaylaco77,My mother-in-law boils everything!  😂,2025-11-13T18:28:06Z,0,0
UgyDJzjyENjZpLXe0lR4AaABAg,@TheHellfiremissile,Steam at atmospheric pressure is no hotter than 100 dC,2025-11-10T10:18:35Z,0,0
UgyDbyYOsfY_tCmWtz54AaABAg,@nikonfan76,Really appreciate your videos. May I ask a technical question that has nothing to do with food? How do you protect your overhead camera from heat while cooking? Thanks.,2025-11-07T19:04:31Z,0,0
UgxTpk_F856jb49HLGR4AaABAg,@justagerman140,Hot racks on marble?,2025-11-06T08:23:39Z,0,0
UgwrOuH-DtSJhO-EIgV4AaABAg,@louisvl10,steaming in pressure pan squad,2025-11-03T18:10:22Z,0,0
UgxkEHeEw3tU2y6Sijp4AaABAg,@WindMills_,this video is what im looking for without me even realizing. Thank you!,2025-11-02T14:07:47Z,0,0
UgwmN4jC_80NXPX7cAB4AaABAg,@kingprone7846,i will never understand why boiled broccoli and cauliflower is basically a 1/10 dish and when you steam it its 8/10.,2025-10-30T11:37:06Z,0,0
UgypkuXwqnk_jHf0ofl4AaABAg,@lakshana5683,Thank you so much for this video! I am beginning to learn to cook healthy food!,2025-10-17T20:17:56Z,0,0
Ugx_q0BelPYxY3w0G3Z4AaABAg,@ShyraB-v1c9r,Can you use the water for stock ?,2025-10-16T05:02:39Z,0,0
UgzqmA5mdQdqGMc81h54AaABAg,@刘刚-f4n,Healthy food,2025-10-14T03:19:11Z,0,0
Ugznc2Lg-7wU8wM_CVd4AaABAg,@FlavorFluxUSA,Thanks for the kitchen inspiration! Simple and delicious.,2025-10-01T18:25:31Z,0,0
UgzKQhoRpyI5O1VovU54AaABAg,@sreejithps2566,Bro took having greens in the diet a bit too seriously,2025-09-07T22:16:44Z,0,0
Ugy1kaPBb1MNrv7WAgh4AaABAg,@nonee915,"Does it work with frozen broccoli,",2025-09-07T22:11:55Z,0,0
