Comment ID,Author,Content,Publish Date,Like Count,Reply Count,Detected Language
UgwcQSJ5FICsxWe5l7h4AaABAg,@aragusea,Thanks to Upside for sponsoring! Download the FREE Upside app at https://upside.app.link/ragusea and get an extra $10 cash back on your first restaurant or grocery purchase.,2025-04-10T23:13:38Z,65,12,en
Ugzx-xe5MUPZyqGVaWt4AaABAg,@Cent-Cent-Cent,"“In prison, dinner was always a big thing.”",2025-11-23T21:23:07Z,0,0,en
Ugx3BxrKFnTFEl1at3B4AaABAg,@JohnHickie-l4s,i’m not gay but i would seriously consider marrying you just for the food.,2025-11-14T04:13:37Z,0,0,en
UgyYiTJptFw0ECVHr3h4AaABAg,@dominicmuscatella95,First snow of the year is a Sunday here in Chicago. Im making sunday sugo today!,2025-11-09T15:43:49Z,0,0,en
Ugz930THaqbVUgRlLvB4AaABAg,@jklsr55,Gravy...,2025-11-08T19:06:08Z,0,0,Other
UgyqvTJPfBIy2ApGNzt4AaABAg,@Nipatay,Someone had a blowie that night 👍,2025-11-08T18:25:05Z,0,0,en
UgyKrp3OVZ0ZBjSEaHR4AaABAg,@RaYMannSuperFLY,Looks yummy! :),2025-10-28T09:35:59Z,0,0,Other
Ugy5aQf2ekjpIdFAFMR4AaABAg,@أبو.عبدالله.الأثري213,"About the cutting board, I advise you not to use a plastic one because everytime you cut  something on it, microplastic fragments will mix with food. A wooden board would be better. And God knows better.",2025-10-17T00:12:14Z,0,1,en
UgwK4yXUT76UJWFRMxx4AaABAg,@itano6445,polenta would also be very good,2025-10-12T07:44:11Z,0,0,en
UgxGTZdlX2FqLf-U6yd4AaABAg,@UrsineBloke,"Oxtail, ribs, lamb leg... the first couple of minutes alone would set me back at least £50 or £60, which is like a week's worth of REAL cheap meal.",2025-10-10T16:39:10Z,0,0,en
UgyhPXPLRGP6ml1Zku94AaABAg,@trollshamanpwnage,"oh god i loved seeing your face when you heard her reaction; ""oh yeah baby that's all me""",2025-10-09T14:46:47Z,0,0,en
Ugy-RlAJRPOHClY-lD14AaABAg,@edmondlau511,A plate that size is definitely not for one person 😂,2025-10-05T03:09:22Z,0,0,en
Ugyzyif6ZFkPvbJihc14AaABAg,@dave4429,one piece,2025-10-02T16:33:33Z,0,0,Other
Ugx5ztln6JFNRhV-1I54AaABAg,@kojocisco,I don't think using oven half a day ever seen being cheap. F u from Europe Regusea.,2025-09-24T13:59:01Z,0,0,en
Ugz237YMDdz0YVqlnFV4AaABAg,@ChrisKChandler,HOLY LORD... WHAT-UH!?,2025-09-23T23:40:37Z,0,0,Other
UgxwILfM3KCvSmv1Frp4AaABAg,@burzija,"7:27 look at his happy face, bless you",2025-09-16T19:59:58Z,0,0,en
UgwsNfU44R1A76C0-p14AaABAg,@warcraft8226,thanks,2025-09-13T18:24:13Z,0,0,en
UgzfdNyYu-j_QOZri6V4AaABAg,@ffc2632,"The ai voice acting and auto translation is horrible, it ruins the viewing experience and destroys information. Please disable it",2025-09-13T13:55:54Z,1,0,en
UgzuJr8tiR8Gbo5tvE14AaABAg,@altronix117,Any recipe for a version where you dont use the oven?,2025-09-12T21:21:43Z,0,0,en
UgzS816eeVNvlfbNjCh4AaABAg,@RandomGuy-vo6zd,Chicken is not supposed to be in here,2025-09-07T23:37:03Z,0,0,en
UgzXMPLjIPEE5OoZvdV4AaABAg,@DagathBuildWhenquestionmark,Gravy! Domado Zowass,2025-09-02T18:07:47Z,0,0,Other
UgwHFx3CLpDSuAN0aBt4AaABAg,@zedudli,"From time to time i come back to this channel to see if “chef” ragusea is still peddling bad technique and worst food. Yep, he still is. In the first few minutes you see telltale signs:
- still using olive oil to shallow fry at high temperature. Not ideal, olive oil is expensive and has a low smoke point, using it for shallow frying will bring us to the other point:
- he’s still burning stuff. Look at his pans. Whenever the fond is pitch black, he burned stuff. Burnt stuff is bitter and also carcinogenic. Burnt stuff does not make a good sauce
- still pushing inane sponsorships
See you in the future. To all of you reading this: don’t follow this guy’s advice in the kitchen, because it’s worthless",2025-09-01T16:07:50Z,0,1,en
UgwsIRo8tMs4rI1OKyR4AaABAg,@thegaelicgladiator665,7:19 spoken like a true suburban American mom 😂,2025-08-29T07:11:58Z,0,0,Other
UgxjfYfnEPfFCxH3G3x4AaABAg,@andrejmucic5003,"nice phrase Adam: ""bare bottoms burn."" So true, so true.",2025-08-27T03:56:45Z,0,0,en
UgxHsRsluq03d8KUumV4AaABAg,@PUGGHEENY,That's basically Neapolitan ragù,2025-08-23T21:18:49Z,0,0,en
UgxC7iwVWW-jDaqhSyV4AaABAg,@bayanon7532,Your lovely wife Lauren is ..... Lovely !!!!,2025-08-18T20:50:56Z,0,0,en
UgxK7gFyHNr9KaUwpNl4AaABAg,@pgplaysvidya,I'm making this but i added a pile of ground beef since i like bolognese along with the misc meats. will be delicious!,2025-08-17T23:30:10Z,1,0,en
Ugw5L8mIA3ZwNTJ58rF4AaABAg,@pasqualinamichelaconsiglio9391,Is that a Dutch Oven?,2025-08-16T12:20:26Z,0,0,en
Ugwsm0bNQCojecFqfjd4AaABAg,@rimahamburger3896,"Yo, what meat should I use?

Adam: Yes",2025-07-31T14:46:57Z,0,0,en
UgxbFs9E2nIhPqbHFmF4AaABAg,@paulsmith5202,"Looks good, but I think some fundamentals were missed. Smart guy, not so much with cooking. Just my opinion.",2025-07-22T22:48:00Z,0,0,en
UgzycPQBPzqjzTQBiAZ4AaABAg,@BiggMo,Adam… please recommend a use for eye of round.,2025-07-21T16:04:41Z,1,1,en
UgwaohNZxA8U3_8VV3F4AaABAg,@Thai-g8s,Non of the meat are cheap cuts….,2025-07-14T01:45:37Z,1,0,en
UgyvLnstG3xS1GAzWwJ4AaABAg,@19mitch54,Dutch oven in the regular oven low and slow is how I cook bean and pea soups so I don't have to constantly stir them to keep from burning the bottom. Dutch oven in the regular oven is my crock pot.,2025-07-12T15:07:06Z,0,0,en
UgxDz6RcPEdEo5cPPbl4AaABAg,@bookaufman9643,Where in the hell are you getting oxtails cheap? Those things are going for 10.99 -  14.99 a pound minimum where I live. minimum,2025-06-29T18:45:35Z,0,0,en
UgxV47vcyOV5h-k02fN4AaABAg,@bookaufman9643,Seasoning each piece of meat separately isn't going to make the seasoning any easier. Once it's nearly done figure out what it needs and add it then. It's fine that you seasoned it earlier but it's not going to change the fact that you have to do it again.,2025-06-29T18:43:32Z,0,1,en
UgwTXrufD0crOzWBUs54AaABAg,@timonix2,"""cheap meat"" adds a collection of meat more expensive than you can find at a supermarket. 

It's only cheap when you compare to the nicer cuts from the same butcher. Cheap butcher cuts cost twice as much as expensive supermarket meat.",2025-06-27T17:05:45Z,0,0,en
UgwctqH2hNDKtDingw94AaABAg,@lgolem09l,Wouldn't all this browning at the beginning be better in a stainless steel pot?,2025-06-24T13:00:19Z,0,0,en
UgzgRqCJi65B6XgKjV54AaABAg,@dragonbowrghr5937,"You're a meaty Italian feast, Adam.",2025-06-24T01:26:08Z,1,0,en
Ugw-h4GsScql7UCvj2V4AaABAg,@edmorris1437,You were doing ok until you dumped half a cup of Italian herb blend in there. Next.,2025-06-15T19:22:48Z,0,0,en
UgwdPqeeDNkXHold9dx4AaABAg,@chancewilkerson63,This basically the prison sauce from goodfellas,2025-06-12T22:42:38Z,1,0,en
UgxoDXnw3z3NA2h_Krx4AaABAg,@patrykapiezo1650,"If something needs to cook for entire day, it's definitely not ""cheapest"".",2025-06-10T20:47:14Z,0,0,en
