Comment ID,Author,Content,Publish Date,Like Count,Reply Count,Detected Language
Ugz4xz05YHKyTHGB2Sx4AaABAg,@bkBroilerLV,I eat my snack cakes while watching Youtube on my couch not a parking lot thank you!!,2025-11-25T15:12:39Z,0,0,en
UgxGBsZLH6hTr-ogW8B4AaABAg,@skellige93,I respect this dude,2025-11-14T23:59:08Z,0,0,en
UgxJ-viwV6u_0pA7-BR4AaABAg,@carlosjosejimenezbermudez9255,"18:32 Covid and the way it was handled proves the opposite. This was a problem before, and it is a problem now.",2025-11-14T22:22:03Z,0,0,en
UgwTPgL-sv17Jibknu54AaABAg,@carlosjosejimenezbermudez9255,"12:15 Though I agree that banning ingredients and hoping the problem goes away is stupid, I also don't think that any policy of this regard will ever be implemented at a scale at which it could actually make a difference. It's way too specific, and the food industry has enough money to push back against regulations that would harm their bottom line.

Seed oils are necessary from the supply chain view, but they are the worst source of fat there is. However, banning them entirely and forcing the entire industry to, avocado oil for example, would just lead to the cheapening of its production and it's processing to become aggressive enough to the point that even a good source of healthy fat would become low quality and harmful. It's happening in India right now with coconut oil without government intervention. Cheap coconut oil is hydrogenated, which basically makes it as bad as Crisco shortening is. Ingredients alone matter, but at scale they do matter less.

Markets will do whatever is necessary to keep and make certain ingredients cheap, even if that involves denaturing said ingredient into not being what it was supposed to be.",2025-11-14T21:59:05Z,0,0,en
Ugyj4sEaDJK5D05fKCp4AaABAg,@sushantmanandhar1387,15:57 did he just fart,2025-10-31T08:26:09Z,0,0,Other
UgzvCoD2ENF29VFEvKd4AaABAg,@MissMeganBeckett,"Makes me wonder if small sourdough bread loaves or sourdough baguettes or sourdough buns are generally considered as an ultra processed food or if they are just considered processed food on that chart, because it is more shelf stable than the regular yeast breads and it is created with a combination of the first two categories and the fermentation that makes it last longer is also what makes it so irresistibly tasty and suitable to eat at any meal anywhere and anywhen.",2025-10-29T15:16:27Z,0,0,en
UgwznSx2NduX4cTYAD54AaABAg,@jacoboleary9076,"Even raw meat from the grocery store is processed, so I think the all-raw non-processed crowd needs to start killing animals with their bare hands and eating them on the spot.",2025-10-28T15:49:36Z,0,0,en
Ugz-R4wE5gNcxc5ea514AaABAg,@LodanSD,So cut the fat off of steak since fat makes you fat?,2025-10-27T01:28:37Z,0,0,en
UgyycGw83E0jeEPKJEt4AaABAg,@brieoconnor9824,"Always remember Hank's Razor: ""Any apparent health benefits in a scientific study, unless already ruled out, is probably due to wealth and income of the healthier group.""",2025-10-22T02:24:05Z,0,0,en
Ugxt0Ya2o3MuZby7xL94AaABAg,@ahwhite2022,"I think 20-30 minutes is the ""sweet spot"" for videos like this, and you can always do longer-form deep dives. I love hour+ long videos, but find it really hard to take the time to properly watch them. They build up on my ""watch later"" list like the unread books on my bookshelves.",2025-10-11T15:44:15Z,0,0,en
Ugy0rSPXn-0xS4QZmFN4AaABAg,@eastern2western,"Yes, humans need processed food in order to digest.",2025-10-09T16:57:50Z,0,0,en
UgznQ-aNb-jaaJz32tp4AaABAg,,"You are turning me into a foodie slowly and surely, fk",2025-10-01T06:04:13Z,0,0,en
UgxyX9Rxz98R_AtOv2Z4AaABAg,@Skorpychan,"So, crisps make you fat? I figured as much. Every time I eat a bag, I FEEL fatter.
But my problem is still the 'I must pile on calories to survive winter' instinct. Food is tasty and I get hungry, so I eat more than I burn. And so I have slowly gotten fatter, because my metabolism never quite adjusted to me learning to drive and not cycling everywhere.
If I gave up the car and cycled to work every day, I could drop all the fat and get back the 6-pack I had in my 20s. But that would be 20 miles a day, and I'd probably get squashed under a Range Rover.",2025-09-28T08:51:57Z,0,0,en
