Comment ID,Author,Content,Publish Date,Like Count,Reply Count,Detected Language
UgyiH6gvwXics-pVk494AaABAg,@aragusea,Thanks to Hungry Root for sponsoring! Get 40% off your first Hungryroot box PLUS get a free item of your choice in every box for life with code RAGUSEA at https://bit.ly/4gLplbg,2025-07-31T18:02:30Z,32,3,en
UgzraAEh9r3pFmUK2yB4AaABAg,@cicciuzzu5032,Lots of sugar in there plus the fat of the butter. I wish there was a healthier version of this dessert.....,2025-11-23T16:23:14Z,0,0,en
UgzGzDvkLNSGG2lroyJ4AaABAg,@BashirYagami,Of course you had to ruin it with alchohol.,2025-10-20T12:27:13Z,0,0,en
UgwuRFzDNoqbe__ZmnZ4AaABAg,@user-cv7qc4ns4v,Dj…,2025-09-12T16:05:18Z,0,0,Other
Ugx7C9yGkQ1gGZOYFKh4AaABAg,@EriksonHerz,"I just made this recipe. Didn’t have peaches but a friend had given us mangos and decided to use them. 

The batter didn’t thicken as much as it looked like it did for Adam but regardless after baking. It came out amazing.  

Pls try this recipe it’s so good we added a scoop of vanilla ice cream because you know if you’re gonna eat all those calories might as well do it right !!",2025-08-29T07:09:22Z,0,0,en
UgwCUbZwU05WAnw_D694AaABAg,@marsajib,Just made this and it was really good . Thank you 😛,2025-08-23T03:44:16Z,0,0,en
UgzRWt36napX0qDOkyF4AaABAg,@Alexandr-y1i,"Adam, what lens do you use?",2025-08-22T19:12:18Z,0,0,en
UgyXPqjM_19SQTL18Cl4AaABAg,@grantraynard,Life hack... look up when eating the peach and juice goes in your mouth and not on your shirt,2025-08-19T01:56:34Z,0,0,en
UgxSI-Q1XQcqPfx51K14AaABAg,@JanusKastin,"When you've decided to have cobbler, there is the implicit agreement that you just aren't going to think about calories.",2025-08-17T23:40:20Z,10,0,en
Ugw6s2zpkHygf3SzHmN4AaABAg,@gabimismash,"Made this a few times since it's still peach season, I've really enjoyed substituting buttermilk. Also like a hint of lemon juice in the peaches.",2025-08-17T08:57:22Z,0,0,en
Ugw_apaNFDHayBrxyrR4AaABAg,@2unknown2111,This is very similar to a fruit cake my grandmother would make.,2025-08-15T20:41:09Z,0,0,en
UgzTnIXJgC1dujH4s5Z4AaABAg,@dementionalpotato,pass,2025-08-12T23:46:39Z,0,0,Other
UgxFhAwMP7wPT1uQYFt4AaABAg,@jhedmauikajiyama8801,so this is why DJPeachCobbler stopped uploading shit,2025-08-11T09:40:14Z,0,0,en
UgyOVIKR6XkGd1vgtzR4AaABAg,@YCRRadio,"Yum Yum Yum


Yum Yum Yum!!!!!!!!",2025-08-11T06:28:17Z,0,0,Other
UgyPtKsEETzsVGsvTS54AaABAg,@adriennelane2756,"I followed the recipe (even sifted the flour!) and my batter came out a lot thinner than adam’s after 10 mins. After remaking it with the same results, I ended up just using the thin batter and adding an extra 20 mins and cranked up the heat to 400 in the last ten minutes. It came out delicious!",2025-08-10T23:46:57Z,0,0,en
UgzY7jJggHCZuPNEG4h4AaABAg,@chain3519,Oh boy! What a fun and awesome and cool video! I can't wait to watch the next one your release chronologically! It's sure to brighten my day 😁,2025-08-10T22:52:54Z,2,0,en
Ugw3RhIe7x8tY1ZDfYB4AaABAg,@brockreynolds870,"This is very similar to what I make... my neighbor gave me the recipe back in 1974, it was, and still is... called ""Hasty cobbler"". We make it peaches, peaches and cherries mixed together.. and with garden huckleberries (black nightshade)",2025-08-10T22:49:19Z,0,0,en
UgwiqKLXMkmNcZA3ko54AaABAg,@sdmitch16,Do you think this recipe would work for all juicy fruit or does each fruit need its own recipe?,2025-08-10T03:10:56Z,0,0,en
UgwNN21id56Ggf3b8aR4AaABAg,@aidancap2,would you consider making a video about aquafaba? I think it's a really interesting ingredient that could make for an interesting vid,2025-08-09T02:02:38Z,0,0,en
UgwliJILUAqfxKqqkDN4AaABAg,@alexandramaclachlan7597,"I really appreciate when Adam includes the reasons behind different steps, like why it's important to add extra moisture while cooking the stonefruit.

I can get kinda cocky when reading online recipes, and my substitutions/omissions are sometimes an integral part. 

Knowing the function (the WHY of the ingredient) allows for more mindful alterations, that can lead to very happy, tasty accidents~",2025-08-08T04:17:27Z,1,0,en
