Comment ID,Author,Content,Publish Date,Like Count,Reply Count
UgyPSRlOvI-s69GAz7p4AaABAg,@monkeytime9851,I can immediately see why this channel is so popular. Very very well put together.,2025-10-23T12:42:29Z,1,0
UgykjRmb5GaAr1dtvV54AaABAg,@oricatttt,"honest opinion - really disappointed in this recipe :/ I've had this video saved in a playlist for several weeks and was so excited to make it, and it completely failed. Having baked a good amount I felt a little skeptical about some of the steps/corners being cut, but tried to follow the recipe anyway. Ultimately though all those things proved there's a reason why the baking world does things a certain way. 1. the chocolate seized and became grainy and separated (you can see in the video as well), from using the mixer with the egg whites still on them. This happened for my batter as well, which makes for a bit of a buttery mess. 2. powdered sugar is drastically different from brown sugar, and I found the meringue much sweeter and more icing like in flavor. 3. 1 tsp of espresso powder is a *lot* for the amount of batter and, indeed, the coffee flavor comes through strongly in the cookie, which I'm not a fan of. 4. tradition says to fold for a reason. I'm not sure if it's from the beating or if it's from the chocolate having seized earlier (resulting in a split of fat & everything else), but when introducing the egg white and chocolate mixture together, the batter completely collapsed and became much thinner than the video. The result was all the cookies spread into one large pan cookie, and very flat instead of light and fluffy, with no crackles on top. I mean I'm still gonna eat it, but they definitely did not come out like the video, which I'm sad about",2025-10-11T02:19:26Z,0,0
Ugyg-cL68u7PFUNtq9Z4AaABAg,@Chris90.,my chocolate didnt melt and I did intervals of 10 seconds in the microwave all adding up to 40; it seems as if i overheated it and it was way to thick for the cocoa powder incorporation. (already added the vanilla and some of the stiff beaten egg whites for more liquid) soooo thick. any advice?,2025-09-26T16:57:23Z,0,0
UgwDtQFK3F9mxjol2VB4AaABAg,@phatmonkey11,"Glad I found this - I used to make these around 10 years ago but forgot about them. Pretty sure my recipe had powdered sugar as well, because I would never have attempted the original recipe you talked about, lol.",2025-09-18T19:03:46Z,0,0
UgwDTaZZsmKpVM_cTsV4AaABAg,@RAMMY_,wonder if a vanilla heavy version would be just as good.,2025-09-16T18:10:11Z,0,0
UgzxPQeDgrxOJ25FZ9h4AaABAg,@DiLLZGFX,Could you make one with protein powder? Thanks!,2025-09-15T02:07:48Z,0,0
UgzCuu1tVqjw9KNKp2B4AaABAg,@mddelman,I made both versions.   Very easy and quick to make.   Definitely no need for the fussy chocolate melting process.  The microwave is great for this. Both were excellent but my family all voted for the version with yolks because of the chew factor and because they don’t fall apart as easily as the no-yolk recipe.   I think I’ll be baking them often. Thanks!,2025-09-14T01:14:41Z,1,0
UgwhgIk8bjMgJw7sapF4AaABAg,@kilrati,"technical question: when adding cocoa powder by volume, should I pack it?",2025-09-13T23:32:39Z,0,0
UgzEo3bg6nEWkhuVTe14AaABAg,@paigeresch9338,"I thought these were just going to be big versions of your macaroons, which is an even simpler recipe",2025-09-12T18:04:12Z,0,0
Ugz6WW9GUqAI-JPBWzV4AaABAg,@hirotakasugi4891,Just keep beating at 5 minutes on high is how I do it before sleep,2025-09-10T04:08:14Z,0,0
UgxyaOcyBHeWoj3hHf54AaABAg,@ravensshade,Heat it in the microwave? Full power ?,2025-09-09T16:50:09Z,0,0
Ugy82KOAqIKp1WyGmyV4AaABAg,@tenzinpelletier9270,might try this with aquafaba!,2025-09-09T03:22:30Z,0,0
UgxwOjcfZT4virkPYiJ4AaABAg,@davonolosetho,egg yolks in counts as protein cookies! PROTEIN COOKIES!,2025-09-06T03:33:20Z,0,0
UgyfVKouUqWU1GhlFQx4AaABAg,@Martonix_99,Warning for gluten free people when making these check your powdered sugar because some powered sugar contain trace gluten,2025-08-29T12:55:04Z,0,0
Ugx2V86X3KGU3fF049J4AaABAg,@dual4025,First recipe video that convinced me to just go out and buy already made cookies instead,2025-08-28T18:57:32Z,0,0
UgyLziWpxjLcPon3_y94AaABAg,@MariaAngelova-yn5nu,"Tried them, they turned out really good😊 soft inside, crispy and chewy outside. And also very easy to make.
The only problem is that I couldn't let them cool before eating 😅",2025-08-26T08:59:51Z,0,0
UgwG6kjRVth0MG_ax7p4AaABAg,@CalebClingon-oj9es,My beater died while getting the second peaks. So this became a pie dish cookie. Well shall see how it turns out,2025-08-26T02:44:25Z,0,0
UgxCZEIYRvv1EpPX5YR4AaABAg,@somander,Those are soft peaks. Love u adam!,2025-08-25T02:41:17Z,0,0
