Comment ID,Author,Content,Publish Date,Like Count,Reply Count
UgzU-bNfPEr8uTgdLTl4AaABAg,@aragusea,Thanks to Kettle & Fire for sponsoring! Try it today and get 20% off your order when you use my code ADAM20 and click the link: https://yt.link/l2u4laK,2025-09-19T20:03:31Z,30,2
UgxxzYy3baasED4FOZZ4AaABAg,@lilithhiddenvillain5086,Honestly the only time I'm annoyed about Goulash is that American one that's a pasta dish with no paprika in it,2025-11-15T00:56:04Z,0,0
UgyjKW4db3JZ2L8wxWt4AaABAg,@FilFee,"7:57 I agree!
We even have a term for it in Czechia. ""Archivní Guláš"" (literally: Goulash from the Archives) - 2 or 3 days old, extremely flavourful goulash.",2025-11-13T20:35:41Z,1,0
UgwigNrBMjAGiwhHGgV4AaABAg,@sifins1579,man the broth disgusted face is the new protein cereal disgusted face,2025-11-11T20:36:51Z,0,0
UgzigJi814R9MTYu2h94AaABAg,@koborattila2466,so its just me who eats the bay leaves ...,2025-11-10T09:32:01Z,0,0
UgyzunhEvRivwUduLb14AaABAg,@caracallaavg,"Just the carrots, come on 💀",2025-11-09T20:25:34Z,0,0
UgxgjKs_tZyZLzQsZYZ4AaABAg,@chriskasprzyk6235,"I'm with Lauren. I despise caraway. Actually don't like any of the family members either, including fennel, dill, etc.",2025-11-08T06:49:32Z,0,0
UgyM7enXracVVK5lwwF4AaABAg,@stephennettles2309,"It's funny, growing up my mom cooked ""goulash"" all the time... but it wasn't goulash at all. It's just a mix of pasta (normally macaroni), peas, and some kind of meat (normally ground beef or canned tuna or canned chicken). It's what her mom made growing up and what she called it. I have no idea how backwoods middle of nowhere Tennessee came to call that dish ""goulash"" or what it's proper name should be, but it's a favorite comfort food of mine and incredibly fast and cheap to make.",2025-10-27T02:04:12Z,0,0
Ugywm5kwaMszoYV8yjF4AaABAg,@svenleeuwen,"Making this for the third time, this time with oxtail. Even made a vegan version with mushrooms.",2025-10-26T18:24:59Z,0,0
UgygUv9zWuK6fgmu_qp4AaABAg,@Lostdog-dc4db,"Only ONE onion?! Waaaay too little, you need to triple that at the very least",2025-10-20T21:15:28Z,0,0
Ugzd8HFNKBqHi6lvoAd4AaABAg,@tillabakos2248,"As a Hungarian. I have to say No. Looks delicious, but there is a fundamental problem of not even being aware of the basics of these types of Hungarian foods.",2025-10-19T08:09:32Z,0,0
UgwKZa_a3DIsckrvq0d4AaABAg,@Gazza_rides,Give that man a Galuskaszaggató for crying out loud 😂🇭🇺,2025-10-17T14:46:38Z,0,0
Ugw_Ynsq0F5nGBuFgcN4AaABAg,@conditional_refl,"olive oil in goulash??? no way, man.",2025-10-16T23:12:42Z,0,0
UgxJwse_n_913poTOSR4AaABAg,@petarivanovic2297,"I'm Serbian and goulash was a staple for us growing up but we made a different version. No idea of this is a Serbian thing or just my family but our version was very simple. Basically just fry LOTS of onions, then sear beef chunks, then add water and salt and lots of pepper and simmer for a few hours until it's thick and saucy. Most of the time we would serve it with pasta so this ends up being like a very meaty pasta dish. Occasionally would take the effort to make the dumplings that cook in the stew itself, similar to the ones you made but our batter was thinner and we would basically spoon it into the stew.",2025-10-16T20:24:58Z,0,0
Ugxo7JDTn-9zEK8Hq5R4AaABAg,@imjames29,Went out of my way to get some Hungarian Paprika not much difference,2025-10-16T19:19:15Z,0,0
UgzmmgOONoNswTKed2V4AaABAg,@Hungaricus,IT still weirds me out that somehow internationally Gulyás/ Goulash ended up as a stew when its a soup. It still looks very good tho but we would call it a Pörkölt. If you like beans check out Bean Goulash (bab gulyás) thats my fav.,2025-10-16T14:56:53Z,0,0
UgzoukdX9k60EfisNXB4AaABAg,@juksat,West African red stew is redder but yes love me some goulash,2025-10-16T14:43:03Z,0,0
UgyorJSskvC-tfI5pMp4AaABAg,@blookarakal4417,Apiaceae also include coriander and cumin. I doubt you associate those with eastern europe.,2025-10-16T06:22:29Z,0,0
Ugwhn8vyMbmpMaY4St54AaABAg,@dalloszsolti,"Gulyás is a soup. Period. If you hear 'stew', you are scamed.",2025-10-15T17:27:09Z,0,0
UgwAaHcntmzgzg2KN254AaABAg,@user-cv7qc4ns4v,"i always made gulash with a lot of onions a lot of meant and a LOT of paprika, and some water and oil of course. I am slovenian and this is how the people i know do it too so idk",2025-10-15T15:14:56Z,0,0
UgxlBMMUzTEt0r2huZh4AaABAg,@Huacan09,"This is a tamed version of Mexican Birreria 
3:34 even searing the beef",2025-10-15T15:13:04Z,0,0
UgyUqTi1pCRkr8Yf2md4AaABAg,@Huacan09,"Europeans really went crazy when they discovered flavor lmfao 
The americas supplies the most greatest vegetables for them & fruits 

Tomatoes damn near essential to every European cuisine",2025-10-15T15:11:18Z,0,0
Ugyqm2CWZgWdoyRH_AZ4AaABAg,@istvanszabo5745,As a hungarian i approve this! I would never think to puree the vegetables but i will definetly try it next time. And it really does taste better the next day :),2025-10-15T08:53:21Z,0,0
UgyrEhVAexfP3xdZk314AaABAg,@paltoth4688,"Another Hungatian here, first of all thx for spreading our long loved gulyás.
However there is one fundamental misrake you MUST avoid and some recommendations.

The mistake was Never put the red paprika in a burning frying pan because it will burn and will get very bitter. You will ruin the whole 5 hours of cooking and you will only know it at the end! Instead turn off the heat wait 1 min and then add the red paprika, mix it and top up with water.

Some recommendations 1. Fry the onions as it adds to the flavour, 2. No need to bland anything just chop the fresh tomatoes and the fresh paprika and put it in the water as in 5 hours they will melt anyway, 3. Ground cumin seedsis a must as that gives the unique gulyás flavour 4 add theBay leaves at the beginning 5. potato is a must with the vegetables, 5 csipetke is made differently. 6. No need for fancy stock as the meat will give you the flavour. 
BuT my biggest suggestion for everyone. USE a pressure cooker for 2,5 hours stopping half way and topping up with watter. After 2,5 hours add all the vegetables and the csipetke and cook normally. This way you half the preparation time and free up 80% of your time.

Most of the time it is served with fresh chilli or some kind of chilli paste. Erős Pista 😂😂

Happy cooking all,",2025-10-14T18:22:07Z,0,1
Ugy4s4UpvpawMBreuEJ4AaABAg,@Adam-nl1eu,"Here I was angry about putting carrots in it, just did a little white guy smile about 30 seconds in. Great video big fan xx",2025-10-14T12:27:48Z,1,0
UgzQIn4TWfnxG-_ONcR4AaABAg,@oreothebest,"Adam I love your recipes and videos, ive learned a lot and have made them many times. But this one is not goulash at all but beef bourguignon. You missed many key ingredients and techniques and essentially made a beef porkolt (stew) when goulash is a soup. Im all for innovation and new recipes for traditional dishes but I think this would better be called my take on goulash or a modern take on it. No hate I just think this one missed the mark coming from a Hungarian.",2025-10-13T21:00:09Z,0,0
UgxR47TNOwjEwWevGHd4AaABAg,@davidracz1485,"i mean the point of the eastern europen goulash and any dishes is the simplicity of the ingredients and the technique that is used for the process, as someone from the poorest can cook it. This america washed version lacks this heart with those fancy additionals",2025-10-12T20:57:30Z,1,1
UgxxRgCSkjI21VJvUzF4AaABAg,@ShadowViewsOnly,"You made pörkölt, not gulyás. The difference is that pörkölt is a stew, gulyás is a soup.",2025-10-12T12:06:16Z,0,0
Ugwu7jmsmAEjw3xsYOZ4AaABAg,@fedoralinux,never cook again,2025-10-12T11:23:29Z,0,0
UgyeRkb2NSbb8_Js-UB4AaABAg,@LionelLando,It's actually a soup not stew,2025-10-12T05:49:00Z,0,0
UgyZlkPxxc9yjtVHsTZ4AaABAg,@fatmitch11,"""Assuming they have any [flavour]""
Love the casual diss of bay leaves. it's funny that we continue to put them in most soups/stews even though most people probably couldn't tell the difference if they are included or not. I guess we are all in the pocket of Big Bay Leaf.",2025-10-12T00:55:40Z,1,2
UgyLFTNuaMQjhzDqMix4AaABAg,@kristofkovacs2646,"We as hungarians appreciate your efforts to prepare pörkölt. If you can, try it with venison.",2025-10-11T17:04:11Z,0,0
Ugy4ScQdW5-obnt-bzJ4AaABAg,@Paxxxable,"Problem is ... This receipt isnt authentic at all...
And it must be a soup ...
If not it's not a Gulyás....

Also real fire needed for authenticy....",2025-10-11T15:41:57Z,0,0
