Comment ID,Author,Content,Publish Date,Like Count,Reply Count,Detected Language
UgxDnYzEKz5LLIXmUtl4AaABAg,@aragusea,Thanks to Helix Sleep for sponsoring! Visit https://helixsleep.com/ragusea to take advantage of their Fall Savings Event and get 20% off site-wide!,2025-10-16T18:00:17Z,51,4,en
Ugx0bHrhp95elguC9kx4AaABAg,@MurphysLawGaming-yg6bk,"Speaking of turn & burn Italian recipes, would love to see you recreate the olive garden Braised Beef and Tortellini recipe, also uses marsala wine! Was unfortunately removed from the menu, probably because it takes awhile to make, but MAN was it good!",2025-11-15T14:26:43Z,0,0,en
Ugy3-ymOOFrDLoW291t4AaABAg,@steve-from-toronto,Referring to classic family restaurants as “turn-n-burns” is  not-so-subtle smugness. Get over yourself Adam.,2025-11-14T18:43:27Z,0,0,en
UgwagwyM0D2fYeUhamR4AaABAg,@boutrosboutrosboutrosboutros,They also add spirits to fortified wines to stop the fermentation process at a specific time. That higher level of alcohol percentage kills the yeast,2025-11-14T17:31:05Z,0,0,en
Ugyfhxr4O27kH7SkQYJ4AaABAg,@boutrosboutrosboutrosboutros,Love the starch water technique. I am a big fan of the French style mashed potatoes where it's essentially 40% butter 60% potato!,2025-11-14T17:27:43Z,0,0,en
UgwHNQBjk0LmalTrKvN4AaABAg,@codiefitz3876,🗣️,2025-11-14T06:08:31Z,0,0,Other
Ugx9WHftauDxEaRYEL54AaABAg,@tonybablony2041,"I’d say it’s popular in the US (seeing as it’s our dish) and Canada, we have a lot of cultural exchange. Wouldn’t say “North America,” I don’t think Mexicans, Belizeans, or Costa Ricans are eating salisbury steak. Just a guess though. Looks good y’all would definitely tinker with the mash though, watery mash sounds off to me. Much love! 😂",2025-11-14T06:00:31Z,0,0,en
UgzkdHBFNYBIHyFmYAh4AaABAg,@ANamelessGhoul1321,Never use a microwave,2025-11-14T03:52:30Z,0,0,en
UgxvcDuHZjIaw5T9Qqt4AaABAg,@renmamamiya8840,VIVALDI 🗣️🗣️🗣️,2025-11-14T02:08:09Z,0,0,Other
UgyKe29knI9qTU50Xg54AaABAg,@mattj117,VIVALDI! 🗣️,2025-11-14T01:04:47Z,0,0,Other
UgyUEX77foUhuyWdxeB4AaABAg,@exploshaun,I confused the title with chicken tikka masala.,2025-11-08T13:56:09Z,0,0,en
Ugyd940otqAY11KJNzB4AaABAg,@MontyFlange123,world potato comparison when,2025-10-29T19:14:57Z,0,0,en
UgwIu44qCnIVFhOMUvJ4AaABAg,@thylascene,adam forgot to put the receipe tips and whatnot in the description lol,2025-10-29T01:58:08Z,0,0,en
UgzwmMTIH12d7InLO9h4AaABAg,@benhorton141,Ive been cooking a lot more mushrooms recently and i dont know why but the mortons rock salt and a 1/2 cup of water lets me brown 2 big packs fast. When im dealing with the soup i pour it into some rice or an ice tray,2025-10-28T23:54:08Z,0,0,en
UgxivTZNNjLERIVqZ9R4AaABAg,@joeo6378,I like to eat chicken Marsala with rice.  Jasmine preferred,2025-10-26T13:32:17Z,0,0,en
UgySC8LECCWoPtk_d_x4AaABAg,@TommyAngelo23,Ingrediants list??? Cmon bro.,2025-10-26T02:22:57Z,0,0,en
Ugw_JL1j62e7KBi0D7V4AaABAg,@infectedrainbow,you watch football?!?......god damn you. I had just resubbed too.,2025-10-25T22:10:01Z,0,2,en
UgxJEsxFCgYquS8G9794AaABAg,@andremp03,"Good tip regarding the mash, never even thought about cutting it smaller",2025-10-25T21:15:30Z,1,1,en
UgzTdluzjNZYnbfYrO54AaABAg,@Ringowasprettygood,"damn my mom made chicken marsala and it was delicious, I should ask her to make that again and help her. She would also do goat cheese scallop potatoes with it (even better than mashed potatoes tbh!)",2025-10-23T21:19:46Z,0,0,en
UgxJD_hmiqBXZ4h0tUh4AaABAg,@Hyraethian,I watch these videos while I eat my breakfast. They often inspire me on ideas of how I can go about cooking dinner.,2025-10-23T18:23:03Z,0,0,en
Ugymi8GGma1Udc4ZyKF4AaABAg,@NicholasGurrs,What’s Adam doing with all those Helix mattresses,2025-10-23T01:48:07Z,0,0,en
Ugw3qvxW872s_xVePDh4AaABAg,@kommisar.,"I recall a few months ago Adam leaving a comment on a Vivaldi short (it might have been for chicken marsala) where he specifically praised these ""turn and burn"" dishes, so I was not surprised (but I was glad) he made this video.  I was wondering if he was going to mention Vivaldi.  This recipe is definitely a little different than the one Steve makes.  It's worth trying both and see which you prefer.",2025-10-22T20:40:18Z,0,0,en
UgzkByCjOjn5PiWrxl94AaABAg,@jamarti,Plz turn off auto dub,2025-10-22T18:20:34Z,0,0,en
UgzmEh4GS6e14tmvCkp4AaABAg,@Flk0217,Vivaldi!,2025-10-22T18:17:06Z,0,0,Other
Ugy1KYFF2xKXQAMKDS54AaABAg,@GreatisNateGaming,"Chicken Marsala is still one of my favorites, but my wife doesn't like mushrooms that much, so I make this for myself when I'm home alone... This looks great!",2025-10-22T14:20:35Z,0,0,en
Ugx-NoeEcg4lXH5lBhx4AaABAg,@faceclutch5555,Polenta would also have been a good option.,2025-10-22T05:47:29Z,0,0,en
Ugwro0W2-MYX3pxn6eh4AaABAg,@frankymalts6611,"Not me reading masala, thinking we had indian food coming up. Was excited for it, but was not left dissapointed. As always, amazing content Adam!",2025-10-21T15:22:48Z,0,0,en
Ugy4iTU9tohBQ-fAhPJ4AaABAg,@Zobrombee,"I'm glad to know I'm not the only one who finds the ""account of the game.."" wording to be ridiculous . Thank you for using your platform to bring attention to this very important matter. The chicken and mashed potatoes look tasty too.",2025-10-21T01:55:15Z,0,0,en
UgygHbtxJRbBd9Q8y3J4AaABAg,@DiLLZGFX,Omg I read this as chicken masala 😅😂,2025-10-20T19:39:13Z,0,0,en
Ugy5sJNdNf_3lCeFN0x4AaABAg,@sielaff2112,I knew he was talking about Vivaldi before he even mentioned it by name,2025-10-20T19:02:45Z,0,0,en
UgyWkUS1_H0sbldJ-k54AaABAg,@modiabcomedy,I assumed the NFL thing was a setup for an ad sponsor but it was just Adam taking out some frustration.,2025-10-20T04:19:42Z,0,0,en
UgxZefRtYhGkFTPB_lF4AaABAg,@gabrielmassicotte-rochon9543,"The color brown comes from mosto Cotto  (cooked grape juice) that is added to the wine. It's the color of caramelized sugar. Also, the brown color comes from oxidation, not the barrel aging per se. Burgundy Chardonnays are all aged in oak barrels and are very yellow.",2025-10-20T02:51:04Z,0,0,en
Ugx95WSpKZAvDY9DFqV4AaABAg,@lazerpickle,which olive oil container is that?,2025-10-20T02:35:23Z,0,0,en
UgyKbUGC5HIQo4ybBnZ4AaABAg,@adamJKpunk,🇨🇦,2025-10-19T22:13:56Z,0,0,Other
UgxSM8y6RuN5oIqKjfF4AaABAg,@johnyevo6575,"mashing an entire italian just so you can eat dinner is not only decadent, it's borderline immoral",2025-10-19T18:26:07Z,0,0,en
UgwPc8YNKCyHWc6me6p4AaABAg,@chucktortellini,Looks kinda dirty.,2025-10-19T01:55:36Z,0,0,Other
UgzHq74eBOqmmh-m5Gx4AaABAg,@Hogue_Indiana,"Awesome ideas.  Thanks, Adam.  I'll probably try this with the other Italian brother-gnocchi.",2025-10-19T00:46:26Z,0,0,en
UgxB0YmkdE1LMF2iOTF4AaABAg,@chrisgnx,Sadly my concentrated boil water does not in fact bring all the boys to the yard…,2025-10-19T00:11:51Z,0,0,en
UgwNyNl3g3K3noGgJQt4AaABAg,@thijmen0169,He is back to his cutting board-seasoning days,2025-10-18T21:10:43Z,0,0,en
Ugz_Jm0QyfvnCsAzlup4AaABAg,@Diie89,🗣 VIVALDI MENTIONED,2025-10-18T21:09:16Z,0,0,Other
Ugz7VTFWmhti0M_RA6x4AaABAg,@rafaelwendel1400,I prefer the Tikka Marsala,2025-10-18T21:07:16Z,0,0,en
UgyPum3St4zuaAqZRQt4AaABAg,@reevestrav3355,What if you boil it in milk?,2025-10-18T19:35:13Z,0,0,en
UgyGvpC7iSjqKJAw7BF4AaABAg,@De3533N,Damn Adam would you please get a real effing cutting board. Would a donation help? Your sloppiness makes you hard to watch.,2025-10-18T18:06:01Z,0,0,en
Ugwxrguv6xhrR1QuR-94AaABAg,@bryceneal3136,How many beds do you have Adam?,2025-10-18T17:21:28Z,0,0,en
UgxXahsFUYBNP4zFhgd4AaABAg,@padders1068,"Looks delicious and simple to make, like the potato water idea (my mother used to use it to make the gravy) 🙂🙂😋😋",2025-10-18T15:49:08Z,0,0,en
Ugyz3u0axUpcNum6Wkd4AaABAg,@ishdemon_,It's masala not marsala is what I kept thinking😅,2025-10-18T11:17:24Z,1,0,Other
UgzFJP3BJw0G0Ymw2y54AaABAg,@MrKzspy,Vivaldi!,2025-10-18T11:08:38Z,1,0,Other
UgwhEExBdbmG_ZjvvzJ4AaABAg,@aidanhart9871,Too lumpy ?? Just blitz the sauce then run it through a sieve,2025-10-18T10:34:53Z,2,0,en
UgyKDTysAyVivRwjm7Z4AaABAg,@TinLethax,"Hearing ""Erb"" and ""Centimeter"" in a minutes apart is weird lol",2025-10-18T08:02:08Z,1,0,en
UgygOrNr9sOj5qavnuF4AaABAg,@derekfurst6233,I didn't know there was dry and sweet Marsala. No wonder mine was sickeningly sweet,2025-10-18T06:45:02Z,0,0,en
UgwiIwh5c3wIO3JXk0V4AaABAg,@zianitori,hair game fire today but i'm p sure you knew,2025-10-18T03:25:50Z,0,0,en
UgyVpXAq8gg4md5InPx4AaABAg,@Japan2024-w9e,VIVALDI gang represent,2025-10-18T03:04:18Z,1,0,Other
UgzVvAMn_WHNwLlqfLJ4AaABAg,@simonwi,"Just made this today, turned out great. Easy weeknight meal. Got the wine at BevMo",2025-10-18T02:54:52Z,0,0,en
UgyfBNtjeGb4Ij69X094AaABAg,@RDrakee,Dang what happened Adam? You look like you've gained weight,2025-10-18T02:43:27Z,0,0,en
UgxL0FO2xD0z7GCEMll4AaABAg,@zineeddine7760,vivaldi !!!!!,2025-10-18T02:13:19Z,1,0,Other
UgzIewatZSz5BIiJA5R4AaABAg,@Craxin01,"Looking good.  Don't keep wine in my house, or any alcohol, but I'd seriously consider having a go at this.",2025-10-18T01:04:45Z,0,0,en
UgwCTD52TME1MaY_JeJ4AaABAg,@gutwrenchingdeaths,"Adam, have you tried making th emash with shredded potatoes?",2025-10-17T23:59:31Z,0,0,en
UgyNP4DivNPz12whNjt4AaABAg,@louisng7539,Vivaldi,2025-10-17T23:43:05Z,0,0,Other
UgwBBO8fFHp5Kh_RevR4AaABAg,@AUser73-148,Heres why I season my VIVALDI instead of my marsala,2025-10-17T23:24:17Z,0,0,en
Ugwm6avG__HxynFTvD14AaABAg,@MysticM0,i kind of like that you can tell adam is much more used to an electric stovetop from how he cooks on a gas one,2025-10-17T23:12:53Z,0,0,en
UgyxIH3_8qTg7diXrbN4AaABAg,@millerkriese3064,I immediately thought of Vivaldi when you mentioned turn and burn restaurant content! Such a cool crossover.,2025-10-17T20:58:35Z,1,0,en
UgwX1N2B2MaIWD4Q_DF4AaABAg,@gersonrendon2188,I KNEWWW YOU WERE INSPIRED BY VIVALDI,2025-10-17T19:04:43Z,0,0,Other
Ugzc_Xbu211NS-EwJoB4AaABAg,@Isaac.Eiland-Hall,All of my favorite content creators are mentioning each other! Sandwiches of History did a collab with Max of Tasting History. And now Adam mentions Steve at Vivaldi! lol. Awesome!,2025-10-17T17:39:26Z,1,0,en
UgznwTb0w1ks6UMwlHp4AaABAg,@aerob1033,"I always assumed ""accounts of the game"" meant the actual radio broadcasts, but yeah, that phrasing.  The chicken marsala looks great, might try it out this weekend!",2025-10-17T17:29:52Z,0,0,en
UgxWdRNd5XlmZBxD9A14AaABAg,@jimcooper1251,"The only acceptable way of making a mashed potatoes is this: Wrap each potatoe in a foil and bake it. Skin on. Let them cool, peel them, then pure them through ricer and strainer, then 1:1 ratio butter and heavy cream.",2025-10-17T16:20:37Z,0,0,en
Ugy7cke-eRB84ZdTend4AaABAg,@imtiazbinsiraj4920,Chicken Maashallah ?,2025-10-17T15:46:50Z,0,0,Other
Ugx5a7v-_g3ophr7dvV4AaABAg,@sinkingslowlywithasmile,thanks for the recommendation to this channel @dankyjabo new sub,2025-10-17T15:44:28Z,0,0,en
UgwUlx5I5wHbZ80HLOB4AaABAg,@RandomLearner-ek5xp,"I accidentally found your vegetable 101 video, and I don't know why but I felt really drawn to your video. After binge watching 3 of your videos I realized the fact. You don't have any background music. And man your voice is niceeee. I really liked your style of video making. I am sick of all the commercial cooking channels where they're super distracting with the bgm. Keep it up man.",2025-10-17T15:30:54Z,0,0,en
UgxwXUQVMETLDz7eKE94AaABAg,@outpostcheerfuloyster,"0:05 Can we talk about ""Italian Dinners"", as restaurant signage.
It's a concept from the 1950s and before, where a neighborhood diner has the (normal american) recipes like spag-and-balls, rav, or veal/chicken parm.
(Because it was an Italian/Irish neighborhood.)",2025-10-17T14:50:57Z,0,0,en
UgxYIoUt6rYzs1cNApl4AaABAg,@BubbBlubbii,"portabello can cause cancer if not cooked on high heat btw looks disgusting would never mix mushrooms with chicken fits better with goat/lamb, beef or pork",2025-10-17T14:24:16Z,0,0,en
Ugw_6p2eemn36E5QwnV4AaABAg,@General12th,Hi Adam!,2025-10-17T14:05:23Z,0,0,Other
UgwACxe1vmwFPMz5Cbx4AaABAg,@MrForest_123,Adam why are you using a plastic cutting board?,2025-10-17T13:49:57Z,0,0,en
UgyRk6Tb0hiYoJL4eAV4AaABAg,@peterjensen6844,Pushing mashed potatoes through a sieve is crazyness,2025-10-17T12:57:37Z,0,0,en
Ugwufk93zBrOEnTFREh4AaABAg,@JonaxII,Chicken Tikka Marsala?,2025-10-17T12:28:35Z,0,0,Other
UgxldMxHuODWKoWGoEJ4AaABAg,@franciscopozole,Can I make mash by steaming potatoes?,2025-10-17T12:04:15Z,0,0,en
UgzYY_jTC80RvL_VfuR4AaABAg,@Bixxy,a plastic cutting board?,2025-10-17T11:52:00Z,0,0,en
UgwO4M5dywdJp8WQAz94AaABAg,@nou-jn6uz,"saw chicken marsala, thought of vivaldi, and was not surprised when u shouted them out lol",2025-10-17T11:33:29Z,0,0,en
Ugzc0Pip4cBWBKwGGxh4AaABAg,@TesserId,4:43 Putting the pepper on before the salt.  Must be Kosh....,2025-10-17T10:40:07Z,0,0,en
Ugw5fw0qrmcchsbsGdh4AaABAg,@TesserId,"Somewhere there must be an explanation of how taters get ""gluey"".",2025-10-17T10:34:33Z,1,0,en
UgwDFiYqbOBcz-h3S8d4AaABAg,@Timix2G,vivaldi and you keep the cooking video scene sane :D,2025-10-17T10:23:36Z,0,0,en
UgxRQaWVK-pwvxQxvy94AaABAg,@darrenburke9630,No offence to Italy or anything but as a working chef of thirty years I would say there isn't much skills required to cook Italian food.,2025-10-17T10:06:35Z,0,0,en
Ugy8_LkkuJYhvhjjtgN4AaABAg,@26astr00,Could you add ingredient quantities and instructions to YouTube description? Helps having a list during shopping,2025-10-17T09:53:58Z,0,0,en
UgwZFhVXnUK4dmAVFUt4AaABAg,@backpayne5658,I saw chicken Masala,2025-10-17T08:31:05Z,0,0,Other
UgwwhKhfdbl7NbCDtRZ4AaABAg,@BenjaminBenFisher,"2:23 
Wouldn't it have been nice idea to pour the potato water back in the pot to reduce while passing the mash through the sieve and prepping the chicken? So you could get it concentrated to add to the sauce or add more of it to the mash before microwaving?",2025-10-17T08:18:58Z,0,0,en
UgxJOTmgg0E4ot9iZAN4AaABAg,@ceaselesscomic,Made it tonight. I like to think I was one of the first to follow this video,2025-10-17T08:00:51Z,0,0,en
UgwQkm_3VDcTe4GknVN4AaABAg,@Underscorezeus,Nice to see Adam returning to his roots (seasoning his cutting board),2025-10-17T07:36:58Z,5,0,en
UgzDKrCVUdFpxBa39X94AaABAg,@jf3457,Not Italian,2025-10-17T07:34:06Z,0,0,en
UgzN_U8MT02i6d7LT0h4AaABAg,@NikkiBdraws,"So, I've been mixing up chicken marsala and chicken tikka massala for years, now. I thought this was some kind of Indian-Italian fusion dinner. 🙃",2025-10-17T07:31:05Z,0,0,en
Ugy4Zkw0vBB3mXJsZIp4AaABAg,@kinbeater,mashed potatoes with water sounds insane to me,2025-10-17T07:20:38Z,0,0,en
Ugzk5zPJ_Ao4G1BWf9p4AaABAg,@jobond3317,"I see you like plastic and microplastics in your diet. Not for me, wooden board, yes",2025-10-17T06:56:39Z,0,0,en
UgzEo86tFpc3GnZk_c14AaABAg,@tomdrozdowski140,Vivaldi ‼🗣,2025-10-17T06:55:28Z,0,0,Other
UgxtPKa5mF-FxPd4tfR4AaABAg,@BakerVS,"Genuine question is this a purely American-Italian dish, or does it also exist in Italy? I've never seen it in Italy, but there are so many different dishes there that I wouldn't be surprised to discover it actually exists there.",2025-10-17T06:18:05Z,0,0,en
UgxgJp3QpNVnLF4SbXd4AaABAg,@leponpon6935,French Tikka masala hai,2025-10-17T05:57:09Z,0,0,Other
UgxcZodYSot2Ro0gfyl4AaABAg,@morganchilds9054,vivaldi,2025-10-17T05:30:20Z,0,0,Other
Ugxs9C7X1RZgCrJ722B4AaABAg,@morganchilds9054,vivaldi,2025-10-17T05:30:19Z,0,0,Other
UgxHvVHC4uFi8OJve9V4AaABAg,@damie9412,Nice,2025-10-17T05:18:20Z,0,0,Other
UgwGXjuoDcz4Ekoko654AaABAg,@golgarisoul,does this style of mashed potato work with red potatoes?,2025-10-17T05:09:12Z,0,0,en
UgxVvrHSwnBpXrlVKFd4AaABAg,@joshXnovak1,"I have never had chicken masala because I always associated it with- or confused it with chicken tikka masala. I HATE Indian food, and so because of the weird association/mixup I’ve never had chicken Marsala, which looks and sounds wonderful. P.S. Indian food is gross",2025-10-17T04:42:14Z,0,0,en
Ugw9swvbu6_4FlFBRql4AaABAg,@amak1131,"I do somewhat similar with my mash (keep some water and omit milk) but, I personally leave the skins on and leave them just a bit chunky (sometimes I try to just undercook them a bit so there's some bite but still falls apart easily). Having grown up on the boxed stuff I've since grown to prefer a more rustic style of mash myself over a homogeneous glob and just tastes better imo.",2025-10-17T03:53:36Z,0,0,en
Ugz22VvefVMZvmjKjwR4AaABAg,@myopiniondoesntmatter7068,"Surely people arent using milk in mash for FLAVOUR, its 100% for texture.",2025-10-17T03:53:25Z,1,0,en
UgwYxq73OAdYVbdon5h4AaABAg,@JulienCharbon,Added straight in my yummy recipes list 👍,2025-10-17T03:42:57Z,0,0,en
Ugx9aMtgYxUl7Ruj6WN4AaABAg,@festusssss,Damn that's a lot of butter in one plate of food.,2025-10-17T03:36:39Z,0,1,en
Ugx0MiAoeLQriLwbM5l4AaABAg,@carlosaguirretorres999,U THA GOAT ADAM 🐐,2025-10-17T03:17:08Z,0,0,en
Ugxv8qTGccinI9sJGd94AaABAg,@popshuvfrontnosegrindrever4308,What is that plate?!?,2025-10-17T03:17:02Z,0,0,en
Ugzw8pYTv3s7raeagDF4AaABAg,@suekuarell4685,"i'm just here to see if it's Masala (the spice) or Marsala (the alcohol), i don't even eat meat",2025-10-17T03:00:49Z,0,0,en
UgwjJOhx-sEwxj98UNx4AaABAg,@Eldeecue,Looks good!  I,2025-10-17T02:53:42Z,0,0,Other
UgyFed4hmSvPUuvkDg14AaABAg,@connorspiech309,I wouldn't really say Vivaldi is Montreal but I guess technically it's on the island,2025-10-17T02:46:09Z,0,0,en
Ugy7iMym7W6KWv-PwhJ4AaABAg,@rickybryan1759,Oh god if the NFL are claiming IP over threading gave accounts it’s only a matter of time before they try that in Oz,2025-10-17T02:28:31Z,0,0,en
UgyG8qDxt2e7bBREVXZ4AaABAg,@deadfr0g,"Ahh yes! Chicken marsala, undoubtedly the world’s finest poultry dish that I have to routinely remind myself is _not_ Indian. 😅",2025-10-17T02:14:15Z,1,0,en
Ugw3g7qQ0C6kR95zELR4AaABAg,@Superskull85,I feel like Adam has picked up the pace recently. Which is to say that's not a bad thing but counter what I thought his plan was. It's a welcome surprise though!,2025-10-17T01:57:42Z,0,0,en
Ugyuh7jyw-8OZI6QCAx4AaABAg,@Thethingsofit,"I was literally thinking ""this feels like a Vivaldi recipe"" then you go and name drop him!!  Make the crossover happen, Adam!",2025-10-17T01:52:54Z,13,0,en
Ugy5JeymNXyvmQn-Dyd4AaABAg,@victor29rc,use a ladle to pass stuff through a sieve!,2025-10-17T01:52:33Z,0,0,en
UgzJzdo15z0ixYDS1wR4AaABAg,@alonzobrickman7418,"I enjoyed the video, Chicken (anything) Marsala is among my favorites. Not my business, but I think you need to ditch your Helix bed. Seems like you've been assembling that thing for three or four years now.",2025-10-17T01:51:33Z,0,0,en
UgzCmpqSa8KC89HYxYB4AaABAg,@Gaston-Melchiori,"I learned to do this once and now i make it every weekend, pretty easy, tasty and nutritious. Lets see what twist Adam is going to put on it.",2025-10-17T01:46:36Z,0,0,en
UgxlUH4mA193W4OWgZR4AaABAg,@panduispog,"It's worth dumping some stock or even water or whatever liquid in the pan when mushrooms first go in. Mushrooms have a tendency to just mop up oil if you don't boil out the water first, and paradoxically, adding even a small amount of water helps the mushrooms release theirs. It's a thermal conductivity thing. The water creates steam, the steam makes contact with the water inside the mushrooms, said water gets heated more efficiently than a ""dry"" mushroom, said mushroom then releases it's water.",2025-10-17T01:37:54Z,0,0,en
Ugw0Kgw6rPyqTqQoTQR4AaABAg,@ethanderagon7907,"I really like cutting the potatoes to the size of a clove of garlic, and throwing the cloves of garlic with the potatoes. Then I just mash the garlic into the potatoes. I've found 1 clove of garlic per serving is a decent amount.",2025-10-17T01:34:54Z,0,0,en
UgwGD5JAsbbK-uQ6CRp4AaABAg,@Notreallyanostrich,Happy rn we’ve missed ya,2025-10-17T01:34:19Z,0,0,en
UgxPRlAfa6SZMp3Cua54AaABAg,@Eclyptical,Another Ragusea classic,2025-10-17T01:25:15Z,0,0,en
Ugz3Xjxt4m6U_6e-y1J4AaABAg,@bigfootnintendorazr,Looks great,2025-10-17T01:15:37Z,0,0,Other
UgxPy0JrLf5Owk1-zx14AaABAg,@meme-d2h1g,Would a food mill be easier for the mash?  Or are they a pain to clean or something?,2025-10-17T01:14:12Z,0,0,en
UgxxshxVwY0kOSkXosh4AaABAg,@VladVexlerChat,Thanks so much! My sister will make this for me.,2025-10-17T01:07:48Z,0,0,en
Ugwj82eOoTojdHuZsCd4AaABAg,@BnaBreaker,Conspiracy... *ADAM IS THE VIVALDI BULLHORN VOICE*,2025-10-17T01:00:40Z,2,0,en
UgyFaPg54H_povKHO114AaABAg,@doctormidnight,The Seahawks won last week. Please help with my legal expenses and taking care of my emotional support animal Butter.,2025-10-17T00:54:42Z,0,0,en
Ugy7mgpKEd4-ebi23rB4AaABAg,@nisnast,Vivaldi 🗣️ 🗣️ 🗣️ mentioned!!,2025-10-17T00:53:48Z,0,0,Other
UgwedmcUtAwBav64vbF4AaABAg,@Peyton1218,"I've always thought the ""accounts of"" part of the opening was insane too!",2025-10-17T00:52:22Z,1,0,en
UgyrR3jlImA_QQIQoHl4AaABAg,@benjaelee,Vavaldi 🗣🗣🗣,2025-10-17T00:43:15Z,0,0,Other
UgywhBekpd7OlqiQxnV4AaABAg,@szszkVT,After hearing you mention VIVALDI I expected you to end the video by yelling RAGUSEA,2025-10-17T00:35:29Z,0,0,en
UgwTIEGyuCHbT9yJRjF4AaABAg,@ddmegadodo2,"4:41

Adam seasoning his board still 

Everything is going to be alright",2025-10-17T00:23:57Z,2,1,en
UgyihhxpqBbV3leEHjh4AaABAg,@raytimpson3361,Where can I get that blanket on his bed? I love it.,2025-10-17T00:17:55Z,0,0,en
UgwrONM1NTmp9FQFOH54AaABAg,@nathansmarick1979,A Ragusea-Steve mashup?  Perfect.  Love the mutual respect.,2025-10-17T00:14:19Z,3,0,en
Ugy5huWesLPiDV-bHXB4AaABAg,@Tinil0,Continental?  ....fancy...,2025-10-17T00:09:12Z,0,0,it
UgwAMsSoB2jE47c0UcJ4AaABAg,@nathansmarick1979,Why doesn't he wash his vegetables?  Seriously.,2025-10-17T00:06:45Z,0,1,en
