Comment ID,Author,Content,Publish Date,Like Count,Reply Count,Detected Language
UgyHjJuYfcIejDLBHXB4AaABAg,@aragusea,Thanks to Made In for sponsoring! Made In is offering up to 30% off during their Black Friday Sale. Use my link and get the best deals of the year: https://madein.cc/1125-adamragusea,2025-11-20T19:00:20Z,33,3,en
UgzTIvI5ZIrxAEhH5iV4AaABAg,@superchamp32,"@Adam , put a towel below cutting board so it wont move when you cut the veggies.",2025-11-25T14:47:27Z,0,0,en
UgxnmtcDG-GZMb9a8854AaABAg,@subroy7123,"Easy way to like sweet potatoes: make crispy patatas bravas with them, top them with tomato pesto and aioli 😋😋",2025-11-25T11:31:22Z,0,0,en
Ugx6B3VEfqCy7tjLxXh4AaABAg,@adonixd7876,This is going to be a banger i can tell before watching,2025-11-25T02:18:38Z,0,0,en
Ugy1rPFsWIvHPpCkVjV4AaABAg,@CriticalTechReviews,This is completely fucking unhinged and I'm beyond here for it. I would make this. The pomegranate is genius.,2025-11-25T01:47:57Z,1,0,en
Ugxu9Fhzb_VwfTIMlk54AaABAg,@musoangelo,"On, ""there are other ways"" on the pomegranate seed removal. I'm of the put the cut half (or halves) in a bowl of water and use your fingers. A lot less juice to stain everything. The Pomegranate seeds, also called arils sink to the bottom of the bowl and the pith floats to the top. Just my 2 cents.",2025-11-24T22:52:37Z,0,0,en
UgxXLEqeOxbVfyJuEpl4AaABAg,@Cyblok,"is the colour grading on this video a little odd, like a slightly yellow tint or lower contrast than normal?",2025-11-24T22:21:27Z,0,0,en
UgxgNlYgzBMfh0ZL1PV4AaABAg,@RadicalEdwardStudios,"Re. hard to cut sweet potatoes: If you move the cutting interaction closer to the handle side of the blade, you'll feel like it goes easier. You'll have more leverage, and their resistance will have less. Basically, farther ends of the blade are slicey bits, and closer areas are choppy bits.",2025-11-24T20:03:08Z,0,0,en
Ugx6xOjQPh1Rg0lK6iV4AaABAg,@adnan7698,Not sure about that pomegranate dawg,2025-11-24T14:59:13Z,0,0,en
UgzBPd0jJo2ou-uw2E94AaABAg,@lowsodium9,3:58 Putting the sweet potato in the microwave for 1-2 minutes really helps with cutting,2025-11-24T14:53:07Z,0,0,en
Ugwp4ulTwApUmHZua354AaABAg,@GoyfAscetic,Dang was hoping this would be the video where Adam De-Bones a whole chicken. Oh well vid is still great!,2025-11-24T00:30:57Z,0,0,en
Ugx9_s063boTH3nH--l4AaABAg,@ohiasdxfcghbljokasdjhnfvaw4ehr,turkey leftovers are better than the meal itself.,2025-11-23T20:17:55Z,0,0,en
Ugz3IQf5Y0r_omXoZj54AaABAg,@guardofmartyrs,Doing this for the band,2025-11-23T18:45:01Z,0,0,en
UgzUpL5OxogU5BkoLd94AaABAg,@the_roar384,Ghee works?,2025-11-23T17:05:57Z,0,0,Other
Ugy1WLH-pRSUnKmoNqV4AaABAg,@Jack-gf2id,8:13 chicken look like face,2025-11-23T13:48:20Z,0,0,en
UgxxZx1X5FI5eggpQvh4AaABAg,@kaymojil7669,Thank you sir. Love the safety and small portion advice,2025-11-23T10:17:47Z,0,0,en
UgyG74iwwkmkRqQU2hd4AaABAg,@stoic.3,First time watching one of your videos in a  long time(around 2023) and I still remember the chicken on the right thing 😂😂,2025-11-23T07:04:22Z,0,0,en
Ugw7sY4-VkKdoW45CLt4AaABAg,@yarbles_,Will the wishbone still work if you break it?,2025-11-23T04:37:09Z,0,0,en
Ugy88DPEiDltySTDfIx4AaABAg,@RyansAlwaysEaton,"3:35 Put sweet potatoes in a Japanese curry. Try it! Have you had: sweet potato tempura with sushi, sweet potato fries with chipotle sauce, a bag of smoky sweet potato chips?",2025-11-23T02:18:59Z,0,0,en
Ugx78WCQ2OreAFpKhfp4AaABAg,@ninjis,"Hope you're doing well, sir!",2025-11-23T01:50:35Z,0,0,en
UgyXspAsmznh96BrtlF4AaABAg,@chalor182,I love how Adam doesnt care about the 'right' way to do something hes just cooked so much so frequently at this point that he knows what works and what doesnt matter and hes just so frank about it. Always makes me laugh for some reason,2025-11-23T00:04:53Z,0,0,en
Ugx4Ao79EpNGyP5NrQh4AaABAg,@firaasantar4503,I did this today and I can only recommend it. It’s easy and tastes great. Skipped the pomegranate and carrots because I didn’t feel like it. Thank you Adam,2025-11-22T23:13:59Z,0,0,en
UgwGDSydgAZ7JHsxIVB4AaABAg,@rayong4823,"You're the chef, the king of your kitchen, however for the veg you could par boil then stir fry with some salt and shallot in the butter or veg oil to really bring the sweet potatoes into its own flavour profile. Soft but not mushy is the sweet spot that streaming can't really guarantee every time",2025-11-22T16:34:02Z,0,0,en
UgwbNzAe3URzcNTwNr54AaABAg,@MegaMGstudios,"Adam really makes me wish we never traded our oven for an air fryer. Air fryers are definitely great for daily live, but for special occasions like this it's just too small",2025-11-22T13:53:55Z,0,0,en
