Comment ID,Author,Content,Publish Date,Like Count,Reply Count
Ugwu8b5PO6O5A7qv6XR4AaABAg,@biggooba6706,ofc she iis black,2025-09-26T21:12:23Z,0,0
UgwoHpr0Ds08WCj-L_54AaABAg,@mrs.becomes1234,it took her all of 60 seconds for 20yrs and loss of certification you worked so hard to get..,2025-09-14T23:50:50Z,0,0
UgzL4SinWc_1H7-zsEN4AaABAg,@joycemanning1254,A registered nurse at 19? Not in Canada,2025-09-11T08:09:31Z,0,0
UgyQP-Tu1twoskBv1yF4AaABAg,@Andrea-bx9jq,That guy never had female attention and is loving it lol,2025-09-10T21:56:43Z,0,1
UgyCO22c-xHRbkrXu254AaABAg,@pphonky4644,"This young generation are straight ""Weirdos"".",2025-09-10T19:53:20Z,0,0
UgyyaV71E-Xk8wnYCkl4AaABAg,@RichardWalls-w7k,It's not enough time,2025-09-10T15:16:15Z,0,0
Ugx79__KIUtE0rADzjN4AaABAg,@brigidvanaken9190,This is insane. WTH,2025-09-10T00:21:31Z,0,0
UgxWmgfCWfsxA8BPhx94AaABAg,@Linda-qt8qk,"I’m a nurse and I took the oath that says “ first do no harm “, I don’t know if she took an oath, or decided that it wasn’t for her. This is right up there with depraved. We are supposed to protect our patients with our lives. That woman has to be mentally deranged. Disgusting.",2025-09-09T16:40:15Z,0,0
Ugxv9xeprWO-dv18R054AaABAg,@explorationgmer1336,Nurses needs to stop recording their shit at work.,2025-09-09T15:03:07Z,0,0
UgyPFMixnHWOkwWk9Mt4AaABAg,@leontinen9689,Correct your video this person is not a nurse.,2025-09-09T13:27:45Z,0,0
UgxiTy5qE7LSn9v6Vwt4AaABAg,@cherylk.2474,That man should sue if only for being forced to endure what must have been a horrific smell emanating from a filthy crotch. I will do everything I can to protect the people I love from people like her.,2025-09-09T07:19:30Z,0,0
UgwNP8rupvFIPos9OwR4AaABAg,@teriliebmann3491,💔😢 WTF is wrong with people,2025-09-09T05:07:18Z,0,0
Ugxi8GoQvfBhWZ_2pI94AaABAg,@hopefultraveler3543,Another TikTok trashbag...take her license and lock her up.,2025-09-09T02:49:44Z,0,0
UgzjAaLNToUJL1Sw03h4AaABAg,@BoabdillCruz,Seriously sickening.,2025-09-08T23:04:15Z,0,0
Ugz-uq6m__8koM51rJ54AaABAg,@kathycriss,"She needs to go to prison.  Absolutely lose her license and never be aloud to word in a kind of medical field, caregiver position or with children",2025-09-08T15:57:10Z,2,0
UgzkaQqLPVOiGmPbaAp4AaABAg,@tommcclelland119,"Pure evil.   However, seeing who it is does not surprise me.",2025-09-07T18:35:32Z,0,0
UgwJuOsltAIzLCvg64x4AaABAg,@RW-ik6ij,"Most of these Home Health Care companies simply supply unqualified & untrained workers. Their starting pay is roughly $13.00 per hour with NO background checks. Yet, the companies charge the insurance companies, and the patients, $120.+ per hour. DO NOT TRUST THESE CROOKS!.Demand to see their licence & take a picture of their IDs and driver license!!! Good Luck.",2025-09-07T17:07:50Z,0,0
Ugy3_J0go4nqp7XKGKZ4AaABAg,@lizchei,We are in big trouble ! We need people to care for others . The sad part theirs men that will date and marry woman like this!,2025-09-07T16:06:36Z,0,0
UgxHWWb0MeDGQaEeHpZ4AaABAg,@PinkKitten002,"""The angles make it worse than it actually was""

*press X to doubt*

I have a grandma with moderate dementia who might need to go to a home if i cant care for her better (she requires 24hr care and i have 5 kids to care for too) and 3 of my kids have disabilities any of which might end up in group homes when im elderly and incapable myself (just being realistic) stuff like this is scary af to me",2025-09-07T15:29:50Z,0,0
Ugyuhl4O6un9Fi1JpTV4AaABAg,@New__TranZ__Order,"*Sooooo no one hear is gonna point out how her hair looks like a violent velcro tear????*
*It looks like someone attempted a Bikini Wax on top huh head!!!!*
*This is worse than OCP taking off the helmet to reveal RoboCop's bean head!!!!*
*This is worse than Luke SkyWalker taking off Vader's mask and revealing his daddy's green, egg head!!!!*",2025-09-07T02:28:02Z,0,0
Ugwk6VqTnalh93cAZt54AaABAg,@Jean-e6y,Just because someone can say yes or no doesn't mean they can articulate their feelings to a family member to tell what's happening.,2025-09-06T13:00:29Z,0,0
UgyZU0CkUoXDwaInnO14AaABAg,@bobbierichardson3960,So very disrespectful.. Good for her dumbssa..need to be n jail..what happened to HIPAA?? Who give medication like that??maybe tik tok can get her a good lawyer..,2025-09-05T15:34:15Z,0,0
UgwsqLtueQwjcqB4XAJ4AaABAg,@xAndromedaaxx,"Exactly as you said, you can talk and still not be cognitively in tact enough to make your own decisions. This behavior is sickening and I hope those patients are okay. If she thought that behavior was okay, I truly hope there wasn’t other disgusting behavior she did with them that WASN’T posted. 

I hope those patients are okay 🥺",2025-09-03T20:00:22Z,0,0
UgypPscByWV6_SJdkcR4AaABAg,@KarenDockery-o3c,Evil incarnate.  Needs jail time. Long jail time. Liar too. Mentally unstable.,2025-09-03T16:56:51Z,0,0
UgyYNRRMx2knK8u874J4AaABAg,@LynnVirden,"Maybe stop paying for the stupid stuff.
Who ever pays her should have to answer for it..the online people",2025-09-03T14:55:38Z,0,0
UgxcIAEY8Pd0J9Sn6-R4AaABAg,@Ginger315,I wouldn't trust anyone with nails like that.,2025-09-02T22:01:39Z,0,0
UgyzhckgpuNDxCwfPrN4AaABAg,@lovehopefully5463,If dumbass was a person,2025-09-02T19:17:48Z,0,0
UgzUhPgrfLeQz70ZXot4AaABAg,@Sarcastic165,She’s a CNA not a nurse.,2025-09-01T14:27:46Z,0,0
UgzvVSQGHI0zgT0QBzp4AaABAg,@RichardMcNab-z7n,I don’t think this is a nurse.,2025-09-01T11:39:15Z,0,0
UgyOySqGiya-ieV2Lo14AaABAg,@Victoria28057,She's so dumb. After all she had to do to be a nurse she's about to lose everything for being ghetto🤦 She definitely needs to go to jail.,2025-09-01T10:58:57Z,1,0
Ugzb6bzE0jxu-yG7Bu14AaABAg,@GODSWORD-i1b,"2 Corinthians 4:4 KJV
In whom the god of this world hath blinded the minds of them which believe not, lest the light of the glorious gospel of Christ, who is the image of God, should shine unto them.",2025-09-01T01:11:57Z,0,0
