Comment ID,Author,Content,Publish Date,Like Count,Reply Count,Detected Language
Ugz6ZgjYQuE94Gwv2Qx4AaABAg,@reneramirez6638,He looks like that crackhead from the new horror movie (WEAPONS),2025-10-17T14:43:02Z,0,0,en
UgwBuK7rsHs_W-hlX8x4AaABAg,@ishtlutz1261,2018? That’s not when the incident occurred at all & that’s not when he got incarcerated. He’s been incarcerated since 2013 right after he was arrested. they let him sit for 5 years locked up before he was CONVICTED in 2019.,2025-07-28T18:30:37Z,0,0,en
UgwX0SQgiJpH5yepLqR4AaABAg,@ishtlutz1261,He didn’t later claim he was assualted. He stated that the man assaulted him right away. You can see the interrogation video yourself.,2025-07-28T18:29:03Z,0,0,en
Ugw3Q-Mmi1PQyP2okoB4AaABAg,@oscariinR,The lack of empathy and compassion for another humans life should tell you everything you need to know about a person!,2025-06-05T06:27:11Z,0,0,en
Ugz8nNARRqFXLjkTuil4AaABAg,@kirbyunknown4138,Those hitch hikers get around. That dude was in Rhode Island three weeks before the smash video.,2025-05-30T11:52:21Z,0,0,en
Ugw6o-E2excEP5C2OcN4AaABAg,@duchaneaux,"Long story short, Kai's in prison.",2025-05-24T01:09:37Z,0,0,en
UgwU9x_j0iubIq7S_El4AaABAg,@germanwojtek3576,He lived long enough to become the villain,2025-05-23T10:40:42Z,3,0,en
UgxODMTHcQ_fpwBGubp4AaABAg,@ACEfromVisa559,I bet that first story he told is pretty far from the truth,2025-05-23T10:24:57Z,0,0,en
UgxtShqZuXbi0gtY2FB4AaABAg,@KimCheongBRO,"It wasn't murder, he was raped and defended himself against the rapist",2025-05-22T22:39:48Z,0,0,en
UgzHOWzZwIGXy4KhO3p4AaABAg,@B2street,That old guy tried raping him,2025-05-22T01:29:07Z,0,0,en
UgwC_l3tcuzVKw21oYp4AaABAg,@jeffreydaleman7966,Youre like 15 years late but yeah lmao,2025-05-21T16:18:36Z,0,0,en
UgyLGopACt6KwCDTC9t4AaABAg,@snarkymoosesshack8793,How gross.. A short appeared on my timeline.,2025-05-21T10:10:14Z,0,0,en
Ugx73TPFBne03bWOhWB4AaABAg,@mellowjeje13,I was just thinking about Kai!,2025-05-20T18:44:14Z,0,0,en
UgzfVjnr5rp2Iu_ufYJ4AaABAg,@PatienceMarie88,This is what math does to people. Replace the a with e. They had a math meet-up that ended in death.,2025-05-20T02:33:18Z,0,0,en
UgzvmUm7oz4jEHf6Z894AaABAg,@marcotomat149,He has never changed.,2025-05-19T19:05:15Z,1,0,en
UgzPE7EiScs1Qjex7pN4AaABAg,@saifespaice7368,Please do a video on imallex,2025-05-19T15:59:15Z,0,0,Other
UgzQjP5WzdHyG6UvSyV4AaABAg,@torccchaser6712,haahaahahahahahahahahahahahahahahahahahahaa,2025-05-19T08:59:36Z,0,0,Other
UgwVTNDTV3EN7gmfTU54AaABAg,@ZanderReign,He was the Smasher,2025-05-19T05:10:01Z,0,0,en
Ugw1a8I4JRchuQi8ASx4AaABAg,@timothybain9223,He was gay and talked dudes into helping him then killed them.,2025-05-18T12:43:20Z,0,0,en
UgzSUfCxdSwbeW6d4DF4AaABAg,@tedsmalldik3248,"Use to be cool, now I hope he sleeps for good",2025-05-18T12:41:15Z,0,0,en
UgxAZDAOhwkv7YLM4RB4AaABAg,@m3m3sis,How can inmates afford extra lawsuits?,2025-05-18T05:00:00Z,0,0,en
Ugz2DIdc7yHNstWyf2d4AaABAg,@crakkbone,That guy is from my home town 😂 my brother Chris met him.,2025-05-18T04:41:10Z,0,0,en
Ugy7gQKBqQlf9G_h8md4AaABAg,@Camden_CountyBatman89,he’s locked up where I use to work kids completely done in the head and he’s not all that in jail either the most nerve wrecking punk anyone’s seen,2025-05-17T05:44:38Z,0,0,en
UgzyQOKaQiRrOr-BmGV4AaABAg,@Tweakthedevourer,Dudes documentary went crazy,2025-05-16T17:55:18Z,0,0,en
Ugynds81SQ8aNPj3DTl4AaABAg,@ehnoobsemaj7774,The man who attacked the woman was drugged by Kai. Kai offered the man cannabis he had laced. He bragged about it to people afterwards,2025-05-16T17:09:00Z,0,0,en
UgyQtVDRRuk6mqxII5h4AaABAg,@dylanjwicklund92,"I always thought I gave that dude spice or something. Because he talks about how he split a joint with him. And then dude goes all crazy. You look high in that interview. What are you on? What did you possibly give that man? That made him freak out. Is my opinion because they never tested him for anything?
And it's kinda weird that the man just snaps like that and tries to kill some people, but not the person next to him.",2025-05-16T14:19:44Z,0,0,en
UgzAjqT7ZIZhUPPEG_d4AaABAg,@Twizzler-c2l,Technically the clip and the fame came after the murder not before,2025-05-16T12:52:21Z,0,0,en
UgwAf9V8Jx5Hn7TAd994AaABAg,@WWF_WCW_ECW,He seems like a really chill dude,2025-05-16T11:06:26Z,0,0,en
UgxsJN-FZB_Ec8D4WLh4AaABAg,@DeadMeat991,Every scumbag has a hero or sob story.,2025-05-16T06:51:45Z,13,0,en
Ugy4jF6nH_10rjMdOIR4AaABAg,@angelquintanilla1877,I've lived long enough to see my heroes turn to zeros.,2025-05-16T06:43:34Z,18,5,en
UgwWgvkDwf3FVKJU4G54AaABAg,@akashmohan999,He definitely seems like a mentally unstable character with schizophrenia.,2025-05-16T06:18:15Z,0,0,en
Ugx1Nykr7RjHcUs3m054AaABAg,@yegfreethinker,I knew this guy in Edmonton. He was really nice guy like I don't think he would have done this unless he had some good reason or some kind of really horrible thing done to him motivating him. frankly I believe his story about the lawyer being abusive towards him.  he's a good guy. Caleb is a really awesome guy. wish there was something I could do to help him to get his sentence commuted or something,2025-05-16T05:17:34Z,1,1,en
UgxlAK5sJju3gaev6AF4AaABAg,@YoureNotMySupervisor,He's getting SUHMASHED from behind,2025-05-16T05:15:09Z,2,1,en
UgyYoc5dQ590N-LYQJx4AaABAg,@mennaknight,"He's giving free throat hugs in prison now, he earned that fate.",2025-05-16T05:04:04Z,0,0,en
Ugyzo_Gfhj2rVjjLuwB4AaABAg,@king_of_codbo255,This is no different than the nirvana baby sueing nirvana for some reason,2025-05-16T05:03:03Z,0,0,en
UgyRToWRhufFqo-d79h4AaABAg,@TheAntMan2023,They made a documentary on his because he murdered some dude right after cuz the gay dude wanted his booty and he was like stab stab stab stab,2025-05-16T01:55:37Z,0,0,en
Ugx6ZPr6Mt4PEIaDLj54AaABAg,@DaughtersofLilith52,I believe the attourney wanted to smash,2025-05-16T01:28:33Z,0,0,en
UgxHlTiirAqztmC9P494AaABAg,@BlueWolff22,"There isn’t a reason to say “allegedly” in this case. The dude was convicted for murder he can’t successfully sue you for saying he committed said murder. I think it’s very very sad that we can have literal video evidence showing someone did 100% do the crime yet we can’t say they 100% did it. 
To my knowledge this isn’t even how defamation works because you have to prove malicious intent or negligence/failure to do proper research. You can’t just sue someone of saying something that was widely and reasonably believed to be the truth.",2025-05-16T01:27:52Z,5,3,en
Ugwl7KPAEGX_Sy8Y2yd4AaABAg,@kanesmith8271,"Kai drugged the man in the car and used it as an excuse to kill him, so he murdered 2 people",2025-05-16T00:37:42Z,0,0,en
UgxFoCGf-2ZLMpZmash4AaABAg,@brokensoul8390,"Might as well just replace the K-word or anything associated with death with ""Hamburger Time""",2025-05-16T00:15:31Z,0,0,en
Ugwyo-38mW5qTmSbL054AaABAg,@mario_mene,"Ultra long distance runners have unique friendly microbiota that help them do long distance running; homeless people also have ""unique"" ""friends"" that help them be homeless.",2025-05-15T23:14:42Z,0,0,en
UgwPTm42uV-uN5fNHYx4AaABAg,@reuben1798,It’s so wrong. He never should’ve been in prison.,2025-05-15T21:39:29Z,0,0,en
UgwfWsq1OT3wqvzUzHZ4AaABAg,@Pipizzakitchen,"He now has a roommate who runs up behind him in the shower- smash,smash, sa-MASH!!",2025-05-15T21:01:27Z,0,0,en
UgyOjHpKPpZIhZ1dO_14AaABAg,@bakedwithrealchez,Imagine if this guy had 30 million,2025-05-15T18:11:59Z,0,2,en
Ugx9cWlQSY8UWb8wDYl4AaABAg,@AnX0256,Now he's trying to sue Theo Von for millions of dollars while in prison ha,2025-05-15T18:02:14Z,10,1,en
UgwnVroZgUWV5nhQZJl4AaABAg,@thunderbee,Bro still has energy to sue Theo von somehow.,2025-05-15T17:58:26Z,169,28,en
UgwvQCQlJTSo5wb4vmN4AaABAg,@dosop8936,"Poor guy all the free food, shelter, and sex he could ever want for the rest of his life. Sounds like his homeless gay ass hit the lottery",2025-05-15T17:52:07Z,0,0,en
UgwIZcIhuxgZXiRCbaR4AaABAg,@stevenswapp4768,"You can't say ""killing""? 
I was like ""what did he do to that 73 year old man to the point that he was terminally, fatally, and critically dead???""  🤣🤣🤣",2025-05-15T17:48:22Z,9,5,en
UgworEaiO0VeiKYM8HZ4AaABAg,@patrickmccleary1144,"Yeah this was over 5 years ago I think everyone pretty much knows about it, so what's the point? I want to hear about the dude in Korea not about this homeless dude that's obviously homophobic.",2025-05-15T17:30:16Z,1,4,en
UgwU_0WNY-9chN6bVXZ4AaABAg,@goaway3717,Given his own testimony he's a sneak punk.  I presume he led a gay old man on for money and then decided not to commit to whatever he agreed to and chose to kill him instead.,2025-05-15T17:22:37Z,111,15,en
Ugxu_FGN5A1edj1RONt4AaABAg,@viChin0bi,"He was famous because he was interviewed after supposedly saving someone. He has mental health issues (I think schizophrenia), tanked his opportunity to cash in on his fame(cause he’s also an alcoholic), and then murdered someone that took him in that he accused of R-wording him. There’s a documentary on him somewhere. It’s a wild story.",2025-05-15T17:18:36Z,135,6,en
UgzGdYgAi-Jow-rciyJ4AaABAg,@yung_bonsai,"If I remember correctly, the old man was known for preying on homeless young men for sexual favors, and Hitchhiker was put in a situation where he was potentially going to be raped. IDK though.",2025-05-15T17:18:03Z,0,0,en
UgxhaI3XttfHDDaLMJd4AaABAg,@edmundherrera3055,Ok,2025-05-15T17:16:01Z,0,0,Other
UgxQudLZxY9AoUnTAVR4AaABAg,@pyroromancer,Just look at them he has the hair of a Karen and a headband of one too. The universal rule of don't trust anyone that looks weird applies,2025-05-15T17:14:44Z,7,5,en
UgzITFgoKRwdwjz5s8Z4AaABAg,@larryc5252,Just look at his eyes he is evil.,2025-05-15T17:06:53Z,9,0,en
UgyMdNfbZDCjubonBH94AaABAg,@snegglederlickton1637,this was like ages and ages ago bro,2025-05-15T17:04:41Z,26,11,en
Ugx-WTRR4SGlHh4YxwB4AaABAg,@MaxStevenson-ih5ji,"shoulda stopped at one. This is why i don't hitch hike, or pick em up either.",2025-05-15T17:04:24Z,25,3,en
UgwCSr5ooMS9DrWu9tl4AaABAg,@spoony391,Bro im not sure why he got popular  57 years tho sheesh,2025-05-15T17:03:00Z,2,1,en
