Comment ID,Author,Content,Publish Date,Like Count,Reply Count
UgymGAzdH3lfmkRppWB4AaABAg,@joegagnon2268,Joe would of destroyed the guy and look at those pupils and that funking nose,2025-09-14T00:26:41Z,0,0
UgwB7zrLU7zZP30lo5F4AaABAg,@DAS_ICE_MAN,From even from a year or two on podcasts to now he looks like he aged 15 years .. guys on borrowed time,2025-08-04T03:32:13Z,0,0
UgwMQ2NyP3UWIt34Col4AaABAg,@JacobTFuller,Thankyou for repeating information we've already known,2025-08-02T15:49:56Z,0,0
UgwWdghK-O1SHOF55cV4AaABAg,@animalian01,Joe Rogan would beat liverkings ass without even trying. Rogan is a legitimate martial artist.,2025-08-02T12:48:21Z,1,0
UgzexXdXQBmGAc8En154AaABAg,@stak81,Not surprising to hear Rogan cried like a bitch to the cops about being threatened.,2025-08-02T04:38:11Z,0,0
UgyD9T7xvz1roicOA3B4AaABAg,@citypopradioFM,"He aged 30 years in 3 years because of all that HGH, roids, and everything else these guys are on.",2025-08-01T15:06:23Z,0,0
Ugzb3PPAljEvGbmFxB14AaABAg,@JordanDragonAs,So I hear was Joe Rogan is a coward,2025-08-01T08:48:34Z,0,1
UgwgR1_ghEtbF6FRdG94AaABAg,@Basementjacks,"First of all, that liver dude drove up to the state Joe was in and wanted to get on the podcast therefore he has a restraining order. So now after the restraining order he asked Joe for a fight since he can't go near Joe. I don't know who made this roided up guy famous.",2025-08-01T08:37:59Z,0,0
UgxbBwT92sut7Kp-MW94AaABAg,@master6435,Won't that vibration machine damage the gps tracker?,2025-08-01T07:24:35Z,0,1
Ugw91GU7KeeO09aZAyN4AaABAg,@TensaDLuffy1776,"Liver King was fxckin stalking Joe, wish I was joking",2025-08-01T06:51:20Z,9,0
UgxozshMwpOkqyiLowB4AaABAg,@moses6248,Lmfao he lucky Joe didn't accept a fight man. Has he really not seen Joe's kicks 😂,2025-08-01T04:20:18Z,5,0
UgznA8GkeRLUcbSzBAd4AaABAg,@Kfend72638,Joe didn’t even say anything that was that bad,2025-08-01T03:09:09Z,0,0
Ugyy8aemY0PZyN1Wqlx4AaABAg,@Aaron-hb9xp,What’s wrong with America in a NUT shell. lol Maybe look into the STEROID EPIDEMIC that going on in your country. Y’all think he’s obtaining these drugs legally from a doctor?!?!  America is a real phucked up country.,2025-08-01T02:26:04Z,1,0
UgyVpN0ub4y6cuMqS4V4AaABAg,@dalenadwodny2915,THE LIVER QUEEN LOOKS LIKE HIS LIVER IS DONE. THE ROIDS HAVE DONE THERE DAMAGE. PLUS HE IS NUTTY AS A FRUIT CAKE.,2025-07-31T21:51:04Z,0,0
Ugwc7kRLHpVIC509x7p4AaABAg,@kewlrainman,he shouldve atleast boxed him i think rogan pussed out,2025-07-31T20:45:40Z,0,0
UgxZidTNGdiWmAeqrxB4AaABAg,@xxxjixxystixxx4164,"I just hate how quickly and well the judicial system works for the wealthy. A man, woman, boy or girl could be getting stalked. Harassed. Threatened for months and wouldnt get their restraining order. But they got him locked up. Out on expensive bond with pretty ankle jewelry to protect the other party. Shame",2025-07-31T20:39:15Z,0,0
UgxTOfGTidNCML2iEYh4AaABAg,@Norbit-e2o,"Joe would delete his liver in 1 kick.
Liver King is weak. he takes steroids and eats raw meat. his physical is a mess.",2025-07-31T19:28:15Z,0,0
UgxeWuncWyjyPBZ-6Bx4AaABAg,@BUTTGUPPY,"HEY ATOZY .... I HAVE JUST SEEN YOU ON NETFLIX 😂😂😂

You were on the Trainwrecks Area 51 Episode 2 for about 1 second. You were dressed in the astronaut costume 😂😂😂

Legend",2025-07-31T19:05:57Z,0,0
Ugwo_gvEQLxg6KmZQqN4AaABAg,@ChaseFrancis-ld9eg,Dude has obvious brain damage. One of his pupils is dilated and another is normal. HE’S COOKED,2025-07-31T16:27:46Z,0,1
UgxieC6kpBKvS8i4cm54AaABAg,@wreagfe,Ah so this is the guy the normies referred to when I'd tell them I eat raw liver for health reasons. Had no clue who this guy was.,2025-07-31T16:06:21Z,0,0
