Comment ID,Author,Content,Publish Date,Like Count,Reply Count,Detected Language
Ugz33KYR79WvA2y0VhN4AaABAg,@atozy,incase you are feeling dejavu I posted a 2nd version of this short I posted yesterday as I wasn't fully satisfied with the intro of it. Either way thank you so much for stopping by and supporting the channel!,2025-08-05T12:37:42Z,37,0,en
UgyMeB6zkjLF7Pd8x1d4AaABAg,@ballsonyachin420,I blame it on the GPS lady lol,2025-09-25T14:22:30Z,0,0,en
UgyG7RgqG4t_YsaB2Sh4AaABAg,@dh1752,"A trial run to see what the response time would be, terrorists will pay unsuspected morons to do stuff like this so they can plan for whatever they’re up to",2025-09-17T00:06:03Z,0,0,en
UgxDLEQdhun_WR-t2kd4AaABAg,@0VAK1LL,He got his licence in California 😊,2025-09-11T10:57:14Z,0,0,en
Ugw2jyRFvsOh-eSjlbR4AaABAg,@AriesFireTiger,Blame Google Maps. That shit tries to take me down agricultural roads(ie tractors only) all the damn time when I'm delivering in the farmlands,2025-08-22T20:36:47Z,0,0,en
UgzN0sg-znHNB2LNwrZ4AaABAg,@JillPenton,"I got lost in St. John’s and ended up going towards the wharf three times because my gps is retarded. Same thing in old town Ottawa.  Calgary is a mess during construction, and for all three it’s so frustrating when you see where you need to go and can’t get there",2025-08-12T00:59:41Z,0,0,en
Ugy0NVbeexNtOrOA1nB4AaABAg,@Anonymous-y7k2x,"I have gotten lost like this, armed men waved me down to get me to turn around. I somehow ignored all the trespassing signs. I was an inexperienced driver in my defense",2025-08-10T13:25:12Z,0,0,en
Ugw0SDpd_gxfnlv9x294AaABAg,@Commonsensible8,OUTSTANDING security!!!,2025-08-09T05:37:45Z,1,0,en
UgzxgMDlROx_mxdLmtR4AaABAg,@Denra5058,This just shows how useless and incompetent TSA really is.,2025-08-08T00:56:26Z,0,0,en
UgwsrB04hhKslMge1ix4AaABAg,@duhbullb,"""Yeah bro im up here, see me in the window 👋""",2025-08-06T23:22:44Z,4,0,en
