Comment ID,Author,Content,Publish Date,Like Count,Reply Count,Detected Language
Ugx_hq1NkA31Nnedwjx4AaABAg,@HarryFlashmanVC,This is absolutely awful.,2025-11-17T13:00:25Z,0,0,en
UgyFFc09QeJZweQH1Hp4AaABAg,@irakatski,"What a shock it's another POS living in Miami. Hey guys STOP buying courses, this is exactly the type of people that sell them.",2025-11-10T18:22:57Z,0,0,en
Ugz14o_nP0AXtUnRMeZ4AaABAg,@Puppalump,Hey if u know them. Krill em,2025-11-09T15:23:02Z,0,0,en
Ugy6dUfSdPdYRw5zPpV4AaABAg,@johannabaez1900,"The person who told the stage four cancer streamer, should be careful what he should tell him to play because that is unacceptable",2025-11-07T12:09:27Z,0,0,en
UgzmhVg_IVeiD3LT9FF4AaABAg,@peachesnola7860,"My god, this is absolutely horrendous.",2025-10-30T06:16:46Z,0,0,en
UgygUYdAgpBbZuCaOgN4AaABAg,@EndPoliceBrutailty,My beloved dad died of cancer. People like this guy don't deserve their freedom. 😠,2025-10-25T13:24:48Z,3,0,en
UgxoT9W10qmW4Rs_Cyp4AaABAg,@Ashfleethe_II,And the malware was.... you might want to sit down for this....MADE BY AI,2025-10-24T15:01:42Z,0,0,en
UgxfwkLvlpNRyiBMHBB4AaABAg,@ssjhasuun4177,"The dudes crying legit had me feeling my heart break, what a goddamn scumbag.
I hope he's in jail right now.",2025-10-24T11:35:22Z,0,0,en
UgyqRryG1dJZTAGaUvd4AaABAg,@Dlod37-xi8uv,Bro is gonna get backshots in prison 😂😂,2025-10-24T03:36:51Z,0,0,en
UgwezP5QqQlS-epLTpp4AaABAg,@JamieWhite-z5n,The guy that did it is an ai GENERATED moron,2025-10-22T10:46:26Z,1,0,en
UgzD3DPm0JSfDwdW32B4AaABAg,@emperorpalpatine2957,GF definitely knows. She doesn't care because she's likely only there for his money. The moment he starts losing it all she'll definitely dump him and find some other golden thigh to cling to.,2025-10-22T10:30:25Z,0,0,en
Ugz2FM6liemIELY56XR4AaABAg,@programquestion,"Don't care crypto are for money laundering mostly for self proclaimed millionaire. Report to the local law agency institute and let them find out, at least if they commit tax fraud or evasion throw them in jail since mostly crypto are use for these purposes😂",2025-10-21T01:49:59Z,0,0,en
Ugw5hhBQ3zU3T_u0xVJ4AaABAg,@d.spight76,"I don't condone stealing. I HATE stealing. 

But there's a path that I personally made I'm dead surprised Valentino took. 

1. There was a path where he left the cancer patient alone and found a better easy target.

2. There was a path where he said ""IDGAF"" and steal from the cancer patient.

He chose #2 path. Like whoever raised that man to do something like that, sold his soul to the devil and decided to raise a monster. Like I'm so upset that something like that had to happen to a cancer patient. He probably would've got arrested regardless of the path he took, but doing it to a cancer patient is like a devil with no heart. It's outrageous. 

I'm glad the cancer patient  got a happy ending.",2025-10-20T23:45:55Z,0,0,en
UgxehXKWUC0p-l90m5x4AaABAg,@Dr.Luka-DanteGodofMischief,"This is absolutely disgusting and evil, he deserves an ass whooping for that and I dont condone violence but that mans tears broke my heart especially since i jave lost multiple family members to cancer and my bestfriend lost both his parents to Cancer..",2025-10-19T23:33:55Z,0,0,en
UgzdrBAuAJxBMPMpMuN4AaABAg,@GoJi-mire,Put him to a medieval torture chamber and make it 10x worse for him,2025-10-18T11:37:40Z,0,0,en
UgxhIIDLscSQU7_wPlZ4AaABAg,@JaylanxYT,"The dude who abused his dog live on stream was found and arrested pretty quickly, only a matter of time for this guy",2025-10-17T19:07:05Z,0,0,en
UgyhEJdaMtR7QZ5ciEV4AaABAg,@BrassCat82,"If you're on TikTok, congratulations, you're part of the most disgusting and idiotic platform available.
Do better.",2025-10-17T05:39:01Z,0,0,en
UgwdDdx-JAnOsEj1DCh4AaABAg,@TacticalGearFanboi,"I’ve actually seen some comments online blaming the victim. 

Saying things like, “keep crying loser” and “he should focusing on his treatment instead of playing games”

Oh, last I checked, the whole reason he’s playing games is to raise money for his treatment 

Humanity was a mistake",2025-10-16T21:11:31Z,0,0,en
UgwSVw1zpDNOL9JoWXd4AaABAg,@dead.ahead_sonya.parker.1,The average Absolute Batman villain,2025-10-16T11:26:34Z,0,0,en
UgwPe_k956AIk8o4tb94AaABAg,@mattnickles6371,I really want to bring back keelhauling,2025-10-15T20:09:34Z,0,0,en
UgzbwkCRQMX8WtU-Trl4AaABAg,@Newcenturion100,I hope they go medieval on him in jail.,2025-10-15T19:04:41Z,0,0,en
UgxWmYjeQ5YXdCKpM4h4AaABAg,@oscarmanzanoserna3115,He should be charged for attempted murder. He knew damn well what that money was for and still decided to steal it and potentially condemn the guy to death.,2025-10-15T15:41:23Z,1,0,en
UgyF4LOugmQbi8cSVBJ4AaABAg,@monkey-manish,sending that scammer to hell is too generous ngl,2025-10-14T23:06:22Z,0,0,en
UgzftLQVw8bDQWGET4V4AaABAg,@greatveemon2,It still sad we need to still doing a fundraising to help people to live longer. Every person deserves a proper healthcare.,2025-10-14T06:58:30Z,2,0,en
Ugy27PDfuKF4HbLX47h4AaABAg,@CheapAngler,That should be an Attempted Murder charge,2025-10-14T06:54:04Z,2,0,en
UgxW1fUMUQFV_JYFE114AaABAg,@gaming1zanagi-1999,What an absolute scum. Seriously it is one thing from stealing 30K from someone and it is another entirely from stealing 30K from a cancer patient,2025-10-14T02:46:51Z,0,0,en
Ugwy5xuZozuD68bF71t4AaABAg,@ChrisTwooo,"if you seriously do something like this, not even the worst forms of punishments are good enough for you. you deserve far worse.",2025-10-13T21:58:54Z,0,0,en
UgynSTFDh2aKwCT0q-V4AaABAg,@X_Tyrant,bruh he claims he was framed but he deletes all of his pictures in websites and app on social media and post that video? Big L,2025-10-13T17:00:43Z,0,0,en
UgyDZS9bfYvbPLs7Zv94AaABAg,@anthonycolon823,"The crypto thief has been reported to ICE--
Yeah I know;
Fucking ICE, of all people.",2025-10-13T08:06:22Z,0,0,en
UgyyFb3mnwMWuHWzseF4AaABAg,@renegadebikersol2936,Im very glad the scammers face etc is out there now. Life is not gonna be easy for him and that makes my heart feel a lil warm.,2025-10-13T06:40:41Z,0,0,en
Ugxhb4QsaCALcLSVL-J4AaABAg,@jannalyzer3944,The twist is he got Cancer in prison. Its the kind that eats you from the inside and the pain varies,2025-10-12T13:16:57Z,0,0,en
Ugwfn2B9dPHEb9AzIzB4AaABAg,@ssctiyo4735,"My word of advice to that guy, dont drop your soap buddy",2025-10-12T08:43:37Z,0,0,en
Ugzo-u8DAZMa9ZXKVRx4AaABAg,@georgevaladez3843,How is this man not kicked in the nuts yet,2025-10-11T08:50:46Z,0,0,en
UgwZ4sjCPC41vBrtfWR4AaABAg,@Steward10237,Capitalism has destroyed the soul of Americans.,2025-10-11T00:27:01Z,1,0,en
UgyZbaedvjERK7_P3QZ4AaABAg,@SnoopySnoopy0,"Dude, deserves life behind bars and blacklisted from all online communities",2025-10-11T00:08:35Z,0,0,en
Ugwl2V9zjd6Wa3wPEDx4AaABAg,@jesterparadox,Even an Indian scammer would feel bad for the cancer dude,2025-10-10T17:40:18Z,1,0,en
UgxcP-SOCdO2SgURkat4AaABAg,@KiyomiScarlet,Scammer deserve to perish,2025-10-10T09:21:36Z,1,0,en
Ugz57A-5qbncQUwGVCV4AaABAg,@Charmander-r4b,"That guy is literally a sick scumbag. How pathetic do you have to be to scam someone, let alone a CANCER patient desperately needing the money to get their life saved!! Waste of space if you asked me. The punishment should be: pay back every cent, idc what happens to you. After that, no one would need or want them here so the death penalty would be fantastic.",2025-10-10T05:47:34Z,0,0,en
UgxGKFGOea3G5vNs9M54AaABAg,@tronist,just send him to the guillotine,2025-10-09T11:00:13Z,0,0,en
Ugx3xPtLXkxsI5MvwXV4AaABAg,@clurksy1,This is 4chan justice all over again.,2025-10-08T16:00:05Z,1,0,en
Ugyr-oWO_J9PeVwV7st4AaABAg,@Itsjrbcd7,Scamming cancer patients makes me sick! I hope he faces full punishment from the law.,2025-10-08T09:09:15Z,0,0,en
UgwdhTX-onTqBufCYKl4AaABAg,@MapleZhang-b1l,That's just evil...,2025-10-08T08:59:36Z,0,0,Other
Ugyh9DoNLOa3InU2mn94AaABAg,@GRgaming24pvz,Dumb scumbag deserves to be in jail,2025-10-08T05:17:37Z,0,0,en
Ugxa69dWdVvp-h-80xB4AaABAg,@citisin2664,The way that kid cried. Fucking crushed me.,2025-10-07T20:40:34Z,0,0,en
UgzqctxMpIWtKYeZM2h4AaABAg,@zenlife2u,I hope that guy that stole from this cancer patient is in hell it makes me angry!,2025-10-07T15:11:52Z,0,0,en
UgxnzW0tGh_ACU8EVJ94AaABAg,@joshakaoger69,As someone who has had cancer I hope this POS gets everything coming to him 🤬 if watching this on the inside you know what to do 😂,2025-10-07T09:14:38Z,0,0,en
Ugx_Xs_ghnzOLFJBNmB4AaABAg,@StoneKnight1,"Sad, the more ppl catch on ""used my image"" the more frauds we will get",2025-10-07T06:55:59Z,0,0,en
Ugwpe9LWfX8_HzYGptt4AaABAg,@jeremycheong8036,"People scamming are so low IQ. We don’t live forever, and if there is a creator you will be marked as one of those broken toys.",2025-10-07T01:56:38Z,0,0,en
