Comment ID,Author,Content,Publish Date,Like Count,Reply Count,Detected Language
Ugxsm1CXoTaI5B_S5CR4AaABAg,@haithamallam260,"I don't know about the mango you ate in this video but you should definitely visit Egypt during the mango season totally organic, super sweet and fleshy and meaty excellent flavor and way more cheaper to the point that you can buy around 20 kilos for less price tag.
fruit in Egypt is way more flavorful specially mango and watermelons.
try it and you won't regret it I promise.",2025-11-23T14:56:04Z,0,0,en
UgxLuwQvFTy4GkBpubB4AaABAg,@leilapolley674,"The citris, is probably similar to a pomelo, love pomelo",2025-11-22T16:16:12Z,0,0,en
UgwQMBaVVQzDox6oKLJ4AaABAg,@MD-cs7jd,costED??? ED???,2025-11-20T23:17:15Z,0,0,Other
UgzwLjpNe2AK6ZrW7lx4AaABAg,@boarderboi7,"Babish :""I've done dumber things for $450.""
Me: the every meat burrito while still gagging at the thought of it  🤢",2025-11-20T15:47:55Z,0,0,en
UgzQ8OnGVBK6RCA0D8B4AaABAg,@LagerCurryWestHam,COST(ED)?????????????????????????????????????????????????,2025-11-14T01:22:22Z,0,0,Other
UgxFpPqmTN1DEDBz0R94AaABAg,@yatimamaktaba9467,Fruit perfection doesn't equal most nutritious it could imply most genetically modified for insta fame & sales in fact the insect bitten fruit is the best since it had to overcome damage to be fruitful if nature chose it then it had to be the best bt a polished fruit is suspect to me atleast,2025-11-11T15:52:33Z,0,0,en
Ugxx8nB2RYNVu7WXBC94AaABAg,@carrieannmcleod5219,I lived vicariously through your journey of discovery of incredibly expensive fruit in Japan. The fruit all sounded so delicious! Thanks for sharing your experience and your critique.,2025-11-11T05:23:31Z,0,0,en
UgyGOQFYmGAblYFRm314AaABAg,@wantmoore,19:00 DONT BITE IT IN HALF WHAT IS THE POINT?!?!?!?? It’s a grape so just eat it and stop acting like an assholeface about it ❤️,2025-11-09T01:33:41Z,0,0,en
UgyVMn8iFksfaDViwid4AaABAg,@evaizehiphop,Go to Nicaragua,2025-11-08T15:26:22Z,0,0,Other
UgwMawIl0TwqD2gONTJ4AaABAg,@Decebal825,just want to let you know the camera is to your left. i dont know maybe you accidentally looking at the wrong camera,2025-11-08T12:06:15Z,0,0,en
UgxR5KobLRoy14XPaTV4AaABAg,@C2FUX,I feel like high end Japanese grapes are op raspberries,2025-11-05T17:02:23Z,0,0,Other
Ugwqy8yQi7nbvwuE-EB4AaABAg,@C2FUX,I call for a blind taste test under the same conditions,2025-11-05T16:59:05Z,0,0,en
Ugw5kjD4J1owuKzyeyp4AaABAg,@aquacommelina,Melons do not grow on trees. Melons grow on vines.,2025-11-05T07:13:47Z,2,0,en
UgwSSzlUYXIOgEBfflZ4AaABAg,@jaxjackson-tg6bs,No disrespect to Japanese farmers but 50 cents Indian mangos tasted much better than those overpriced Miyazaki mangos.,2025-11-04T11:08:16Z,0,0,en
UgyN7_UnCSW81Ppvtlp4AaABAg,@ccmangb,"Thai dew mangoes are in season for only around two months a year, but during that time they're delightful and only cost around $2/kilo, and are usually paired with sweet coconut sticky rice.  Thais also don't slice it like that, it's peeled and then sliced into sections.",2025-11-04T07:52:34Z,0,0,en
UgxGQAwbOVCxS6EwYfd4AaABAg,@amandaemerson753,Tendererer and costed?😂,2025-11-01T04:46:33Z,0,0,Other
UgyEsXo_Z0oWCbiAIsp4AaABAg,@Royvdl,"Zespri makes gold kiwi's that taste amazing, if you ever want to eat them again for 1/10th of the price",2025-10-31T13:08:20Z,0,0,en
Ugw-djAXw0gmBqIu_Lt4AaABAg,@krischristiansen9609,You can get lots of free musk melons by growing those seeds,2025-10-31T04:15:32Z,0,0,en
UgzIEdUMWaBjrfq5YYh4AaABAg,@ceedee9106,suggest you use your sponsor more often,2025-10-29T21:55:37Z,0,0,fr
