Comment ID,Author,Content,Publish Date,Like Count,Reply Count
UgxEdI7O8PGxfv5caBl4AaABAg,@TwiDash,Please bring this content back. Your new stuff sucks.,2025-09-07T13:40:34Z,0,0
Ugw2BQV_TgKOW1QpCrp4AaABAg,@You-Suck-Yuck-8964,I need a fork for his neck,2025-08-17T13:11:04Z,0,0
Ugw3puY4j2Am_19rxNR4AaABAg,@mateoasencio5,Bro predicted it 🥀🥀,2025-08-04T05:28:39Z,0,0
UgzWBDWa771pH8axMaB4AaABAg,@You-Suck-Yuck-8964,Everything is wrong,2025-08-02T02:34:30Z,0,0
UgzXeUO7qqDHAAOA4m54AaABAg,@gooseegg617,"Lunch box in season 1&2: 😊
Lunchbox in season 3: 💀",2025-08-02T00:38:58Z,1,0
UgyxaW6OB2TJ-O1-TlR4AaABAg,@mitchyitchy,Gonna go on a limb and ask if he can recreate the quails in rose petal sauce from like water for chocolate because I’ve been spamming it for 10 years and I think he’s talented enough to recreate it 😭💔,2025-07-26T16:26:17Z,0,0
UgyqPR69kpVsgYhBiEh4AaABAg,@ZacharyLao-c5j,Make the tuna casserole from Captain underpants,2025-07-12T12:17:09Z,0,0
Ugx6epbh0xOqXq39_WV4AaABAg,@IlliterateBreadsTV,You now gotta do the finalist dinner as well as the lunchbox they prepared during the final game,2025-07-11T05:33:15Z,9,0
Ugz1TXLc9EXpzX4Mq4Z4AaABAg,@Aayra-yk8pl,the word lunchbox in squidgame traumatizes me now,2025-07-07T03:37:11Z,6,0
UgzhmmDMEiw3TbEzLqJ4AaABAg,@Blackmage4001,Where's the stocky middle aged Korean man in your lunchbox?,2025-07-06T17:36:33Z,5,0
UgycVBnu1NsmxqLct4R4AaABAg,@GetYourChicken17,"Now that Season 3 has aired, there needs to be a video for the meal before the final game.",2025-07-04T00:23:10Z,5,0
UgzqSDarZJN9D5ZSy8F4AaABAg,@real4kGaming,Subtle foreshadowing,2025-07-02T23:14:32Z,27,1
Ugw5TsiOpHTaWrMSEKN4AaABAg,@You-Suck-Yuck-8964,Pathetic,2025-06-15T22:49:52Z,0,0
Ugx2x4QsbMaFlJVDO6t4AaABAg,@samijacquin8814,babish with batman rolex 🔥,2025-06-06T04:30:03Z,0,0
UgxITeQlWMehDKc7eX54AaABAg,@vishalkalicharan7710,PLEASE make Sweet Tooth's white tiger steak from Twisted Metal!!,2025-04-12T22:54:08Z,0,0
UgzM7bItNCaVc2fUbY14AaABAg,@carlacosta56,"Please, can you speak more slow?",2025-03-23T05:48:45Z,0,0
UgzEE0c8ck8927tRus94AaABAg,@DylanUlinWxJediKnight,Make the twisted crust pizza hut parody from mad tv,2025-03-09T00:41:52Z,0,0
Ugz3Dl8K7MqmRRhlrEB4AaABAg,@Zaque-TV,Comments are cringe,2025-03-08T21:33:59Z,0,0
UgwUPsw7V7pdWfEJCjV4AaABAg,@ironbrutesrage,Who's the next sponsor? Satan?,2025-02-27T20:50:17Z,0,0
Ugyzdmf172mBmbov8Mp4AaABAg,@MegaJazzyJess,Is better help that bad?,2025-02-27T02:22:21Z,0,0
Ugw_wvILSPmFc3wQnXN4AaABAg,@You-Suck-Yuck-8964,This is best you can do? shuuut it down,2025-02-24T19:09:49Z,0,0
Ugw90LIBPrdZfPKZilF4AaABAg,@benzolobster,"The dried anchovies are usually fried with some sort of sugar syrup, soy sauce, garlic, and sesame oil.",2025-02-22T08:00:19Z,0,1
UgytJrBerjX8Cx1ayDV4AaABAg,@geomanlol4226,I felt like 90 percent of the comment section talk about betterhelp,2025-02-19T09:44:26Z,0,1
UgyXGFvt7iVK138FGg94AaABAg,@tygriscalcutta729,Can you make Princess Tiana's gumbo from the Princess & the Frog??,2025-02-19T02:56:45Z,1,0
Ugwywp6Aspr4anvMjJV4AaABAg,@232Skull,Pizza Ham or the Mega Slush from Megas XLR pls?,2025-02-17T20:38:34Z,0,0
UgwvNpcOuPHhBW3au_p4AaABAg,@JohnDoe-yr3lm,"A guy sexually assaulted in ""mental hospital"" has a sponsor that is better help. Is this some kind of a joke? How delusional can you be?",2025-02-16T06:30:57Z,0,0
UgxTbA788OV1o--_j254AaABAg,@kish765,I'm a BS psychology student and yeah NO TO BETTERHELP.,2025-02-15T17:37:36Z,0,0
UgxD_uHSQGzzRDRH8pR4AaABAg,@mackysplace,"Fish sausage sounds weird. But I'm sure it tastes delicious. I mean, I'm Scottish; I eat haggis and black pudding so who am I to judge",2025-02-15T08:12:01Z,0,0
Ugx03zoWVWfvAVE1KaZ4AaABAg,@The909Virus,"Again, Babs’ effort to correct his pronunciation is always appreciated.",2025-02-12T03:58:22Z,0,0
UgyWSfVhJzj-I3VhFJN4AaABAg,@TonyRod423,4:58 or anything that you roll 🚬🌿🫢🫢🤣😂,2025-02-11T19:08:27Z,0,0
UgxfrnVaDEvIwb6_T594AaABAg,@jessstange2736,Next time you should make Rick's Dennys order from Rick and Morty,2025-02-10T21:10:48Z,0,0
UgzHakqzOMc3A2GFxJR4AaABAg,@LithiumPB,Betterhelp is a scam,2025-02-09T22:18:46Z,0,0
UgxwOsdVkCOHnl0Xyct4AaABAg,@sukmand7281,6:21 The way you hold the sausage kinda ... SUS. 🗿,2025-02-07T01:59:32Z,0,0
