Comment ID,Author,Content,Publish Date,Like Count,Reply Count
UgwokTjOAowH6uW8YUp4AaABAg,@ScribeFromNowhere,A new goto for me X3 Ty,2025-08-05T05:18:40Z,0,0
UgyBZCCS0HCIPdz4ktV4AaABAg,@dchandula9060,"I can't even make salty water to gargle the throat without, a recipe.",2025-07-21T12:03:50Z,0,0
UgxRybz7s4MpwkMeHb14AaABAg,@saucyA.22,I don’t keep up w the babishverse is this still the same babish guy or..??,2025-07-11T00:26:39Z,0,0
UgwETWlF5pvEeiMRrLR4AaABAg,@silkenshadow,Straker mentioned. Real recognize real,2025-06-23T20:54:53Z,0,0
Ugy5dANOngZKpXdkjh94AaABAg,@maxpuigpowell8630,“Too much water in the sugar to make caramel” my brother in Christ just let it boil off you don’t need to start over,2025-06-19T22:29:05Z,0,0
UgwKxoD4E61rxbfcNGd4AaABAg,@imhere1303,"You can just let the water boil out....dude....

You didn’t have to start a new caramel",2025-06-11T08:27:04Z,0,0
Ugy8lLOmij2Ilf1VogF4AaABAg,@denniskirschbaum9109,Tart Tartin is a classic. So delicious.,2025-06-04T01:30:51Z,0,0
UgxyWSJO7KxNzJUioxh4AaABAg,@thomaskaupish8841,How does someone with a literal channel about cooking not realize you peel the apple before you cut it?,2025-06-03T23:20:21Z,0,0
Ugysq2vfB1nWmtzqJyV4AaABAg,@maattthhhh,Had to double check if the video was at 2x speed 😅,2025-06-02T16:52:51Z,0,0
UgwRVHlElM0UPHJB7V54AaABAg,@TheCephalon,"Cooking is art, baking is chemistry. Follow the recipe for desserts and don’t deviate",2025-05-23T03:44:31Z,0,0
Ugx-rpkzrdJMs8LgQBx4AaABAg,@YYZed,Why not boil out the water?,2025-05-22T18:10:06Z,0,0
UgyVyPr5gqfVavqA60l4AaABAg,@thomasbyrne9127,You don’t need to light it on fire. It doesn’t do anything,2025-05-10T08:21:04Z,0,0
UgzOMJon9Ei-7pXFCcJ4AaABAg,@Lawrencewillisen,90% of my cooking is without a cookbook....,2025-05-05T11:18:44Z,0,0
UgzwH2yfNhEbhuCYsEl4AaABAg,@samm425,"I can tell by my own experience, absolutely yes, sometimes it won't come out as you expected (like one time where i tried making a pineapple upside-down cake and the pineapples floated and got on the wrong side of the cake) but nothing some creativity and resourcefulness can't fix",2025-05-02T19:12:43Z,3,0
Ugw7JJLaHVdBiQHjb0V4AaABAg,@asdusty4372,What's that music?,2025-04-07T13:17:35Z,0,0
UgwOauQGX5ww269QQmJ4AaABAg,@mita_hyljetta,Wrong type of apple,2025-04-04T02:45:11Z,0,0
