Comment ID,Author,Content,Publish Date,Like Count,Reply Count,Detected Language
UgyIHjVAPwuD52gEZYp4AaABAg,@afuamensah2518,now locust finally has a michelin star!,2025-11-04T01:32:31Z,0,0,en
Ugy06Lpnj3qXz0cMNHN4AaABAg,@philipfritz-f8x,Probably would have been perfectly fine to have washed that tap!,2025-10-14T09:16:46Z,0,0,en
Ugwa8klwSMbT18SmFgV4AaABAg,@sixsix8six,didn't split the G.  For shame.,2025-10-10T22:57:41Z,0,0,en
UgwsJj4S4JixDg95sDB4AaABAg,@bettymardis6113,Love Locust!,2025-10-06T20:55:36Z,0,0,Other
UgxEhL6doV-4DjhDfM54AaABAg,@JOHNLANE-j2q,You lost me when he said he used a Traeger.,2025-10-06T00:14:06Z,0,0,en
Ugz2JPrNPbuZzdVaM254AaABAg,@amphibiangoddess,"Y'all go look at the prices and how basic the menu is 😂 
$13 for bread and butter 
$16 for iced tea?
PASS",2025-10-01T00:01:09Z,0,0,en
UgyVsIM_G7ghWAr-nHR4AaABAg,@ReneeRainvilleEBIresults,"My first video of yours. Spectacular. I moved an hour north of Nashville from San Diego not long ago (from MA, though) and have been looking for creative restaurants in Nashville. Locust blew my mind. Can't wait to get a reservation! Thank you for this outstanding content. I subscribed so I can see more. 🌟",2025-09-28T15:14:46Z,0,0,en
UgzaZi0Z_alTVx4DmDZ4AaABAg,@michaelwenger2634,Hot take here. It’s underwhelming.,2025-09-28T03:06:11Z,0,0,en
Ugwjbq4nlakCRtVuXvB4AaABAg,@robo_the_brobo,"So, um, do those lines *ever* get cleaned?",2025-09-22T01:27:09Z,0,0,en
UgzR0NMwcR7d56arOe14AaABAg,@TheNinjawithboots,"As a chef in Nashville I want to say it’s great to be a part of this community. I worked at the Patterson house (right below catbird seat) and it’s awesome to see this community grow, get recognition, and evolve.",2025-09-19T02:19:22Z,0,0,en
Ugy2-RPEbjUguj-jHWN4AaABAg,@cynthiasmiley4005,Of course I can talk from my sofa BUT don’t see what all the hoopla is about!,2025-09-18T08:08:44Z,1,0,en
Ugzya4N9TygW534o8Wt4AaABAg,@cynthiasmiley4005,"So far, they have only “cooked” bread!",2025-09-18T08:02:09Z,0,0,en
UgxJuMa5Bq1eWwgd7794AaABAg,@troyturner6498,"fine dining in nashville is few and far between, actually. catbird seat is about all we had until locust. everything else is high end steak house attempts with the most recent, halls, coming in 1st thus far. nashville has zero michelin starred spots outside of those mentioned and nearly everything else is who cooks cisco the best.",2025-09-16T03:34:06Z,0,0,en
Ugw-o1oaEO5SQAol2w54AaABAg,@whiskeymikefoxtrot88,You should go to Bourbon Steak by Michael Mina in Nashville.,2025-09-07T02:07:53Z,0,0,en
UgxMuZaA9GJoG7355JB4AaABAg,@BroGilbert,Can't wati to go!,2025-09-05T04:01:40Z,0,0,en
UgyYzIYVh2ScfvwB6Lh4AaABAg,@susansnyder9271,Wow.,2025-08-29T02:21:18Z,0,0,Other
UgyIBcqyxWN897UZMGF4AaABAg,@S.J.1.9.9.1,Did the Banana in the Kartofflekaeg not affect you?,2025-08-10T13:14:20Z,0,0,en
UgxsmTYKF1GJvTYHHph4AaABAg,@chrisartist5155,"An upscale, dress way down eatery.",2025-08-06T18:25:40Z,0,0,en
UgzMiFYIdi8GOz1f8b94AaABAg,@martymcfriess,I thought banana was an issue,2025-08-05T06:08:27Z,0,0,en
Ugwpu4owvdyuSHpAi154AaABAg,@streetjustice4287,it's great to be have,2025-08-02T23:31:50Z,0,0,en
UgxB8Oaf-OhmUpGRRC14AaABAg,@anneeritschel5464,I would watch a million of these fine dining videos,2025-08-01T06:21:54Z,0,0,en
Ugz7ewn8ItonpSIlPll4AaABAg,@brentweber9845,Nashville and Austin are unique places in the South.,2025-07-29T21:57:22Z,0,0,en
UgxM2imrVt2ucyAOJHd4AaABAg,@dmmness,I don't think I have ever seen his hands shake so much in a video before... Was he nervous?,2025-07-26T19:34:35Z,0,0,en
Ugza8Ywx03kbPgMwEsJ4AaABAg,@EphemeralProductions,Adorable! Especially the reaction to the ale! :D,2025-07-16T15:55:37Z,0,0,en
UgwZZ2g0CLbgOkTrZRB4AaABAg,@cjsrescues,"IMO, if a restaurant is taking inspiration from Buckees, thats NO place I would ever want to eat.",2025-07-15T18:07:35Z,0,2,en
Ugx3gVzGRhSl6ZZViyx4AaABAg,@devinsux,Trevor and his crew are awesome to drink with,2025-07-14T20:16:12Z,0,0,en
UgwRNzSwlEw-fh8Oq0J4AaABAg,@throwback19841,"I must have the palette of Richard Hammond cos I'm watching this thinking ""I dont like caviar, I dont like clams, I dont like seaweed, I don't like sardines""

Seriously, stop putting seaweed in everything. its polarising. To a lot of people it just tastes like that smell you get under a pier at low tide on a hot day. Yes the taste and olefactory systems are closely linked and you can absolutely taste a smell and vice versa. Any food is ruined by adding seaweed to it for a lot of people.",2025-07-10T23:39:55Z,1,0,en
Ugy0xgP2OsgJQiYf8zh4AaABAg,@Celestial_jade43,THIS is what cooking is about... i envy the staff!  cooking is the only thing that has been a constant passion in my life.. i loved every moment of this video. thank you,2025-07-10T20:41:19Z,0,0,en
UgzSQiigmZ0SLAY29a94AaABAg,@bryangregorich3223,I love the beginning of your career and love the evolution that has become. You're giving me Antony Bourdain vibes with these videos,2025-06-28T22:30:43Z,0,0,en
Ugwr_dv4GjVqr7YLT8Z4AaABAg,@josefadams647,"with all due respect Louisville, KY's food scene DESTROYS Nashville, TN's food scene. I've lived in both cities, I own properties in both...you're doing a great disservice if you haven't been to Louisville......",2025-06-26T21:08:29Z,0,1,en
Ugx-VK3vb5WMuAZwPv54AaABAg,@brianvasconcellos3109,"I love both of those restaurants, both top 5 dining experiences ever",2025-06-20T20:25:00Z,0,0,en
Ugz_spGKXJMqUEr0BKt4AaABAg,@JamesFarleyMovetoTennessee,Locust is the best! Food and Hospitality are always on point.,2025-06-19T01:43:58Z,0,0,en
UgwVBQ6pJxAw05CeEnx4AaABAg,@Pmckinney24,This and the Noma video really scratch a particular itch.. I love it.,2025-06-16T16:38:09Z,0,0,en
UgyS3YYf4vZvAlCa6bp4AaABAg,@kiligir,"That's a $400 meal, in case anyone is wondering.",2025-06-16T03:52:46Z,0,0,en
UgyUQj9mbAukDuR8ok54AaABAg,@Geldon12345,"BABISH! This video got recommended to me and I live in Nashville. If you haven't yet, you must try June! It's a Sean Brock restaurant. By far, it's the most Michelin experience I've had in Nashville. I highly recommend their Discovery 8 course tasting menu!",2025-06-15T07:19:21Z,0,1,en
Ugw0ARbg3hRsqGfKNWp4AaABAg,@TheMan21892,“You gotta know what a crumpet is to understand cricket!”,2025-06-11T05:34:45Z,0,0,en
UgzZ_HdkuXBzI5Jp5SN4AaABAg,@RosieRoserules,I have a lot of shisho both green and purple growing in my yard,2025-06-10T23:13:27Z,0,0,en
UgxxFern0EOTNObGqqV4AaABAg,@urawhat,Bro is allergic to nanners glad he made it out alive 🎉,2025-06-09T15:53:50Z,0,0,en
UgxLUSlG_aQrdbpVF9l4AaABAg,@christianhatch7842,"This is by far over of my favorite review videos I've watched. Short, and edited perfectly. All the info you need condensed.",2025-06-08T19:59:10Z,2,0,en
