Comment ID,Author,Content,Publish Date,Like Count,Reply Count
UgxwJNt5l42KqnWE-tF4AaABAg,@TyrDaechir,I have no idea why I watched this knowing full well that I don't like hot dogs,2025-11-23T17:37:33Z,0,0
Ugy5IgAceIG0mvzLSBp4AaABAg,@FaceMan1815,8:47 It took me until this long to realize maybe Babish HAS gone off the deep end. These are the choices of a man with nothing left to lose,2025-11-18T01:27:54Z,0,0
Ugx2jnJ6QrOvn78I42N4AaABAg,@BossJohnFOE,FINALLY! I made a hot dog and chili pizza a decade ago while working at a pizza shop.  Very glad to see someone else enjoy the magic.,2025-11-17T09:53:09Z,0,0
Ugzkj5gAJ7-_aJRYXOZ4AaABAg,@Laffinty8908,Whelp imma hit my hotdog quota for the year for sure!,2025-11-17T01:04:16Z,0,0
UgwbLvaDJbw0c85zd1d4AaABAg,@mikeshaver-miller745,"Ah yes, the Skywalker Special.",2025-11-15T03:59:23Z,0,0
UgxsafKgpkwQnasjuEl4AaABAg,@theactualmoontv,soon as I saw the dog spread I knew it was going to be a classic,2025-11-14T00:51:16Z,0,0
UgzmnvKXxPimv36LWNB4AaABAg,@dominiquerichard1342,You had me in the first half. Second half kind of went too far haha,2025-11-09T21:14:06Z,0,0
UgxoAh3sndbYBV5TM994AaABAg,@TimelordGGs,In my country we usually deep fry the squids and serve them with french fries it's a very popular snack at the fair or street markets,2025-11-03T19:41:39Z,0,0
Ugz8Ey4UbU0itF2LlEB4AaABAg,@SpinosauruSteak808,A lot of weiners,2025-10-29T00:17:56Z,0,0
UgxiYAp6uruFwnBed894AaABAg,@MSPMK03,This man hasn’t been to a Bunnings I guess.,2025-10-26T01:33:07Z,0,0
UgzXwEmGM-pQC1RdxW94AaABAg,@MiiniMes2987,You were right this is unhinged,2025-10-25T22:23:17Z,0,0
Ugy_HG7Jvu6cQvlHQBB4AaABAg,@Imaboss8ball,Wait. Am I just confused or are you seriously suggesting that the unhealthy part of the hotdog is the bread?,2025-10-22T21:57:29Z,0,0
Ugzhbl-xmUNWlBxl94t4AaABAg,@afroabroad,9:18 Yeah.. This is evil.,2025-10-21T05:13:12Z,0,0
UgwPf-2hQi_Q0Iv1B6F4AaABAg,@XZentag,2:40 did you spatchcock a hotdog?,2025-10-18T15:45:22Z,0,0
Ugxj7p8suM8RE9mmrZR4AaABAg,@mikey123259,"The phrase “Hot Dog Enchiladas” caused me to have a heart palpitation. Quick question, are you okay?",2025-10-18T01:22:11Z,0,0
Ugy4ECICTA0Dco5hQbN4AaABAg,@XLnapkins,That's a lot of glizzies....swafflin',2025-10-16T02:02:08Z,0,0
UgyQSZI1eX9lqp5hMEh4AaABAg,@barrydalive1,I love how the narration begins super serious and light hearted to then swing to wildly unhinged and heartfelt 😂,2025-10-14T17:28:16Z,0,0
UgzxR-QxfxhiQmwA_Sd4AaABAg,@Viewer92384,its 3 am and I dont even have hotdogs,2025-10-12T22:33:21Z,0,0
Ugy_SBQZH3wvRUY8NNl4AaABAg,@zport1,I love that babish commits culinary crimes with the grace a gusto of a world class chef. Its a crazy watch for sure.,2025-10-12T06:19:15Z,0,0
Ugyzk_Yn9GfL_yUqZQ54AaABAg,@jasonorosco1125,"""Anarchistic showing of disrespect""  :)",2025-10-12T02:03:07Z,0,0
UgzerMW_0cnrsiS-Owp4AaABAg,@arthurgasparindomoreira4814,You should try the brazilian SUPERIOR hot dog experience,2025-10-11T21:38:52Z,0,0
Ugw1zsDvmOxJ546X53l4AaABAg,@smoy1979,You gotta eat the hotdogs *in order* to bury your feelings,2025-10-11T00:30:26Z,0,0
Ugwd9oQz0ZDnrCiUlAh4AaABAg,@sarod2725,"Currently eating a hot dog struggle ""meal""! I took one of those wide bowl/plate things, filled it with enough water to cover the frozen dogs, and microwaved it (of course to 165°F), drained it, and ate them with no buns just ketchup. Bear witness to my defeat.",2025-10-10T23:27:23Z,1,0
UgwZ9nKNO1AbRkZ8CWh4AaABAg,@VintageFLA,You and ketchup. SMH,2025-10-10T20:55:08Z,0,0
UgzH_c-JoMQKfakadcl4AaABAg,@scarlettvalkyrie2783,Pig in a blanket is a sausage wrapped in bacon,2025-10-10T17:25:50Z,0,0
UgxiCqS3vjF1kM101pN4AaABAg,@geb2,I don't think I can eat hot dogs anymore,2025-10-10T02:01:06Z,0,0
UgxbR1FgQwn5cQDq1gl4AaABAg,@LittleDinkens,i HATE those white ones!,2025-10-09T22:44:28Z,0,0
UgwK9ZeC4zFskeKmiwZ4AaABAg,@TheArchworks,"All of that and the closest you get to an Australian ""snag"" is 4:05? Really?",2025-10-09T21:34:54Z,0,0
UgzbM4jYYiNB2Awwqpt4AaABAg,@Ham_yStudios_15,2:26 he made a new carnival food called pig on a stick,2025-10-09T04:48:09Z,1,0
Ugy5yJe9Z4874fOvyTl4AaABAg,@critcapxd,Narration gave me Anthony Bourdain vibes,2025-10-08T19:15:50Z,0,0
UgxURn9G9DYKajeKtAF4AaABAg,@hasa5676,This is america in a video...,2025-10-08T11:06:45Z,0,0
Ugx8XVxY8Bj1WTB0hcV4AaABAg,@mrnogo9651,I really don't like hotdogs unless they are DEEPLY caramelized or even charred.  The spiral cut ones are great for someone like me but...  That chili looks amazing.  I have to try that now.,2025-10-07T21:41:59Z,0,0
UgzhN6J57txVt58ont54AaABAg,@ryanschan,This is A tier commentary and B+ levels of insanity. Subscribed.,2025-10-07T02:26:55Z,0,0
