Comment ID,Author,Content,Publish Date,Like Count,Reply Count,Detected Language
UgyyhNOlq90TRoxb32B4AaABAg,@lwj2,"That's braising, not barbecue",2025-08-27T03:07:35Z,0,0,en
UgxfeEDarIoBoWC0mMF4AaABAg,@_korbo_,bbq is american now? lol,2025-08-24T20:37:29Z,0,0,en
UgwGXq6_bUf0yVzTzsh4AaABAg,@anniemouse9649,This is the recommended daily diet by RFK Jr. 😂,2025-08-24T16:18:32Z,1,0,en
UgxKIcI4l67UmiVwb894AaABAg,@ray5131,Level Of What?!? Come On Don’t Leave Me Hanging! I Need To Know!,2025-08-23T14:48:45Z,0,0,en
Ugyq5f5vdRM3RQ0W_Ft4AaABAg,@Jailbima,Icebreaker so fancy,2025-08-23T13:12:28Z,1,0,en
Ugy2_3DQHB_z4CSu9eF4AaABAg,@The7thGradeEmoPhase,forgot this guy cooked,2025-08-22T18:25:07Z,0,0,en
Ugy_8LeRLyJMd4hbl354AaABAg,@torytakken5177,He so cute,2025-08-22T05:16:24Z,0,0,en
UgytIcdMNl22RR6qdz14AaABAg,@dep6898,"Im sorry but that looks so gross

-southerner",2025-08-21T21:35:20Z,0,0,en
Ugx6GDC-JH6Xvyh-SQF4AaABAg,@Malohta,"He wants to meet Joe Dirt, eh? Anyone have a way of contacting David Spade?",2025-08-21T21:06:03Z,1,0,en
UgzABP1RqVl5pGRrL5B4AaABAg,@pietrobrattico,🗣️🗣️🗣️ Obsene level-,2025-08-21T18:57:32Z,0,0,Other
Ugw8Xc_AL4Zmhsiombh4AaABAg,@auerbacher69,"ah yes Joe the Dirt, halfbrother of Dwayne the Rock",2025-08-21T18:27:06Z,0,0,en
UgzBgUVLBWOi65CDVZB4AaABAg,@GoblinboyXL,"Babish making food instead of rating a bunch of junk food? What is this, 2022?",2025-08-21T17:34:14Z,0,0,en
UgwpKZPSIKlJVdcyzbp4AaABAg,@IchiHishi,American cuisine? What?,2025-08-21T16:51:00Z,0,0,en
UgzbPujSPGc-RhORcax4AaABAg,@TopGunAce23,Yummy yummy yummy 😊😊😊,2025-08-21T10:39:37Z,0,0,Other
UgxID_mydBsCAqS7sGN4AaABAg,@georgkunzl1844,"American? Do you really think that was your Idea? 
I know it is hard to know that the only Thing  your Nation has contributed to the culinary world ist ruining other peoples food and high Fructose corn syrup, but Stop claiming everything for you",2025-08-21T09:57:49Z,0,0,en
UgzkwY1ne8uANGgok-V4AaABAg,@BigBiteAdventures,"Even more BEEFIER, love it 😂👌👌",2025-08-21T09:11:16Z,0,0,Other
UgyXt_ioky1W8vKnLIB4AaABAg,@JohnnnyGash,America didn't invent cooking outside.,2025-08-21T06:21:57Z,3,0,en
