Comment ID,Author,Content,Publish Date,Like Count,Reply Count
UgyyhNOlq90TRoxb32B4AaABAg,@lwj2,"That's braising, not barbecue",2025-08-27T03:07:35Z,0,0
UgxfeEDarIoBoWC0mMF4AaABAg,@_korbo_,bbq is american now? lol,2025-08-24T20:37:29Z,0,0
UgwGXq6_bUf0yVzTzsh4AaABAg,@anniemouse9649,This is the recommended daily diet by RFK Jr. 😂,2025-08-24T16:18:32Z,1,0
UgxKIcI4l67UmiVwb894AaABAg,@ray5131,Level Of What?!? Come On Don’t Leave Me Hanging! I Need To Know!,2025-08-23T14:48:45Z,0,0
Ugyq5f5vdRM3RQ0W_Ft4AaABAg,@Jailbima,Icebreaker so fancy,2025-08-23T13:12:28Z,1,0
Ugy2_3DQHB_z4CSu9eF4AaABAg,@The7thGradeEmoPhase,forgot this guy cooked,2025-08-22T18:25:07Z,0,0
Ugy_8LeRLyJMd4hbl354AaABAg,@torytakken5177,He so cute,2025-08-22T05:16:24Z,0,0
UgytIcdMNl22RR6qdz14AaABAg,@dep6898,"Im sorry but that looks so gross

-southerner",2025-08-21T21:35:20Z,0,0
Ugx6GDC-JH6Xvyh-SQF4AaABAg,@Malohta,"He wants to meet Joe Dirt, eh? Anyone have a way of contacting David Spade?",2025-08-21T21:06:03Z,1,0
Ugw8Xc_AL4Zmhsiombh4AaABAg,@auerbacher69,"ah yes Joe the Dirt, halfbrother of Dwayne the Rock",2025-08-21T18:27:06Z,0,0
UgzBgUVLBWOi65CDVZB4AaABAg,@GoblinboyXL,"Babish making food instead of rating a bunch of junk food? What is this, 2022?",2025-08-21T17:34:14Z,0,0
UgwpKZPSIKlJVdcyzbp4AaABAg,@IchiHishi,American cuisine? What?,2025-08-21T16:51:00Z,0,0
UgxID_mydBsCAqS7sGN4AaABAg,@georgkunzl1844,"American? Do you really think that was your Idea? 
I know it is hard to know that the only Thing  your Nation has contributed to the culinary world ist ruining other peoples food and high Fructose corn syrup, but Stop claiming everything for you",2025-08-21T09:57:49Z,0,0
UgyXt_ioky1W8vKnLIB4AaABAg,@JohnnnyGash,America didn't invent cooking outside.,2025-08-21T06:21:57Z,3,0
UgzGWkWbZ882BeNYp8J4AaABAg,@Perrydiculous,"Awful that you can't even say Juice anymore today, because it sounds like Jews...",2025-08-21T06:08:25Z,0,0
UgxvykwCPIhlctJ5zC94AaABAg,@chefmatthewlafferty,"The pairing of meat, sauce, spices, and smoke is not distinctly American.",2025-08-21T05:45:05Z,3,0
Ugzrt8jBD36-FztDpex4AaABAg,@maroofhaque6445,Go to Leroy and Lewis in Austin and try the Michelin star beef cheeks yourself,2025-08-21T04:01:25Z,0,0
UgxA0QdmqvDn7F8RVmN4AaABAg,@IzzyEatz,He needs to ready his cheeks…… yikes,2025-08-21T02:55:10Z,1,0
Ugyxl3_Mn4sAoyAA3NV4AaABAg,@FearsomeFarmer69,Smoked beef confeit?,2025-08-21T00:43:12Z,0,0
Ugz0dD4_SjGxrDcY4p54AaABAg,@AidanS99,Obscene level of what? 😂,2025-08-20T21:27:22Z,1,1
Ugyk1ivZjU7fS9ySTEV4AaABAg,@jeweetzelf734,Always the fork bite,2025-08-20T21:17:28Z,6,0
Ugw6u0GZi4wLTMzQJ1t4AaABAg,@mostmandrake1608,"Ready our cheeks. 

*starts unzipping*

Not those Cheeks.

""Oh.""",2025-08-20T21:16:52Z,0,0
Ugxr97dbMwAeF7fDKb14AaABAg,@DominicanHater2375,Holy greybeard Batman,2025-08-20T20:49:36Z,2,0
UgyDAVSvQlgAPx4LORF4AaABAg,@Mario2shot,"Dang dude, not to be mean but that grey looks great on ya.",2025-08-20T20:45:05Z,0,0
Ugwoi2nTUKrZdmrGJjR4AaABAg,@CymbalLetsPlay,Could you adjust the recipy? Because my cheeks are already ready for you,2025-08-20T20:13:05Z,0,0
UgznlVLghl8izdmU5TF4AaABAg,@eduardocampos3643,"Barbecue, distinctly american? I beg to differ.",2025-08-20T18:37:00Z,6,3
UgwuHLUnhx_Hqtd7amt4AaABAg,@BrethoPhyre,Stop squeezing your meat.,2025-08-20T18:32:36Z,0,0
UgzDhIxYS0XOvgfmMqN4AaABAg,@nonyabissniss7526,"Barbecue is not a „cuisine“, as in: boiling in water isn’t either. It’s a method of heating food stuff. Cuisine is a tradition of ingredients, seasonings, preparing and eating meals tied to a region and culture.",2025-08-20T18:11:05Z,2,3
UgzOYzps7o4AhEII_bl4AaABAg,@derogren,You plan living much longer eating that at every barbecue?,2025-08-20T17:25:27Z,6,2
UgytmKQcqDfd8N25rBd4AaABAg,@wertyppl,"""frankly obscene level"" - of what?",2025-08-20T17:15:54Z,94,5
UgwFZ7X07O3IwJzdwEB4AaABAg,@Alan-X0D,The best meal 🤤,2025-08-20T17:15:18Z,0,0
UgyYbTcjnSDbmO37bzh4AaABAg,@Godzirra91,“Spreading the tuxedo blend over the cheeks” will start entering my daily lexicon,2025-08-20T17:07:37Z,110,0
UgwZdOMEEW-BIqAFrVF4AaABAg,@tite93,Remember - a chef is someone who is not afraid to use a lot more butter than you,2025-08-20T17:05:53Z,337,4
Ugyf3CZNPYMcnbI3ExB4AaABAg,@adventuroushermit2590,Was this just a shameful butter commercial?,2025-08-20T17:05:26Z,7,0
UgyadKaw8L05T19VJyB4AaABAg,@stirfrystories,Home grill skills going pro! That bark looks legit enough to fool any food critic.,2025-08-20T17:04:38Z,1,0
UgxPXB_JIjxfjGqCTb54AaABAg,@KelvinCorono,"""Not those cheeks""

But what if I.......",2025-08-20T17:03:25Z,12,0
