Comment ID,Author,Content,Publish Date,Like Count,Reply Count
UgzBzzFyXDKRKtBIohF4AaABAg,@Yuniypovar1,Love the color 🎉,2025-09-29T10:24:57Z,0,0
UgxSCbdz4acPzifTt5V4AaABAg,@Soraku_Dragon,"What do butterfly pea flowers taste like? I know it’s used in some teas to give a blue color, but I’ve never heard its flavor.",2025-09-25T19:51:37Z,0,0
UgybBKIYwYv6mAKKB-F4AaABAg,@Spydr331,if you boil some purple cabbage you can get a similar result.  did that for my kids once.  tried it with purple sweet potato too once but didn't get the color as strongly,2025-09-25T14:51:37Z,0,0
UgyIeV7s4frv7wfkvWl4AaABAg,@TwilitNavi,We love the endorians,2025-09-25T01:20:51Z,0,0
Ugx1oFEQwYOtQeTXZFh4AaABAg,@TheCandyManTeam,"I do appreciate the recipe is not ""just dump some food dye in there""",2025-09-24T06:16:46Z,3,0
UgyIcRaJWXFQ0QRwFg14AaABAg,@Noa-cc9ur,But why…?,2025-09-22T18:40:16Z,0,0
UgwZ7ucH5yJvAP_qtvV4AaABAg,@jmacleod99,these noodles are blue for an amazing reason,2025-09-21T02:14:47Z,0,0
UgyhJXL9UI54L-i2f8x4AaABAg,@stiffdarren,"I Can never get over how he says ""sauce pin* instead of sauce pan.",2025-09-20T19:07:49Z,21,1
UgyoxjzWoYXpI1ZG42l4AaABAg,@kaiitthegreat,Add a little lime and boom magic pink noodles 🎉,2025-09-20T19:05:53Z,1,0
UgwosaZAS3oBVFWH8mF4AaABAg,@dandanlec1996,"You can't trick me Gargamel!

WHAT HAVE YOU DONE TO THE SMURFS",2025-09-20T14:46:24Z,124,1
UgzxqDxGsVioFBbTezh4AaABAg,@jaxon776,Next recipe: Moonglow fruit.,2025-09-20T14:15:56Z,0,0
UgxhW0s0Ql4DrXvrBDB4AaABAg,@zkyohm,it looks like something out of avatar james cameron movies,2025-09-20T10:24:49Z,0,0
UgxAHbBo8qOJkHvVmh94AaABAg,@321findus,Nice. Now show us some blue waffles,2025-09-20T09:49:47Z,1,0
UgwZFTYXUCXp5_ledGJ4AaABAg,@rtyrsson,"Or, save a couple of steps and expense, and a few drops of blue food coloring would do it, and maybe even brighter. Is it ""organic? 😂... no. But it would do the job.",2025-09-20T07:33:46Z,0,0
UgxFhh8JmeCWNv1xYGh4AaABAg,@roaches2o,Anyone know the blue milk and green milk ingredients,2025-09-20T05:19:35Z,0,1
Ugxjo14m_ypi5szNUNV4AaABAg,@DaveTexas,"No one from Batuu (home of Galaxy’s Edge) puts cream in their Alfredo. In fact, they consider it a sacrilege. They only use blue Parmesan and blue butter. Nothing else.",2025-09-20T04:16:05Z,11,1
UgzASbXco2sO6-9Qkw54AaABAg,@CCS565,But why?,2025-09-20T02:45:03Z,0,0
UgwKv22KC6UseRZd9Mt4AaABAg,@GoC56,Percy Jackson blue noodles!,2025-09-20T02:04:35Z,5,0
Ugwn1ZwIFtv10L0OiTh4AaABAg,@lioneagle255,These noodles are 99.1% pure.,2025-09-20T00:01:12Z,4,0
UgxibYQFVy41j6IkwNh4AaABAg,@SikfanKitchen,Love the color 💙,2025-09-19T20:12:45Z,21,0
Ugz9Z9nAZzCMD6kKFiJ4AaABAg,@TheGavric,That's not Star Wars.  Stop calling it Star Wars.,2025-09-19T19:55:27Z,5,5
UgwUdePbRVL5OkhcA4h4AaABAg,@gagewesterhouse9558,Red cabbage makes purple noodles.,2025-09-19T19:19:31Z,182,1
UgydRceAbzpVGFUhQnJ4AaABAg,@NamHoangThihi,It's a pleasure to watch you! Your ideas are so original and you just exude positivity.‍♀️🏕🤹‍,2025-09-19T19:03:33Z,0,0
Ugy5Be-wEOJwlCWW8ZZ4AaABAg,@HoaTaQuococ,Been watching you for quite some time now and your content continues to be interesting. Thank you for your quality and creativity.😀🍾🏔,2025-09-19T19:03:27Z,1,0
