Comment ID,Author,Content,Publish Date,Like Count,Reply Count,Detected Language
UgxtDiGkWFUYRFZdlSh4AaABAg,@Kai24680,What’s the difference between these and suppli?,2025-10-25T16:28:18Z,0,0,en
Ugz2G7wNKzhPyIWuK-54AaABAg,@thatsanginman6930,What if ground bacon?,2025-10-25T09:07:09Z,0,0,en
Ugy0GgpBSJUqEaAMx5h4AaABAg,@Miriann-iu4jg,I love how so many cultures stuffed carbs with meat (or other protein),2025-10-24T17:12:52Z,1,0,en
UgyS_riT9U2qxhx88bt4AaABAg,@valerieconnery2781,"Frozen peas? Really? Also...ragu, really? Did you go to Walmart to get it?",2025-10-24T07:20:03Z,0,0,en
UgyaKSfWSSd7kwUrp6B4AaABAg,@nandita2201,"My mind immediately went to ""Italian fried onigiri"" sans seaweed",2025-10-23T00:38:04Z,9,0,en
Ugz1Bx9FCmmiTGaHxsZ4AaABAg,@christopherdark4671,Forgot to say to take out the bay leaf. Other than that it looks awesome,2025-10-22T23:47:03Z,3,1,en
UgwKKfSNeHz96lx4mBp4AaABAg,@gromultimas2224,Kinda looks like suppli from Rome.,2025-10-22T22:26:40Z,1,0,Other
Ugy3-pkx7Ubww_qcbX94AaABAg,@appo9357,Ragu is too watery. Prego is better. 👍🏻,2025-10-22T21:00:40Z,1,1,en
UgzoZXJHTkbQ8MWzK2p4AaABAg,@evpache,Wonder what ball had the bay leaf in it 👀,2025-10-22T20:29:42Z,34,0,en
UgyEEY4QQYzqnukb1f94AaABAg,@dallasbhowell,It's really nice to see you making cooking videos again.,2025-10-22T20:11:33Z,66,0,en
UgysvEJwjw7ZeEd8gCV4AaABAg,@peeb11,"This is more suppli than arancino, Andrew! You need saffron risotto (alla milanese) for an arancino, AFAIK! This will be a bit dry :)",2025-10-22T20:03:16Z,6,1,en
UgzPDRQ9hKBYKhRXril4AaABAg,@mikerphone.,Season you meat kids.,2025-10-22T19:58:54Z,0,0,en
UgxaPLEEa25ij6T_O5J4AaABAg,@orimiel,"I was so confused, I had to look it up - cause arancini in my country mean 'candied orange peel' 🍊",2025-10-22T19:49:29Z,13,1,en
Ugw1xARgsBCYwoMJzS14AaABAg,@andrewmcgibbon9785,PEAS ARE THE DEBIL!,2025-10-22T19:40:40Z,0,0,en
UgzBmhtg8ySF2R-mc6h4AaABAg,@lolniw8,yum,2025-10-22T19:31:00Z,2,0,Other
