Comment ID,Author,Content,Publish Date,Like Count,Reply Count,Detected Language
UgzD17Mu6WYNZyvzkGN4AaABAg,@CinnamonToastKen,Use code 50CTK to get 50% OFF plus free shipping on your first Factor box at https://bit.ly/4hjUofQ!,2025-01-30T22:03:32Z,52,3,en
UgyO2TF00UNKcbnFbl14AaABAg,@drewpeacock22,"just told my nan to subscribe and she said ""Tell him to fuck off""",2025-11-11T22:11:19Z,1,0,en
UgwdVE1XjuX2muRcIBV4AaABAg,@Racklee1992,"You could put mary's voice over  chilli's from bluey. When she is off screen, that's all I hear is the kids watching bluey.😅",2025-10-01T03:38:55Z,0,0,en
UgwnkpWYiqxzs8ApjXR4AaABAg,@lizziec4408,Came from the future to say that they didnt actually break up lol,2025-08-22T03:19:31Z,0,0,en
UgwuOYIbghO5j6HvDdp4AaABAg,@KarenJarrett-q1f,Dane you are looking sharp today.,2025-08-11T13:52:57Z,0,0,en
UgxBvB6Zpw7nnuwGPz14AaABAg,@nancythane5672,"Sorry Mary, but that Amber~community is *incredibly* co~dependent.",2025-08-05T16:06:36Z,0,0,en
Ugz7WfJWofz8pz9R_Q14AaABAg,@PettyKermit,"I was going to make a Pokémon joke there. Willow and Oak, when two professors evolved into one girl with multiple personalities.",2025-07-29T19:34:12Z,0,0,en
Ugw4QXWjEGrbJoB0xfJ4AaABAg,@michael-reis,Let’s start a go fund me me and raise money to get Mary the craziest chair possible!,2025-07-27T14:09:42Z,0,0,en
UgwknKdZz_laoLbFyDt4AaABAg,@prodbyscythe,He's upset because he didn't spend 10k so he can spend the other 40k gambling,2025-07-21T02:15:23Z,0,0,en
UgwB7PCxhHgZSNzvBjF4AaABAg,@spencrchavez,@22:39 ContentCow,2025-07-09T18:44:06Z,0,0,en
UgxKcSWs-ZQ1yDofLCJ4AaABAg,@spencrchavez,"this is the ""they forget my salad"" girl, right? or am i going crazy.",2025-07-09T18:42:19Z,0,0,en
UgywxFh_IAi2L3Nf33p4AaABAg,@SubjectDelta20,I can't believe Mary's on board with all that stupid pronoun nonsense.,2025-07-05T08:17:45Z,0,0,en
UgzgY4_MaVYH0bPfsAZ4AaABAg,@flamesthesalemander,The editing Olin this video was great. Really added to the experience,2025-07-04T00:44:18Z,0,0,en
UgzzwBjftYgyY9Dr2I14AaABAg,@kittyb3861,I think she ate rareity,2025-06-26T13:45:16Z,0,0,en
Ugwwzb-JwfQhOCJWFnV4AaABAg,@CasualObserver369,"I swear! Honestly! If Biggie West was on fire, my fat ass wouldn't pee on her to put her out!",2025-06-17T17:26:00Z,0,0,en
UgzCnbYfhWJGMgt-9c54AaABAg,@amanda12sark88,Mary is Sara Bellum from power puff girls,2025-06-14T01:03:42Z,0,0,en
UgyQwOqlqEdbiKT-4N94AaABAg,@jenb6412,Poor kitty!! Hopefully she got picked up by someone reasonable that took her home and loved her.,2025-05-24T18:16:31Z,0,0,en
UgwVQ6wla-zfodjyQfJ4AaABAg,@TammyandSplammy420,😂,2025-04-30T14:18:29Z,0,0,Other
Ugz3Mk8GVXRFvWwlau94AaABAg,@purrypurry2866,Please kin marry's legs must be so tired,2025-04-23T14:28:43Z,0,0,en
UgxlbgYhdmvQXfwbeph4AaABAg,@breemcbride8988,Mary’s voice reminds me of those dang reality shows where the hostess lady speaks  through a speaker? What’s the dang show called? Hello campers Welcome to the island type thing. 😂? It’s so relaxing!,2025-04-21T08:51:14Z,1,0,en
UgwbZSjAWnyX2JGFB9d4AaABAg,@countyourblessings9241,A FEW worrysome things?  🙃,2025-04-04T20:28:35Z,0,0,en
UgzJlYKg2vJw1hXrUKx4AaABAg,@MissesMoonsValley,"Mary's grace, wit, and brilliance are just too much for a chair at this point. Her superpowers would be too strong",2025-03-27T14:57:32Z,0,0,en
Ugy-WLrNdDv5b48glVV4AaABAg,@Brae1yn,DON'T SHARE YOUR LIFE ON SOCIAL MEDIA IF YOU DON'T WANT EVERYONE IN YOUR BUSINESS. WHY ARE POEPLE SO STUPID. ITS NOT ROCKET SCIENCE!!!,2025-03-25T17:18:22Z,0,0,en
UgyJ_UadR_lm8rqvy7t4AaABAg,@jubjub905,I remember when it was only 5 million subs for the chair 😂,2025-03-21T22:38:53Z,1,0,en
Ugw_QW6OpNmO6GQF5Yh4AaABAg,@GravellionDaizeen,Mary Cam but no chair 😂😂😂,2025-03-18T14:33:26Z,0,0,en
UgyWL6QewGFvBwupOEp4AaABAg,@aoihitori,"It's her fault, end of story. 😂",2025-03-12T05:14:53Z,1,0,en
Ugw-DHPetGv-yOgfctV4AaABAg,@shelbywild8,I can feel Mary giggling in the background about her not having a chair 🤣🤣🤣,2025-03-10T13:03:33Z,0,0,en
UgxN3_EdeJ9IEnHrvQB4AaABAg,@francisthedaisy,Amberlynn has started eating factor meals... wonder if she used your code 🤣 Also maybe a nod to being recognized by you!,2025-03-06T06:20:55Z,0,0,en
UgxB2_63FrqSRI03kyV4AaABAg,@bianca-fo8ob,YOURE ONLY 39?,2025-03-01T19:32:56Z,0,0,Other
UgzSPdY57ISKMZ0VyNt4AaABAg,@sharayahmartinez4336,Ken. The tea on gorl world is hot right now. I'm gonna need Mary to come in on this one,2025-02-28T06:47:59Z,0,0,en
UgzySxVvsQEZpABItSR4AaABAg,@bradyperson,Buuuuttttt Ken I'm a Stay at Home dad! I love cooking!,2025-02-28T06:18:14Z,0,0,en
UgzZ4jcUrrXAUcNtaMF4AaABAg,@gabylynn4665,I would like to say when watching this video an ad popped up saying hefty hefty hefty. The ad was perfectly timed.,2025-02-27T12:46:14Z,0,0,en
UgzrMU7MGRPbeqBRSBx4AaABAg,@Foxluna2390,We need Mary to do another episode ASAP! Amber stole Becks inheritance money when her mother passed away! The drama is getting INSANE!,2025-02-26T18:13:32Z,2,0,en
UgxdKNpksMpb8cNuduJ4AaABAg,@katrinasmith5343,It's like a power puff girls episode,2025-02-26T16:28:33Z,0,0,en
UgxSekaSRo4zh9KayGJ4AaABAg,@babzbunnii,honestly id read audiobooks read by mary and i don’t even like audiobooks so that speaks wonders imo,2025-02-25T22:57:32Z,1,0,en
UgzwtYb7I2oBvjbQflN4AaABAg,@Tinysaurusx,i think we have the same cup ken,2025-02-24T01:31:06Z,0,0,en
UgyJPXju6n6D-m2GOM94AaABAg,@kignkidonz8892,WAIT are you guys back in america?,2025-02-23T19:14:13Z,0,0,en
UgwsOJVBqJa2wPopd5d4AaABAg,@SanjaSleipnir,21:30 it’s crazy because she is actually right. I’ve been obsessed with Amberlynn for YEARS. I’m talking watching content about her 24/7. But I’ve never watched a single video on her channel 🫣🫣🫣🫣🫣,2025-02-23T18:55:30Z,0,0,en
UgzJHBZxJc5dBsB66ct4AaABAg,@EloisesMommy25,Omg Mary's voice❤❤❤!!,2025-02-22T16:52:21Z,0,0,en
UgxxZXI0m8qWzJi9fEt4AaABAg,@EloisesMommy25,Haiii mary u look great girl !! U are an inspiration to all us mommas I'm 4 months with my second daughter and I just love u and ur family 🎉❤ tho real talk that clown costume u did 😮 was unsettling 😂❤,2025-02-22T16:50:02Z,1,0,en
UgyfqrdrGjgqhpbS5pp4AaABAg,@CaillaHenry,More Mary please! I loved her recap on the Amberlynn drama,2025-02-21T02:11:19Z,0,0,en
UgzdlmOSWwc9t0jP2Mh4AaABAg,@archilepsy456,Mary is officially Ms. Bellum from Powerpuff girls,2025-02-21T00:28:48Z,0,0,en
Ugy6f00k6bgujDippKJ4AaABAg,@blackdysfunction8260,Enough with the gay folks,2025-02-19T14:06:13Z,0,0,en
Ugypz-x6-xFYw12skOR4AaABAg,@bloodbros1278,Emily also unintentionally killed her last partner with her fetish… so that is very concerning,2025-02-19T04:50:34Z,0,0,en
Ugx8WAW3YMy-yb2mFGR4AaABAg,@ashexrome7621,“Thank you for your research Mary” we all say in unison,2025-02-16T18:31:58Z,0,0,en
Ugy4XacVeePMKlU66cd4AaABAg,@GamersCoreUK,Is Mary allowed to sit in the car or does she also have to run along side while dane gets to ride shotgun 🤔 😅😂,2025-02-16T09:28:01Z,0,0,en
UgwEV9rMD2y2NOfRxK94AaABAg,@MissyJessica,Love when Mary’s on the show,2025-02-14T17:20:53Z,0,0,en
UgzyiV88kjJHXTmgwUx4AaABAg,@fredtroy8,No offense meant by this at all but when your wife Mary started talking I thought it was my device I have set to “Australian accent” her voice made me think my device was talking to me and I didn’t ask anything it’s unreal how similar it sounds 😂🤦‍♂️ also hilarious video your content has always been great it’s nice to see you getting more recognition. Also you have Chris Hansen. So you win no matter what 😂👊🏽,2025-02-14T14:31:15Z,1,0,en
UgwODIYmlSbminakygZ4AaABAg,@rukiroka1827,Keep her identity a secret. I prefer that way.,2025-02-14T07:24:23Z,1,0,en
UgyqauyxFAIvLXU4Itl4AaABAg,@TheRalphachicken,I think amber sits on all her cats buy mistake,2025-02-14T04:26:49Z,0,1,en
Ugzr6WB5vRddTV01Ikt4AaABAg,@Is_it_ferret_approved,"21:48. The funny thing about that, people like mr snowflake have just popped up stock videos and TALKED about her stream",2025-02-14T00:39:19Z,0,0,en
Ugw5lw6q8ADhfNjOm2B4AaABAg,@ANDY-h6m,Who is Amberlynn?,2025-02-13T06:01:53Z,0,1,en
UgzdWV9fWUKW6ga5gPp4AaABAg,@salmavilla7617,CTK you got me through my depression in 2020,2025-02-13T05:24:49Z,0,0,en
UgyXP65GLI4ZbLrHJ6p4AaABAg,@DeputyFish,stacked.,2025-02-13T02:04:32Z,0,0,Other
Ugwh165cOkMT5DWGs3Z4AaABAg,@HorseLoverBexHere,Mary please do an audio book your voice 1000/10,2025-02-12T19:24:33Z,0,0,en
UgyFYS5rKuXSKsKj_yB4AaABAg,@user-tm4my4jb6d,And the thing is she hadn't any her lung.  hahaha It was hilarious.,2025-02-11T19:27:20Z,0,0,en
UgwjLnBrGM9ckrUkcLR4AaABAg,@BrinkofArt,"How's Buff in the same room as Ken, can someone please fill me in? I first thought he was just visiting, but now it's been quite a while and I haven't kept up with the channel for a bit.😅",2025-02-11T16:49:41Z,0,0,en
UgxRyCnFvmS8gYX4YJJ4AaABAg,@cat00mat88,Love when Mary is in your videos!,2025-02-11T03:07:45Z,0,0,en
UgwBZLG0T4hFb4w4VWV4AaABAg,@Medii17x,Okay but mary's hair!! Look at that bounce and curl!!! Send me your secrets girl❤,2025-02-10T23:57:54Z,0,0,en
UgxVQjRzsGYvjv94fEJ4AaABAg,@iamthecrowygotcg3508,Dane and mary in the same Ken video was not on my 2025 bingo card,2025-02-10T23:15:20Z,0,0,en
UgxG_vezclHQfVYmdBl4AaABAg,@SaladsIngrownButthair,Watch more foodie beauty please lol,2025-02-10T22:19:54Z,0,0,en
UgxzQ80aLH_ebMIixbV4AaABAg,@Leximccormack1999,Noooo not Emily living in my state and finding out that amber was in MY STATE!? Leave Wisconsin out of this 😭,2025-02-10T08:33:42Z,0,0,en
UgyZlM3nQxP9J1ZsxZV4AaABAg,@elizabethh5009,"I really need to guys to see the clips she's put out and some of her really old social media posts regarding her very concerning behaviour towards minors! It was brought up again recently and she has deleted a bunch of stuff around the time she was hanging out with a 15 year old when she was 25, but a lot of the reaction channels have that stuff archived. Emily has a kid and dumped her not long after this, so a lot of people speculate that this was what really pushed Emily to finally dump her. The new partner of the father of her child, keeps up with gorl world, and Emily alluded to in one of her messages post break up that this relationship was jeopardising an important relationship in her life.",2025-02-09T18:07:56Z,0,0,en
Ugy3aE-4aAxPXltbI0R4AaABAg,@kaylahardy6041,"I am a 31 years old, married, with 3 kids. Mary's voice is soooooo relaxing to listen to. I literally had to rewind the video 4 times, and then just read it for myself, to keep from relaxing into oblivion. She should definitely be on one of those anxiety/stress apps to achieve calmness in people. Over the years, I have learned to tune stuff out, but even over the loudness of 3 kids (12, 11, and 8,) I found myself trying to keep my eyes open to pay attention. Lol. Y'all keep doing what you're doing, I've been a fan forever now since meme couch, and Dr. Phil episodes! You all are absolutely great at what you do! P.S. Tell Mary what I said, she could really get into that, and I would buy every one, bc I have huge anxiety and sleep problems -Kayla",2025-02-08T04:57:06Z,0,0,en
UgxtgU1I2qxMJOa7jnd4AaABAg,@anitadills6298,We can’t see her beautiful face! 0:28,2025-02-08T01:57:00Z,0,0,en
UgwUAowf_q3YyQvO7NB4AaABAg,@MoM-o6i,What's this Mary chair deal? Sorry I'm new to this channel.,2025-02-07T22:35:59Z,0,0,en
UgxaSw_3zev_kw7ljQx4AaABAg,@mrg_wolf5062,Mary is the lady from the powerpuff girls. You can't tell me otherwise,2025-02-07T21:37:21Z,0,0,en
UgwROhnpsRrSDdAaBzN4AaABAg,@swan-neck,Is Mary Australmerican?,2025-02-07T19:08:25Z,0,0,en
UgyLXITkHA8PVXMlnzZ4AaABAg,@psychickidstudios5967,Mary sounds like a documentary narrator. Very relaxing,2025-02-07T17:54:26Z,0,0,en
UgxmN9zkBqIyjtv2Yn54AaABAg,@helenablanks255,"I remember when Mary was making her cosplays whilst being pregnant with layla.
I really want an update on boss dawg, Betty and the tarantulas and snakes 😅",2025-02-07T17:53:20Z,0,0,en
UgwA47quWpMBgKXjTNN4AaABAg,@CU_Never,Why you gotta guilt trip me like😂  this…FINE SUBSCRIBED 🙄,2025-02-07T13:20:14Z,0,0,en
