Comment ID,Author,Content,Publish Date,Like Count,Reply Count
UgyDK4KMT0-XSefRJ2d4AaABAg,@BuffaloEskate,"The topics for the videos catch my attention but then I watch them and I am like ""this guy is NOT smart at all and I turn the video off ¼ of the way through and keep giving the next video a try and I think I am not going to give another one a try",2025-11-10T19:24:23Z,0,0
UgzdTiQuzG1lU-k_RLJ4AaABAg,@ryanatkinson9864,He's mad HE cant bang his step daughter do he tried to bang someone else's.,2025-11-04T21:46:17Z,0,0
UgzzWOdnaikiCcs6a494AaABAg,@jazzysmith4864,"This happened to me 2 times and back then I thought I was cool but now I understand that what happened wasn't ok, so fully support putting those people on blast and catching them",2025-11-02T22:26:31Z,0,0
Ugxce2IysgyqQTm0vMV4AaABAg,@dragonsnapre2088,"You ever think someone just walks into the wrong house. And then boom, chris hansen.",2025-10-23T13:56:28Z,0,0
UgxFj83llu-uOQ-BPKZ4AaABAg,@morbidlyo7114,The Thanos of predators 😂,2025-10-20T01:44:38Z,0,1
Ugy54dM0tPkxf3P6god4AaABAg,@Sammy_Hang,Yes it is my fault. I am the predator.,2025-10-09T12:44:58Z,0,0
UgweS7cAMBEjhOCDo3d4AaABAg,@monikamartha9367,I wonder if they ever catch women doing this 🧐,2025-10-03T18:56:22Z,0,0
UgxwSn2-UA3jGuUM53t4AaABAg,@andreaswade9364,If he came out with a bear hat like the one on his mech site on a hat and sweater. Id definitely buy it,2025-10-02T00:47:19Z,0,0
Ugzusf7WNS2j7eNNzNx4AaABAg,@TehTamTam,"Ben! You turn into a pdf, you’re not my Ben!!!",2025-09-28T01:10:32Z,0,0
Ugwr58VCL9XcDpwrX3B4AaABAg,@MrCharlieNL,To the Ranch,2025-09-14T23:18:24Z,1,0
UgyuLr3OzB3zLx9D3gh4AaABAg,@Rektorium,"If I were a Pedo, hearing her voice would make me turn around and drive home, or stay overnight in the nearest motel with a bar. She sounds like 47.",2025-09-12T14:15:29Z,0,0
Ugy6CDqXwDv6xnyDwBZ4AaABAg,@geraldineduffy7134,Oh God will you do be quiet down for five minutes,2025-08-28T12:59:03Z,0,0
UgwFjTR5HIthgId5jX54AaABAg,@natelolz11,Lol the ranch hat is the most millennial humor quirk chungus thing I've seen today. Keep up the good work. *Awkward thumbs up* 👍,2025-08-06T05:13:44Z,0,0
Ugxw4yzPXSS4GyOH-Dl4AaABAg,@sterling8298,8:13 I'm about to die from too much laughter.😂😂😂😂😂😂😂😂😂😂😂😂😂,2025-08-04T05:08:17Z,1,0
Ugw6wLl2GoYHL7fxL3x4AaABAg,@coldmoonlight6361,"He didn't ""do it again"", it sounds like he violated his parole.
Whether that was drug use, absconding, failing to do classes, talking to a minor, leaving the state without permission, or whatever else.",2025-08-04T00:37:26Z,0,0
UgxDEmwzV4sqPZE5t5R4AaABAg,@killerksvideos,"“And then a hero comes along, with the strength to show his shlong”",2025-07-11T16:12:22Z,1,0
UgxXb0wv11IoGl8r4cB4AaABAg,@taycesells7952,I love the fact that the leaf microphone is still a running joke 😂,2025-07-10T18:02:21Z,0,0
Ugyi0Zs8g1-oCL04PSJ4AaABAg,@HaileeSmith,If these stories about these young women in his family are true. I have a feeling he’s the one grooming the young women in his family…,2025-06-24T21:02:53Z,0,0
Ugy8FL73QNLF17_GdB54AaABAg,@thewalmartguy77,Maybe he wanted your breast milk cinnamon 😂,2025-06-21T02:59:30Z,0,0
