Comment ID,Author,Content,Publish Date,Like Count,Reply Count,Detected Language
UgwdEQWTbyHck0xlyXB4AaABAg,@jayahwilliams7956,"So normally i hate this kind of content. I can't stand artificial drama and would never watch reality tv. However, Mary's enthusiasm and Ken's support of it is so incredibly infectious that i love these segments.",2025-10-27T13:52:40Z,0,0,en
UgzKbiyMboW9oNGhxWV4AaABAg,@Spooky-butterfly,The contrast here is killing me. Dane looks like he’s having flashbacks or thinking of people he knows that grew up how Mary is describing and Ken looks like he has A LOT to say 33:34,2025-09-26T17:18:28Z,0,0,en
Ugx6rtbY5TQWmZvF8Xx4AaABAg,@Spooky-butterfly,Am I the only one that thinks Dane and Mary have very similar laughs 😂 31:54,2025-09-26T17:14:51Z,0,0,en
Ugz5u2jRvuKkZe5YoJN4AaABAg,@SUSHIBOSS1,3 sides?!?!  I thought it was just two tf lol 😂,2025-09-25T14:45:42Z,1,0,en
UgwSWXOCmhaFrpsQCFV4AaABAg,@ModernDayDracula,The Christopher Walken accent went strong at 12:18,2025-09-19T00:46:11Z,1,0,en
UgyOiHGK90UxUTvzLN14AaABAg,@TemptingImpie,Please bring your wife back more! I enjoy her takes and mind. She's fun and adds a sparkle. Also Buffpro is fantastic!,2025-09-03T21:32:46Z,0,0,en
UgwVpM-iAJZSffjOapt4AaABAg,@EdityXEO,"You’d need an entire 12 hour documentary to learn every ounce of how much of a terrible person Amber is now, it’s wild.",2025-09-02T01:33:35Z,0,0,en
UgzEvHnWEGmEi4mvZ8p4AaABAg,@finsmom83,Stubbled across you guys recently and so glad I did,2025-08-24T13:47:10Z,0,0,en
Ugyrupw8qKVFln7XQdx4AaABAg,@spectreeetro,"Mary's throne is forever missing, like Amber's weight loss journey",2025-07-22T10:12:00Z,1,0,en
UgzBQIeinlSA5DkETFJ4AaABAg,@jacobstarks963,Marys just female wilson from home improvement,2025-07-19T01:00:06Z,0,0,en
Ugx32okp-8_HE_Rumrh4AaABAg,@lexisbrownstein7277,I love Mary 😊,2025-07-07T13:37:03Z,0,0,en
Ugx7uNt495MIuOAgSyl4AaABAg,@staceytlucko7193,"Firstly I love your videos, they always make me laugh! 😂
I just wanted to respond to Mary about the comment she made about Colleen Ballinger bringing the ""Miranda"" character back as she was reading a kids' book, she was reading it for her kids. Perhaps she shouldn't have shown it on a video. 
Anyways love your channel.",2025-07-04T18:54:29Z,0,0,en
UgxTXaV_MXUQfpXYoPF4AaABAg,@wtfess,"42:57 laugh was intense, hahaha",2025-07-04T01:53:52Z,0,0,id
UgywiK-9BVIXLy_ZNm14AaABAg,@ethn_cly,For a deep dive I really recommend watching Tom Harlocks video on her !!,2025-06-26T16:19:23Z,0,0,en
UgwkVisP2XDo79tFEH94AaABAg,@nancythane4104,She's bipolar.,2025-06-23T03:13:50Z,0,0,en
Ugybu01Z1INxgcGcEEN4AaABAg,@nancythane4104,"They should sue her for defamation, harassment, and filming her without permission. I suspect the 🐮 was gaslighting them as well.",2025-06-23T02:57:57Z,0,0,en
UgyJI6otlpayu0pR5V54AaABAg,@TheCamdowd,This set up gives Good Mythical More vibes and I love it,2025-06-12T02:30:48Z,0,0,en
UgyJAP8DHE4GmuabW8N4AaABAg,@shadowsoulless6227,Why did you just keep on talking and didn't edit it out of the video? Like no one cares about that like 2 minutes of y'all just rambling about the subject no one cares about.,2025-06-06T20:46:49Z,1,0,en
Ugz9umdrd5LXseXosad4AaABAg,@Lacacitacrow,I don’t know these people but let’s stop with the them and they bs please it’s cringe. I don’t know why we are still pretending that people can change genders  much less be a they them.  I live in reality I hope others will start to as well,2025-06-03T06:46:22Z,0,0,en
UgymBWCZl1r42adhl4R4AaABAg,@RockCitty,I'm so glad that Becky finally found her voice and hits back at Amber's bs,2025-05-29T13:04:09Z,0,0,en
UgxgVbQHn5zMd09sLO94AaABAg,@Tilaic,"As somebody with a lot of anxiety, and constantly daydreams, my brain is always filled with all kinds of fake scenarios, where I've had, conversations and arguments with people. None of it real. All happens in a daydream. But it's constant, daily, to the point that I've even started losing track of which conversations I actually had and which ones were just daydreams. Im more aware of how easy it is to get lost in that sauce now, so I don't project those things onto people, but I know other people are capable of the same thing, and I'd bet that her drunk apology was just some daydream she had that she deluded herself into believing actually happened.",2025-05-24T14:27:33Z,0,0,en
