Comment ID,Author,Content,Publish Date,Like Count,Reply Count,Detected Language
Ugy52ohN1PEMQ5JBR3h4AaABAg,@robertborgeson1821,Big girl gettin piped down while big Paul is gone,2025-11-10T17:51:15Z,0,0,en
UgwPSA0w4Hgs7NtBrZ54AaABAg,@ThisSawyerIsntTomYT,The camera angles were so unforgiving to poor Paul....at one point they zoomed in on his NB shoes and made it look like a decompressed soccer ball used for a big man shoe 😭😭😭,2025-11-07T17:26:25Z,0,0,en
UgxNrTqHxtNXjvjgbSN4AaABAg,@stevenhauser48,"WTF Ken!!! This is the best episode until that horrible ending. That was crushing lol Then you make your wife cry 😂 Hang up with out a “my bad” or “love you babe. Whoops”. What a roller coaster emotions. Riveting entertainment Ken. I laughed, I cried, and then I laughed again. Gold",2025-11-05T00:00:19Z,0,0,en
Ugz77dRa-FtHxk521XN4AaABAg,@villager5310,He died on the 21st night of September???!,2025-11-02T17:33:53Z,0,0,en
UgxMBLQPpDaZFTXcweR4AaABAg,@kylemclelland5119,This was one of the funniest ever.,2025-10-18T23:08:09Z,0,0,en
UgzBqIb3NF26fwx7EfN4AaABAg,@haileyeeeeee,His calves have bad circulation (blood pooling/clotting + inflammation) and that is why he was wearing leg compression wraps. You'll see that often I'm people who are overweight but his case appears extreme.,2025-10-09T19:54:05Z,0,0,en
UgyFm8Dz6Cp_iesmQV54AaABAg,@theresarainbow,The best humanbeing of this show,2025-10-01T19:12:16Z,0,0,en
UgxA63Cbs6pWOvwniNx4AaABAg,@marimoreno9004,Now she’s getting heavy,2025-09-30T00:15:38Z,0,0,en
UgwIIRZ5Qvy7Z1mnXfF4AaABAg,@natelolz11,Well that was heart breaking,2025-09-20T16:49:08Z,0,0,en
UgwAy4pH9M4O04vl0c94AaABAg,@jessicasalinas574,Now I know why Mary doesn’t get a chair! 😭,2025-09-08T14:36:36Z,0,0,en
UgymCzZOVKeoMQW2UDh4AaABAg,@SUSHIBOSS1,24:54 definitely inflatable lol 😂,2025-09-03T16:20:57Z,0,0,en
UgwyWi9RCHNASX1gZ5Z4AaABAg,@quillquills,"Ya know, y'all go and kind of ruin what's supposed to be wholesome, by making fun of people's religion! Making a mockery of Jesus. Why is it you don't ever use the name of any of religious figure(s) with a mocking tone? Why has the name of Jesus been reduced to more or less a profanity? I guess it's a good thing Christians are for the most part tolerant (there's always outliers in every group) - wonder what would happen if y'all did this with 'allah' 🤔 interesting how western countries can be accepting and tolerant of any and every religion, except Christianity!",2025-08-28T07:47:30Z,0,0,en
UgyXsH_gh79Ll9j99uJ4AaABAg,@angelicpearl25,4:08 - Moses' ark haha,2025-08-26T05:14:15Z,0,0,id
Ugxosjpwgky6H7gcR4R4AaABAg,@EternalMagikarp,Wholesome to heartbroken like THAT,2025-08-23T13:27:41Z,0,0,Other
UgxtBoWPHXPPi1olrYN4AaABAg,@hollieperry3401,I was 210 at 12 years old and now I'm 165 and 16 and powerlift and weight train,2025-08-16T21:51:45Z,0,0,en
UgwUqydclbxFtXDtem14AaABAg,@LisaMarieMorningstar,THAT STOMACH WAS FLIPPING HUGE!!!!!!!,2025-08-13T00:25:36Z,0,0,Other
Ugx6R0OZIBZUnsMLAYl4AaABAg,@Daytek90210,"""Oooooh now I'm crying!""
""Oh, ok, bye""",2025-08-11T22:29:29Z,1,0,en
UgyyJHBClbUVvYsbMhh4AaABAg,@toyota420xp,To be fair is wife probably needs to lose 100 lb easy and at 400 lb is he going to be able to get off the floor when he's kneeling,2025-08-10T22:04:05Z,0,0,en
Ugw4WOXROC5_2fN4f8J4AaABAg,@pcbassoon3892,He can't have turkey? I thought turkey was a lean protein.,2025-08-10T15:16:27Z,0,0,en
