Comment ID,Author,Content,Publish Date,Like Count,Reply Count
Ugzak0zdDa_qhBxXdhV4AaABAg,@jaiistired4262,I believe there is no statue of limitations because it’s a federal case 14:07,2025-07-02T03:38:25Z,0,0
UgzFG7wRpvjp3roZPVN4AaABAg,@gilsonmr,"Long time without watching the channel. Dane with white beard.... Welcome to the gang XD
Miss you guys :)",2025-07-01T13:11:39Z,0,0
UgwDIE3cDdTZ2sik6f54AaABAg,@witchingbrew3,Cracks me up when channels are like oh wow the diddy thing is disturbing but then supports ray con headphones owned by another entertainer in hip hop who has been involved debauchery as well. But get that money I guess.,2025-06-23T11:13:34Z,0,0
UgwC-J-dHln6kl_kKMt4AaABAg,@reimiranda3213,Thankfully Dane is here to pronounce words correctly 😂,2025-06-10T01:23:40Z,0,0
UgzWoLXqhLWnLuJp8814AaABAg,@taylornewsome8742,Ken and Dane are the best dads of youtube.,2025-06-09T15:06:30Z,0,0
Ugw1gohWvwEJa-PsfZN4AaABAg,@megzzz23,I love the way Ken says opiates 😆,2025-06-01T03:56:59Z,0,0
UgxBIX22WnaUmMX44el4AaABAg,@hexking9971,"Making jokes is so distasteful, make your content I guess..",2025-05-31T21:36:50Z,0,1
Ugxu-uouOs-0GHc_srt4AaABAg,@willmiller3771,"In my opinion his parties sound like he would lock people in a building, and then he would get hopped up on drugs and run around covered in baby oil and SA people.",2025-05-31T21:34:18Z,0,0
UgxY0f9Hhd_LRbZ1Gph4AaABAg,@domingoperez-d6m,Diddy is an IKE turner type just with money a complete terror😢,2025-05-30T20:30:20Z,0,0
UgwMYwuzWpDurubezu54AaABAg,@domingoperez-d6m,Im glad ken didn't cheat with the playboy mansion 😂😂😂 proud of you,2025-05-30T20:25:59Z,0,0
UgwzjSTaZjXCQcX5mhh4AaABAg,@mrpjc81,If it helps ketermean is used as a horse tranquilizer in the UK it's definitely not a regular medicine. Sorting this has been said before.,2025-05-30T18:36:37Z,0,0
UgxW8FUa02kuNdtJL7R4AaABAg,@Justaguyuguys,Dane just casually accusing Diddy of murder,2025-05-30T17:48:29Z,0,0
UgxiX3IF4Rh-8CW38yl4AaABAg,@AngelinaRobertson-j4h,"I’m a survivor, I’m sorry, she put up with it too be famous and still got out good!! That’s how I feell..She stayed for it 10 years???",2025-05-29T23:39:56Z,0,0
UgyXYt7FMS6lZ-CQFhF4AaABAg,@TheLordCorn,Diddy looking like Grandad from The Boondocks..,2025-05-29T17:56:49Z,0,0
UgzuQspQjjPnOnPIE5B4AaABAg,@FlamesRider69,"""Sean"" is pronounced the same as ""Shawn"". Not ""seen"".",2025-05-29T15:42:43Z,0,0
Ugwju2VnLuPgtIOroSV4AaABAg,@amandahebert457,"Why was she still going to the freak offs in 2011 when she was dating Kid Cudi
Why keep going back
Even tho they weren't together",2025-05-28T23:17:17Z,0,0
Ugyzk_g9F6aqjJ0b0MV4AaABAg,@volegirl2934,"That story of diddy holding her friend over a balcony reminded me of an old story time done by Shannon Rose. I HIGHLY doubt, Shannon is that friend, but at the time listening to her storytime it sounded so outlandish. I feel so horrible that her story might've not been that crazy at the time and that violence against women are a tale as old as time.",2025-05-28T13:47:53Z,0,1
Ugyq123zx4CoYq_BoWx4AaABAg,@12demongod,I see why they call him “P” diddy,2025-05-28T04:32:37Z,0,0
Ugw2UHyEEs1Ld3zrqlh4AaABAg,@12demongod,"Did diddy do it? Yes diddy did it not only did he do it he also will himself, be diddled and killed in the prison",2025-05-28T04:31:03Z,0,0
UgwvxkD8tMqWXF9GClt4AaABAg,@psychotic_giraffe769,I enjoyed this style of content!!!,2025-05-27T23:30:16Z,0,0
UgxsSG7z4b2TlVhIjAZ4AaABAg,@alexwynn4434,12:50 Kid Cudi already testified! They cut open his soft top and dropped in a molotov cocktail,2025-05-27T22:14:19Z,0,0
UgxY8znzGFklFsCCjN54AaABAg,@dresikIRONIC,"I dont know if its only happening to me, but this video is really laggy. Only this video, no other creators videos. It's so weird.",2025-05-27T21:16:09Z,0,0
UgxRFG-2U3GQtEZurCR4AaABAg,@OfAGhost312,"11:51 Diddy's security team needs to be held accountable for aiding and abetting all these crimes against these people... that's not simply ""doing my job"" that's extortion, intimidation, assault, unlawful imprisonment, etc.",2025-05-27T19:21:02Z,3,0
Ugx7AG9UHsmWJkQ-pal4AaABAg,@tonez2111,"i remember the video you did at the mansion,  I saw it long ago,  i am friends with 2 of the girls that were in the gaming video.",2025-05-27T18:46:34Z,0,0
UgymMvhg8wdrmsf-Wt14AaABAg,@JustaMomnFamily,The title 😂,2025-05-27T17:04:15Z,0,0
Ugz78esuMnOdYLevbKR4AaABAg,@Bananapeel85,"The calling him ""Seen"" instead of Sean.... agonizing. Lol!!!!",2025-05-27T16:00:18Z,0,0
UgyOaE2M0pNyd4LNRiV4AaABAg,@briannalyle8435,I like when the police can make the decision to press the charges when it's obvious there is abuse.,2025-05-27T13:51:59Z,0,0
UgzDR6tDJuVsswXAFuJ4AaABAg,@SEvePhillips,"I appreciate you guys and I find your commentary and opnions on this interesting but Ken hun, cold reads might not be your thing XD",2025-05-27T13:13:47Z,1,0
Ugy85k1MtOPUkv2plll4AaABAg,@katikawoniNTV,Kid Cudi is supposed to the next on the stand it will be interesting to hear his side. I hope whoever else has enabled diddys behavior will go down to but most likely their not going to find enough evidence.,2025-05-27T12:53:39Z,0,0
UgzxdWyJ0R3TYV4JAsl4AaABAg,@dontrylmeeks4629,Did dane move to Australia or did ken move back last ik ken went to Australia?,2025-05-27T08:08:50Z,0,0
UgxYhEgP4DhHTawFMxJ4AaABAg,@Shandii,"I believe they changed laws so they could bring him down on these charges, to allow for all the years of abuse to be used as evidence.",2025-05-27T06:01:04Z,0,0
UgykHiyx5djSUyZ9KMx4AaABAg,@stephanieisabelle5745,"I used to take Clonazepan for anxiety/panic attacks. I would wake up feeling terrible, I had no idea what was happening and felt sleepy all day. My dose wasn’t even that high.",2025-05-27T04:06:14Z,0,0
UgyoGTl_CTPzKbECA054AaABAg,@jillionnae9466,He’s truly a disgusting “human “ . Honestly with how this case has been playing out so far it’s going to be bigger than Depp vs Heard.  I say that because from what’s been reported there’s a lot of people involved and it’s going real deep. He is being exposed for the monster that he is. Court will not sugar coat things like his PR team. No filter .,2025-05-26T23:30:31Z,0,0
UgxqAfS3GaEXfdpQEQd4AaABAg,@cassandrah1338,Justin Bieber autobiography movie is gonna be wild,2025-05-26T18:50:03Z,0,0
Ugyj2uVoW-WeDyd53yB4AaABAg,@nadineowens1264,Colozipan or whatever you can forget an entire day😢,2025-05-26T17:48:34Z,0,0
UgzIlCkymyLmJno_-ZF4AaABAg,@bmbaer777,Bro just messing up words for comments and it’s working 😂 notoriety lol,2025-05-26T15:16:24Z,0,1
Ugyftoja6rerDzCAO9N4AaABAg,@Sarah_Belle_,"So the mood effect I get because I was with an addict for almost 10 yrs, when he had withdrawals he would either shut down or become pretty agitated.",2025-05-26T15:03:14Z,0,0
UgzgOqceZdWqhtLTxkF4AaABAg,@AllieValley529,Lolol this is methed up but your view of it is cracking me up. Urinating on someone sounds so gross but I can’t stop laughing . Pees on the flames lol,2025-05-26T14:55:47Z,0,0
UgymOQBENskI737eDFN4AaABAg,@Krooseval,Just saw you guys on the Liver King Netflix documentary 😂😂,2025-05-26T13:34:28Z,0,0
UgxJAOm2YM-z-BMMnDB4AaABAg,@rexxyonpc,"K-pins are valium. Muscle relaxant, anxiety destroyer and a hell of a euphoric effect mainly followed by a great sleep, but overdose of it will black you out in 30mins or less based on amount or size of the person and goodluck waking up till you naturally do even if you gain consciousness youll remember sweet f all or on the rare chance go along with just about anything. And opiates is the tablet version of heroin in the least amount of words, theres a lot more to it but to normal people its easier saying that then explaining those differences but the highs affect is the same as heroin. Hope that helps understand what shes been drugged with. She wouldn't have control over her emotions, feelings, thoughts and your chance she'd be blacked out anyway for most drug fuelled acts she was made to do.",2025-05-26T13:26:47Z,0,0
UgzohxhBMFx-e7UuqON4AaABAg,@Bearer0fPain-o7l,"P.Diddy got the name ""Puffy"" when he was younger and would get upset....he'd get all ""huffy puffy"" and so....the name stuck....",2025-05-26T12:40:34Z,0,0
Ugwu-eSewPtc_ZNtaT14AaABAg,@WineScrounger,"A common misconception about NDAs is that they can prevent you from reporting crimes. This isn’t true, never has been - NDAs are enforced under civil law, and criminal law trumps civil law wherever there is a conflict. So if your employer, customer or supplier (or anyone, really) has you sign an NDA and you later find out that they’re up to shady stuff, and you don’t want to get wrapped up in it, you absolutely can report them. I’m not a lawyer so talk to one first, but this is the case in US/UK law, and most parts of the world where law still has meaning.",2025-05-26T12:39:38Z,1,0
Ugy7K87eRlEJLO2md694AaABAg,@duncanramsay9262,The diddler,2025-05-26T11:29:27Z,0,0
UgxUKRFIB2UGwoCpv7d4AaABAg,@tyraholmquist2196,I love your videos ken! And buff always makes me laugh ❤,2025-05-26T10:19:58Z,0,0
Ugwfbxw2DU7iupw05aR4AaABAg,@Imis-tw2gf,Clonazepam isnt pink powder. The pink powder one would be tussi. Just a wild mix of street drugs,2025-05-26T10:08:36Z,0,0
UgwiEJjCyJGUSO3shk14AaABAg,@etienneleroux6253,"Well done Dane. Benzos are basically strong sedatives that are dose dependent and thus used for anything from handling anxiety disorders, stopping seizures in emergencies to full on sedation. And some have stronger tendencies to cause amnesia as well. It's controlled medication, should not be available without prescription.. at least in my country",2025-05-26T08:53:49Z,0,0
UgxDIN9dw5k-MZvM9lp4AaABAg,@hoshika01,"Im 100% sure diddy is not making it out alive. Its gonna be an eppstein style ""incident"" if convicted

Or groups of people hunt him down in an act of vigilantism",2025-05-26T07:14:16Z,0,0
Ugxg8JI-I9XVMRwpwil4AaABAg,@Nammsayin,"diddy is a sick pos, but you leave out how sick she was too. she had her own freak offs, left sean, got another man, then left him to go back to sean years later just to get back into that sick life. tell the full story",2025-05-26T07:04:54Z,0,0
UgwzcEXIBmVubo0m5F54AaABAg,@Ṽïkiṇḡ--ṝ-w,Buff knows he did it 👊🏻,2025-05-26T05:12:21Z,0,0
UgxROY2uYQHgLfLw1ll4AaABAg,@threelittlepigs7388,36:27 anything worth finding is hidden too well,2025-05-26T03:46:23Z,0,0
UgwmYlLr48suKJikyAl4AaABAg,@tristianmarsh3060,"Denzel Washington was also quoted at some point within the last year or two by the press, saying something along the lines of ""You can go to a Diddy party, but you need to know when to leave, because shit gets crazy fast."" I don't doubt we're all gonna be surprised by some famous names who may or may not, at some point, be revealed to have some relation to or knowledge of this entire mess.",2025-05-26T02:58:35Z,0,1
UgxRCs-flQSv0FSJJbR4AaABAg,@chadpalmer5602,"Don’t let this guy ruin a perfectly good name, cause he’s a dipshit, and people are ignorant.",2025-05-26T00:05:57Z,0,1
Ugz3z87LwyFckA8W-1p4AaABAg,@chadpalmer5602,Sean is the Irish spelling you fucking troglodytes.,2025-05-26T00:04:06Z,0,0
UgzHIBInMAiZK6pmT354AaABAg,@spaceghost9969,"So if Biggie was Donkey Kong that’s what happened to him this whole time, it was Diddy!",2025-05-25T23:29:40Z,0,0
UgwtBAXPKC2qBzU2yqt4AaABAg,@kimielle,idk man. Tired of these big trials bc I am not convinced anything will come of it.,2025-05-25T21:30:07Z,1,0
Ugw-jv-pN3yC-NtT5oJ4AaABAg,@ragingredhead9555,"And today residing over this case is jurors; CinnamonToastKen, Buffpro and community. 
I can conclude that this man is resolutely and whole heartedly, F*©KED. 
No trial required. 😂
He's enjoying prison time way too much anyway let him stay there.",2025-05-25T21:07:44Z,1,0
Ugwaybzft6x6QjhV7SR4AaABAg,@tonyug113,"But keep in mind, diddy charegd with human traffiking and racketeering...and none of this while showing he's a horrible person,, pertains to that --- and the trial isnt about that,",2025-05-25T20:24:14Z,0,0
UgxlqxEIRBdAMoXc1uJ4AaABAg,@marchcupcake,"Just a friendly reminder to all that a non-disclosure agreement (NDA) cannot prevent you from reporting a crime. NDAs are designed to protect confidential information, not to stifle reporting of illegal activity. 

So even if you’ve signed an NDA you can and SHOULD report the crime committed.",2025-05-25T20:06:03Z,0,1
Ugzecw-GcgceI3urvJF4AaABAg,@mommakimmins5554,"I love how I can easily tell you guys have never been in the drug scene because of how you pronounce things like ""opiate"" and ""clonazopam"" xD",2025-05-25T19:06:13Z,0,0
UgxJRBFuYxKoyE8OKj14AaABAg,@_m.d.y_,Ken gets backlash for pronouncing Sean wrong then proceeds to speedrun mispronouncing everything in this video lmao,2025-05-25T18:35:34Z,2,0
UgwCzCoNa5QAve4swHl4AaABAg,@princess_piles4762,"I would like to point out that these celebs and musicians sell records spelling out the shit they’re doing year after year and if there’s any more persons to blame for what’s happened, it’s the mindless crowds of people consuming the art and supporting the perpetrators in their glorification of gender based and gang related violence, drugs, sexual abuse and the accompanying crimes to support the rest. I hate their music because they are guilty of abuse and laughing about it. How could I possibly support that? People who did even as the words go through their ears and souls should be ashamed.",2025-05-25T18:24:48Z,0,0
UgzLdaYhalAt7AVSVEV4AaABAg,@blessed2bchill,"They should lock up p diddy in the same cell w r Kelly since they both like to piss on folks, let em piss on each other...on 2nd thought, they might like it, nevermind...😂",2025-05-25T18:21:37Z,0,0
UgzEkm9lCVVIaxx7-zJ4AaABAg,@Lemminjoose,"""notority"" ",2025-05-25T18:16:50Z,1,0
UgwA33b_FgWB-WYkxXR4AaABAg,@ELLENDREWS-f6j,"Dudes, sometimes I wonder about you two. Who doesn't know what a ""male revue"" is? You've heard of Chippendales, right?",2025-05-25T18:08:56Z,0,1
UgzZEIrYYJ10SJ-KhUJ4AaABAg,@barrywalker673,"I never trust anyone with massive amounts of power. Throughout history their are examples of men ""and women"" doing horrible things because of inflated egos. When you can have anything you want, anytime you want it, you begin down a path of horrible activities somehow. So sad how this happens time and time again. People seeking power and money like that scare the crap out of me. I avoid them, no matter how little the power trip they attempt. I'll stay in my lane and continue to be a good person with a normal and boring life.",2025-05-25T18:08:34Z,0,0
Ugw9r4E7n584sIxIoCp4AaABAg,@kaikouchickamatsu,I take Klonapin every day for my anxiety and panic attacks. It's basically like a sedative and a controlled substance so you need to give your ID before you can pick it up. I have a low dose but anything over like 1.5mg will make me fall asleep where I am. Gotta be careful when taking it.,2025-05-25T18:02:22Z,0,0
Ugwgts5owJLgwQTN1Pl4AaABAg,@jackthalmayr281,remember when ken used to do playthroughs of story focused games,2025-05-25T17:10:41Z,0,0
Ugz50yt1BkGQFAMQ6YJ4AaABAg,@Susan.Chavez82,"Very glad y’all are covering this, I can’t bring myself to get my updates anywhere else. At least you guys make it more bearable.",2025-05-25T16:35:40Z,2,0
UgwryYyyg1kfXPCU9dB4AaABAg,@HK47_115,This man was literally the Kingpin of the Baby Oil Mafia.,2025-05-25T15:17:10Z,0,0
UgyJULZvDYXjB-5UyLx4AaABAg,@niniprds,"I know this may come off as bizarre and far-fetched. But I do hope, everyone understands that P. Diddy was in fact performing sex rituals along with other celebrities who are somehow not “mentioned” or “associated” due to $$$$ pay-outs and so forth. Their time is coming though. Everyone will pay for what they did to all the innocent children pushed into Hollywood along with the children who were sex trafficked. This is bigger than what it is and it involves politicians too, mayor Eric Adams was a close friend of Diddy and gave him the key to the city, trust me. This is a lot more than just baby oil and being a sex freak. Justice for Justin Bieber. Justice for Cassie. Justice for Aaliyah. Justice for Prince who actually had incriminating information on P. Diddy’s freak off parties hosted in his own house. He did not overdose. Clive Davis and Lucian Grainge—count your fucking days!",2025-05-25T15:07:30Z,0,0
UgxcC9VFHOPirRoeYN94AaABAg,@Livingforthemolment,"The “peeing on her” wether it was Diddy or the escort was strictly sexual not for punishment. Y’all were making it sound like he used it for a punishment method. He used it as a VERY SATANIC ritual- and sexual gratification edit: I love you guys, so this isn’t hate but we can’t downplay what he and MANY OTHERS ARE DOING IN HOLLYWOOD. There are many more like him. It’s very satanic, the children stuff, the degrading disgusting stuff it’s for a very specific purpose and when your that evil, it’s all that gets you off!",2025-05-25T14:53:25Z,0,0
UgwouBQKAKy5LKgvVvJ4AaABAg,@NachoTimelord,"15:48 lol Cassie's pregnant fyi
21:26 glad we closed the loop 😂",2025-05-25T14:52:53Z,0,0
UgyO2KF3QtL5AZ2FCtd4AaABAg,@zerocool4835,If you know u have been violated and dint call police within 24 hours i would consider that consent not a false report nor not factual but report...but still more than most go thru,2025-05-25T13:55:59Z,0,0
