Comment ID,Author,Content,Publish Date,Like Count,Reply Count
Ugzo6piNZ0NHs-VITmh4AaABAg,@mzcrystallover93,Just because y'all don't like any Tammy and their family for whatever reason doesn't mean you should bully them. Shame on this channel,2025-10-13T13:50:47Z,0,1
UgydcI8dxCU31mfNOWJ4AaABAg,@alexis_1236,Fun fact you can be put half asleep so you don’t feel anything but you can hear everything that’s going on. My mom was put half asleep for her full knee replacement surgery. Scary asf,2025-09-25T23:01:12Z,0,0
UgzehSjP1mJrbnIyL914AaABAg,@Chef.joyardee,15:23 the way they laugh here is intolllllerable 😂😂😂,2025-09-22T21:58:47Z,0,0
UgxKspOkYJlsPn7XrBV4AaABAg,@lp1043,Amy’s too unattractive as it is to be talking about her farts every episode. Especially in front of her fiancé,2025-09-12T00:03:04Z,0,0
UgyFHs268AETfQj9-tp4AaABAg,@snakeinboot,"This is the most I've seen of this season, because it has gotten so stupid!! It's obviously not real in so many ways.🙄",2025-09-03T16:13:21Z,0,0
UgwQnOf4HgusO8lIK4F4AaABAg,@GhostHuntingWithDelta,"If Ken and Dane ever decide they want to ghost hunt, I'd be more than happy to take them 😂",2025-08-17T00:28:08Z,0,0
Ugy0yzfFy6R1HGg_U314AaABAg,@charrussell5774,"she looks damn good for getting half the work done, they'll do her boobs, and legs later. they had to split it up due to the amount of blood loss and how hard it is on the body. give her some time to heal and they'll have her looking less wonky",2025-08-13T12:02:11Z,0,0
UgwzwdVwTv0N5bZMJmB4AaABAg,@BenjaminSmith-v9l,damn bro all the shade amy was giving on on amanda. she was just tired 😂. like im sure it ain’t a pleasure to sit in that waiting room with them for 8 hours 😭,2025-08-07T22:23:32Z,0,0
UgxvRg2QjGEv5xO6zBN4AaABAg,@DemiAisha,"i feel bad for tammy, wdym she put all this work in to live healthier, and she still gotta play in a damn drama show. She looks tired of it",2025-07-31T11:09:48Z,1,0
Ugw6uyZiiotEKVj9Ob54AaABAg,@lyssabetired,"I don’t believe in demons, spirits, ghosts whatever; but I wouldn’t go to the wedding simply because that’s so disrespectful for getting married in a place where people were tortured and died… smdh Amy is such a mess",2025-07-31T06:15:37Z,1,0
UgyQw6VB7Ij26e6d5s54AaABAg,@micheleford4282,it blows my mind that no matter how much weight they lose or gain you cant hide how wierd they look,2025-07-31T03:14:46Z,0,0
