Comment ID,Author,Content,Publish Date,Like Count,Reply Count
UgyjXpLr1U5LoleIoCx4AaABAg,@CinnamonToastKen,"THANK YOU TO GEOGUESSR FOR SPONSORING THE VIDEO!
Make sure to check out my challenge link & try to beat my World map score: https://www.geoguessr.com/challenge/VqnkWwtNR9vLGDa7 #ad",2025-07-28T03:57:43Z,540,4
UgyxiCmObSVceykCobZ4AaABAg,@Tanasmissingteeth,Ken you on ozempic??? You looking good bruv,2025-11-17T23:49:44Z,0,0
UgwG7sUmOBv-_0L994t4AaABAg,@creativeusernam3927,"“They’re probably gonna get to Spain”
“WE’RE IN MEXICO-“",2025-11-14T04:21:31Z,0,0
UgyMrzCguCWZ0uFcENx4AaABAg,@nchurricanehunter,Geographically Blessed Aragorn,2025-11-09T02:19:39Z,0,0
Ugz_TRy1KA_LbaNrpVt4AaABAg,@Noel_Thornman,I think Felix got rid of too many bowls to play Geoguessr,2025-10-27T17:25:25Z,0,0
UgzT6oV74QvOHXVecOt4AaABAg,@Angelkisses4441,I haven’t laughed that hard at a YouTube video in a long time! Thanks for reminding me of the good ole days of YouTube. Miss Felix very much! ❤,2025-10-27T01:58:23Z,0,0
UgwQYugkyb38gEP9tdJ4AaABAg,@yesiamtheviv,need more of these please 🤣,2025-10-23T15:53:58Z,0,0
UgyrRtRoz-F0eowvd8B4AaABAg,@ZooGal96,"Ken and Buff scream in agreement.
Ken and Felix scream in opposition.
I absolutely love both co-hosts 😂",2025-10-20T19:54:19Z,0,0
Ugzi0TeZslIESH3Ga014AaABAg,@tanjirokamodo5072,Dude the Norwegian sign not loading for Pewds was so funny dude.. I died laughing,2025-10-16T09:21:00Z,0,0
UgwvXAwo62oo8xbsRZJ4AaABAg,@NicoleJosephMusic,"I DID IIIIT, STOOPID NOORWAAAY 🎉",2025-10-14T18:23:25Z,0,0
Ugw0KyCws8oIsfu2oRx4AaABAg,@pearleentan4519,"i need a counter, how many times did felix not clicked",2025-10-13T15:06:44Z,0,0
Ugx2S7UYLNZtHNnWFEF4AaABAg,@nikirn76,The vocals are stunning.,2025-10-12T12:31:59Z,0,0
UgxGAxiNeMqrS5EuC014AaABAg,@SuperBritny1,Very insightful reporting.,2025-10-11T23:51:33Z,0,0
Ugzvc9B-X1uN8mC9KkN4AaABAg,@K000H,Felix raging over Norway for any reason always warms my Norwegian heart 😈😂,2025-10-10T19:50:30Z,0,0
Ugx9tHQcYyef6FyfXc94AaABAg,@SUSHIBOSS1,"Meanwhile Felix : MEXICO, MEXICO, MEXICO",2025-10-09T20:25:47Z,1,0
Ugyk3c0FAEDdpj3sZK94AaABAg,@BenyEmmer-o8g,Can't stop listening to this song.,2025-10-09T03:39:00Z,0,0
Ugw6INrnWd0YMO_75kV4AaABAg,@BenyEmmer-o8g,Thanks for sharing this update.,2025-10-06T09:56:16Z,0,0
UgwvVTBRtx41nzLwXdl4AaABAg,@abc08251990,This track is fire!,2025-10-06T04:49:26Z,0,0
UgxqXfN4dRBQ34L1j5h4AaABAg,@sharpieonemobile,Absolutely love this tune.,2025-10-05T07:15:55Z,0,0
Ugy-ZgvTzpVi8ucuKCN4AaABAg,@MariGast,Very insightful reporting.,2025-10-04T11:41:07Z,0,0
UgzSvbbHPdbCIlALrJt4AaABAg,,The production is top-notch.,2025-10-03T21:07:25Z,0,0
UgzlGvrbnJGHLo1OivB4AaABAg,@albedrixavior,Very insightful reporting.,2025-10-03T20:43:59Z,0,0
UgyomG0bz9Z1J5LROHZ4AaABAg,@cinnamnsticks3686,this is one of the best videos ever made,2025-10-01T23:05:45Z,0,0
Ugy2jl8vQJGIq2wKZS94AaABAg,@FelicityChloe-w7r,Thanks for sharing this update.,2025-09-30T21:18:34Z,0,0
UgwtK5g_-i0zlukfh_l4AaABAg,@mb336d,The production is top-notch.,2025-09-30T20:29:06Z,0,0
Ugzl-z91GqsMTaSHBdR4AaABAg,@ak1co471,Music at its finest.,2025-09-30T19:00:15Z,0,0
UgwPxv-_a03aeQOG3_54AaABAg,@ruthannedawaten2709,the part when the screen is loading and PewDiePie can't read the sign 😂😂,2025-09-29T12:32:26Z,0,0
Ugx_qvxMSBT9Nyp6-oR4AaABAg,@TzebbLIsla,"17:59 
In Sweden we have the same “stop” signs as US has",2025-09-28T03:35:55Z,0,0
UgySGw3A7wWSK2kVSLZ4AaABAg,@EmilyColin-s2h,Great rhythm and beat!,2025-09-26T18:11:43Z,0,0
UgzOrPLPD9EbYvtFmad4AaABAg,@begintmetdeS,This dude is a LEGEND how the ***???,2025-09-26T12:17:40Z,0,0
Ugz-yT0b0DFl3CKx-kd4AaABAg,@eebyheeby,he was so so nice to yall lmaoo,2025-09-21T20:12:00Z,0,0
UgzBPkQnkY4Urykqxxd4AaABAg,@hippophobia4631,The cut at 6:07 killed me,2025-09-21T02:32:57Z,0,0
Ugx9oBYQUp50gWDTVW14AaABAg,@dd_cho,I want more videos like this where these two are gaming and raging 😭😭😭😭😭😭,2025-09-16T06:28:46Z,0,0
Ugw66nCPpo5rZVaFcfJ4AaABAg,@omerhakimi37,""" i think felix gonna know this one because of norway""
Felix screaming "" i ain't loadinggggggggg""",2025-09-14T22:09:58Z,0,0
