Comment ID,Author,Content,Publish Date,Like Count,Reply Count,Detected Language
UgyVWxhNII8rQ0ARm7J4AaABAg,@BinkyJones-g4g7k,Is Nutter Butter apart of the Goofy Goober doomsday cult 😂,2025-11-15T21:41:08Z,0,0,en
UgwP3YFqsdq0YWSXDzV4AaABAg,@dylanrinker6831,"""Is butter bean okay?""",2025-11-15T12:34:30Z,0,0,id
Ugx6p0EY-inRy9Piq9h4AaABAg,@gilla2092,It worked tho cus i used to eat them a lot and im eatin them again from their instagram being unhinged 😂,2025-11-15T07:39:27Z,0,0,en
Ugx2qINXfkmhYq4RU0p4AaABAg,@kaitlync4786,"People are into this stuff, so the marketing works. But wow are humans getting weird lol (me included).",2025-11-12T22:56:25Z,0,0,en
Ugw-Lc2enuoHV30Ghul4AaABAg,@daviidarkangelx8224,Its called Shock value. And people love it,2025-11-11T22:12:33Z,0,0,en
Ugxnm5mHR7g-HJtk0xp4AaABAg,@Fearsia,This reminds me of Gen Alpha humor,2025-11-07T05:58:24Z,0,0,en
UgyBquUZtLqr1u7yRuF4AaABAg,@unceasingfish2308,Now do Pinesol,2025-11-06T19:29:34Z,0,0,Other
UgzUORvu_p0ffVD-xSx4AaABAg,@k1a18i5,PLEASE MORE DEEP DIVES 🥺🥺🫶🫶🫶,2025-11-01T15:26:17Z,0,0,Other
UgxIW8ElHpUQMoFSLE54AaABAg,@Fauxkerykes,"Wendy's has been out of pocket for a while now. I don't eat fast food or processed foods, but really like Wendy's posts. They are hilarious.",2025-10-30T09:29:45Z,0,0,en
UgwcnH5EfXWaxThQgMt4AaABAg,@happyrex5142,No big Deal,2025-10-24T23:01:38Z,0,0,Other
UgwquyyPWOhQH77RUsN4AaABAg,@DouchebagVonFuckFace,We not gonna talk about the absolute drip that dane is wearing?,2025-10-24T08:37:10Z,0,0,en
UgwHE8jqSE4Baj6grbp4AaABAg,@BlueWuffy,"You missing out on Pine-Sol and Brita.
""Cleanse my sol""
""Breath and Hydrate. Breath, Breath, and Hyyydrate""",2025-10-24T00:44:12Z,0,0,en
Ugy-1v6Ru1ij1mc9RyJ4AaABAg,@CyberKevin27,Who likes them more than stoners and/or someone tripping? This may actually be genius,2025-10-23T03:22:40Z,0,0,en
Ugz9svgfiGd84R0B3Dx4AaABAg,@maxturbo45,"I love a good nutt, but this is fucking wild...",2025-10-18T22:29:01Z,0,0,en
UgyiJ4CFM0XT6AnMsEJ4AaABAg,@CarvedRoastBeef,When you take a few too many tabs of acid lol,2025-10-17T04:49:12Z,0,0,en
UgzCkAYiLc3XsTXPeWR4AaABAg,@TinyMurderMuffin,So .... nutter butter became analog horror 😶,2025-10-12T02:16:45Z,0,0,en
UgyZavGPQ9F3Q_QrTVB4AaABAg,@manic_hearts,"Pinesol, Mug, Nutter Butter...definitely Gen Z",2025-10-05T03:20:42Z,0,0,Other
Ugytjuf2YkrLz_KpwRJ4AaABAg,@thekekronomicon590,I do not care about nutter butters !,2025-10-04T19:28:18Z,0,0,en
Ugz6CR_tgrhGjI7l1IN4AaABAg,@Flowerse,What in the twenty one pilots lore dive is happening here,2025-09-29T01:50:44Z,0,0,en
UgwISS55LwV_sEQ8uBR4AaABAg,@hkmonea,"I noticed there instagram page is just like that too, its soo strange.. but I think I want a nutter butter now lol!!",2025-09-27T23:30:16Z,0,0,en
Ugy3AppBg97uszDHWYN4AaABAg,@enewg6722,It started with duo lingo,2025-09-25T21:53:18Z,4,0,en
UgzHn5ayl3FYz6iwB9x4AaABAg,@harrassmentpanda6736,The reaction from Sour patch kids was hilarious 😂,2025-09-25T17:56:43Z,1,0,en
UgzOPAqORzvwX6Bcr0N4AaABAg,@Juperbooper,"Gen z here, this style of content falls under the “brain rot” category! Some people love it, some people hate it, many people are probably confused 2:16",2025-09-25T06:13:36Z,1,0,en
Ugyl2rGFviyUZKVwBv14AaABAg,@MeganSpruce90,"If we all send a message or tag Nutter Butter on socials, surely they will send Ken some nutty merch",2025-09-24T21:07:51Z,0,0,en
UgzyzGzHyhPD3UhASP94AaABAg,@hexorcist4537,Reminds me of the Quiznos ads with cats shooting lasers from their eyes.,2025-09-24T17:19:42Z,0,0,en
UgzpwMHRrZkthpvVxSF4AaABAg,@cavemandelta,Jesus Christ....just wow....,2025-09-24T02:20:25Z,0,0,en
