Comment ID,Author,Content,Publish Date,Like Count,Reply Count
UgyVWxhNII8rQ0ARm7J4AaABAg,@BinkyJones-g4g7k,Is Nutter Butter apart of the Goofy Goober doomsday cult 😂,2025-11-15T21:41:08Z,0,0
Ugx6p0EY-inRy9Piq9h4AaABAg,@gilla2092,It worked tho cus i used to eat them a lot and im eatin them again from their instagram being unhinged 😂,2025-11-15T07:39:27Z,0,0
Ugx2qINXfkmhYq4RU0p4AaABAg,@kaitlync4786,"People are into this stuff, so the marketing works. But wow are humans getting weird lol (me included).",2025-11-12T22:56:25Z,0,0
Ugw-Lc2enuoHV30Ghul4AaABAg,@daviidarkangelx8224,Its called Shock value. And people love it,2025-11-11T22:12:33Z,0,0
Ugxnm5mHR7g-HJtk0xp4AaABAg,@Fearsia,This reminds me of Gen Alpha humor,2025-11-07T05:58:24Z,0,0
UgxIW8ElHpUQMoFSLE54AaABAg,@Fauxkerykes,"Wendy's has been out of pocket for a while now. I don't eat fast food or processed foods, but really like Wendy's posts. They are hilarious.",2025-10-30T09:29:45Z,0,0
UgwquyyPWOhQH77RUsN4AaABAg,@DouchebagVonFuckFace,We not gonna talk about the absolute drip that dane is wearing?,2025-10-24T08:37:10Z,0,0
UgwHE8jqSE4Baj6grbp4AaABAg,@BlueWuffy,"You missing out on Pine-Sol and Brita.
""Cleanse my sol""
""Breath and Hydrate. Breath, Breath, and Hyyydrate""",2025-10-24T00:44:12Z,0,0
Ugy-1v6Ru1ij1mc9RyJ4AaABAg,@CyberKevin27,Who likes them more than stoners and/or someone tripping? This may actually be genius,2025-10-23T03:22:40Z,0,0
Ugz9svgfiGd84R0B3Dx4AaABAg,@maxturbo45,"I love a good nutt, but this is fucking wild...",2025-10-18T22:29:01Z,0,0
UgyiJ4CFM0XT6AnMsEJ4AaABAg,@CarvedRoastBeef,When you take a few too many tabs of acid lol,2025-10-17T04:49:12Z,0,0
UgzCkAYiLc3XsTXPeWR4AaABAg,@TinyMurderMuffin,So .... nutter butter became analog horror 😶,2025-10-12T02:16:45Z,0,0
Ugytjuf2YkrLz_KpwRJ4AaABAg,@thekekronomicon590,I do not care about nutter butters !,2025-10-04T19:28:18Z,0,0
Ugz6CR_tgrhGjI7l1IN4AaABAg,@Flowerse,What in the twenty one pilots lore dive is happening here,2025-09-29T01:50:44Z,0,0
UgwISS55LwV_sEQ8uBR4AaABAg,@hkmonea,"I noticed there instagram page is just like that too, its soo strange.. but I think I want a nutter butter now lol!!",2025-09-27T23:30:16Z,0,0
Ugy3AppBg97uszDHWYN4AaABAg,@enewg6722,It started with duo lingo,2025-09-25T21:53:18Z,4,0
UgzHn5ayl3FYz6iwB9x4AaABAg,@harrassmentpanda6736,The reaction from Sour patch kids was hilarious 😂,2025-09-25T17:56:43Z,1,0
UgzOPAqORzvwX6Bcr0N4AaABAg,@Juperbooper,"Gen z here, this style of content falls under the “brain rot” category! Some people love it, some people hate it, many people are probably confused 2:16",2025-09-25T06:13:36Z,1,0
Ugyl2rGFviyUZKVwBv14AaABAg,@MeganSpruce90,"If we all send a message or tag Nutter Butter on socials, surely they will send Ken some nutty merch",2025-09-24T21:07:51Z,0,0
UgzyzGzHyhPD3UhASP94AaABAg,@hexorcist4537,Reminds me of the Quiznos ads with cats shooting lasers from their eyes.,2025-09-24T17:19:42Z,0,0
UgzpwMHRrZkthpvVxSF4AaABAg,@cavemandelta,Jesus Christ....just wow....,2025-09-24T02:20:25Z,0,0
UgxENJ-ar_yksEHPmiN4AaABAg,@MassXPP,"I love nutter butters, but pro tip krogers is half the price and better in my opinion :)",2025-09-23T09:12:10Z,0,0
UgzcCBUlwzWPYoI8CUB4AaABAg,@nicolestephens6915,"Now I wanna know what Dominos was up to with their Tiktok.

They started out weird with their videos. Nothing but brain rot. Now it's not like that but they could totally go this route. Their mascot has always been a villain and they did JUST bring him back not too long ago.",2025-09-22T08:40:35Z,4,0
Ugyu2q-4hlPDamAhLQx4AaABAg,@AngelaMalone-fs9rq,I ate a lot of those when I was 8 lmao,2025-09-22T02:35:49Z,0,0
Ugyntb_jJTi66jcE-el4AaABAg,@peterlum4365,I am lucky to be in Canada..................we don't have nutter butter..................................emphasize the NUT!!!!!!!,2025-09-22T02:31:59Z,0,0
UgzF0XmZGDyBFoEFjZl4AaABAg,@JenK92,Brain Rot Worldwide,2025-09-22T00:53:01Z,1,0
Ugxx_Bv4EpmkyEFxQZt4AaABAg,@Onyx0926,You HAVE to do PINESOL! They're unhinged as well!,2025-09-20T14:52:35Z,0,0
UgxJW1kI_cLFMPUB2Yx4AaABAg,@BadInfluence433,Nut water? That just sounds wrong,2025-09-19T06:52:31Z,0,0
UgxJ73BG7kT1UeNUJep4AaABAg,@paigeholland2808,I love this😂,2025-09-19T03:22:09Z,0,0
UgxqMej344jqdXRxheR4AaABAg,@Kacicrazy,Ken needs to see pine sol’s page 😂,2025-09-19T02:24:59Z,1,0
UgzbvQytQNC_oTm0K9t4AaABAg,@hannahbowser760,For once I finally watch and finish a ken video on my actual birthday and get to hear him say it to meee🤣,2025-09-19T01:58:57Z,0,0
UgwT30n0PmMUluxWF494AaABAg,@avamarie4763,i kinda want a nutter butter now,2025-09-19T01:22:32Z,0,0
Ugy5Op7U4Fsizd75gil4AaABAg,@peachysara,Whatever they’re doing is working.  I am craving them so bad now after watching this. 🥜,2025-09-19T00:15:26Z,0,0
UgxMxON5LusJWhccqkt4AaABAg,@AidanFetter,I can't believe they did this to me! I knew it wasn't a dream!,2025-09-18T19:33:09Z,0,0
UgwA6cdeXfYTwZm_tzZ4AaABAg,@MemoriesOf2Mrw,Cinnamon toast crunch has Dahmer vibes now... Guess it's working lol,2025-09-18T19:07:39Z,0,0
Ugy1xlvw7smV-aurM3x4AaABAg,@valoressbqiskrnrjbx5025,"I kinda want one now, and i havent eaten one since i had to be like 5",2025-09-18T14:55:46Z,0,0
UgyN9qchn9a0pubHzON4AaABAg,@ImCarpet,This did make me want a Nutter Butter so it’s working,2025-09-18T13:29:40Z,0,0
UgxspHa1Bu2M6zbfKZN4AaABAg,@TitanicDwarfanGiant,Choc covered nutter butters are AMAZING,2025-09-18T04:28:41Z,0,0
UgzDIDZ8Nnyde6QRF054AaABAg,@forever_seeking,pinesol is learning from nutter butter,2025-09-18T04:10:39Z,0,0
UgyljVFmpTP1cGI4_sd4AaABAg,@caodesignworks2407,"I love Nutter Butters, but haven't bought them in years. Mostly because once you've had a few, that's kind of all you need for a while",2025-09-17T15:48:56Z,0,0
Ugzph-QJB3e8WDqc2vt4AaABAg,@1WEareBUFO1,My favorite CTK/buff videos are some hyperspecific media I've never ever seen 😂😂😂,2025-09-17T13:57:36Z,0,0
Ugws1C7te9lrZpoR3_94AaABAg,@BloodyIRose,Now it would be a genius move to ask Scott Cawthon to make a game for them 😂,2025-09-17T13:31:19Z,0,0
