Comment ID,Author,Content,Publish Date,Like Count,Reply Count,Detected Language
UgzIAB1bZ4_8wvdlFgB4AaABAg,@trinihulk6272,FIRE GAME REMINDS ME A LITTLE OF PARAPPA THE RAPPER FROM THE 90S PLAYSTATION DAYS,2025-11-25T06:59:26Z,0,0,en
Ugx_isF1CycekJC0XXN4AaABAg,@Apk_4k,i used to play ck mode when it first came out,2025-11-25T06:25:59Z,0,0,en
UgyVoFjlTH_owgyRAyx4AaABAg,@karlienghijsens3560,I'm here ay Cory how can u do that,2025-11-25T06:13:39Z,0,0,en
UgyeGfOLahig1exrO6h4AaABAg,@lemonytibbits,"Soo if by chance you want any mod recommendations for fnf, I recommend starlight mayhem, some persona references in there plus a few cute girls :D",2025-11-25T05:54:46Z,0,0,en
UgyzwRZ6o6CDupbf9il4AaABAg,@BlueBoyAsh11,yoooooo,2025-11-25T05:21:34Z,0,0,Other
Ugzee54zF4TVVGVkHyR4AaABAg,@NicoMambino,"8:29
Not him actually choking 💀 😂",2025-11-25T04:41:19Z,0,0,en
UgzpRnCSzV9Ix_qDlol4AaABAg,@RatGod_Nezu,2:58 got me feeling specky woods,2025-11-25T04:13:02Z,0,0,Other
Ugyh0-T5TBXmMXWxs4J4AaABAg,@Killergamer198YT,Bro I never noticed he did fnf!!! Let’s go,2025-11-25T03:54:54Z,0,0,en
UgzXwuwo1DkTvDqPDcB4AaABAg,@ohmayumi,real ones remember his camera always lagging out,2025-11-25T03:44:28Z,0,0,en
Ugxv92BcBf3hA5VVShB4AaABAg,@Hat3Slendersmeto,I thought I remembered already watching this,2025-11-25T03:41:31Z,0,0,en
UgwIAymCHqbqlk4GBO94AaABAg,@NylahMyles,The fit is 🔥,2025-11-25T03:08:23Z,0,0,en
UgwCUcyI3R58CRGs0bB4AaABAg,@randomshow9366,There is NO way this man kept this banger from us for 4 years.,2025-11-25T02:49:51Z,0,0,en
UgyXXseoPF_mWrPSyKV4AaABAg,@Chessecakeeeeeeeeeeeee,Tyler the creator?,2025-11-25T02:24:36Z,0,0,en
Ugx3PWb7vD0LP7Dn2PB4AaABAg,@dylan-d7n,"Dear coryxkenshin, you would love Friday night funkin now, please play Darnell, and if you don’t I will lose my mind.  Thank you for your time P.S I love your videos",2025-11-25T02:18:54Z,0,0,en
UgxUi_wLXZ7z09HlrjZ4AaABAg,@Unfandecheems,I hope Cory makes a new fnf video playing all the new stuff 😢,2025-11-25T02:15:05Z,0,0,en
Ugykb3ZNhMAz_qCrSfB4AaABAg,@blikk6562,3:37 fill me up???,2025-11-25T01:41:38Z,0,0,Other
UgyJgf55jJpQtGG6VVF4AaABAg,@hatkid1248,Hey Cory you should play vs rewrite round 2 mod it's absolute cinema 🗣🔥,2025-11-25T01:29:57Z,0,0,en
UgxS2OfrS0Hh00XyyE94AaABAg,@LailaMckinnie-v4u,I donated before you make your video,2025-11-25T01:08:40Z,0,0,en
UgxxfVfR8S6-1FTKjnB4AaABAg,@memi-x7w,How did he know I wasn’t standing up,2025-11-25T00:57:11Z,0,0,en
Ugy-lpt1djmuA2W2UT94AaABAg,@OCY3074,TRY FNF whitty mode,2025-11-25T00:53:49Z,1,0,en
Ugzz8urKK6-sRhWCwIJ4AaABAg,@kansha-ST4R,now i wanna give to them make a wish kid,2025-11-25T00:29:19Z,0,0,en
UgzjXyCC1YZgc3G2cl94AaABAg,@VeVeErI-w3l,Nahh when he chocked on his spit I literally said “dont die Cory” like he could here me 🤦🏽‍♀️🤦🏽‍♀️🤦🏽‍♀️,2025-11-25T00:02:48Z,0,0,en
Ugw7dVZCRjubXXBN1414AaABAg,@Otsutsukireaper,nice vid,2025-11-24T23:44:34Z,0,0,Other
UgziQ1luBq7gCZQ8C314AaABAg,@LilMkilla,Mb Cory I couldn’t stand up I’m in the car otw to a hotel in another state,2025-11-24T23:39:48Z,1,0,en
UgwEHReo9fJ1pF3BiGl4AaABAg,@tailesstommythecat,"I love this. Many hours wasted,  but not really.",2025-11-24T23:12:20Z,0,0,en
Ugwahqc-__pPk4pMyWt4AaABAg,@DimSlimDaMonkey,22:00,2025-11-24T22:55:01Z,0,0,Other
UgxEu4UdhHxY1fId2AN4AaABAg,@Baalphuu,IM CRYINGG. he couldve just paused it while h ewas choking but he just kept going im SOBBINHGHGG,2025-11-24T22:41:29Z,0,0,en
UgxUvTyAY8o5Oa5FoWd4AaABAg,@PLAYBOYSTAT19,"I’d wish he will play one of the mods as in whitty, tricky, garcello, sky, and more",2025-11-24T22:03:36Z,0,0,en
UgyYrjpJgf44zS41i5J4AaABAg,@aleeshaxgamer_123,The movement of the skeleten and pumpkin look like they are pulling out their eyes,2025-11-24T21:28:18Z,0,0,en
Ugyob-sZxclbHwa34254AaABAg,@Skulliosis-backbone,second time we almost lost cory,2025-11-24T21:27:11Z,0,0,en
UgwfkHOYAXKwmmMVAKR4AaABAg,@YOU-mpll,That WeLcoMe we’ll never get old,2025-11-24T21:15:22Z,0,0,en
UgyoAvzFbxDcVNk0Snd4AaABAg,@aleeshaxgamer_123,0:16 how do you know,2025-11-24T21:13:51Z,0,0,Other
UgzqasHf4mJ1Ij5so554AaABAg,@VEEFAN427,MEE,2025-11-24T20:33:19Z,0,0,Other
UgzLsHT27HakVsBOAkR4AaABAg,@treasineumcdaniel9368,Samurai stand up!!!!!,2025-11-24T20:32:50Z,0,0,Other
UgwauEfaqob6gr6-We14AaABAg,@FirexdBro,I wish cory could react to video suggestions and react to them. Like I want him to react to idk video game rap battles or something but I know he's to busy for that sadly,2025-11-24T19:29:02Z,0,0,en
UgzT0qqlAcjkOpq9pNJ4AaABAg,@Ziggy-t8z,Day three of saying hi to Cory until he notices,2025-11-24T19:11:43Z,0,0,en
UgzSdB7GWX4T2qJ1aix4AaABAg,@LJ_18,IS THAT MOMO😭😭🙏,2025-11-24T18:59:27Z,0,0,en
UgzJPRo1j5aEcM2zLZN4AaABAg,@camrynglisson7827,GETTIN FREAKYYYYY ON A FRIDAY NIGHT 🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉,2025-11-24T18:58:44Z,0,0,Other
