Comment ID,Author,Content,Publish Date,Like Count,Reply Count
UgyOQwQ9JSGjgHsMjnR4AaABAg,@DanTDM,I filmed this video a year ago and forgot to upload it so enjoy 😂,2024-11-09T18:57:02Z,15308,422
UgzhSmB8wIH-Yuk8hBp4AaABAg,@Glass_665Riotous1,"8:48 Um, 100? I could be wrong.",2025-11-08T19:12:09Z,0,0
UgxK2HNB3BW33bWVZ_x4AaABAg,@tortoiseteach,idontlicthetaysovchicinz,2025-10-21T07:34:08Z,0,0
Ugytzs3Juk-SFHjHFst4AaABAg,@MichealNotMike,5:37 The parent talk,2025-09-29T03:05:29Z,0,0
Ugy_xhTnawqsT95G3ZV4AaABAg,@MrIceCube713,The idea was so nostalgic that he grew hair,2025-08-24T08:45:25Z,0,0
Ugy4xSto144T-_Xz6Md4AaABAg,@ahmerfaisal4325,6:23 “being a human in a cat body I’m going to do whatever the- whatever I want” 😭✌️,2025-08-17T03:28:42Z,0,0
UgzGd16efTQFI1jcjL94AaABAg,@fatimarizvi3564,bro  u already have endless imagination,2025-08-11T18:13:20Z,0,0
Ugx2nZ4q9OLoIaPG2ol4AaABAg,@legomanbekfast7061,Dantdm is a furry confirmed 😂😂😂😂😂😂😂,2025-08-11T05:05:01Z,1,0
UgwUAV0wcEbtOId2HPd4AaABAg,@SnicklefritzdoesYT,Tally Hall & ahh title,2025-08-08T06:29:54Z,0,0
UgxKZKfj4c0osr85wZB4AaABAg,@ZeeCozyFox,The red one has been chosen nostalgia,2025-08-04T13:54:58Z,0,0
UgzJQogennbTOptCtbZ4AaABAg,@PRPL_PUNK,the saddest moments of my life was getting hit by a car in January so i’m going embarrassing moments,2025-07-20T10:03:37Z,0,0
Ugzas9FDSKOg336bQFl4AaABAg,@Spyroossecondaccount,"5:39 Bro, McDonalds is just grinded up children and rats as a patty MARKETED AS FRESHLY GRILLED, old toppings, and processed sauce.
Vegetables 100%.",2025-07-18T19:08:50Z,0,0
Ugye3LVx0Vlwb_rsuOd4AaABAg,@Spyroossecondaccount,"4:24 Red is already me, I have the most depressed/emotionless face for no reason. 😂",2025-07-18T19:05:25Z,0,0
UgwWOrYVBYs9tdGeAXd4AaABAg,@triceratops3,"why are most of these just variations of ""would you rather be stupid and happy or smart and sad""",2025-07-15T16:24:19Z,2,0
UgxsfmApOwXPvUHJ52h4AaABAg,@SunDueYT,"Dan, it’s because it’s teror1sm",2025-07-15T15:07:13Z,0,0
UgwNw7OaOd2V9vmLBAV4AaABAg,@Serene_Takami,I have a total of 23 aunts and uncles 10 from my dad side and 13 from my mom side and both my parents are the middle child🤪👍🏼🌸,2025-07-14T14:57:22Z,0,0
UgxTHYTg-nE2hOfZvVx4AaABAg,@ZayanKhan-b7e,"500 hundred yearrs ago

this got me rolling in the floor😂😂",2025-07-07T19:06:58Z,0,0
UgyJ34guQeU5NcZwaMd4AaABAg,@T0tallyCharl1e,"5:05 never have to breathe that's it, I do it automatically most the time 💀",2025-07-04T10:38:22Z,0,0
UgzOeKpN58usGUdYkp94AaABAg,@jbxpdesigns,"4:17 yeah, how can we eat Fried Chickens? 😭😭😭",2025-06-25T16:08:20Z,0,0
UgyYl-5CF4gkNDCLDCR4AaABAg,@0rangekn1ghtplayz187,"I would have chosen poor but smart; if I was smart, I would've thought of a good way to make money",2025-06-23T20:45:58Z,0,0
Ugyi0GVzifw-T2nWKr94AaABAg,@Domination_monke,the red one has been chosen AAUUUUUUUUUUHGH,2025-06-21T20:35:06Z,0,0
UgxS778Yu6UM4Ak7y5Z4AaABAg,@witherwhiz,4:08 you can still milk goats,2025-06-18T22:38:11Z,0,0
UgyRgyX-KNHSfYacoMN4AaABAg,@RhysRaphael-o1e,4:56 You could breath in space and underwater,2025-06-16T16:25:50Z,0,0
Ugx4ofnC5Ngtkq2lIBF4AaABAg,@nathankoosh8624,The fact that his hair instantly grows 3 inches,2025-06-08T07:34:41Z,0,0
UgzlULGIIrW6cvG3WTF4AaABAg,@NUMBER1WINNERFAN,3:34 I would pick red so I can see my tortoise again...,2025-06-05T22:06:51Z,0,0
UgxHDbz2oTfJtILJPKV4AaABAg,@Bo2memories,"Oh no, the red one has been chosen!!!!",2025-06-04T03:58:01Z,5,1
Ugx8wjefstsvts1PSLl4AaABAg,@Fern-Guy,13:55 this aged badly 😢,2025-05-28T09:09:23Z,0,0
Ugz424hdaXtRjqitTxd4AaABAg,@lebasementdweller8453,"Well, learning some trivia about DanTDM today, I guess.",2025-05-28T05:03:11Z,0,0
Ugy5DvKBQNiA0V_LsiN4AaABAg,@Mist_Hunter08,"11:12 when I was younger, my dad used to say that his accent was fake and seeing would’ve confirmed it for him😭",2025-05-15T08:44:56Z,0,0
UgwYqjwvGdZmOdrjGcZ4AaABAg,@coltli-koolade,I need CHEESE 🧀🧀🧀🧀🧀🧀🧀🧀🧀🧀🧀🧀🧀🧀🧀🧀🧀🧀🧀🧀,2025-05-12T21:18:17Z,0,0
Ugxu6d7shM0RyOeiWZd4AaABAg,@TobinSorensen-n9t,Rock paper scissors is technically all skill,2025-05-12T16:53:42Z,0,0
Ugw8SchuUYrun9J0Y9l4AaABAg,@mrl1ncttv,13:55 this aged well,2025-05-11T12:40:03Z,0,0
UgwrcKu1oCOK62OObmp4AaABAg,@hinnahanif4101,9:41 I dont have any friends and love life with no friends,2025-05-10T15:31:54Z,0,0
UgxkGV7v1QeXjiLvkcd4AaABAg,@DcukyTale,this was published in 2024 and he said 2023,2025-05-09T13:49:42Z,0,0
UgzeXCuArhSN3fO-caZ4AaABAg,@pancake-Willow,never have to breath= underwater is better now,2025-05-06T21:10:16Z,0,0
Ugz75EXv7g9kTW-iSCt4AaABAg,@Liam-v9c7f,"10:43 You read all the books, and be able to recall any knowledge from those books at anytime?",2025-05-06T19:01:55Z,0,0
Ugza9KtL9WkLnc_mS_x4AaABAg,@HarryWyper-p7u,"I live in Wales 🏴󠁧󠁢󠁷󠁬󠁳󠁿󠁧󠁢󠁷󠁬󠁳󠁿, UK",2025-05-05T19:36:57Z,0,2
Ugwjd8apn3gVCoqsR4h4AaABAg,@Fhevskri,"""the idea is simple""",2025-05-04T19:41:19Z,0,0
UgxtG66rmmoo35eHgYt4AaABAg,@HungTranGia-z3s,"This is perfection, the result is immaculate.",2025-05-04T01:42:21Z,0,0
UgzNFNzrEPT7C7ABtC14AaABAg,@Jones-Vr-u9e,8:47 I know how many eggs it is it’s 100,2025-05-02T15:07:15Z,0,0
UgzqIdoH7Kgb_rbF_1p4AaABAg,@MooZi-1,Dan u should change the 5 mins that made u build that raid farm,2025-04-27T23:29:15Z,0,0
Ugyart7POD7T0vRbHVZ4AaABAg,@ognjenstojanovic9322,"13:58 he isn't doing well, unless you count heaven",2025-04-22T20:38:03Z,0,0
UgywJGx41Ibzd6ulfbJ4AaABAg,@WalmartDirtbag,The pope refrance is wild if ykwim,2025-04-22T09:26:43Z,1,1
UgyI7OFGockSRjL5Jlt4AaABAg,@EminemAndJuceWrld,6:23 I had a friend that had a cat that died and didn’t come back. CATS DONT HAVE NINE LIVES! (They had the cat since it was born),2025-04-22T00:17:29Z,0,0
UgyJSP-_GSqcbBzzKXZ4AaABAg,@nearorange,"Hi dan. I just wanted to say that you rock. I've been watching you since I was six, because are you are the best YouTuber out there. Stay awesome!",2025-04-20T16:35:56Z,0,0
UgwLcBMBpcmbl8BhbWZ4AaABAg,@RPP-6J,It's 1 2 3 Shoot,2025-04-16T23:45:15Z,0,0
UgzHa4-M42mbQuRJ5S14AaABAg,@Animates2222,I have 9 sisters and 3 brothers😢,2025-04-14T07:33:33Z,0,1
UgwA4kRh_PSyPsULI9J4AaABAg,@Briaano,cows should go instinct because all the polluting they do,2025-04-13T10:56:03Z,0,0
UgyS3g3GoFcvcM-cqml4AaABAg,@genki1323,"Whatttt.... Howd the views go from 21m to 1m 😰 bro mr beast sucks, and somehow his crap of a video gets more views",2025-04-13T03:15:36Z,0,0
UgzyUW-Qng0BNsK9L4t4AaABAg,@Chipandtristan,"9:08 Going to say this when you time travel change anything,change everything",2025-04-11T23:34:33Z,0,0
UgwDBIcP8_9ni30Mejd4AaABAg,@Danziel_W,1:45 I have 10 siblings (Half siblings) But I don't see any of them and I'm the oldest,2025-04-11T20:44:23Z,1,0
UgykLPi_Bt507yNvVhN4AaABAg,@DrSamChance,Dantdm really it fan,2025-04-10T14:13:39Z,0,0
UgxUadDX43AMIqzBGRJ4AaABAg,@ChillsStudi0,"no one asked but the question in the thumbnail is a trick question. pick poor and smart, if you're poor but smart, then you should be smart enough to know how to run your own business and be an entrepreneur and then you'll be rich and smart.",2025-04-10T07:34:54Z,0,0
Ugz3lJmjwnl-pAsD9ZV4AaABAg,@abdur_rafay_wali_68th,missed it- a lot,2025-04-06T20:08:27Z,0,0
Ugzg-fVyrFXRUERS5at4AaABAg,@EmineShuaipi-d4v,I can't wait for the baby,2025-04-02T08:49:08Z,0,0
UgwaZ6-FxEaNrQeJ6mh4AaABAg,@tenthl32,I’d rather be poor and smart so I can scam the rich and dumb people into getting me money,2025-03-31T12:37:07Z,1,0
UgwOikkD1mPddvrmWQt4AaABAg,@ada-j2w,You are my comfort youtuber,2025-03-25T13:00:51Z,0,0
UgyXbd4F544C2yqEmqh4AaABAg,@janimations_100,It IS years not yeas.,2025-03-22T23:53:29Z,0,0
UgyMfshcEGkWxrw4m5N4AaABAg,@neoswagtwigofthetwignation9778,11:12 Dan has an American alter ego! 🤯,2025-03-20T09:21:44Z,1,0
UgxELsVTxshNG9GGLwJ4AaABAg,@echy8766,4:14 I need my chocolate milk bro,2025-03-17T02:32:59Z,0,0
UgwM_a9c2caR7bMNYxl4AaABAg,@turtlesoup72g.70,woah did bro say older brother!? I remember the twins video,2025-03-10T02:33:28Z,0,0
UgxcoxbBUhO7xD6inxt4AaABAg,@camellecc,I don’t think I can handle 10 siblings that would drive me nuts 🙂‍↔️,2025-03-09T06:58:31Z,0,0
Ugxb0se3lpxBbmy2oMt4AaABAg,@zacharywallace,I have 6 brothers and 1 sister,2025-03-05T13:54:27Z,0,0
UgxcP0kmZnX_U8M9KLx4AaABAg,@Duckloman35,def not out of ideas,2025-03-05T00:20:11Z,0,0
UgzGgtEwlzRtBAl8alV4AaABAg,@Ross-g7u7o,Here's how you do the decisions up to 5 minutes in the past change decisions about the past and become a literal time god,2025-03-02T11:28:38Z,0,0
UgwY4mHciMU2MUOZWnt4AaABAg,@NateGeneration1Nano,12:55 don't think I can stand more than one life,2025-03-02T05:04:01Z,0,0
Ugx5ewo9iYI85hN7rzt4AaABAg,@Sh0wZee-animates,If you remove all cows then everyone would have a dad,2025-03-01T09:42:13Z,2,0
Ugwmd2i5SzpN2uvtATt4AaABAg,@kristinakozlovska1052,I want to see more build battle videos,2025-03-01T06:41:55Z,0,0
UgxYJYsoYU2ywbas5g14AaABAg,@aisurge.org900,13:10 danthediamondminecart: 'is jupiter farther than the moon?' average grown dad knowledge,2025-02-28T12:18:33Z,0,0
UgwBgPN1cumRPGc_JhV4AaABAg,@Winters_Playhouse-hx8qw,9:17 I mean the butterfly effect can't do that much considering the fact it's only five minutes so the world isn't going to end right now bc of it,2025-02-27T14:24:47Z,1,0
UgwraXHhcOHO-CqEnix4AaABAg,@Winters_Playhouse-hx8qw,7:13 Just ask someone to read for you!! 😁😁 Easy! So I agree,2025-02-27T14:20:57Z,0,0
UgyDLP2DKnQisHj8awd4AaABAg,@Winters_Playhouse-hx8qw,"4:12 You could literally get veggie burgers, and those taste amazing trust me!!",2025-02-27T14:17:15Z,2,0
Ugxbtj5W3GNPqhjBUUZ4AaABAg,@AbstractPenny,11:10 is funny to me because i was literally watching this video as one of my vague references for a British accent for an audition lmao,2025-02-25T07:40:56Z,0,0
UgwdNpRbhd4Nt7hGC-l4AaABAg,@Destile666XD,Well not being able to read is my life,2025-02-23T20:51:29Z,0,0
UgzwMe87dYF9QAeaEVZ4AaABAg,@OtherOther1,"I have ten siblings, 7 brothers 3 sisters",2025-02-23T15:02:15Z,0,0
UgyE9E9coxkLVYEqgph4AaABAg,@Loglea,4:14 if you lose cows it would be ok cuz you can get Milk and burger from different meat also it would be better for global warming,2025-02-22T12:12:18Z,0,0
Ugxs7VVuRdaK8TBe4_14AaABAg,@generalivan3489,I've seen these videos before!,2025-02-22T11:11:41Z,0,0
Ugx34bpdnUclHVsNXap4AaABAg,@someoneyounevermet,"Dan!
Hello!
I’ve watched you for as long as I can remember, you were a huge part of my childhood.
Thank you.
Thank you so much 
You were here when no one else was.
You helped me develop a relationship with my brother.
Me and him grew up watching you, and then I introduced you to my little brothers. They’re 5 and 6 and they love you Dan.
I wish you the best Dan :)
-wildkard",2025-02-14T17:07:53Z,0,0
UgyucGZC1xK56f4Qi614AaABAg,@MickeyMalone-e9s,I love your vids their so great pls if that is fine,2025-02-13T15:58:02Z,0,0
