Comment ID,Author,Content,Publish Date,Like Count,Reply Count,Detected Language
UgzLfKmXL0JIKri_9FR4AaABAg,@Amber-xo5xy,I love you so much,2025-11-01T14:19:26Z,0,0,Other
UgwRdc3fQ1isD9GYn1N4AaABAg,@Dexter-nb9wl,The difference between you and let's game it out is that he would've placed thousands of coasters that go straight into the ground.,2025-10-13T18:12:27Z,0,0,en
UgxUqJumIaZODvQhyrZ4AaABAg,@Christian_Addi,"Stay faithful to God even if your friends aren’t and Jesus is coming back soon, In Jesus Name, Amen!",2025-09-25T21:45:06Z,1,0,en
Ugw6g8cTvjwa1iPqx3R4AaABAg,@bepzi_on_gd,Make a skate 4 vid PLEASD,2025-09-25T16:25:43Z,0,0,Other
UgzaRdDsjtAA_bhEejN4AaABAg,@Tommy-nr3vv,Lgio flashbacks,2025-09-01T01:18:21Z,0,0,en
UgzhVDf1_PYvQ-9PDn14AaABAg,@Lemonade-125,Tbh im suprised this didn’t start with hey there it’s josh,2025-08-19T17:25:39Z,22,5,en
Ugy30kpPRP_N-ZjjmH54AaABAg,@Lime-x6x,Are you lets game it out now?,2025-08-13T13:59:04Z,0,0,Other
UgzPr9_jQZbqTTZaP0V4AaABAg,@JHWeston,romans 10 9,2025-08-12T19:55:07Z,0,0,Other
UgxTbZgudA7Ix_2miyh4AaABAg,@JHWeston,romans 10 9,2025-08-12T19:55:04Z,0,0,Other
UgyPVaIuegONmCmLV3V4AaABAg,@JHWeston,romans 10 9,2025-08-12T19:54:59Z,0,0,Other
UgwI9wBQdwN6dztUqy14AaABAg,@JHWeston,romans 10 9,2025-08-12T19:54:52Z,0,0,Other
Ugz3R71X_Sjv29Up2bJ4AaABAg,@Lily.Gymnast,Who’s watching in 2025,2025-07-29T18:37:33Z,0,0,en
Ugx0CiyUEiaFIG_1uQJ4AaABAg,@Shadowstreams-k3n,Is the game free?,2025-07-28T18:18:43Z,0,0,en
UgzTsjqCnCEe1i_mIFl4AaABAg,@LittleTimmy-y7k,Let's game it out: you're verryyy funny.,2025-07-24T22:47:50Z,3,0,Other
UgxMM9LTpnCgPeXSU914AaABAg,@AlisonRhodes-e7b,7:56 the imposter,2025-07-24T01:26:24Z,0,0,en
UgwcctLY0eP6FeGF3wd4AaABAg,@markryan4277,no,2025-07-06T01:20:28Z,0,0,Other
