Comment ID,Author,Content,Publish Date,Like Count,Reply Count
UgwRdc3fQ1isD9GYn1N4AaABAg,@Dexter-nb9wl,The difference between you and let's game it out is that he would've placed thousands of coasters that go straight into the ground.,2025-10-13T18:12:27Z,0,0
UgxUqJumIaZODvQhyrZ4AaABAg,@Christian_Addi,"Stay faithful to God even if your friends aren’t and Jesus is coming back soon, In Jesus Name, Amen!",2025-09-25T21:45:06Z,1,0
UgzaRdDsjtAA_bhEejN4AaABAg,@Tommy-nr3vv,Lgio flashbacks,2025-09-01T01:18:21Z,0,0
UgzhVDf1_PYvQ-9PDn14AaABAg,@Lemonade-125,Tbh im suprised this didn’t start with hey there it’s josh,2025-08-19T17:25:39Z,22,5
Ugz3R71X_Sjv29Up2bJ4AaABAg,@Lily.Gymnast,Who’s watching in 2025,2025-07-29T18:37:33Z,0,0
Ugx0CiyUEiaFIG_1uQJ4AaABAg,@Shadowstreams-k3n,Is the game free?,2025-07-28T18:18:43Z,0,0
UgxMM9LTpnCgPeXSU914AaABAg,@AlisonRhodes-e7b,7:56 the imposter,2025-07-24T01:26:24Z,0,0
UgzOhkbMbAE0K4LTRzl4AaABAg,@OndiPlays,I only know two Youtubers that make actually funny videos on planet coaster,2025-06-21T21:29:40Z,0,0
Ugx8nN5B5s2tV9hrsO14AaABAg,@luke-l4g2x,think thats bad? search up letsgameitout. he does this but worse. i think he enjoys their pain.,2025-06-19T17:32:20Z,0,1
UgyAaZvap7U2GS8XMRJ4AaABAg,@Sunnybuttheresclouds,"“Gang we cant open this.” Five secs later
“Oops I’ve opened it.”",2025-06-16T03:33:28Z,0,0
UgzF8NnFUroU3J1ps0R4AaABAg,@Lochlan-f6t,11:45 the ahhh is crazy,2025-06-14T07:41:42Z,0,0
UgxcuSY3a9c8cqLjbeB4AaABAg,@projectpotatotar,never thought ill see a BaldTDM,2025-06-12T04:51:52Z,0,0
UgwohFuRuNT9AiKfNmN4AaABAg,@MichaelWood47,1:13lots of  subs,2025-05-29T11:36:05Z,0,0
UgxUWiMckZq-CVTyd0p4AaABAg,@angelaklotz101,OSHA is NOT happy,2025-05-20T20:06:32Z,0,0
UgxbuTHeEsCuPTD6E8N4AaABAg,@Amber_Schleich,YOU MUST PLAY THIS AGAINNNNN ITS SO FUNNYYY,2025-05-13T06:29:18Z,0,0
UgyypYgwfdMCfhJxF-R4AaABAg,@CadeIrvin,19:14 “and Dave”🤣😂,2025-05-09T15:44:36Z,1,0
UgwPBFUExQ0sBi9B-OR4AaABAg,@CoasterbuildsPH,11:47 what if you make that as a meme bro 💀,2025-05-09T09:54:46Z,0,0
UgzU5fYCKJwmSAwqKPB4AaABAg,@kb-vk9du,Childhood,2025-04-30T16:15:40Z,0,0
Ugwo3xwmicGJpLf4OFl4AaABAg,@BucherLaw,make a series for this game PLEASE,2025-04-21T19:03:40Z,0,0
UgwGAIGa-Gyvrjtk1iJ4AaABAg,@Guygregson-b7g,Remember the 1st time you played,2025-04-19T07:21:58Z,0,0
UgzOGbK2czM3E0Wrc7h4AaABAg,@Shoom55,You fly off a waterslide 100ft off the ground going 100mph but it is totally fine if a little lifeguard is watching you grind yourself into the pool,2025-04-13T19:03:43Z,0,0
