Comment ID,Author,Content,Publish Date,Like Count,Reply Count,Detected Language
UgwrRpLTpqAFd_EKwkB4AaABAg,@EthanWilliams-q7o,Name the new dog ashen as it is a ashen wolf,2025-11-23T14:05:21Z,0,0,en
UgwUFzxYfSAg6IAVcY94AaABAg,@AdamSchaper-f1s,42:52 it wasn’t a forest fire. It was the ravagers from the raid that destroyed the forest,2025-11-22T13:08:34Z,0,0,en
UgxrJ_mamprfVdnI1xN4AaABAg,@Alfiemcflurry,14:10 last words before disaster 😢,2025-10-16T06:30:36Z,0,0,Other
Ugy_uehGC7DK8-nBM4h4AaABAg,@rexbass8389,15:15 pay respect to the horse 🫡🫡🫡,2025-10-14T08:12:26Z,1,0,en
UgzlDi9axVaaKfvdy7x4AaABAg,@wildone654,"""Auuu, thank you sir""",2025-09-25T20:22:38Z,0,0,Other
Ugzc3kgg0s0SW97AVEp4AaABAg,@sabrinagiordmaina3319,no,2025-09-23T18:33:11Z,0,0,Other
UgyPlpqzZMs6Es5tmd54AaABAg,@eliluvsgarf,i love dan’s commitment to spooky-ness 😭😭,2025-09-18T15:45:39Z,0,0,en
UgztpyQOaxSFzqtTMI54AaABAg,@DominicMerritt-l3b,"Neighaurus' death could've been prevented, you had two stacks and a half of carrots",2025-09-16T20:52:58Z,0,0,en
Ugy7GIpL1bJYM0jN4lx4AaABAg,@yt_devnob,you couldve fed Neighaurus to heal him,2025-09-07T10:34:56Z,0,0,en
UgyUq-rNbYmET-Dgq0Z4AaABAg,@GayChild-qr7gp,23:35 LOL FUNGO JR WAS CHECKING HIMSELF OUT IN THE MIRROR 😭,2025-09-05T20:07:11Z,1,0,en
UgxxEgYx5oH5hIfTAnN4AaABAg,@CopperCombo,"Dude I know I’m late and that you’ll probably not read this, but no offence, the button on the horses eyes was pretty irritating",2025-08-27T17:54:55Z,0,0,en
UgztNUizUQixyaF6jbV4AaABAg,@michaelpitman720,"Bro FUNGO JR 

| Dan",2025-08-26T14:15:58Z,0,0,Other
UgwsTd7VPY3zfLzU9Fl4AaABAg,@tmgerrie,fifi for the dog,2025-08-23T14:53:23Z,0,0,en
Ugz7oEPasN8fn_TUGsR4AaABAg,@morardanny,He calls everything tiny but look at his nether portal,2025-08-21T00:42:51Z,4,0,en
UgzA81yactbuRECpqmx4AaABAg,@aaronthemans1,aint no way he missed the leaves,2025-08-19T03:25:25Z,0,0,en
Ugyi-esn2d9MT6rMTsp4AaABAg,@idarpus1850,""" you are family, now breed lol",2025-08-11T08:55:50Z,0,0,en
Ugxp68T1DUrwoWs2HEx4AaABAg,@TheFlyingEmerald,NOOOOOOOOOOOOOOOOOOO NEIGHOURUSSSS,2025-08-10T03:48:10Z,0,0,Other
