Comment ID,Author,Content,Publish Date,Like Count,Reply Count,Detected Language
UgxznIXbpX7CVttcgBB4AaABAg,@NikkiStockdale,I watch you on lets game on TV   This thank you for making awesome vids,2025-11-21T21:59:48Z,1,0,en
Ugyl-YLo_Fu0M6oFwnR4AaABAg,@reverierm,"You can add a daylight sensor to the bunker so when all the villagers go to sleep for the night, it will close after them when it gets dark (as they go to bed before the player can), and then reopen in the morning to let them out. So if you have to travel, it can protect them from mobs if the golem dies and close them in overnight",2025-11-06T01:53:02Z,0,0,en
UgyZe-37crZSzpRbrz54AaABAg,@RebeccaMatthews-b8q,btw i have an idea for a house for fungo,2025-10-28T16:40:58Z,0,0,en
Ugz-9Yk17-DQRZ2r2Nh4AaABAg,@RebeccaMatthews-b8q,please make a house for fungo,2025-10-28T16:39:48Z,0,0,en
Ugxl5S9SxKq1w7hQo-J4AaABAg,@LoganHarris-p4e,Bro forgot the texture pack 2 episodes in a row 😂,2025-10-22T01:25:47Z,0,0,en
UgwhYCO2X4Laq5r5Af94AaABAg,@JamesWheatley-i8h,Will rott ever come back?,2025-10-19T07:16:59Z,0,1,en
UgwDS77oYITkMWvE8G14AaABAg,@Goldengunner2000,3:33 yes Dan a dirt chest is very necessary especially for when creepers blow up,2025-10-19T06:10:29Z,0,1,en
UgxBPcPMs4TTjTCtOqZ4AaABAg,@aleashahandley,at 14:41 bro when for a full on hair cut mid game lol,2025-10-16T00:30:31Z,0,0,en
Ugx9nBKDat2Q7Do5Ejx4AaABAg,@aceeweed8658,Thank you for finally noticing how bad it was Dan…,2025-10-14T03:07:03Z,0,0,en
UgzHJnjhx0RtSRF1qxN4AaABAg,@Gasharpoonr,Awesome,2025-09-30T14:02:50Z,0,0,Other
Ugw0-D0Paw68D9FoaN14AaABAg,@ConjuredUndead,Demolishes house to improve the view… then places massive cherry tree in the way 🤣,2025-09-23T09:41:29Z,0,0,en
Ugw1mwTUpaY9WVr128x4AaABAg,@Haidodihnio,That drift at 47:16 was dope. I have no clue why I got so excited over that.,2025-09-11T03:26:00Z,1,0,en
