Comment ID,Author,Content,Publish Date,Like Count,Reply Count
UgzOWKHrACSkReWLcnl4AaABAg,@Iain_Animates_Was_Yukari,"You already found the Inscription Table, it was in that tower on the snowy mountain in part three",2025-08-10T23:38:29Z,0,0
UgwdGIVVQzRCO99Rw_14AaABAg,@doomsday5420,Dan make a trophy room,2025-08-10T01:07:12Z,0,0
UgwKKObWtUSE6oeqwn54AaABAg,@shockerhaven07,"I know I’m late, and I haven’t finished this episode yet, nor the grim reaper one yet, but if you’re still having food troubles, I highly recommend going to candy cavity, Every single block in it is edible, so if you use your drill you should be able to collect enough food to last you a lifetime, plus there’s tons of really useful items and blocks. It is very much worth the journey.",2025-07-31T19:55:07Z,5,0
UgxEVUoGZM6Z62oEJ6p4AaABAg,@nothsaaa,"oh my god i came back to check on my childhood youtuber, THE INTRO? DIAMOND DIMENSIONS???",2025-07-24T11:29:45Z,0,0
Ugy3C1nc0_X6DgJNZcZ4AaABAg,@markryan4277,you tell me shnae curram,2025-07-06T01:19:18Z,0,0
Ugz3If7WTGrbAFF4NbB4AaABAg,@kate_isawesome1207,"Soul ghosts: ""Let's trick him by making mob sounds. 😈""
But the Foxhouse will be cool as a pet. 😁",2025-06-30T12:18:54Z,0,0
UgxgdXGxkNvcpPc76HV4AaABAg,@Spyroossecondaccount,"Dan, we didn't lie. You CAN pick up chests, you just need to be closer!",2025-06-26T07:21:03Z,0,0
Ugz5z7xJeIKluQ3GuxJ4AaABAg,@ben_dover_v2,"someone help me pls pls pls
Why can he put toolsa in the right side of his invtory 
I can figuer out how",2025-06-21T16:00:34Z,0,0
UgwEVS8zygfon6aD36R4AaABAg,@Cas190,"You're so so bad, cuz he could have just picked up the spawn and went back home with it😢",2025-06-17T09:14:13Z,0,0
UgyMRQdO1EhIKTnvKO14AaABAg,@GumbaverianX,spellbook is actually useful btw,2025-06-17T07:47:33Z,0,0
UgxJRS7XLWQWXq769ph4AaABAg,@ItsNataliaa,Dan please play secret of the mimic!,2025-06-13T15:32:57Z,0,0
Ugz8a2zBTWcYUHb67354AaABAg,@etheringaround,Still waiting for deltarune chapter 3 and 4 :),2025-06-12T06:42:15Z,0,0
Ugy1fzPEaIZYKANg1AN4AaABAg,@makaylajokesrenee5238,"Do you believe in God and Jesus as your Creator and Savior? Also, I hope you have a blessed day!",2025-06-11T20:46:15Z,0,0
UgwI06Yn77U3aqTcInh4AaABAg,@birbs4life536,"""Always the same emergency for the Americans"" 😭😂☣️🏴‍☠️🦅",2025-06-11T16:28:58Z,0,0
Ugzl6iWxUxD2Yvwnyct4AaABAg,@mr.hook0613,Purple Craft Table 🙂 💜💎,2025-06-10T05:41:24Z,0,0
Ugyc05rtWqJb_r9dDBt4AaABAg,@fingsnstuff9525,Just realised he brought a bed to the nether 💀,2025-06-09T15:37:05Z,0,0
Ugzf_oMwiQMElmQ35l54AaABAg,@ArfaBukhari-f9w,"Make the dragon bone twin blade, it looks and sounds amazing",2025-06-09T09:13:56Z,0,0
UgyP-6szlUEr9PjuYH54AaABAg,@Yourlocalbusinessman-q7m,43:50 DAN THAT WAS THE SOUL OF SKINNY FROM HARDCORE!! YOU DID IT TWICE!!,2025-06-09T00:51:46Z,0,0
Ugw7cM_jL_Isd6JgmbF4AaABAg,@Gabe-ff7pj,You can put a slab in a water source block and place the totem on the slab to evenly spread it,2025-06-07T21:36:54Z,0,0
UgxQNxW1YL42s_oGlXt4AaABAg,@derekyates1021,Hurry up and drop ehatcha doinnn,2025-06-07T18:17:06Z,0,0
UgyzvFMnstKBsOUPvo14AaABAg,@jamesmcaloon9080,When’s the next episode!!!!!!!!,2025-06-07T14:02:09Z,0,0
Ugw8amisHF4G-bpjdeZ4AaABAg,@0nullvoid0_Xxram2diexX,"Dan, the inscription table is almost in every magic related structure and it is super easy to find inside of the structures. I recommend exploring, finding a magic structure, and getting the inscription table.",2025-06-06T22:34:33Z,1,0
UgwpUiCiOvHHldmdJWl4AaABAg,@Tyler-d4m,Does anyone know what the name of this mod pack is? I would love to play it but I don’t know the actual name,2025-06-06T18:15:33Z,0,0
UgwZTRXzDfCFCV-NZpR4AaABAg,@SnicklefritzdoesYT,I discovered this series recently and just finished binging so far. After this one I’ll be waiting for the next!,2025-06-06T07:31:39Z,0,0
UgyCNngRpPgoTVtl-894AaABAg,@krissyseay8338,If I was there I would be taking notes so that way I can remember everything that I needed to do and why I wanted to do it he has a better brain memory than I do lol.,2025-06-04T22:42:41Z,0,0
UgwBkLXYf1PTaHog99N4AaABAg,@Mysda_,"I've never watched your channels in the many years I've been aware of you, but it's quite cool to see you entering the world of Create. 
I'm a big fan of Super Minecraft Maker and I've worked a lot to get this gamemode back to life, but in the same time, my channel completely turned into Create Mod content. Back then on Minecade, a ton of levels were made for you by the community.",2025-06-03T18:27:21Z,0,0
