Comment ID,Author,Content,Publish Date,Like Count,Reply Count,Detected Language
UgzXnvoCehjWQJNA5qR4AaABAg,@ElijahStokes-d6p,I go to sleep every night to this song,2025-11-24T02:05:09Z,0,0,en
UgzXSaEWtQm26ABlFBJ4AaABAg,@AidenW001,"Why does this make me emotional…



I think I want to cry now",2025-11-23T11:30:23Z,0,0,en
UgwKJXZ8AKu3Vcc4FiB4AaABAg,@rosegamerq,This is so inspirational and beautiful 🫶,2025-11-15T21:05:31Z,0,0,en
Ugyc3ksiFTuCz6BfZ6d4AaABAg,@Isueqo,They should've made Dan their music composer- *u guys hearing this rn???*,2025-11-10T06:57:33Z,0,0,en
UgwlDYtZtUHigsd158h4AaABAg,@Buildaboatgoat,"Dan: im pretty sure inertia is that water flows downhill…

Really Dan",2025-11-08T17:07:56Z,0,0,en
UgxzliOFDe41CsapObx4AaABAg,@SynczHhan,"I as an individual have been watching DanTDM since I was little. I came across his old videos on youtube kids and was mesmerized. My interests were in his hands. Everything that I loved he created. Im so greatful you were apart of my chuldhood. You influenced every single one of your viewers to go above and beyond in life, and in content creation. Heck, maybe even creating their own music. You should be very prpud of yourself. You gave everyone a childhood, and I hats off to you. DanTDM. The Diamond Minecart.",2025-11-07T19:25:54Z,1,0,en
UgyeCYLqSRIcuzHaqHl4AaABAg,@DalianaKaboos,i know im late to the party but i loved the high - low - high - low notes. makes me think exactly of a cartoonish breathing in an out when sleeping peacefully ❤😴,2025-11-03T17:40:41Z,0,0,en
Ugy42RG6xzLFNZ3Kpzl4AaABAg,@AshmeadowVenedict,I forgot Dan makes music. And I'm surprised on how each one he releases is so great,2025-11-01T03:23:31Z,0,0,en
UgzPKP-jIjVJb7aaBHx4AaABAg,@ratioed.sophia,"For those sating it should be a disk;
This isn't 'main character' enough to be a disk
I love this song. This is amazing.
But this is background music :]",2025-10-31T20:53:14Z,2,0,en
Ugxs5i_FVZaf8xIoZ0Z4AaABAg,@liamc9307,Please use this in the second minecraft movie!,2025-10-30T16:21:45Z,1,0,en
UgxAbHfciM5VHPceA194AaABAg,@OttoBauchop-h2f,This is beautiful,2025-10-26T18:52:42Z,1,0,en
Ugwu4apIqy4e2rCwMBF4AaABAg,@Fleea3,this shouldnt be minecraft this should be stardew valley 🥹,2025-10-26T02:16:34Z,2,0,en
UgwHw6hc0kJedBntj194AaABAg,@Olzeon1,This needs to be in Minecraft,2025-10-25T20:45:02Z,1,0,en
UgyZvNvEduGdohB1ngJ4AaABAg,@VideoGameMontagination,"Yo this is amazing, Dan, MAKE MORE!!",2025-10-24T13:39:47Z,0,0,en
UgxqpsVn5W2SvpoxRnF4AaABAg,@zescare690,My goat has done it peak,2025-10-24T01:26:38Z,0,0,en
UgzgjVWXKWNhOIPq5HJ4AaABAg,@lonelyteapot858,Guarantee you at least one person in these comments woukd actually have the power to get this in the game,2025-10-22T00:16:11Z,1,0,en
UgzeGv1eQ6FhrSogm4t4AaABAg,@dybbuk2392,We need Realms back… this music would fit so well with it,2025-10-18T15:15:03Z,1,0,en
UgzoakWzGaPRQwSs1tB4AaABAg,@maxter6922,This should be a real Minecraft song let’s hope Mojang sees this!,2025-10-17T21:22:42Z,0,0,en
UgwCWLXsZ43NxUxJJ1x4AaABAg,@M1S3R4BL3,I love Minecraft and I love DanTDM. Dan is my childhood. Mojang better add this to the game as an actual Music disc.,2025-10-15T17:58:14Z,1,0,en
UgyexC-W2Jvua9SG-QN4AaABAg,@cocoafawn,My new favourite minecraft cd (i need this in game </3),2025-10-14T23:26:55Z,1,0,en
UgxZt7DyPGr610V7kNV4AaABAg,@VocalMeijerWits,"Don't forget, if Youtube was never successful for him, he would have become a full time composer, musician.",2025-10-13T18:07:31Z,2,0,en
UgxTkvYYrh_2SSKWg-Z4AaABAg,@RuthMTorresPerez,Dannn this is so peak dude,2025-10-13T15:27:26Z,0,0,en
UgwWRoiO4zX-cK1cjIl4AaABAg,@Inspiration-i6x,GIVE THIS MAN A STUDIO NOWWWWWW,2025-10-13T12:25:34Z,0,0,en
UgwIyQ_PeLhpa1Id20d4AaABAg,@kella.n,bro i swear dan is doing side quests,2025-10-13T02:16:44Z,0,0,Other
Ugz4wG2fMLk8zzuLpnB4AaABAg,@mr.hook0613,That Was awesome DanTDM - Villager Lullaby 🧢 💙 👔 😎 🤓 🥸 🏴‍☠️ 🪝 💎,2025-10-12T19:02:42Z,1,0,en
UgxBKuDNLurFsG3T1Q54AaABAg,@melissambehm1,Thanks for saving the puppy,2025-10-11T23:11:20Z,0,0,en
UgyFzYg3oVoh1nf7rRh4AaABAg,@xxrandomxx2501,❤❤❤❤❤,2025-10-10T22:55:45Z,0,0,Other
Ugy_OggFaTX4D4RuIEh4AaABAg,@DenaaaaaR,this song made me cry,2025-10-10T22:47:42Z,2,0,en
UgyGm__MTlaBxaoAJip4AaABAg,@mrfluffy1562,"Good work, Dan.. what key is this? C major? Sounds very light and simple. i love it.. Would be funny if you composed this in Gb Major xdd",2025-10-10T22:40:26Z,1,0,en
Ugzd3s9fJUG5MzTFb5d4AaABAg,@gehmstone,What daw do you use?,2025-10-10T13:43:48Z,0,0,Other
UgzexQTgtPuffrZZaSB4AaABAg,@theartkid0,I love this ❤,2025-10-10T11:57:07Z,0,0,en
UgxByKh19Nbz8MqCzF54AaABAg,@MrMorgan316,See this just matches what C418 did. Good job.,2025-10-09T06:19:21Z,2,0,en
UgyzUDehcRQ2MLkV-Nx4AaABAg,@Etwoo-,❤❤,2025-10-07T21:35:14Z,0,0,Other
UgzEmxf_oVx5dtuds_x4AaABAg,@legitimatelemon6580,Minecraft needs u to be their song writers,2025-10-07T11:28:37Z,1,0,en
UgyQV8cbtpu5zfJHTet4AaABAg,@xXObo_the_hoboXx,This made me tear up a bit ❤ love the work dan ❤,2025-10-05T23:13:27Z,0,0,en
UgyosBd4ZrNm2vSrDXN4AaABAg,@TinCanTheIII,Jesus Loves You❤✝️,2025-10-05T17:52:00Z,1,1,Other
UgyoYJFJamYC3UkMM3F4AaABAg,@DataN3xus,Worlds only good YouTuber Artist XD,2025-10-05T17:29:29Z,3,0,en
UgxBE9_MCZSbWQ6Y2cF4AaABAg,@granjester,PLEASE MAKE MORRRRREEEEEEE!!!!,2025-10-04T19:16:37Z,1,0,Other
UgwB0T5oNXdkAEeSTxl4AaABAg,@Kookaburra-i7z,Nah this great we often forget how u are very talented in music,2025-10-03T23:37:36Z,2,0,en
UgyAsDSAze1rmMXkKPR4AaABAg,@editsandgaming-k3r,This so good i nearly fell asleep to this if i could i would listen to this all day.,2025-10-03T20:01:15Z,1,0,en
UgzQM3pY-cZf5LSJa614AaABAg,@The_Swirls,"Where is the guitar song you did a while back, I need it. 

PLEASE 🙏",2025-10-03T12:46:04Z,0,0,en
UgwOJ58R0E6qT9bY7Ht4AaABAg,@Alichrov,DANTDM U MET MY TEACHER USTADA ASAD HIS NAME IS ASAD AND HES KINDA chubby (dont tell him) HE SHOWED US A PICTURE WITH U,2025-10-03T12:04:02Z,1,0,en
UgxvJDaDy-A-K2oVEcV4AaABAg,@mulletmanplayz,dantdm can you put this on a cd or a dvd i need it.,2025-10-03T07:41:19Z,0,0,en
Ugwo2rhHKH_tLSWMgE54AaABAg,@deeznutzzzzzzzz,i feel at peace,2025-10-02T14:16:41Z,1,0,Other
UgwwYhHdGjtGvN0IJnF4AaABAg,@Hike-k5b,Interesting.,2025-10-02T11:50:28Z,0,0,en
UgyWaIqvyXDS36pS_N14AaABAg,@tdftdstdr1,if this doesnt get added to mc im gonna crash out,2025-10-02T01:36:09Z,0,0,en
UgxBgM96so-WdJrvRyd4AaABAg,@MisbahVadivala-z5s,Add spacedog in to minecraft please.,2025-09-29T19:33:57Z,1,0,en
