Comment ID,Author,Content,Publish Date,Like Count,Reply Count
UgybLAjTnaIi4mlb8Bp4AaABAg,@V3nM23,"AAAAAAAAAH!!! HE'S BALD NOW!!!! AAAAAAAAAAAAAAAH!!!! Nah, just messing around lol 😜",2025-11-25T02:34:32Z,0,0
UgwnT-qy5-GpXM8eAMh4AaABAg,@something803-q9l,"21:57 ""kill it, yo bro look its right there, kill it, oh my god it killed you""",2025-11-16T01:36:16Z,1,0
Ugw8WmqbBmmAia_eV2h4AaABAg,@MrBacon3185,1000th comment,2025-11-14T11:25:57Z,1,0
UgwzJnKJKeho-x39LU54AaABAg,@RajAditya-z7n,WOW Been years love it make a playlist and complete this game,2025-11-13T12:46:47Z,1,0
UgyuaUVYS3R53rTXFBN4AaABAg,@Embo843,Should have played with think noodles,2025-11-09T21:52:44Z,0,0
UgyOvFIMqfrJM94GC_V4AaABAg,@Thatbluelobster324,Please play silksong after this series 🙏,2025-11-07T07:29:25Z,0,0
Ugzg7RFFP389imAEWm14AaABAg,@ItzzAdam_YT,Can't the future just wait 😢❤🥹🫡🤚,2025-11-05T21:20:49Z,0,0
UgyNkoCNNMsIXhFcjl14AaABAg,@shanazmohammed3160,Dan be asking “how do u guys feel” me already running for my life,2025-11-05T16:01:21Z,0,0
Ugy_tFtF_n38N4QHRG54AaABAg,@SlayPotato-ed2dg,YES I LOVE YOUR LITTLE NIGHTMARES CONTENT!! I just beat all 3 games and I’m obsessed <3,2025-11-04T21:46:35Z,0,0
UgyzsFxY8MiusR4bh8B4AaABAg,@theanimegamer7525,it feels good to comeback to your channel after so many years.,2025-11-04T06:58:12Z,0,0
Ugxkx29QoBzqaf0OcN14AaABAg,@ZackMaddox-gd1zk,"I’m only here because the ending just got recommended to me, and I immediately thought “I need to see how we get there”. I am so sorry I’m late, Mr. TDM.",2025-11-01T19:33:46Z,1,0
Ugxv44vKGBkToxJBbhR4AaABAg,@Random-Laggy,27:44 Elite Ball Knowledge,2025-11-01T18:16:29Z,3,0
UgzCOg_bU7jIcBi-Ebh4AaABAg,@Jackson-bn6yj,I want mono back,2025-10-28T11:18:00Z,0,0
UgxxTWsrFN61DWpZIBt4AaABAg,@Moses_OG1296,This brings back so many memories ❤❤,2025-10-27T12:53:28Z,0,0
Ugw9-Lm99k2ohiZ_79x4AaABAg,@THEONEPIECEISREAL2012,51:36 That's the chef from Little nightmares 1!,2025-10-26T20:33:23Z,3,0
