Comment ID,Author,Content,Publish Date,Like Count,Reply Count,Detected Language
Ugyfy40QsEeWnF_kMjd4AaABAg,@DanTDM,"We back in the Vanilla World! Trying out longer episodes, hope you enjoy! 🙏🏻💎",2025-11-22T18:21:10Z,2071,116,en
UgyFAegyPj5pqxZMviV4AaABAg,@ICantAffordIt,wheres dr trayaurus,2025-11-25T02:47:37Z,0,0,en
UgyfBL2ai02P7HWV7-d4AaABAg,@TiggerBla23ck,Puff Catcher,2025-11-25T02:34:27Z,0,0,en
UgyT0HqfLa-NxAetRD14AaABAg,@Cat_animator9,8:39 The editor knew,2025-11-25T02:33:30Z,0,0,en
UgwjYjmTfhHTHKaEv-B4AaABAg,@mlggamer5296,"Copper golems are actually very easy to utilize all you have to do is make sure you put things inside your chest that you want organized then you need to put the stuff that you need to organize inside the copper chests and then they'll organized by looking through your chest to find the matching remainder of them. They pick up groups of I think it was 16 or 32 blocks or items. I will give an example let's say you're organizing dirt. Maybe you have a chest full of regular dirt mycelium in another chest grass in another etc. if you don't have a full stack of each in each of the chests that's going to help and then you just place all your dirt and everything that you want organized into the copper chest. Copper golem goes in, takes 16 of them and then he looks through the chests to find which one is corresponding to the dirt they just picked up. You really don't need to be mumbo jumbo for that. Just put samples of what you want organized into the chests and then everything else in the copper chests",2025-11-25T02:26:14Z,0,0,en
Ugx2ywsE3uOupST9pvx4AaABAg,@mlggamer5296,You said you got two nautiluses now? you can breed them with the puffer fish,2025-11-25T02:21:01Z,0,0,en
Ugwx8bvKCyaWrCJstTN4AaABAg,@mlggamer5296,Well there we go I didn't realize that so the Nautilus that we thought was dead was just under the water. That's such good news you can remove that one grave site,2025-11-25T02:20:02Z,0,0,en
UgyRPpcAx0VlPMLpqy94AaABAg,@mlggamer5296,Catching fish is going to be so much easier with the Nautilus. I had a axolotl lake where I was trying to breed to get the blue one and it's really hard to swim around and catch them fish to feed the axolotls so now the Nautilus is going to make that so much easier,2025-11-25T02:15:08Z,0,0,en
Ugxgqu5pKBeXj6ULGC94AaABAg,@DonutdudeCoats-o7x,Pls pls keep making long videos,2025-11-25T02:12:16Z,0,0,Other
UgxxnngERxC3qcbH7zl4AaABAg,@mlggamer5296,The underwater ravine is a perfect place to find a zombie Nautilus I guess you could take your Nautilus and just swim around there and then you'll probably find one of them,2025-11-25T02:11:56Z,0,0,en
UgzoVzyMrjZkimK_8LR4AaABAg,@Person-yi1zi,Dan at 30:47 I think you can fix the water by plugging the hole and setting a perimeter for where you want the water to go. And then letting the water drain completely should fix it to flow straight. Its whats worked for me before,2025-11-25T02:10:30Z,0,0,en
UgyT_xqgsM65KaEzfN54AaABAg,@mlggamer5296,"Oh and Dan if you want to find a zombie Nautilus, go look for a really deep ocean. They changed how drowned spawn. So basically shallow Waters don't spawn drowned as much what if you find a deep ocean they're more likely going to spawn. That may explain why you have so many Trident drowned in that area because it's deep enough that so many drowned can spawn but they can also spawn riding the zombie nautiluses.",2025-11-25T02:07:57Z,0,0,en
Ugwj8hPwKZhcL3deGkV4AaABAg,@mlggamer5296,I believe luck of the Sea III and lure III is Max level mending is just mending I,2025-11-25T01:57:52Z,0,0,en
UgzVRydkjtx2XUR69yR4AaABAg,@mlggamer5296,So the other nautilus might have died? You should have fed it some pufferfish or regular fish,2025-11-25T01:50:09Z,0,0,en
UgyFwcxSS_bdqXXut0x4AaABAg,@asadawais3811,Modded????,2025-11-25T01:48:38Z,0,0,Other
Ugx5u68uGNOulQ7dYId4AaABAg,@AlanWalkerFan1357,THANK YOU DANNN T^T,2025-11-25T01:32:35Z,0,0,en
UgzcSn_QgjqwJ57WcmR4AaABAg,@breadandcheese7552,The name should be Roddy,2025-11-25T01:28:08Z,1,0,en
UgxyVhwpniG8C7LsRyt4AaABAg,@JoshuaDempsey-v7l,Go back to the og Minecraft hardcore world and call it le fish,2025-11-25T01:20:35Z,0,0,en
Ugx702TYUKzOlqFUGxF4AaABAg,@Mooshy4,COPPER ARMMOR SUCKS🫩😭 Dan almost dies to two pigs and a ghost,2025-11-25T01:08:54Z,0,0,en
UgyJsDvIakJjHFjYjzF4AaABAg,@Dangerousdoofus,I love morty. named after my dog,2025-11-25T00:58:29Z,0,0,Other
UgykncrFsW9MtuJlioN4AaABAg,@Ireland-e8z,AH! Dan i forgot you shaved your head 😂😂😂😂,2025-11-25T00:27:28Z,0,0,en
UgwFwtxuGlFRlenE2kx4AaABAg,@calvinbanman8331,Hanging signs would maybe look good for the floating signs,2025-11-25T00:20:04Z,0,0,en
UgymC4qMCTgrB2LcqM94AaABAg,@Adam-loves-diecast,I know a name for a fishing rod wind rose winter saga,2025-11-24T23:49:49Z,0,0,en
UgyBFlWgvwe8ri620lN4AaABAg,@HydraCity-Z,You should put soul torches and soul lanterns in the cemetary so the souls of everyone who died will stay with you forever,2025-11-24T23:26:58Z,1,0,en
Ugx5uKGcDliDXUnDH4N4AaABAg,@NathanMcDaid-l8n,"Dan me personally I think you should replace the dirt in you house to keep the copper theme going and I think it will freshen up the house, love the videos",2025-11-24T23:22:04Z,2,0,en
Ugxf8rvx4EV5au7taF54AaABAg,@sanderaspers640,Should name the trident morty's revenge,2025-11-24T23:17:30Z,1,0,en
UgzrJeLUJxT0qw2XJid4AaABAg,@BigBoy-1234,"I think you should name ur fishing rod, ""Le Fish""",2025-11-24T23:00:33Z,0,0,en
Ugyz_4akLCjtNLHVHKR4AaABAg,@creeperkyle7379,put glass for a  t unel,2025-11-24T22:49:50Z,0,0,en
UgwkYeh2Lm_VjYewR194AaABAg,@bearhogproductions,"something that might help any animals you put in the ranch is adding moss carpets around the water since (i think) mobs cant walk on carpets, it might also help prevent villagers and iron golems from walking in the water as well",2025-11-24T22:29:30Z,0,0,en
Ugxizyx9lHsXZFynopl4AaABAg,@capuchincraze,Fishing Rod name: God Rod,2025-11-24T22:26:22Z,0,0,en
UgzChAQFmUG69O8twGR4AaABAg,@Moneyshifter240,"For signage in the waterways, you could use the software you previously used to make the villager armor sign using paintings",2025-11-24T22:09:14Z,0,0,en
Ugy0iHXlOj2hsz_ZFzh4AaABAg,@Corystoneyt,Fungo died?,2025-11-24T21:59:59Z,0,0,Other
UgwdiN5fFUE6MneOhbd4AaABAg,@BrightLightLady,"21:24 reminded me of how cartman from south park says ""sweeeeet""",2025-11-24T21:54:35Z,0,0,en
UgxQJMVLUqZ29fkhN4V4AaABAg,@ethanrahn9440,you need to locate rott. im so curious where he went off to,2025-11-24T21:49:09Z,0,0,en
Ugyiav5w7b3zN0FPFgR4AaABAg,@noahmacaulay4803,"NAMES FOR FISHING ROD!

RODNEY, CALL IT RODNEY!",2025-11-24T21:46:56Z,1,0,en
Ugx5CxD4I-ceFVkwAAN4AaABAg,@Swatofanything,8:54 the rumour of root is not dead,2025-11-24T21:41:23Z,0,0,en
Ugxq2P_waFBa0HpdeDx4AaABAg,@ashleycandelet7699,"Rod names:
Puff n pull
Spiky Boy Catcher",2025-11-24T21:37:59Z,0,0,en
UgzD83I2JYGGyOk3lMB4AaABAg,@abhiramputrevu4671,Fishing rod should be called johnathan,2025-11-24T21:24:37Z,0,0,en
UgwMnrG2NF2-twnWcnF4AaABAg,@ItsQualia,TommyInnit’s Rod,2025-11-24T21:21:10Z,0,0,en
Ugw6f54XXh8uUAF0I_Z4AaABAg,@ethanheindel1819,I’ve been watching you for years and I’m used to these chaotic but amazing videos and I come back every time you upload because I am never disappointed! One thing I want to ask you to do is finish the house and the floor and stairs going to the chest room I love the water garage idea and I’d love to see everything finished,2025-11-24T21:16:37Z,1,0,en
UgyVQw7HC47rmKr_nVl4AaABAg,@the.god.of.cheese.and.shadows,DANTDM IT'S MY BIRTHDAY,2025-11-24T21:06:42Z,4,3,Other
UgwrjvZcwF5kQ0aCq2l4AaABAg,@michaeldickson2303,Thanks for bringing it back I bing watched this,2025-11-24T21:04:23Z,0,0,en
UgyAncXnRBQ15nmltgR4AaABAg,@delacruzsanchez6655,Este los videojuegos de YouTube de minutos 😮👆🔊📲😊❤💭🕑📆💘❤,2025-11-24T20:17:59Z,0,0,Other
UgwOHhktzQ_scXUAWPx4AaABAg,@winterwolf1949,"Morty lived for a good 15mins and 1 second from being spotted in the sea, to his unfortunate passing.",2025-11-24T20:03:37Z,1,0,en
Ugwhm3_5SZ7qfh5GlxF4AaABAg,@BdhRabih,You should name the fishing rod LUM because it has 4 enchantments lure and luck of the sea which is L unbreaking for U and mending for M LUM that's my suggestion hope you see this dan and love your videos ❤,2025-11-24T19:58:52Z,1,0,en
UgxNnGLtYvpYT0btT654AaABAg,@SansOfficiaI,*name the rod rodney,2025-11-24T19:55:58Z,1,0,en
UgzVHxJnbgn63TD9ibV4AaABAg,@Ninjajedi2000,Yo Dan Are You Going To Play Tomodachi Life Living The Dream When It Comes Out Your Tomodachi Life Videos Where Some Of  The Best! [Pls],2025-11-24T19:36:54Z,1,0,en
Ugwt7sAudF8_7dVs-_d4AaABAg,@FoxyOnyx1718,"I think moving the market stalls over underneath the ally would look sick, but I don't know what you'd but in front of your house, maybe the Nauglious parking space?",2025-11-24T19:23:28Z,2,0,en
UgxexOcDhERBLScl0594AaABAg,@FoxyOnyx1718,1:13:19 unamed*,2025-11-24T19:12:40Z,2,0,Other
UgzdKh6WHEvorlVRMV94AaABAg,@AkllAlll,"Hey Dan to find nautili’s armor you can find it In buried treasure,shipwrecks,and ocean ruins even tho the nautilus armor haven’t came out to craft i bet you can still find them in one of these three locations",2025-11-24T19:04:34Z,2,0,en
UgyKGr-E-k6L1FLMwXR4AaABAg,@hondarider9492,a little idea for storage is make all the chests horizontal then put item frames on the end with to organize what is there without having to check inside all of them,2025-11-24T18:59:11Z,1,0,en
UgxaFhQyVPtei5MVPwx4AaABAg,@yeahshush1,Please do a let’s play on the new tomodachi life when it comes out!!,2025-11-24T18:49:51Z,1,0,en
UgyteYeTYsHYPTWlKrp4AaABAg,@NatalieGreen-j7n,Who else knew that DanTDM has his own sky kids program?!,2025-11-24T18:44:09Z,1,0,en
UgxXsgL3OuH7RhsJ2IJ4AaABAg,@Keroxcene,"dan, you can see the biome again in the F3 to enable it by pressing the F3+F6 then scroll down and press F3 option. idk why they turned it off in the new version",2025-11-24T18:27:03Z,0,0,en
UgxO42ptvgaMfWNt6TN4AaABAg,@toxicspacer4566,Dantdm morty the Nauty  was loved by all of us ❤️ 36:22,2025-11-24T17:58:45Z,4,0,en
UgzT1ZT0TMWtfEPESJ94AaABAg,@minecom2468,Dan you should start watching your videos before you record so you know what you were you doing,2025-11-24T17:48:58Z,1,0,en
UgwswTXM981bfW6KaO94AaABAg,@Moonieisfyne,You can put fences and wood trims and lanterns around the water roads it will be villager proof and aesthetic.,2025-11-24T17:42:28Z,2,0,en
UgyOkGggqx1qHJ9Kca14AaABAg,@AsmaBegum-xe1di,"If it weren't for this vid I wouldn't of know about this mob 😂😭 
It's crazy how this one mob changed the whole world 😅",2025-11-24T17:26:55Z,2,0,en
UgyJinMWm7tCkn1xCs14AaABAg,@NaheedNayani,"YOU DID SAY IF YOU GET A MENDING FISHING ROD YOU WOULD TURN THE VILLAGE INTO A FISHING VILLAGE, SO WILL YOU WORK ON THAT?",2025-11-24T17:17:31Z,1,0,en
