Comment ID,Author,Content,Publish Date,Like Count,Reply Count,Detected Language
Ugx1VkQYtZIeRDuf7ox4AaABAg,@GamersNexus,"(Got done filming with Der8auer today -- will take a while to put together the videos, but they're cool!)
Here's our Intel B580 review with all the gaming, power, frametime, and efficiency benchmarks! https://www.youtube.com/watch?v=JjdCkSsLYLk

Watch our original tear-down of the A770 -- or just read the comments, because they're hilarious: https://www.youtube.com/watch?v=N371iMe_nfA",2024-12-13T19:32:11Z,389,8,en
UgzjpF7NAViXcf-TuhN4AaABAg,@DanangAlta,"How much more show-off and Whine before we get to the actual topic? The girly, long hair is definitely befitting of you.",2025-08-05T00:38:04Z,0,0,en
UgyY7MRTouMxOcXaplZ4AaABAg,@imstumpedrugmail,i do enjoy your teardown vids like this. intel has come a long way havent they,2025-08-04T18:51:56Z,0,0,en
UgyJYSQWWpaIzELZmN14AaABAg,@voxel23,"Cable fans is not a problem, problem is not default 80cm 92cm 120cm fans sizes.",2025-06-12T05:55:05Z,0,0,Other
UgzWusBmfV4BcN__sqF4AaABAg,@voxel23,Sitting down would be more comfortable dissembling complicated electronics. Also for safety.,2025-06-12T05:32:02Z,0,0,en
UgxadDlSt-ZQTIayiaR4AaABAg,@aldao1981,"I don't know how the first to disarm it will have been, but this is not too simple to disarm ...",2025-06-08T00:15:34Z,0,0,en
UgxJmkXs0mlKR5244b94AaABAg,@milestailprower,"I remember when GPUs didn't have a backplate, and they worked just fine. Really frustrating to see Intel include a worthless plastic backplate. Thing would be thermally better without any backplate, and it would be cheaper to manufacture as well... 😠",2025-06-06T10:55:50Z,0,0,en
Ugw0EYal-_uGcQk3_Y54AaABAg,@madfinntech,I kinda like Intel's simple it just work approach with their new GPUs.,2025-04-29T11:21:54Z,0,0,en
UgwE38iV4c1CbZqjwi54AaABAg,@awdrifter3394,Nvidia lobbied Microsoft to kill multi-gpu. Intel and AMD should lobby Microsoft to bring it back in DX13. Since both Intel and AMD seems to have problem making a big GPU die and it seems like AMD gave up on making a chiplet GPU.,2025-04-22T05:09:39Z,0,0,en
UgxjBgwmFlGSaqiS7aN4AaABAg,@Josh.Davidson,"EE Student here: The yellowish substance you see surrounding the die is the underfill. It provides structural support to the C4 bump array bonding the die to the green substrate interposer. It is critical that the underfill chemistry is compatible with the bump material (various lead free, high-lead, eutectic, etc), and compatible with the thermal stress the connection will go under. It's just a different type of underfill vs what you're used to seeing, with a different chemistry. But as long as it meets all the required constraints then it will be fine. Fun fact, failure to choose a proper underfill type is what caused the Xbox 360 RROD, PS3 YLOD, and notebook GPU failures a nearly 15 years ago.",2025-04-10T14:43:22Z,4,0,en
Ugz-jSzTdT9IH5tYLzV4AaABAg,@ScottGrammer,Legend has it that Steve is still talking about having to get on that flight in a couple of hours.,2025-03-25T18:57:38Z,0,0,en
UgzzE9HSgZfs0ngDcJ54AaABAg,@ernestg.harveyjr7087,might be a future upgrade!😍,2025-03-23T10:52:29Z,0,0,en
UgzQ971VlUtECqUNM6B4AaABAg,@ernestg.harveyjr7087,omg ! how can steve NOT! hava pik?😁😄,2025-03-23T10:50:57Z,0,0,en
Ugwsca32gA2YKm0fWtl4AaABAg,@ernestg.harveyjr7087,remember it's only using 8 of 16 lanes  SOOOOOOOOOOOO there's definite room for bookoo improvement😁 all 16 lanes and beefed up a bit i'd buyette in a cold minute IF they could out do last gen team green! [:-) i'm considering buying and making mods myself 😁,2025-03-23T10:22:28Z,0,0,en
UgwB2n5XojLzR-Aryf14AaABAg,@juancuelloespinosa,"22:12 that was a jayztwocent ""OW I had a thigh cramp"" style moment",2025-03-03T12:52:32Z,0,0,en
UgytWLZLyT61HeKa8bB4AaABAg,@MrFloppy19W,...but when do you have that flight though?,2025-02-23T12:08:31Z,0,0,en
