Comment ID,Author,Content,Publish Date,Like Count,Reply Count,Detected Language
Ugx-VomA4ppPeWQDfQx4AaABAg,@GamersNexus,"This is finally too much thermal paste.
Watch our view about how liquid metal is made, also ft. Roman! https://www.youtube.com/watch?v=DGEcgl8BZw0
Watch Der8auer's video, ""The Secret of Testing Thermal Paste,"" here: https://www.youtube.com/watch?v=1BfSx5IG42c
TOO MUCH THERMAL PASTE: https://www.youtube.com/watch?v=EUWVVTY63hc
SUPPORT OUR WORK: https://store.gamersnexus.net/",2025-04-28T10:01:45Z,473,24,en
Ugye4xXjTNRRr44u8MZ4AaABAg,@Pro4TLZZ,Roman must be a great cook,2025-11-19T12:02:53Z,0,0,en
UgxNpFjc2N0ueVAXCr94AaABAg,@Random101-h8l,Watching this video has made me proud to be using their product for my build. Thermal Grizzly are so open in their product and their passion for it shows in the quality. I will always be looking at their products first. I love companies like this and they deserve every success they can achieve.,2025-11-12T12:09:29Z,0,0,en
UgwjXqxHLghDyHY2Gcx4AaABAg,@r1ddlebox916,Germans are proud of their manufacturing. You never had a bmw I can tell by that statement.,2025-11-08T17:19:04Z,0,0,en
UgzCAjyTCUb4V_Y-Qcd4AaABAg,@WerewolfMaster,"I still think Thermal Grizzly is overpriced.
I prefer Arctic for price/performance ratio",2025-11-04T15:09:39Z,0,0,en
UgydWZie66EjbYh5Hrt4AaABAg,@danielclasson,"Complaining about the prize of a $5 component that is 100% necessary to get your $500+ cpu work with your $150+ cooler, is just stupid.",2025-10-17T20:16:59Z,1,0,en
Ugx6VA7IA0w5tjt3wzF4AaABAg,@osborne3,Where is that Watercool Factory tour?,2025-10-10T10:48:38Z,0,0,en
Ugy5PMNCnkals1G9l-t4AaABAg,@danielb.9216,Der8auer + Gamers Nexus... a Dream Team! :),2025-09-26T09:27:20Z,0,0,Other
UgyucyUEN7QWiqL8GK54AaABAg,@HeLrAiSiNg1,where i can apply to work for him ? i have some proposals i made my own thermal paste from silicone grease and some ultra fine sand from graphite a.k.a pencils 🤣🤣🤣 didm't try through in a modern pc i tried it on my cousins ancient pc and it works fine my pc is a delided 7900x3d with TG socket cpu holder and TG conductonaut so i wouldnt try it on my delided cause its already fine sanded and polished to a point its like a mirror and graphite will scratch it 👀,2025-09-20T22:19:46Z,0,0,en
UgypMBR95jHZBvv76rB4AaABAg,@joaoh.6679,yummy,2025-09-02T04:10:00Z,0,0,Other
UgxQfvULkRy9Fxz2FnN4AaABAg,@tusharjamwal,"when you said ""mit DerBauer"" you could have gone with ""mit dem Bauern"" to really lean into the pun but I got a chuckle out of it anyway 😁",2025-09-01T15:11:02Z,0,0,en
Ugwa8iI2KP1pQhiJwJd4AaABAg,@TaylorJollymore-o1d,Is thermal grizzly paste as good as King pin KPX blue stuff?,2025-08-22T16:42:03Z,0,0,en
UgzJTyGjdjqSeNb7eL14AaABAg,@Fosi94,"Amazing video, wow!",2025-08-21T05:46:36Z,0,0,en
