Comment ID,Author,Content,Publish Date,Like Count,Reply Count,Detected Language
UgyUQIeoNr1KSHueApp4AaABAg,@GamersNexus,"For the opposite approach of low cost, high volume, check out our Thermalright CPU cooler, case, and booth coverage, featuring (for the first time in a Western video we're aware of) the Thermalright CEO: https://www.youtube.com/watch?v=SeP5jpCEImg
Noctua x Antec worked together on this case: https://www.youtube.com/watch?v=e6vkgEjmqmA
Hyte is making a bubbly case: https://www.youtube.com/watch?v=jNMBD7S3AGk
Montech wants to fight Thermalright: https://www.youtube.com/watch?v=qt7A4wHvRtk
And HAVN is making very interesting cases and fans: https://www.youtube.com/watch?v=eeGwSlLXXw8
And support our travel coverage on the store! https://store.gamersnexus.net/",2025-05-20T13:37:31Z,177,9,en
UgypESTNZDb3YVgEE8N4AaABAg,@messagefortheworld9090,New name. CENTURIES old heat exchanger 😂,2025-11-13T14:13:57Z,0,1,en
UgyoKcUInrAZF9w1Vnd4AaABAg,@Booty9822,"Asetek can suck a dick, it isnt mature and frankly every system I have used that has that kind of aio style has failed me.",2025-11-02T22:44:53Z,0,0,en
UgxN40LAzflMluKPNLV4AaABAg,@MerchantsOfMisery,10:34 and that's why I buy Noctua fans,2025-10-29T02:30:48Z,0,0,en
Ugwqz6k-5NTyMHYba7V4AaABAg,@Pro4TLZZ,Oh no more asetek pumps in coolers,2025-10-13T15:17:05Z,0,0,en
UgwtunogwKXaPMg3r3h4AaABAg,@nicksmith6478,"I love the Noctua guy, his technical explanations are easy enough to follow but so detailed it’s like a university lecture.",2025-08-29T01:08:33Z,1,0,en
UgyzB3bchWXZpIsXP214AaABAg,@SoThick,The aio needs to be refillable. Its a must have now adays,2025-08-23T05:40:10Z,0,0,en
UgwNVfO5gBz6CPnmRid4AaABAg,@TheGeoff,Custom thermosiphon loops when,2025-08-08T20:42:04Z,0,0,en
UgwBncc3HBTeXfnVOcd4AaABAg,@JustCallMeJames1,"That window needs to stay. No point having this system without the window. And there should be included light, shining there, so you can see what's going on. Otherwise you need to install your own spotlight just for it. Should be integrated/included.",2025-07-10T15:29:40Z,0,0,en
UgyYLoZy7EbPU3rWbjx4AaABAg,@wanglelife,Love it when Steve is like a kid in a candy shop nerding out about science.,2025-07-05T04:15:40Z,0,0,en
Ugy8mFipjXGzJCvRpeB4AaABAg,@_n8thagr8_63,Nawk-Tua! Cool that thang!,2025-06-28T16:18:31Z,0,0,en
UgxP2e7qt0sw-Ca-2-p4AaABAg,@choasisgoated,WE WANT THE WINDOW!!!!!,2025-06-25T22:21:32Z,0,1,en
UgwBfhyQNw-apzSw3bx4AaABAg,@mightbecursed,MSRP $499.99?,2025-06-25T11:48:06Z,0,0,Other
Ugz-yPuo09-XrjidQ454AaABAg,@screes620,"22:10 Use a vapor chamber between the coldplate and the CPU to even out the heat load and eliminate hotspots contacting the cold plate.  Or a large chunk of copper.  If you wanna get fancy with it, you could have a set of heatpipes that just go in a loop from the CPU up to the coldplate.",2025-06-25T01:22:26Z,0,0,en
UgyiqZ8XXH45GAhhJf14AaABAg,@SomeCanine,Thank you Noctua for not doing RGB BS,2025-06-24T20:21:02Z,0,0,en
UgyYsKnmfkEtvYB3J014AaABAg,@TSRB87,"When it comes to price, Ice Giant has their thermosiphon cpu cooler available for pre-order the pro model is $900 base is $700 so i doubt it will be cheap",2025-06-22T23:07:12Z,0,0,en
Ugx1B_FvA_B_rxaF-Wt4AaABAg,@lennylin-uf2yv,"I really couldn’t understand those company works with Apltec, don’t they know how many quality issueS Apltec have and continuously have in the past many years?! How can they have no respect to their own brand for keep working with Apltec",2025-06-22T13:59:43Z,0,0,en
Ugx_PmRuwcjWdvBHGGh4AaABAg,@ispenttoomuchongear,F Asetek.,2025-06-21T19:47:35Z,0,0,Other
Ugw-0UDtPpz-S601VMt4AaABAg,@xenonreality,"I love thermosiphons, if noctua reads this & decides to use any of my suggestions & or is inspired by it I would like them to include my name, & I see some room for improvement for their hotplate. If they aren't entirely settled on the window needing to have no obstructions, then sticking a correctly angled pipe for the return down in towards the plate is going to help them the most.

I know its a early prototype, no worries! It looks amazing, I'd love this window to be there, truthfully.... Sooooo... My proposal is just getting a plastic used for glasses instead & channeling the liquid into it from above, creating the s-curve bends needed using depth from a ring manifold input. That way it can be more easily manufactured as a mold heat stamp part. Using 1 to 3 parts total that can flex & be pressed in, or simply heated together to form 1 whole part will work better from a quality manufacturing standpoint that is cheaper, outright, to manufacture. But, you guys would know best for what you have.

""Spraying"" the return liquid into the specific points needed for the fins is annoying, so having it get extremely close & allowing for it to have correctly sized holes in the fins, with small channel/grooves in them angled with bubble formation, you get a wicking effect to improve the speed of energy transfer. Using vortex inducers you'll have them increase speed & lower pressure to suck in more liquid as well. 

I'm sure you are all quite intelligent enough to know, but it needs to be said that using a pipe to the heat exchanger (liquid to air) needs to taper & branch out at 45 degree angles to improve flow velocity & back pressure issues for thermosiphons. They are major. That, & using a z-depth of a large volume pipe attached to the fins that heads further in, from where the air initially comes in, to smaller flatter pipes for the now condensed liquid. Its better to allow for total heat likely to be seen, ie you aren't trying to cook eggs on a skillet, to form the sizing of holes & distances from the reservoir input point. That allows for the liquid to be accelerated, sure, but its actually about increasing total surface area & reducing back pressure again. 

Angling those flatter pipes is the key, often, to improving total heat dissipation. At a 45 degree, it's assumed a specific horizontal position is consistent, a curving (think rams horn twist) at 45 degrees with specific cut outs into fins assumes a degree of 180 to 90 will be the norm for placement of heatsink. This creates a boundary layer wicking effect through condensing liquid & its continued inertial mass then playing ""rock skipping"" off the inner diameter. But that means the pipe has to be channeled like a bunch of really small parallel rivers placed to help the liquid do this. It's stuck in there, slowed down, but the core can speed up & be ""lubricated"" by it, then a surface tension happens to draw it back in as it lowers pressure again. Adding another phase change, but it didn't really phase change. Its too quick to do it. If it gets super fast, it creates a cavitation that needs a T placed on the top of the channels to draw in the liquid from above to close it. Like in my multiple designs on my youtube. Like, the liquid crankshaft for my 49cc engine idea. Incidentally the crank is used as coolant too in a phase-change jules-thompson vortex-acoustic resonance radiator. Which just means as it phase changes, the gas goes to a vortex inducer, this captures the liquid, then the gases go to a large area volume flowing backwards around the inlet pipe, but the pipe is made to bend & wiggle, which is passively made in a shape that uses acoustic resonance (like the jwst cooling in space) to further improve the cooling effects & wick/pump the condensed liquid back into the channels for the return reservoir, while the gases go to an even larger total volume, but now!!!! Its many, many tapering relief cut holes that turn into much smaller pipes. 

Anyways, those are piezoelectric crystal infused, with inlay graphite & copper tracer lines to force these small tiny field effect capacitors (they've made even smaller ones in the micron/sub-micron ranges now, super super cool) to dump into a main cable into the solenoids in the cylinders & the flywheel/clutch assembly & transmission. They are also built into the block itself, turns out a chmecial (electroless plating) forming & electron-redox flow forming can be done to regular aluminum, quartz fiber, lattice structure fibers/plates, iron, carbon fiber (electrically conductive & thermally!), etc all to make thermo-photovolatic, thermoelectric, & piezoelectric material engine blocks that have the coils & magnets placed in the piston heads & cylinders, together with analog controllers buried deep inside to no have issues with wear & tear. The seals are the outsiders (head & bottom as I call it) 3 offset compression rings, oil retention, then 3 more offset compression rings that have a hollow connection rod, with a stator held smaller tube inside it, a piston head valve in the crank area that pushes a small amount of oil to the piston head in the combustion side, runs around into the oil retention ring. The piston head in combustion side has 6 compression rings, 3 on either side of the oil retention rings that are also gapped & offset. This oil, from the crank, goes up & around to push up a valve in the piston head to allow for a double/triple stroke length to occur, increasing torque. Then returns back to the crank. 2 piece piston head, technically, because its just a valve. Still sealed, too. I use a injector that just sprays air & fuel together & a deval nozzle throat point spark to burn in fuel & air into the combustion chamber. Which is surrounded by the hydraulic fluid, that pumps into a torque converter to return to the vacuum side then back to the other side of the dumbell-like piston in these engine. I use oil ring bearings that have channels & T's cut into them that rotate with gears that are conical. 2 bearings, hole in both, opening total size, when it arrives & how long it sticks around now become VVD, VVT, & VVL. The torque converters are connected & made to sync with the pistons. 

So, its a hybrid generator, electric motor, & engine all in one & is super efficient. Also, its a work around to E.U.'s restrictions to new engines. It's more efficient than electric motors & if you burn it right, cleaner too than their coal/gas power plants. But, use a little heat, electric resistive/electromagnetic inductive/both, with the right catalyst & you get a nitrous oxide explosive decomposition engine that uses stirling processes to make it work. Way more efficient than even renewables. Quartz crystals are piezoelectric, thermo-photovolatics are able to be made way cheaper with a plating process, magnesium & other aluminum/so on alloys are already thermoelectrics. So, its cheap, super cheap. Much cheaper than turbines & shipping for panels. Let alone the mining needed for the new better exotic ones. In fact, it uses the old recycling of the used up renewables to make it. The catch?

Each & every puzzle piece of this has been tested & scaled before. Easily. Never put together. Need money. Trump. No education but a GED from the guy who came up with it, me. No funding. No one cares. That's the catch. People. People are the catch.",2025-06-21T09:13:28Z,0,0,en
UgyHfL3pKq33LJb7aAF4AaABAg,@Cooper3312000,"ugly, ugly, and ugly. sorry Noctua but it's getting old going all Phanteks T30.",2025-06-21T00:54:10Z,1,0,en
Ugw-EX3w6sTdA7PbzqJ4AaABAg,@SlowlyMakingItHappen,"The water cooling industry should start to adopt standard naming for fluid movement. Calling the circulator a pump is the wrong terminology. A pump moves fluid to a terminal, where it exits the system, a circulator moves fluid from the outlet to the inlet of the circulator. It something that bugs me.",2025-06-20T23:58:13Z,0,0,en
UgxcGQJRwfi_Eaeo77N4AaABAg,@sadsismint,"If Noctua made a no-nonsense, no RGB, super high performing AIO... I'd be into that.
I want performance, not lights.",2025-06-20T16:57:00Z,0,0,en
UgyeCgSeZXNWhGIhdld4AaABAg,@darkstel,Refreshing to see a episode Steve is not salty,2025-06-19T16:24:13Z,0,0,en
Ugw-MtKoIMIEqsmJkEJ4AaABAg,@OdinsChosen208,so basically more bubbles more bad lol,2025-06-18T02:19:40Z,0,0,en
UgxCH6sgRcxwpTU3pTF4AaABAg,@oes2546,"How much would/could it help making the boiling chamber a lot bigger than the die? Would it help a lot, or barely anything at all when it comes to avoiding that boiling crisis for CPU hotspots? (Maybe using some vapour chamber or heat spreader solution in between).",2025-06-16T21:30:29Z,0,0,en
Ugze4JZ9q_99ID624954AaABAg,@CringeSeekers,Aaaa Noctua gonna make mee busss,2025-06-14T18:17:01Z,0,0,Other
UgyJeTxpvtvI7z7YfBt4AaABAg,@Yetterben,Works much like a ac unit minus compressor,2025-06-14T10:41:31Z,0,0,en
UgyhkcHfjn2e1h0rAKl4AaABAg,@mikec8223,"I wanted the 420mm ASUS ProArt liquid cooler with the Noctua fans... but they were extremely rare to find in stock. I'm glad I'll be able to get an AIO soon that isn't LED overload on the fans, and the quiet nature of Noctua fans. I did like the pump LED on the ASUS but not a dealbreaker.",2025-06-12T06:14:08Z,0,0,en
UgwTtRogWPhHNRzPh9V4AaABAg,@300willbo1,Very interesting to see this cooler. It works similar to an air conditioner,2025-06-09T11:44:30Z,0,0,en
UgzRcwOGWPEaDF5axg14AaABAg,@Yettee0201,10:40 wow an honest manufacturer.,2025-06-03T23:52:18Z,1,0,en
UgxNThryAF5N82G3cxF4AaABAg,@youcanthandlethetruth6976,thermosiphoning is going to be too much maintenance for most people. It coats the system in a film that has to be frequently cleaned. Most people won't do this on a regular interval and it will end up damaging their system.,2025-06-02T16:30:19Z,0,0,en
UgyX8IlE6X4IDyPDicJ4AaABAg,@Rambo42088,"Pretty interesting point the noctura foam in the pump cover, the same principle is applied to the engine covers to reduce noise",2025-06-02T01:47:57Z,0,0,en
UgxM3lplWGPyD0bVnPh4AaABAg,@spin_kick,"I mean, I dont hear the water pumps in my builds with these pumps, are they all insulated? Maybe because I dont run at 100% all of the time.",2025-06-01T19:42:15Z,0,0,en
UgysDuqaj8-xoplgRth4AaABAg,@lokeshsharma2076,they dont have black paint? this color combo looks shit!,2025-06-01T10:06:47Z,0,0,en
Ugy3bTH4YJFzibUZcWB4AaABAg,@hongsitu3429,Did Noctua lose a bet with someone?  You tell me they couldnt choose a better color scheme other than brown and beige?,2025-06-01T03:54:24Z,0,0,en
Ugwg6TPd4YwJ8GN1_6t4AaABAg,@DragonflySwamp,"This thermosiphon idea is SO DAMN COOL, and learning about it from Jakob was enlightening. I could listen to him talk all day.",2025-05-31T19:45:06Z,1,0,en
Ugwp4HsfvZvSSSYPGj54AaABAg,@stefanr9653,PLEASE THE TOP AIO FAN BE IN BLACK!,2025-05-31T15:07:14Z,0,0,en
Ugzzq0qpWdo7XuprGrp4AaABAg,@JuanDiaz-jo1rw,"I personally don't care at all about noise levels. All I care about is performance amd temperaturs. Let's see this Noctua AIO vs the Artic Freezer 3 Pro. 

I have an i5-13600k OC to 5.8ghz all P-cores and 4.2ghz ghz all E-cores.
I want to see the temps performance. And how good is the waterblock as far as durability.",2025-05-30T08:29:34Z,0,0,en
Ugww1qJuOpndF_JOKsd4AaABAg,@jedadiahtucker2132,keep the clear cover on the production version. i wanna se the bubbles,2025-05-29T17:52:24Z,0,0,en
Ugxp6N_1-s8bFmltDhF4AaABAg,@systemsincode,Enjoyed the phase change physics lesson! ,2025-05-29T08:15:52Z,0,0,en
Ugy-yEFjPQDCgzMRaVV4AaABAg,@edgarsnezinu1439,When and where i can buy that aio 360 cooler?,2025-05-29T08:12:40Z,0,0,en
UgzMgQ8oD7hr6TYbAmJ4AaABAg,@jasonshytle7690,"I feel like all that acoustical dampening would easily be overshadowed by a focus on impeller balancing, friction reduction and/or electrical noise filtering. Primarily a balanced impeller would negate all the top secret foam talk. Nevertheless, I'll be looking to purchase one",2025-05-28T12:20:35Z,0,0,en
Ugzr-ccrJf_d8Kw2Xk54AaABAg,@derpitydoo8681,4:25 nvidias chart wouldn't have a scale on it Steve come on now,2025-05-28T05:34:21Z,0,0,en
UgykiA9ATKgWn9NELyp4AaABAg,@_Davepocalypse,"That engineer has shown us all what a truely brilliant company Noctua is. Honest and transparent statements and no funny business. Just clear, concise, and preesumably accurate information about how their development is going. This is why I buy their products and will continue to do so. A breath of fresh air.",2025-05-27T19:36:43Z,1,0,en
Ugym10SGjY2oSmq0Fb94AaABAg,@UndiscoveredPepper,His english impressed the heck out of me.,2025-05-26T19:22:59Z,0,0,en
Ugz_FODqR40Eq-KlVtZ4AaABAg,@UndiscoveredPepper,5.7 dba reduction is pretty significant.,2025-05-26T19:15:37Z,0,0,en
