Comment ID,Author,Content,Publish Date,Like Count,Reply Count
UgyqdRm_wbWhL8kpcmB4AaABAg,@GamersNexus,"Watch our NVIDIA RTX 5060 review from yesterday here: https://www.youtube.com/watch?v=Z0jjxWRcp_0
For something positive and actually fun, check out our coverage of this modern 'retro' PC case from SilverStone: https://www.youtube.com/watch?v=lNa6jdCQzlU
Watch the AMD mountain bike review: https://www.youtube.com/watch?v=uY8NLAfNi_M
Watch our ""AMD, Don't Screw This Up"" video: https://www.youtube.com/watch?v=ekKQyrgkd3c",2025-06-04T13:00:53Z,200,38
UgyddNRg92g4Vjrlphp4AaABAg,@DaisyParker-y7h,5060 realy?,2025-11-23T15:35:54Z,0,0
UgxvftyYrLgGzyLl6gd4AaABAg,@Supercoolusername-f4s,The card honestly looks like a deal tho.,2025-11-23T03:16:41Z,0,0
UgyccpH8eneHO6G-1WV4AaABAg,@Dfm253,This thing would perform awesome if they didn’t completely choke it out with the tiny bus.,2025-11-19T22:54:17Z,0,0
Ugw1qhZk3xNEXsRPrT54AaABAg,@L.SoleStarbourne,Thank you for including Starfield in your videos! Don't mind the haters; there are thousands of people eagerly playing Starfield and will continue to do so for years. It is the THE game I am using to base my hardware purchases around - as best I can.,2025-11-19T02:00:26Z,0,0
UgzyMDc-rfiZ1x7kWBV4AaABAg,@mayo0006,"I was considering buying the 8GB for overwatch but then I forgot I wanted to be able to play doom the dark ages, I think if they want to release a lower memory ""option"" it should be at least 10-12 gigabytes",2025-11-14T14:30:37Z,1,0
UgzoiQfNZ62MucF5N2Z4AaABAg,@RedneckGamingChannel,I play at 1080P. I'm  just now upgrading  my RX580 to a XFX SWIFT RX 9060 XT OC  with 16GB ram because only suckers buy 8gb nowadays,2025-11-14T02:36:36Z,0,0
UgxmlSd52xwzCOv8xEx4AaABAg,@markschwacofer1802,"9060 xt right now is 380, and unless you're playing hardcore games should be fine. A 5060 ti 16 gig is about 450, so I think it's a better value. AMD USED  cards are pretty much useless because you can't trust that you will get decent drivers for old cards from AMD",2025-11-12T16:00:30Z,0,0
Ugw8jshegeYSplkVlTR4AaABAg,@Darklordsidius_5ith,"The question I have is, how much better is this 9060 vs my rx 580 8GB?",2025-11-11T20:50:41Z,0,0
UgyMypo-CpU6-R0UZbR4AaABAg,@delukard07,"guys  i own a ryzen 1700 on a asus b350 motherboard, paired with a 1080ti and a seasonic gold 650 watts.

i have 600us for upgrades, i do not mind buying used on ebay (this components were bought used from ebay)

was thinking of getting this gpu and a better cpu.

what do you guys think?


upgrading all components is not an option to me.",2025-11-04T07:24:59Z,1,0
Ugz7nz5nkGqUClPL2Y14AaABAg,@chaseviolinsandbows,"You want AMD to “launch a product and shut the fuck up?” 

What?

Who does that?",2025-11-03T10:24:58Z,0,0
UgzMEIwwXD1sJwyEEHl4AaABAg,@DaCouchWarrior,"Right now no matter what anyone says, 9060 XT 16gb is the best card to its value for me if I will upgrade in near future. 
5060TI is more expensive and 5060 with 8gb is only a tad cheaper but worse in everything.",2025-11-03T00:08:42Z,0,0
UgygG9X4V7DSiPN8ykZ4AaABAg,@kevorkyijan118,"That Guy Azor is the King of Trustmebro 


Oh sorry Jensen( Nvidia) 
You're throne has been taken",2025-10-30T14:53:12Z,0,0
Ugyhza-NiIwYLhYdgtd4AaABAg,@prakhar1259,Nah 9060xt 16gigs a clear winner for me. It cost significantly less then a 5060 8gb and a 5060Ti 16gb almost $130 difference.,2025-10-29T20:44:49Z,0,0
UgxRiAHNk2pubbaEy2x4AaABAg,@poleosis,a revisit would be nice as the pricing has seemed to have settled down now,2025-10-29T02:45:58Z,0,0
UgyTp9gXcGRsMKNCpG54AaABAg,@z.z.onichi5365,"I remember buying the ATI Radeon 9800 PRO XT 256 MB of vram lol feels like yesterday and that was a big jump over cards with 64mb or 128mb.
Now we have 8gb if vram and feels like meh
I believe it's likely due to large storage drives and usb flash keys for dirt cheap. But basically 8gb or more of vram is still significant for a videocard.

edit : AGP 8X",2025-10-28T23:50:35Z,0,0
