Comment ID,Author,Content,Publish Date,Like Count,Reply Count
UgwIj0uY7QH9zxCZ4Up4AaABAg,@GamersNexus,"Watch our ""WTF is Going On"" video about the circular AI economy: https://www.youtube.com/watch?v=h3JfOxx6Hh4
Learn about the special backer tiers with bonus videos and digital content: https://store.gamersnexus.net/ai-dystopia
Or grab our new ""RETRO I/O"" Coaster Packs! https://store.gamersnexus.net/products/gn-drink-retro-io-coaster-pack-4-custom-3d-coasters-100x100mm
And our new Vaporwave Smiley T-shirt: https://store.gamersnexus.net/products/unhinged-vaporwave-smiley-t-shirt-cotton-black
Or grab our sticker packs! https://store.gamersnexus.net/products/unhinged-ai-dystopia-computer-case-sticker-pack
We also have a new REDACTED glass with nucleation base: https://store.gamersnexus.net/products/censored-unhinged-smiley-glass-nucleation-base
And our Copyright Takedown T-Shirt: https://store.gamersnexus.net/products/copyright-strike-takedown-black-cotton-t-shirt",2025-11-17T00:48:27Z,232,37
UgxFT9008l8zmic7J_V4AaABAg,@darkstar0000000000,Man oh man how I wish I was living in precedented times.....,2025-11-24T02:24:47Z,0,0
Ugx7P6j_YUyv_Y1r7114AaABAg,@ahah1785,just bought 128gb kit 2x64gb ddr5 for 400 usd....last one avaliable on amazon shipping tomorrow and not in the summer of 2026....also big kits are still avaliable with old prices for now..... (days? hours? how long?)bonkers...,2025-11-24T02:07:30Z,0,0
UgwxWQoCbSIXT_aVYeh4AaABAg,@blawdy-moo,"It's simple, stop buying RAM, NVidia, SSD's. Whoever wants to gouge the customers should be met with a stiff boycott. And when nobody is buying the supply, the prices will go down.",2025-11-24T01:18:13Z,0,0
UgxiZnhPwaVdU-Z-tKJ4AaABAg,@PassportBrosBusinessClass,I am comfortable with 64GB of DDR5. I think I'll be fine.,2025-11-24T01:14:31Z,0,0
UgwCdyHdgT0AcDA-Of54AaABAg,@PassportBrosBusinessClass,"The RAM price increase has also infected SSD sales. I went out today for a 4TB SSD drive and was shocked that even on Black Friday sale, the average 4TB SSD exceeds $200.  I used to see them regularly for under $200. I bought one anyway which was $195 plus tax.

The portable external 4TB SSD drives with USBc are OK.  They are going well below $200 for nice prices. I'm not a big lover of external drives though.",2025-11-24T01:13:40Z,0,0
UgytTN4c7D_75AXVyqZ4AaABAg,@High_Alpha,This promises to be like the GPU scalpocalypse... we have AI as the trigger (sidebar... puck AI)... now the manufacturers have a free pass to determine the price the market will actually bear. And we all cop it as we are charged way more for way less for ever more. Remember when the xx90 cards were around $1k??? Now it's THREE TIMES that... on a GOOD day! Simply because Nvidia got a free pass to determine what people would ACTUALLY pay as the FOMO kicked in and drove the prices skywards. #WorstTimeline,2025-11-24T01:11:43Z,0,0
UgyDSBzKDnWVER_vjK54AaABAg,@ryulanda9399,It's time to change hobbies.,2025-11-24T00:58:23Z,0,0
Ugz4dC7aYcznYq6F84R4AaABAg,@wthrz,"Just last month, I upgraded to 32GB despite not really needing it just yet for $60.
Looks like I made the right call.",2025-11-24T00:42:26Z,0,0
UgzBp2uYBNGL6hBAT1B4AaABAg,@NotUp2Much,And here I thought now was a good time to build a gaming pc.,2025-11-24T00:24:24Z,0,0
UgyIPXwp0IUVkS3_X9B4AaABAg,@isaacKetto,"Was planning to upgrade next year. Gonna have to save up more for that bc everything is going up bc of AI. There were many reasons to hate AI but this one is second to me, after the fact that programmers get replaced",2025-11-23T23:41:41Z,0,0
UgzE6MItDWIviwPkD2J4AaABAg,@mathieutrautman8634,"Spent less than 100$ on two sticks of 32gb ddr5 sodim, went to try to upgrade to single stick 48gb of the same and it’s about 400$, wtf.",2025-11-23T23:04:56Z,0,0
UgwrIoWtcZXzsB8wuzN4AaABAg,@theimmoralcookie,This sucks because I'm going to buy a PC to build. Bad timing I guess.,2025-11-23T23:03:28Z,2,0
Ugwi5da9cnnwew3ZooB4AaABAg,@docchocobo,Sounds like it's time to start scrapping them old PCS kiddos!,2025-11-23T22:49:03Z,0,0
UgyIZqiZ5iJFoEeHEGZ4AaABAg,@mightylink65,"It's looking more and more like the Steam Machine is going to become the best value proposition in the future. Will you build your next gaming PC for $2000 or just get a GabeCube for $600-$800? PC gamers are going to have to get real cool with lowering their settings in the future, high end hardware just wont be for us anymore.",2025-11-23T21:22:00Z,0,0
UgxRf6ZH6AT8IGGetel4AaABAg,@danilodjurovic7079,turbo-corpo-data-centers eat up all our electricity and electronic components. Waste of resources.,2025-11-23T20:55:32Z,1,0
UgyD8zJ2AVqtoj99BIF4AaABAg,@Reaperherpderp,This is literally the american health care system but for PC consumers,2025-11-23T20:29:55Z,0,0
Ugw5EmwssnUFoznZycJ4AaABAg,@noneyeabis,Conclusion is americans were the only people benefiting off over seas slave labor. Why he cant remember when there's been a time hardware was expensive cause you lived in a nation profiting off slave labor prices no more slaves to make cheap parts time to pay full price.,2025-11-23T19:50:04Z,0,0
UgzRRwWtK54yFez2BeN4AaABAg,@dannydeaf,I bought it was £100 then it is £300 now so crazy and madness situation,2025-11-23T18:32:31Z,1,0
UgxpZceLPUTR6xS19Al4AaABAg,@CrittterChronicles,"I bought 2 16GB sticks, 32 total, Vengeance RAM 6000MHZ in 2023 for $120 now that same product is now $260. Insane",2025-11-23T17:40:05Z,0,0
UgwGcYt0_wCLO5Tbc154AaABAg,@EYE_OF_THUNDERA,"Just get a ""PC"" they said 🤡🤡🤡🤡🤡",2025-11-23T16:57:24Z,1,0
UgxPRX7_OxYxoMXM8RZ4AaABAg,@drivemecloser,"There are cheaper hobbies, and it might be time for people to start diversifying their interests. If such an exodus ultimately destroys all these companies, good.",2025-11-23T16:54:15Z,0,0
UgxEJDVEnXVn5OWprg54AaABAg,@ZenOnKbm,Bought a used 2x48 kit for $100 in February. It is selling for 800-1200 now.,2025-11-23T16:34:12Z,0,0
UgwNTtON0JVLIXocaux4AaABAg,@RayHaich,Thirty minutes to explain this?,2025-11-23T16:31:14Z,1,0
UgzLFm_hfDW82SU05N94AaABAg,@Bulbasore,"Should’ve gotten 64gb instead of 32gb. Surely prices will go back down in the future, right? 😓",2025-11-23T15:44:27Z,1,0
UgyWVu6LzQU7IgQj35p4AaABAg,@gleb.salmanov,The moment Microsoft demands moneh for that dogshit operating system is when the world switches to Linux,2025-11-23T15:28:25Z,0,0
Ugw7z7bH3336_YjtfSN4AaABAg,@ibizenco,Let's all get together and go b*rn down all those AI data centers.,2025-11-23T15:14:08Z,0,0
Ugxa9Vb8Qn89j6wW-v54AaABAg,@Siko7000,400$ for 2x16 GB now... it's actually so over,2025-11-23T15:14:06Z,2,0
UgxR3yS1-X-3T7yOE8Z4AaABAg,@n1zgan1zga44,I think it is more like the GPU's where People who don't use them Buy them Just to Resell them at a Much Much Much Higher Price and it only works if they can buy up 66% of all the DRAM Just like the GPU's all they needed to buy up of the GPU's was 66% and now there Controlling the Pricing these Third Party Middle Men.,2025-11-23T15:09:46Z,1,0
Ugzbe0yZK2DbIUySoHZ4AaABAg,@Siko7000,"Great, as soon as I wanna get myself a new PC the ram price more than doubles. I AM NOT PAYING 230 BUCKS FOR 32 GIGS DUDE!!! WHAT IN THE WORLD???",2025-11-23T15:03:19Z,1,0
UgypuhvqvJEMjyyhfy54AaABAg,@Lightkie,"30:45 ""I can't think of a time I've had a bad stick."" -- Steve Burke 2025",2025-11-23T14:28:22Z,0,0
Ugz7BgV1xGVEdYfO-Tt4AaABAg,@SamBalducci,Sep 30th 2025 -- TEAMGROUP T-Force Vulcan DDR5 32GB (2x16GB) 6000MHz $114.99.  I had intended to purchase another 32GB but today $279.99 to $322.20   F*** me more than double the price.,2025-11-23T14:13:57Z,0,0
UgxvVY_ZEme0R9WdxDJ4AaABAg,@florianradu7750,"Fine, i’ll stick to my 32gb of ddr4 then 😂 F A.I 👌🏻",2025-11-23T13:56:07Z,0,0
UgxktUsK1UtNmJ4N0sR4AaABAg,@jq8913,"I bought 2x64GB of DDDR5 6000mhz RAM about 3 months ago on a whim because it was a good price, around $275.  Now its about $1200 and I also have my 4 sticks of 16GB DDR5 6000mhz RAM that I replaced.  I feel like a millionaire lol.",2025-11-23T13:55:36Z,0,0
Ugw9p0D6Jn2pf1HVCgd4AaABAg,@DioTheGreatOne,A single jewish man caused this by the way,2025-11-23T13:50:39Z,0,0
UgyJz3o3LPF9cRj95C14AaABAg,@KrisAmHere,"Yeah. Companies should be allowed to get parts individually. Just in my opinion. Whole computer only. That way they have to make the choice between money and doing stupid crap like AI. The only one that makes even remotely sense is Copilot. All the others are just unneeded. At least I don't need them. Copilot does everything someone would need. Teaches. Generates images. Why would anyone want videos generated? It makes absolutely no sense in the long term. If I'm making an absolute masterpiece of art and I need help I have copilot generate specifically what I'm looking for. I can make the base and generic colors of any of my art, but I struggle with shading and backgrounds... and hands. Pretty hard so I get image generation to make the art you made exactly how you wanted it instead of settling for the best you could do and even despite that I take inspiration from the art made and try to make my art even better afterwards. What I'm saying here is I really want ram man. I didn't and haven't ever wanted prices to go up on anything. First it was bitcoin taking GPUs now it's AI taking ram sticks. Wtf is next bro? I'm tired. Make tech cheap again please for the love of everything.",2025-11-23T13:18:02Z,0,0
