Comment ID,Author,Content,Publish Date,Like Count,Reply Count
Ugysn3-8DnFSQne9WE54AaABAg,@GugaFoods,Get 40% off your first Hungryroot box PLUS get a free item of your choice in every box for life with code GUGA at https://bit.ly/4hBlJdn,2025-02-26T17:10:11Z,35,6
Ugwae3HEfQhmAzUrxYN4AaABAg,@JoshuaHenry-o8t,That fish looked perfect after the taxidermy,2025-10-17T22:26:16Z,0,0
UgwlVutIvQ02KhgW5Wt4AaABAg,@Anonymous-sr8og,Guga with all due respect  please stop... just stop okay?,2025-09-24T07:10:21Z,0,0
UgzDcvGFEiL6MAiyKMx4AaABAg,@rtyrsson,"Hard pass on that. I'm with Angel. I cannot stand any fish or seafood either... at all. Maybe I was frightened by a guppy when I was a toddler or something. I prepare it rather well, according to friends and family, which is surprising because I don't even taste it for proper seasoning or texture.",2025-07-21T20:58:17Z,0,0
UgyuAr7TI-3XfM7o-jh4AaABAg,@Archangel1988,Who is the guy on the left of guga?,2025-07-04T01:28:56Z,0,0
UgyoUXc2O8oXOIfNJKl4AaABAg,@Blake5ive5,"I would love to see a dry age experiment in 40% low Salt Soy Sauce 20% Mirin, 20% honey and 20% sake.",2025-07-02T19:05:19Z,0,0
Ugw_0DL_tGS7f4bB0kt4AaABAg,@Aoitori365,this reminds me of a nile blue video,2025-06-30T10:41:29Z,0,0
UgwmISPyp8lBePvyKcp4AaABAg,@SoulsborneKnights77,Ok Guga it's time for you to Dry Age Mamao it may help you develop your Spice Tolerance who knows 🤷🤷🤣🤣,2025-06-24T14:13:59Z,0,0
UgzD6YiT1ND_305MQzp4AaABAg,@deaddead698,2:13 me when guga ages me in soy sauce,2025-06-21T22:56:03Z,0,0
Ugz7RCGlu5KDkuSC1QN4AaABAg,@robertbalaicius2645,"try soaking in the soy like you did, then remove and dry age like the other... best of both worlds?",2025-06-16T17:25:11Z,0,0
UgzMacPHpfEBoNc1T5t4AaABAg,@robertbalaicius2645,why didn't you skin it before soaking...? would the skin not prevent penetration of the soy?,2025-06-16T17:12:01Z,0,0
UgwNtljBVxr2ORfaz1J4AaABAg,@tyrellbaker,Guy on the left is cooked 😂,2025-06-13T14:45:31Z,0,0
UgyqRRKpf807OWNCECh4AaABAg,@JJ-qf3ob,Should have invited uncle Roger,2025-05-22T01:47:59Z,0,0
Ugz-Y9bXWhrZEnCzIOJ4AaABAg,@BiffTannen-d5b,Whole Grouper $36++ per pound,2025-05-16T19:25:07Z,0,0
Ugx7nxmcltjJmyUKAgx4AaABAg,@EvanGrunwald-x2r,I did this in cooking class in grade 12 and I got kicked out for it by litterly the entire class for trying to bake it,2025-05-16T02:26:04Z,0,0
UgwWFNOU9AGkVekCpDh4AaABAg,@samvirginia9214,"Where is my plate Guga, I must try that.",2025-05-15T20:23:29Z,0,0
Ugy5ZDGFbIFzzDTAif94AaABAg,@dmrmods,dry age a steak in horse seamen,2025-05-11T23:53:14Z,0,0
UgxgpkUynx5cJtIyS2h4AaABAg,@davi5000,Sorry sir there is a fish in my butter,2025-05-11T08:38:52Z,0,0
Ugx9iHAWkSbVzfHgeoR4AaABAg,@Cosmicfury100,I don't get why you didn't fillet both sides then dry age/ soy sauce it.,2025-05-07T04:37:51Z,0,0
Ugx1-blCjnc_X3ZQxKB4AaABAg,@Aokreaper,Wow…. I have to watch a reed the fishmonger video……. Hes in Florida  collab?….. yea…. His knowledge would be prime lol,2025-05-02T02:38:39Z,0,0
Ugxksb97PEQtDoRPOwt4AaABAg,@jeremyusry1379,Why not just do the filet in the soy?,2025-05-01T23:45:51Z,0,0
UgzkG3J_rB-I5sJFphx4AaABAg,@robertheinrich2994,can you soak it in soy sauce for a week and then dry age it?,2025-04-29T17:17:08Z,0,0
UgwEcZYPl-F0wF-1hhF4AaABAg,@venancioaguinaldo-rm2sn,That how guga so rich guys,2025-04-27T12:13:22Z,0,0
UgxFoSBXQHYd-e_kO9F4AaABAg,@jenniferdruidhill7157,"You should have removed the head and made a soup with it, so you wouldn't waste it.",2025-04-26T01:39:16Z,0,0
UgxbmJV0cvzjK0aHegx4AaABAg,@monarch6947,"Please try next experiment with dry aging in Asian (Indian) pickle oil (called Achar) it's really spicy, very flavourful and extremely delicious 🤩🙏",2025-04-25T07:52:15Z,0,0
Ugw7Vc_81Crluwj18sZ4AaABAg,@CreationInspired,The chemistry and science channels have some competition with guga 😂,2025-04-23T01:09:16Z,0,0
UgysmYDVIXDyd0kbdKl4AaABAg,@MrCSRT8,I'm surprised that you salted the already salty-soy-sauce-soaked fish and the result was not too salty.,2025-04-20T03:03:33Z,0,0
UgyP3KBoYStMDIY6myx4AaABAg,@Genotox,"If I had to guess, the batter fried soy sauce marinated fish isn't as crispy because the extra moisture steamed the batter during the frying process while the dry aged one didn't have that extra moisture to soften the crust.
Guga is like Kenji Alt Lopez or Alton Brown, but instead of the science behind the cooking, he test recipes, cooking methods, and relatively reasonable experiment food preparation.",2025-04-16T07:59:31Z,0,0
Ugxct5vnv64CmE2Dzex4AaABAg,@kube1040,"Guga thinks that's a big giant grouper, HAH! That's just a kid, they get 20x the size of that one",2025-04-16T00:41:11Z,0,0
UgyzBaDKKBIjcaqOMBZ4AaABAg,@StartlingEarth,Little secret to cook fish. Always and always cook the fresh fish. Dry age and all is maybe better for steaks or any other meat but fish is only good when its really really really FRESH!!,2025-04-11T03:18:32Z,0,0
Ugy40-81B2GofU_AG8x4AaABAg,@AustinHealeyBN2,How much did that fish cost?,2025-04-10T21:09:54Z,0,0
UgzRMHeLzjrYFEEQ4mx4AaABAg,@JamesCunningham-v4q,Is seb and Leo brothers seb looks like a 1970s version of Leo 😅😅😅,2025-04-08T21:39:18Z,0,0
UgxyIV0-JKGbARq-Hyd4AaABAg,@deadcell66,Guga is singlehandedly inflating soysauce prices with these experiments xD,2025-04-08T16:33:58Z,0,0
UgxWUvEfKidTevnFGzR4AaABAg,@FAJARMULIAultimateedition,"naaaaaaaaahhhhhhh, this fish only good with small one, 1-1.5kg more than that not that good, for marinations, much garlic, ginger , sweet soy sauce, msg, salt, and small chili (thai chili), wipe with every 2 minutes oon the grill",2025-04-05T11:40:52Z,0,0
Ugw9DSM0Tvy1e3ZLvvV4AaABAg,@laptech3767,You should have gotten the fish verison soysause 😂😂😂,2025-03-27T20:05:19Z,0,0
UgwHYiXgzkLHRTScTdJ4AaABAg,@qwertiedota,Isn't this as good as marinating with soy sauce vs plain fish? Maybe you should do an experiment to see how long we should marinate it instead.,2025-03-23T16:38:23Z,0,0
UgxlWSiuMh6LydM2Pg54AaABAg,@cirdan91,"I love how he serves his nephews. In my house, the children eat first, then the guests, then the women, and then the men.",2025-03-17T03:20:30Z,0,3
UgxrMkORpnfTRcLq2AZ4AaABAg,@TheCollector_16,Chef rush would be proud of you weightlifting,2025-03-16T11:16:31Z,0,0
UgyCDF5XCA31vsVDIoJ4AaABAg,@BoehserOnkel1989,"Drop this number please. Fish/Seafood contains a lot of heavy metals, mostly quicksilver. Once a week is fine though.",2025-03-16T03:39:21Z,0,0
UgzFjsZrCY6KjYp5iwF4AaABAg,@markv9,Day 1 try dry aging in shrimp paste (Kapi) from Thailand,2025-03-14T18:09:43Z,0,0
UgzMXZI2PNNC_nR8I_94AaABAg,@doomarhuh9028,the fish was HUGE!,2025-03-14T03:04:58Z,0,0
UgzhdLzyCnXFagaD-LR4AaABAg,@deolom1997,First side dish that’s really easy to make 😂😂,2025-03-11T23:57:41Z,0,0
Ugy3k2Y1vMabghKoi5d4AaABAg,@sarpicarlos,"Guga, my guy... STOP making eco with your hands... i prefer to watch you eat to hear you eat",2025-03-11T17:27:27Z,0,0
Ugz8y8ZpfSp9rZ1C4294AaABAg,@jacksonguin1754,"Guga! I’d love to see you do a catch and cook video, I know this channel is primarily for the cooking side of things, but I’d love to see you go get some fish too!",2025-03-08T18:54:08Z,0,0
Ugxz3cwZysPJ3kRNDmp4AaABAg,@Hyperion-5744,"Soak a steak in the juices of Pepper X

Pepper X is spicier than the carolina reaper.",2025-03-07T02:22:12Z,0,0
UgxvZeupPeFfbiYAmvZ4AaABAg,@MeepMeep933,The fish lips are the best part of the whole fish.  And you went and dehydrated them. 😋,2025-03-07T01:13:48Z,0,0
UgxP7jf63bYy_GvRyt54AaABAg,@mightymort915,you couldnt just filet the fish instead of drowning the whole fish in tons of soy sauce? lol,2025-03-06T19:36:42Z,0,0
Ugz_OM7rTNCgmPYRfvl4AaABAg,@richki.24,Guga is a beast ....,2025-03-06T04:17:24Z,0,0
UgyTb_lzaM_fy7mzMKd4AaABAg,@sosobeautiful7,Finally an easy side dish lol,2025-03-06T03:47:13Z,0,0
UgzIojHKWSylGmSsCt54AaABAg,@_Dwarkin,"Guga, please teach Americans how to eat carp",2025-03-06T02:19:00Z,0,0
Ugy1ExVvIKfiKxJn2XF4AaABAg,@Tjango73,Signing with Complex is a nonstop nightmare isn't it. Gotta keep the content coming.,2025-03-05T05:54:04Z,0,0
Ugx6NAn50iEZD0Lt7HR4AaABAg,@Browneewestbrook,Aww man what do I have to do to be one of his taste testers 😩,2025-03-05T02:48:24Z,0,0
Ugw6xwl6QwfwaAGKBJV4AaABAg,@zsr6490,Black grouper is amazing,2025-03-04T21:25:39Z,0,0
UgzTq-vop7aoSjPV63p4AaABAg,@maxwellhamzah7483,May wanna try dry age salt-rubbed fish aka boujee bacalhau & try the same experiment 😅,2025-03-04T19:05:14Z,0,0
UgwzazSKxPggjSDajiR4AaABAg,@redwhiteandwho,That is a tiny grouper.,2025-03-04T12:27:52Z,0,0
Ugw75iMiHc59h7DYQhF4AaABAg,@KB-vu6hk,Get rid of Leo,2025-03-04T08:59:26Z,0,0
UgxQxoaYqZkVG_BaxKF4AaABAg,@Val_da_Shark,"This is a weird idea but given Guga likes to explore I’ll say it.
What if he tried to dry age stake in sand?

At first it might sound weird, because it is, however sand and different silicate sediment has been known to preserve organic materials for millennia, everything from animals to the wood from pirate ships.

If this same process or something similar could be recreated in the kitchen how might it turn out?",2025-03-04T06:40:05Z,0,0
