Comment ID,Author,Content,Publish Date,Like Count,Reply Count
UgxsZ9jKC4Clxd2CGWJ4AaABAg,@elius9538,Bro I'm Italian and you can do Cacio e pepe better than me...,2025-05-28T18:56:19Z,3187,73
Ugxa0a6EDMdNi5NhSOd4AaABAg,@williewideman6638,"Sir, you just intentionally consumed fish sewage. 👍🏻",2025-11-21T07:28:48Z,0,0
UgwhkNaxxuHVH1ZT7_54AaABAg,@Strawberry_23479,4:21 u VIOLATED! that steak 🥩,2025-11-21T00:43:00Z,1,0
Ugx91a47gRfTd-0U_-B4AaABAg,@a64738,"Seawater have a LOT more bacteria then fresh water, I hope you boiled the seawater first to kill all the bacteria....",2025-11-18T16:02:39Z,0,0
Ugx4-6-0QzbwDmwxbbx4AaABAg,@imbestigador987,is that the one that use make Kombucha?,2025-11-16T09:03:58Z,0,0
UgynW7Zf3UYoBXiE9jJ4AaABAg,@jazzy3345,"With the dry age crust, do you just toss it?",2025-11-15T09:11:01Z,0,0
UgynTCRJwfUC3xTTGAB4AaABAg,@mardorang6029,"10:02 I did not beat up the steak! I did not. Oh, hi Mark.",2025-11-15T06:17:33Z,0,0
UgzGnKDJ7XIX2yhFLz94AaABAg,@profilmwork,"Excellent exterior, raw interior.",2025-11-11T19:04:15Z,0,0
UgyHyeTNbPAsmtSXYtd4AaABAg,@H1mto1,Guga gonna wake some ancient diseases with this idea 😂😂😂,2025-11-05T08:39:31Z,0,0
Ugwa1rs58VVqC3N8v7l4AaABAg,@ArelYlmaz,gugas lost the plot,2025-11-04T00:04:56Z,0,0
UgzNVsrK4yRhSFGyfm94AaABAg,@TomsRandomThings,"i think the flavor came from swimmers feet and other body parts in the ocean water, probably some hit of ships oil",2025-11-03T20:08:45Z,0,0
UgxS_8Axk08i_SRb3qx4AaABAg,@virtualwrestling4352,Dangerous to eat don’t try this u could get a unwanted pesticide from natural seawater it needed to be filtered even then u have to watch th ph levels,2025-11-03T03:37:27Z,0,0
UgwF9TxJzOnIYxENyOt4AaABAg,@dopi3220,But how much did you cut off? Looked like 40-50%,2025-11-02T19:25:59Z,0,0
Ugxd_w2K39lDFgcBrR94AaABAg,@vitorstreetboys,You should do sea water + combu + smoke + fart on it and pepper,2025-11-01T19:57:22Z,0,0
UgxPV1iuFVaeRoLBYl54AaABAg,@vitorstreetboys,Show how you stomach reacted after,2025-11-01T19:50:20Z,0,0
Ugw7ICJZ8gTwNldN7cd4AaABAg,@adcraziness1501,I think I would have walked a bit further out into the water for my bucket full of brine!,2025-11-01T19:25:56Z,0,0
UgyK8RxmV-M5aA__3Hd4AaABAg,@TheCryptoOptimist,Guga: What's next? Soaking in Peeee,2025-10-30T21:12:15Z,0,0
UgxXKRdt93Y8rB5NEON4AaABAg,@Turtlydurtly,"Ummm… I hate to break the news to everybody, but the water would evaporate.",2025-10-30T01:13:55Z,0,0
UgwmHUNErfIUtZVtzA14AaABAg,@MichaelRosenblum_Emp500,Guga i love the fact u made cacio :)) BUT NOT EATING IT RIGHT AWAY AHHHHHHH,2025-10-27T23:53:12Z,0,0
Ugxbd5E0u7bEjep23GJ4AaABAg,@Velxyee,I cooked my first steak last Friday and it wasn’t to good same on Saturday and I made 2 steaks yesterday and the second one was really good perfect medium rare and golden crust I’m so happy,2025-10-27T05:18:01Z,0,0
UgylK6dCml1JW2pe8F54AaABAg,@calebonfire4645,Got a new subscriber . 🔥 content,2025-10-25T17:22:34Z,0,0
UgxIs4xrBhYAKGOK8A94AaABAg,@Grim-STi,"I just tried to make that pasta… 
ABSOLUTELY HORRIBLE..
No wonder we add cream to pasta..",2025-10-25T11:34:50Z,0,0
Ugxmf-uicDphNr7NSGp4AaABAg,@TheShaolinRogue,I think Guga is GAY 😂,2025-10-24T09:08:03Z,0,0
Ugy7_dqMPgHIoJqbk_J4AaABAg,@fizzle.101,Guga your voice is so relaxing dude,2025-10-23T14:09:21Z,0,0
UgwWPp0JCXSaens82354AaABAg,@StandardGabriel375,"Its one thing to say Guga is a steak mad scientist, but no.  In a 1,000,000 years when aliens come to study us he's trying to make sure Aliens bring him back to life for his thoughts on steaks😂",2025-10-23T00:09:25Z,0,0
UgzoeLfTdPy0o_7quwl4AaABAg,@jonathangonzalez9473,"You sound like the ""I just saved my self 150 bucks"" dude",2025-10-22T19:04:01Z,0,0
UgzmTX-j9a5I-qWFzUt4AaABAg,@DroppedMyController,You always come up with craziest cooking ideas. I love it.,2025-10-22T17:48:36Z,0,0
UgwWbeOvilEjq7kg_FZ4AaABAg,@heberiffin,"I wonder if he really believes that he's the first person in history to brine meat in seawater. I did that decades ago, very shortly after discovering what brining was. Seemed obvious.",2025-10-22T16:29:02Z,0,0
UgyyadSk4drQHGFq9LV4AaABAg,@lew868,I search interesting and this came up,2025-10-22T15:51:57Z,0,0
UgxtnHBZZLv65C7Fh5R4AaABAg,@Djwunmoshen,That steak is pregnant with every mammal in the sea..,2025-10-21T21:46:34Z,0,0
UgzGypOSUDWVv9MAb8N4AaABAg,@MrChinkman37,"My dude... I do not think this phrase you keep saying means what you think it does. ""Dry aged""",2025-10-21T20:34:20Z,0,0
UgxV04w8vOWIYksth4J4AaABAg,@catfish3215,So this is what the legendary sea cow would taste like,2025-10-21T14:45:43Z,0,0
Ugy7G6upwC9fiwS_5x14AaABAg,@zacharynelton3687,"I marinated it my steak today in Donkey urine , it was grass fed urine and a grass fed streak.  Taste just like the sea water hack",2025-10-21T14:09:39Z,1,0
UgxcANDOT5iwjkIPIpJ4AaABAg,@EuggEosidehEhEirg,I see it malaysia at uncle roger,2025-10-21T11:03:34Z,0,0
UgzEVatKTxGGTu3HA1h4AaABAg,@pounderfoo,What are the odds that he’ll soak it in piss one day,2025-10-21T07:21:09Z,0,0
Ugx1BeS0cnpwZXp1TMh4AaABAg,@lordfrostdraken,Holy moly that looks so good i wanna eat my screen!,2025-10-21T05:17:04Z,0,0
UgzALEsRB-Qwq0iVZvV4AaABAg,@smackzombie3944,Try flint tap water next time,2025-10-21T04:06:47Z,0,0
Ugz-eGL9VYFid-Z5LEx4AaABAg,@uwantthemoneyorwhat,Did you filter the sea water? I woul like to see that full process😊,2025-10-20T19:20:07Z,0,0
UgzTNL5stEU88x13umF4AaABAg,@MrBananaSplitEm,No problem with the video at all but add in your cuzzin his personality is great for cameos,2025-10-20T12:41:46Z,0,0
UgyqCQj9Vn-z6yfm1qV4AaABAg,@Jimmyhawk1820,This is next level experimentation,2025-10-20T07:26:24Z,0,0
UgxV8RC-xLdXPw33xkd4AaABAg,@colosine,"Don't try this, odds are it will kill you",2025-10-20T05:24:19Z,0,0
UgwaTszXJL6bhVB8MO94AaABAg,@Cylas1uz,Brine it in toilet water,2025-10-19T03:43:07Z,0,0
UgzTIPziMzkdB7qDnuZ4AaABAg,@AussieBB1,So for the first test without msg goes in for 30minutes and the other one with MSG go in for 1hour,2025-10-18T11:52:44Z,0,0
Ugyad_DC7oAa95utPsZ4AaABAg,@Tevinsatahoo,How can it get dry if its in water,2025-10-18T02:40:46Z,0,0
UgxcsI6-2SDFduOq3md4AaABAg,@cir.2042,5:42 in my language was like 'what was it??' 😂,2025-10-17T15:51:17Z,0,0
UgxWA60uJvtnCAqRA_h4AaABAg,@TheUnknownChaptersX,"Im going to the beach tomorrow, thanks",2025-10-17T12:59:14Z,0,0
Ugx9HEceMBFJgu9W1BV4AaABAg,@xFoundGamer,The Cacio e Pepe stole the show tbh I’m making that tonight!,2025-10-16T17:21:48Z,0,0
UgymnBy8Gw3QsiIqLcB4AaABAg,@iRobertRS,i love the instructions as if i can afford to do this lmao makes me so hungry ngl,2025-10-16T08:49:59Z,0,0
UgyOY6c-our1H20H4CN4AaABAg,@MichealJacksonson,Micro plastic also 😂,2025-10-11T04:40:22Z,0,0
Ugwgf8KUH1xYhq1dXAV4AaABAg,@KayeSea92,Steak seasoned in fish........excretions,2025-10-11T03:40:57Z,0,0
Ugy3MqkKRsiluUSFbup4AaABAg,@davidszabo820,"How so many people like this pasta its way beyond me. Its not even close to a good pasta with cheese, sour cream and bacon.",2025-10-07T09:45:48Z,0,0
UgyEzS_ROXeOtpvhGst4AaABAg,@jakefarm1766,Soak in coconut milk please 🙏🏽 ❤,2025-10-06T00:51:44Z,0,0
UgygfHVAsKEIZkeGsMF4AaABAg,@ghost91698,"dude really said, Its the same exact thing. Then proceded to explain how its not the same exact thing... LOL What are words?",2025-10-04T04:00:07Z,0,0
Ugyg05bOVJ4rp7Zp95Z4AaABAg,@ghost91698,to claim something nobody has done is very bold,2025-10-04T03:53:21Z,0,0
Ugztaer5TH-fxb0nAPR4AaABAg,@hasankibar797,try toilet water next,2025-10-03T15:01:13Z,0,0
UgzMqFuVJLnMa_0sSZ14AaABAg,@MatthewMcclish-m6x,Do you know how many corpses are dumped into the ocean every day,2025-10-03T00:56:26Z,0,0
UgycqQR0o_TgydVe6DN4AaABAg,@terrancekearse3814,and serm for a whale,2025-10-02T22:32:22Z,0,0
UgyJIv0b8wNMY5DK7kN4AaABAg,@tablasolo,Please tell me you boiled the sea water first. 😮,2025-10-01T00:08:32Z,0,0
UgxCfp-z-4_pcP22o9B4AaABAg,@andrewgeck428,If you want tender meat consider eating fish,2025-09-30T23:42:52Z,0,0
Ugzr-f3KXKVBQP4EbCN4AaABAg,@aymericwilfrid1515,"Don’t trust the ocean, fishes have sex in lol",2025-09-30T22:23:35Z,0,0
UgxRsmg-6XP3H-SGY2N4AaABAg,@MiniLolise,"I'm from Italy and I didn't know that Cacio e Pepe was made with Pecorino Romano, I always assumed it was yet another cheese hahaha",2025-09-30T20:29:00Z,0,0
UgyR5TCO6sFEb3MFtYZ4AaABAg,@PuOop-j9l,Isn't seawater full of harmful bacteria,2025-09-30T20:04:27Z,0,0
UgyfGgM0HwajJxRvnct4AaABAg,@niverian7789,Quite literal surf and turf,2025-09-30T18:33:15Z,0,0
UgywkN43DGgwi2dyRm54AaABAg,@zuleykabernard5586,Poor piece of meat,2025-09-30T01:19:22Z,0,0
Ugy4QQBaUrgVbqxKga94AaABAg,@ashadowawhisper,Mmmm salt and Corexit… good combo,2025-09-29T21:30:38Z,0,0
UgxPT21OQYjNlhsEMn14AaABAg,@adammiller4879,Marine-ated,2025-09-29T02:26:01Z,0,0
UgwKrvyQk4xqUGpY-ux4AaABAg,@Cryhavoc19,Mmmmm bacteria 😂😂😂😂,2025-09-28T18:07:17Z,0,0
UgxjJq63uqD7dqMmu3p4AaABAg,@sparky-x3j,"You didint use ""sea water"" from the ocean. Wtf!!",2025-09-28T16:49:00Z,0,0
