Comment ID,Author,Content,Publish Date,Like Count,Reply Count,Detected Language
Ugxy-RNhvcUKtU7gl_l4AaABAg,@GugaFoods,Go to https://DrinkLMNT.com/guga for a free sample pack with any purchase!,2025-06-11T17:25:35Z,54,15,en
UgxeIaCzqaOXAorDCoB4AaABAg,@malachite_manul,I would add some beeswax,2025-11-16T20:02:04Z,0,0,Other
UgzBBSwvhSKJnuAXPcZ4AaABAg,@KillerCornMuffin,"3:13 Don't do this, Guga thinks he's cooler than he is and you'll get fired. Just go on with your day.",2025-11-07T04:43:21Z,1,0,en
UgzCKwIWPtHC9CSDJp14AaABAg,@Grogthewhale,It may be edible but what about the health impact consuming candles may cause?,2025-11-06T16:42:51Z,0,0,en
UgwsWVAlDNbYN6BNAzJ4AaABAg,@danapatten3121,I want those candles,2025-11-05T08:19:36Z,0,0,en
UgzGtwOApn4nMvdKfsh4AaABAg,@whatdafoxnfamily,"Omfg, I am always looking for  craft ideas for x Mas, my family loves food and doing things diffrent this is made fat sexy",2025-10-26T22:46:34Z,0,0,en
UgyIoYus7ZfHiVgG7gp4AaABAg,@tomskene7642,"9:13. Haha, like Gweneth Paltrow, but ‘this candle smells like my meat’ instead!",2025-10-23T00:45:03Z,0,0,en
UgykaU9TlgZc_mBKe5B4AaABAg,@mickalinjezerx7104,Man if I'm not invited to one of these by the end of the year I'm going to unsubscrib.,2025-10-19T05:28:12Z,0,0,en
Ugw7KvmsX8hF43TmEQl4AaABAg,@robertrios8269,It's a 3 for 3❤,2025-10-02T19:58:41Z,0,0,en
UgyoiI43TR-_RTSkSNp4AaABAg,@zefod4735,"May be tasty, but just waste of food.",2025-09-25T00:33:53Z,0,3,en
UgzbtJLyr-JrcHBmWd94AaABAg,@williamwolfe9335,I have to try this! Be the best presentation ever!!!,2025-09-08T14:56:40Z,0,0,en
Ugzs9ZaCDR-HuaJVjAp4AaABAg,@codyshin8469,Now do smoked marrow vs smoked wagyu fat for a more even match.,2025-08-29T12:22:36Z,0,0,en
UgxskExTzPOsS6duLmZ4AaABAg,@brytonkenney1507,3:00 omg must copy yes yes yes guga where have you been all my life and the way you serenade us into your videos i absolutely love it thank you,2025-08-28T23:09:18Z,0,0,en
UgwXTsQSAjfwPPuhDYh4AaABAg,@d904mp2,To make the experiment fair. You should have made 2 dishes each. One plain for dipping and the smoked one from each candle. To make it a fair comparison. Just a suggestion.,2025-08-26T22:28:01Z,0,0,en
UgyENKtH9u9kw8XC5Bp4AaABAg,@darrenmitchell2830,Smoker????? Please some information!!!!,2025-08-25T19:19:43Z,0,0,en
UgyqlCEdQyc4hjkQ15l4AaABAg,@danielforeman8934,"Jesus Christ Guga... I'm usually up for your weird crap, but now you're putting not food grade wick, with not food grade stickers and making candles out of freaking beef and pork fat... No... there's limits to what I'll watch.",2025-08-23T09:26:12Z,0,0,en
UgySmOdK5NmZiz2tO694AaABAg,@ChristopherKeillor-m9d,Got to try to make wagyu cracklings,2025-08-19T05:07:39Z,0,0,en
UgwHmLOZWEm4DDbYeHh4AaABAg,@hadenjohnson5695,This is some food wars level ridiculous.,2025-08-18T07:51:12Z,0,0,en
UgzO3rE4vB7EClti7CV4AaABAg,@kevinmcmanis2002,Jamie Oliver is coming out with a chili jam candle for Uncle Roger!,2025-08-15T01:43:30Z,0,0,en
UgxadtotAp2EIFmT6B94AaABAg,@marcgulla9685,Disgusting,2025-08-06T11:55:49Z,0,0,Other
UgxGss3EZ8vK0BP-j2d4AaABAg,@MrGmoney48,Interesting,2025-08-01T04:46:14Z,0,0,en
UgyhHLtaYMElueOFtcx4AaABAg,@orbitingwonder7978,"F**K YOU GUGA, I FREAKING LOVE YOU AND YOUR VIDEOS I AM WATCHING THIS FOR THE SECOND TIME AFTER JUST COMING FROM A 9 HOURS SHIFT AND I WISH I COULD HAVE THIS, PS sorry for the curse on the top but man I love your videos and you as well, <3333333",2025-07-31T01:05:24Z,0,1,en
UgxOHSGHorUZr2dJQzt4AaABAg,@SalmanKhan-j3l4f,Sorry to say guga stop over reacting,2025-07-26T18:09:00Z,0,0,en
UgyzIGLn4xD2kznW3TN4AaABAg,@xin8992,"Chicken fat, fish oil,",2025-07-26T14:41:31Z,0,0,en
UgxTIbdlTK0nRy5kHDZ4AaABAg,@tonymalomuzik,Hands down THE BEST EXPERIMENT!! GUGA!? how we get to eat some food man sheeeeesh? lol,2025-07-26T02:20:18Z,0,0,en
UgwHLQQwhL6dYG8tlFt4AaABAg,@palasta,Lucky kids...,2025-07-25T08:32:41Z,0,0,Other
UgwTj2R2Bye8f9OWQKB4AaABAg,@dobain5202,"""this one might take the caking at the top"" is my new fav Guga phrase 11:19",2025-07-21T15:30:42Z,0,0,en
Ugxy5yJJwwupbAI-6sB4AaABAg,@rtyrsson,"""Shut up and take my money!"" But the one guy mentions it tastes like a bacon steak. Such a thing does exist. In Germany there is the ""Kassler Rippchen,"" which is a very thick cut smoked pork loin chop. It does indeed taste like bacon.",2025-07-20T17:45:33Z,0,0,en
UgyVqBkFSMwfOeiLIo14AaABAg,@SullySadface,"I guess since I'm not a ""real"" person who eats meat, I'll just eat a regular candle.",2025-07-20T09:09:46Z,0,0,en
Ugw8TX8ViZnL2uvOawR4AaABAg,@christopherdark4671,"Hey guys! I think you can dip the steak in the candles! Thats probably why they reused the footage of him doing so 98 times! Yeesh. Like watching old cartoons, they reused it so many times. You know those episodes of Speed Racer where about a third of its runtime is reused animations? Same thing.",2025-07-18T08:12:36Z,1,0,en
UgzHXaPu84HmL0tuPdV4AaABAg,@thedarkwizardfr6641,"Looks great but... I need u to test a duck fat candle to see how it renders, I can't imagine it bad",2025-07-16T02:49:52Z,0,0,en
UgwvBIp40HLo-nyp8RB4AaABAg,@deavencollins3019,Try a mustard dry age,2025-07-08T01:52:52Z,0,0,en
UgyTcBfvHrx3FnibTUV4AaABAg,@303ROC,You are a steak god,2025-07-07T06:15:34Z,0,0,Other
UgzStGMSjjDkecRtCLB4AaABAg,@francoiscappuccilli7684,May I give you some sound advice regarding your invention? You should definitely patent it; it's really worth it.,2025-07-07T06:02:05Z,0,0,en
Ugw7BmKKEyWMtqXifn94AaABAg,@KelbaughJAK,For a restaurant setting I think you would want shallow candles so people could get the experience without food waste.,2025-07-06T18:56:15Z,0,0,en
Ugxdggtoq9B2msDlkhV4AaABAg,@philippennington5415,Hey no control steak!,2025-07-06T04:12:42Z,0,0,en
UgxasHNmzQRngl7XSq54AaABAg,@lukeramos7205,Not sure the wick is food safe?,2025-07-06T01:24:57Z,0,0,en
Ugxdk5vpEQpPNYfNtV94AaABAg,@ButTheyAreOverrated,Meat lovers... Bones... Oh boy,2025-07-03T09:24:33Z,0,0,en
UgwTDzPIQBeNo6d-IMl4AaABAg,@TheTur3,"1:53 most people don't care, but your pronunciation was really good here, nice job!",2025-07-02T00:03:03Z,0,0,en
UgxqAYjQ1BPdkLnjZb54AaABAg,@TheRaginCanajun,Idk what kind of wick you used... but most wicks are treated with chemicals to control burn time... idk if you wanna eat that stuff...,2025-07-01T08:19:28Z,0,0,en
UgwUW51QmdqCsyIgyQJ4AaABAg,@twitch_tv_pat,did you fire angel where is he,2025-06-29T21:20:18Z,0,0,en
UgzoKs-6qd-Sd-qQNf54AaABAg,@chingrimungrei,Waste,2025-06-28T22:56:30Z,0,0,Other
UgxZI84GVfUrCZfr7Vh4AaABAg,@Qeste_r900,"So what the candle has to do with the flavour other than just looks?  

The smoking process is same as ever.",2025-06-28T09:32:03Z,0,0,en
UgzviOLlT5L2Tr02zMl4AaABAg,@GoblinatingGoblinator,I wish they took one of the smoked flavored ones and dipped it in a different one.,2025-06-28T02:49:52Z,0,0,en
UgwmLSLHiXte8OPmWs94AaABAg,@codexc4401,"The fried rice i just ate is way better, hear me out,
CHORIZO FRIED RICE",2025-06-27T14:56:53Z,0,0,en
Ugz9Zsg7aTu5cne-l_B4AaABAg,@Carapan-j2m,Ouija Steak is mad😂,2025-06-26T08:39:16Z,0,0,Other
UgzElPnOfrKAvi-bbp14AaABAg,@Nachtmar3,0:33 HEY! Thats for making Turkish coffee! Stop that! XD,2025-06-25T03:47:00Z,0,0,en
UgwiPa1Fzm1P41U3o014AaABAg,@psully212,Make and sell them!!,2025-06-25T00:18:40Z,0,0,en
UgyNpnjrKlj3vKjKRBJ4AaABAg,@patty868,dry age a steak in liquid smoke,2025-06-24T16:45:08Z,0,0,Other
Ugwhiou_GuoAL5VXCBR4AaABAg,@BM-xw3bg,Marinate the fat in wine and make another candle out of it,2025-06-24T16:02:22Z,0,0,en
Ugxt1XnMAu0LQ5XKIVJ4AaABAg,@ApplyingPressureYT,Shout out to @stalekracker,2025-06-23T22:39:43Z,0,0,en
Ugy7rWrYIcr7NZ_7CxN4AaABAg,@fgcnomad5135,...I'd buy these candles ngl,2025-06-23T14:14:18Z,0,0,en
UgwTlhJ1hgydhj3GgPd4AaABAg,@funnycatyoutubechannel,stalecracker featured video incoming??? thats money dude,2025-06-23T14:06:08Z,0,0,en
Ugz_jYY3w1NRCnPl8Dh4AaABAg,@HHog,"The smoke and candle dipping in the opening shot gave me heavy ""Uwos Lab"" vibes.",2025-06-22T21:09:47Z,0,0,en
Ugx3w1GhuKCvBGZeaqh4AaABAg,@BlueSpectre,Did he mention how long he smoked in that container?,2025-06-22T20:56:02Z,0,0,en
UgyduXPsefZ32B2r3v54AaABAg,@Cringespotted,"Ah yes everybuddy gonna put it in the resteurant right now and everyone will be like ""YES OF COURSE I WILL HAVE 30$ (or even more most probably) CANDLE TO MY STAKE TO MAKE IT TASTE LIKE SPICY BACON!!!"" 
get real...
ALTHO it would be really fun to do for a like a charcuterie board with meat in your home or fun stuff for family grill ngl",2025-06-22T19:13:30Z,0,0,en
UgzGOFgZFGe0nuLCOtV4AaABAg,@justinyon2324,11:23 wut?,2025-06-22T17:24:58Z,0,0,Other
UgzH8qpE4qS_7aMKZv94AaABAg,@americanjedi31,In 2020 during the pandemic I was selling garlic butter candles. But this is next lvl shout out to Guga,2025-06-22T09:19:29Z,0,0,en
UgyGPw0gr9SKgst8r7J4AaABAg,@SKPetel,"About half a decade ago, I was working at a nose-to-tail steakhouse as a line cook. The amount of scrap fat we would have after butchering the whole cow was so large that we could never use it all (after rendering what we needed, the cooks all would take a tub of beef fat home). We used to joke that we should start making beef candles and soaps to sell.",2025-06-22T08:56:38Z,2,0,en
UgyaPFzrqXQwL88KUKF4AaABAg,@TehAwkw0rdGam3r,You should do a collab with B. Dylan Hollis😊,2025-06-22T03:56:22Z,0,0,en
Ugwx3-v9pugys850yOJ4AaABAg,@teeth2716,Did ANYONE else notice at 0:44 instead of adding salt he added MSG? Lol,2025-06-21T20:48:31Z,1,1,en
UgxYtQYxTkH4IJAaaTV4AaABAg,@danielbrady7818,You ate wagyu fried rice without uncle Roger? You fucked up,2025-06-21T15:53:43Z,0,0,en
UgzQbfEK57iVW7eSMOV4AaABAg,@alejoferreiro9149,Capo Guga,2025-06-21T08:36:30Z,0,0,Other
UgywhggwZIL_rRizXqx4AaABAg,@jwieidjsos,Guga have you tried cooking steak under ground? Or in a volcano?,2025-06-21T02:59:50Z,0,0,en
UgyJOwFdRb16U5XeLAx4AaABAg,@Oh_Its_Joski,Do duck fat next Guga.,2025-06-21T00:19:26Z,0,0,Other
UgwRvS1f-q4yZXmdu1R4AaABAg,@kartikthakur1710,Can you try to make dry aged steak with mushrooms?,2025-06-20T20:45:51Z,0,0,en
UgxY4uTwQR8_xHSXJ3l4AaABAg,@heavyweighta29,Gives a whole new meaning for the word dinner candles I hope Gugu has patent this before somebody else steals it.,2025-06-20T19:00:16Z,0,0,en
UgzylK91i3BP-Ja6bTJ4AaABAg,@badcatirl7111,"Why is the full video translated to my language, I want to hear Guga not a random translator",2025-06-20T17:06:58Z,0,0,en
Ugw4gDAAtAaRjUODWsN4AaABAg,@bettyhall4175,"Uncle Roger's wanting his share of that bone marrow fried rice, Uncle Guga!",2025-06-20T14:57:09Z,0,0,en
UgwAXpW6PhQ7PnqpjV14AaABAg,@Dman_Da_Goat,@mrnigelng what did you think? Best fried rice ever?,2025-06-20T07:08:49Z,0,0,en
UgyKHML09yjvYaZPGvp4AaABAg,@taylormefford2948,"If you do this at home, make sure you use food-grade candle wicks!",2025-06-20T04:13:39Z,0,0,en
Ugym469xfdBITkgZhWt4AaABAg,@ClapYouLater,Guga make sure to use different wicks. More natural so the wax that came on the wick doesnt mix in with the marrow and fat,2025-06-20T04:05:28Z,0,0,en
UgxpX7yilN6JLXlKEAh4AaABAg,@FloWoodEnT123,Only slightly disappointed that none of you dipped a steak into a different candle to combine the flavors,2025-06-20T02:54:09Z,0,0,en
Ugw9zaQ-jlOg5hItDJt4AaABAg,@Genxim,What about a candle from duck fat ?,2025-06-20T01:21:57Z,0,0,en
UgzNHW_o1039I43src54AaABAg,@Benji_Fox322,I would hope the wick is made from food safe chemicals.,2025-06-20T00:52:07Z,0,0,en
UgyLib-NA_HokquqVJh4AaABAg,@ForeignForest_,"""no artificial stuff in LMNT"" points directly to natural flavors",2025-06-19T23:25:53Z,0,0,en
UgzHC-R6CzFD6gMW2xx4AaABAg,@liranturjeman397,Lamb fat,2025-06-19T22:47:54Z,0,0,Other
UgyHV6Uem1_W8BTAiuV4AaABAg,@dreusc666,yall are married no rings???,2025-06-19T22:04:56Z,0,0,en
UgwQubOgZMQp-oWJIPh4AaABAg,@NeonTetra516,Side dish looks better than main dish lol,2025-06-19T17:54:26Z,0,0,en
Ugwjrf6B1X7Wsrnc4jF4AaABAg,@darkpone3731,The only candles a man needs.,2025-06-19T16:41:46Z,0,0,en
UgzwlsUpFL1hpQf3nNN4AaABAg,@jowell010,i want to ask how many minutes you smoked the wagyu fat in that oven? I definitely want to try this,2025-06-19T09:13:39Z,0,0,en
Ugy92csnDPKe71ytyCB4AaABAg,@sredding878,"There is a steakhouse in Sydney, Australia that does tallow candles and has done so for ages. It was amazing.",2025-06-19T09:07:41Z,0,0,en
UgyuI2trCfbsiToujXF4AaABAg,@ajsummons,Guga you're going to chance the whole steak industry,2025-06-19T03:25:59Z,0,0,en
UgxAMRtRQ9f7VpnwH5d4AaABAg,@b-radkisuke8773,I would buy a candle❤,2025-06-18T22:33:06Z,0,0,en
UgxK3ph_DHzghIlfUzh4AaABAg,@kie-skatemods4141,What kind of charcoal are those that you use?,2025-06-18T21:50:48Z,1,0,en
Ugy9UsdHXiecrSxhYRh4AaABAg,@wick3dbeast495,Did this with clarified butter for bread service. It’s definitely something different for guests.,2025-06-18T20:09:59Z,0,0,en
UgwYMLkX8owcE2yLbnd4AaABAg,@tonygta18,"Haha pepe shout out to stalecracker 
Thats money duddeee",2025-06-18T17:18:49Z,0,0,en
UgzsyE_MayBKk9C5M954AaABAg,@eemotorsllc3486,Ok I think you're trying too hard now,2025-06-18T16:47:27Z,0,0,en
UgzNvFTE5Nxc4e5Bzwd4AaABAg,@vo9279,"So wait, you make a candle out of fats ... lol ... I don't think we see this in a restaurant. Besides, burning fats aren't healthy to breathe ... So no ...",2025-06-18T16:36:48Z,0,0,en
UgwyMhiUkTrQoKVFz4V4AaABAg,@FloWoodEnT123,Bro the side dish is its own meal 😂😂😂,2025-06-18T15:21:37Z,0,0,en
UgwajA-QrulKJfUmFa54AaABAg,@HamzaShams_,This is mad innovative and creative. Now I'm thinking why I didn't think of something like this before,2025-06-18T12:40:00Z,0,0,en
Ugwt65HIiGvv7epGPHN4AaABAg,@Goodwill-p2l,Guga my cooking has improved because of you my wife is even jealous 🤞,2025-06-18T12:16:03Z,0,0,en
UgzY5jPmgRZPR_EZNkR4AaABAg,@zeke3e,"6:20 straight up from food wars, nikumi's fried rice iirc",2025-06-18T12:13:47Z,1,0,en
Ugw6eBwPPXUvhjJ0Ucx4AaABAg,@NatoMaier,The wick has wax on it.,2025-06-18T10:46:41Z,0,0,en
UgxaI1Nlq1Ar5ENK7DR4AaABAg,@TheAlmost89,bro dont reveal to them what the experiment is!! the fun is in the guessing 😭,2025-06-18T09:51:39Z,0,0,en
Ugy45jG9xkrkOhpHqr54AaABAg,@hebemechelen4258,Dry age a steak in bone marrow please!,2025-06-18T08:08:35Z,0,0,en
UgyeITOjD2CAyh4oB8N4AaABAg,@jeffdevc6422,“Wok hay” and “msg” you made uncle Roger happy lol,2025-06-18T03:53:08Z,0,0,en
UgzowA2sC6SEfbor0bp4AaABAg,@imnotdavidxnsx,15 year old Jaffar knows how to describe his candle steaks.,2025-06-18T02:49:14Z,0,0,en
UgyZWeFxtQLF2dBPiL14AaABAg,@checkyoursixgaming,Uncle Roger is drooling on that fried rice.,2025-06-18T00:26:41Z,0,0,en
UgyGOMpq8JXwfY-EX9p4AaABAg,@filypefx,Duck?,2025-06-17T23:47:23Z,0,0,Other
Ugw6-yebEBEowlpiy9J4AaABAg,@mramisuzuki,"My man did it. 

A real Mandle",2025-06-17T22:26:42Z,0,0,en
UgypIt9obh4N7OTcWAh4AaABAg,@venox12344,now make a baby oil candle,2025-06-17T21:40:25Z,0,0,en
UgweXPIM89GqbtpupRV4AaABAg,@williamlorenzo9257,You need to market those candles.,2025-06-17T20:01:20Z,0,0,en
UgzB2CDmTd-UOu1oyYR4AaABAg,@ngjsi87,Self obsessed,2025-06-17T15:07:19Z,0,0,en
UgxbyZFVdWAI5CoMMOF4AaABAg,@DeathMetalJesu,That wick wasn't covered in wax?,2025-06-17T14:09:53Z,0,0,en
UgwFzsD-ZQ2sg1eeIRN4AaABAg,@gesudinazaret2509,Thats Money!,2025-06-17T11:23:45Z,0,0,en
UgzOjOC3XCAzazaARs14AaABAg,@princeofangels8129,You should do a bone marrow wagyu steak with your wagyu injection method. And a duck fat one. Like make injected wagyu steaks with a bunch of different kinds of fat and see which one is the best lol.,2025-06-17T08:48:00Z,0,0,en
UgyceW3wkGyQdONXblN4AaABAg,@satriyoajiP,"Glad, our uncle still stick to the basic, msg on fried rice",2025-06-17T07:49:51Z,0,0,en
Ugz1GuttyPPI6PkPX4p4AaABAg,@IDKSmith-l8y,I don't know why you just don't invest into in a  steakhouse Guga steakhouse we would all go I own all your products keep up the good work,2025-06-17T05:22:33Z,0,0,en
Ugwq6GOn0Gp7sgoiJ_p4AaABAg,@mybuddyken436,Candles sound fantastic. That side dish was a meal in itself.,2025-06-17T05:18:45Z,0,0,en
UgwGagSCZuEr4z1cg_x4AaABAg,@loloknight,gugga just invented manly scented candles 👀,2025-06-17T04:24:12Z,0,0,en
UgzYMDoBlEcfnIr_McV4AaABAg,@davidherb4392,John 3:16,2025-06-17T03:48:23Z,0,0,Other
Ugxl6TIanQ6jFP_KUjV4AaABAg,@DustinDowns,"@GugaFoods I've watched you falling in love with chili oil more and more for the last year. I need to send you mine, got a shipping address? :)",2025-06-17T02:33:37Z,0,0,en
Ugye-K-u0rZt6R2LyA54AaABAg,@piyanatkundej8848,Haiyaa Uncle Guga! Bone marrow in Egg Fried Rice? Too Fancy 🎉. You think money grow on tree? JK love your vids.,2025-06-17T02:07:37Z,0,0,en
UgybzqlnnTo_0v2-OG94AaABAg,@Woodyjohnson517,This is why Guga needs to open his own steakhouse!!,2025-06-16T22:33:12Z,0,0,en
Ugx5IFEoIRyrUobqqDx4AaABAg,@un1qu382,Best recipes in this video hands down.,2025-06-16T22:22:53Z,0,0,en
Ugwj4by2r_-JKls33_p4AaABAg,@nismo76,guga your insane and we thank you for it,2025-06-16T22:19:58Z,0,0,en
Ugyx97hiNaN1Evj74HF4AaABAg,@jeeptrail08,Only issue I see with this is the type of wick used.,2025-06-16T21:57:44Z,0,0,en
UgxPLrqVtPjfo0ICynZ4AaABAg,@ymmichael1,"The charcoal is still hot, right? How long do you leave it covered to smoke?",2025-06-16T21:02:42Z,0,0,en
UgxN_kExdHlvqCuCpCR4AaABAg,@mkigaming3042,That's actually a genius idea,2025-06-16T19:40:30Z,0,0,en
UgyZ4W-P2FdBlpZmaf94AaABAg,@smiffyOG,"This is the coolest video you've ever made, I will be tryimg this",2025-06-16T19:18:26Z,0,0,en
UgxUgb_YZKrJlhFUYQJ4AaABAg,@nikolas_stratigos,"Ok I have seen so many of your experiments, but this one is truly innovative!",2025-06-16T19:12:51Z,0,0,en
UgylpTmZwTdRKrqRtp54AaABAg,@over6686,Is there a culinary Noble Prize?,2025-06-16T17:17:13Z,0,0,en
Ugy4nook50CY8a3kp8J4AaABAg,@SEBA13,this is better than the spicy steak!,2025-06-16T17:05:04Z,0,0,en
Ugw1-CX-BYjy3by76lB4AaABAg,@annother3350,Beef Candles was my nickname in college,2025-06-16T14:52:10Z,0,0,en
UgxYiwGK8EyhJGhDGO14AaABAg,@danjomusicproject,Shaves  of Bourbon Oak wood instead of normal candle wicks. Trust me.,2025-06-16T13:46:45Z,0,0,en
UgzA1A7L0ByTaj_VDoN4AaABAg,@blair301-z7e,"Sorry, anyone can turn(greasy fat laden) a5 wagyu into something beautiful after their first YouTube video!!!! A real chef will help you find the beauty in something lean.❤",2025-06-16T13:29:59Z,0,0,en
UgzQaqXtSwZMw3ndu3p4AaABAg,@KobenaMountKobeDadey,Try maple bacon candles,2025-06-16T10:20:49Z,0,0,en
UgxM0lK-tXYBW97Darh4AaABAg,@SiyambongaNgewu-j7g,Guga is on another level 😮😊😊,2025-06-16T06:50:53Z,0,0,en
Ugzg46FuFa4JtlOV6JN4AaABAg,@WilliamLudtke-oj5ju,Your stuff look better than anything Gordon Ramsay ever makes,2025-06-16T06:25:23Z,0,0,en
UgxphFIA70HyDtM6W194AaABAg,@fluffycritter,"Guga talking about candle wick as if it's some unknowable mystery

I went to a super fancy steakhouse in Portland, OR back in 2019 that did this. It was quite good. Unfortunately I can't remember the name of the place. I think it had ""Rabbit"" in the name. It wouldn't surprise me if it didn't survive the pandemic.",2025-06-16T05:20:44Z,0,0,en
UgzEtZs2oKW4MX6knvB4AaABAg,@auto_mata,"I like how at the start the reaction might be, ""Ugh, did he just dip meat into that *candle*?""
But then it all makes sense by the end.",2025-06-16T04:05:44Z,0,0,en
Ugx9eWYSnLPIsAYIbPp4AaABAg,@Desimoar,It's funny how the same logic as the native sweat lodges are exactly what your doing. Sum it up. Build lodge or have one. Get hot hot rocks. Put the hot rocks in the center hole of lodge. Add the aromatic herbs on rocks and watch as it embers away. Add some water to intensify the aroma into a more water vapor smoke. Last step cough out a lung and exit saying your reborn. 👍 ahh good to be native hahaha,2025-06-16T03:31:39Z,0,0,en
UgxpcOK6ezS8RDJsIgZ4AaABAg,@jhervy.official,UNCLE ROGER SHOULD HAVE TRIED THISSSS,2025-06-16T01:38:09Z,0,0,en
UgzHIzchzoGJf23dt0d4AaABAg,@acasualviewer5861,"You need to open a restaurant where people can do these comparisons.. you can let the choose 2 of the meats, and the third is a ""mystery surprise""",2025-06-16T01:29:06Z,0,0,en
Ugx2py3GuJExCC73Uv14AaABAg,@acasualviewer5861,"that ""side dish"" was a whole meal",2025-06-16T01:25:13Z,0,0,en
Ugy9Qu5I47HoqRqjMZ54AaABAg,@zackyuen4827,is this a cold smoke technique?,2025-06-15T22:08:56Z,0,0,en
UgzwuzeCYxaZgjR-OAJ4AaABAg,@deaddead698,"I'm not a huge fan of sponsored segments, as most people aren't, but I sit and watch through them. But I have to say, I can listen to Guga say ""LMNT"" for hours, something about it is just satisfying",2025-06-15T21:29:37Z,1,0,en
UgyGOUeOorDNEKgn71Z4AaABAg,@DumPerJumper,Where is Angel for so long? 😮,2025-06-15T21:13:59Z,1,0,en
UgxJ7A5FcIb-mcDp6814AaABAg,@SuperMoz1986,That looks PHENOMINAL! I'll be making this on my BBQ this Saturday.,2025-06-15T20:42:00Z,0,0,en
UgzjZhlXUiv2dEIsQgp4AaABAg,@valdreacvraktrin5114,"Part of me wants to see how a Master Chef like Gordan Ramsay would react to this, especially if he tried it.",2025-06-15T20:41:00Z,0,0,en
UgzWhyYVFldmA8czea54AaABAg,@brujides,Hey guga I wonder if you have tasted when you were in Spain The Galician blonde cow meat and how they eat it?,2025-06-15T20:28:21Z,0,0,en
Ugy_BAaKhiWMuPWqZcR4AaABAg,@FooHawk,Genius,2025-06-15T20:25:20Z,0,0,Other
Ugx_yjoJ8r8O2ffkGa54AaABAg,@ChrisVonKaltenkirschen,For a second I thought Mamao was back for the Wagyu candle ''This is Deeeeeeeeelicious'' 😁,2025-06-15T20:02:15Z,0,0,en
Ugz03-0JYeG_ya1G1HB4AaABAg,@bubb-t5e,next video: Dry aging in rendered bone marrow,2025-06-15T19:56:21Z,0,0,en
UgzAzgVRnHE8L5luzxd4AaABAg,@johnriolo5459,"please tell me you didn't use parrafin wax coated wicks for this experiment.  if anything, it should be either soy wax coated or beeswax coated.",2025-06-15T17:01:10Z,0,0,en
UgxFVtJ3hBXwqzcpstR4AaABAg,@bongjutsu3489,While cotton for the wick shouldn't be a issue you could look into diffrent materials for wicks see what both leaves the least amount of flavour and shouldn't be a issue if you accidentally got in your food. The real issue here is the lighter since its a gass one you are getting butane mixed in so I recomend next time you use a electric lighter for a clean flame,2025-06-15T16:42:20Z,0,0,en
UgzgFN-4W-29vbdxVYJ4AaABAg,@Bexar2204,Those steaks look absolutely amazing. Guga just invented the wheel for steaks,2025-06-15T14:39:44Z,0,0,en
Ugxoy3jSyCcj99igOvJ4AaABAg,@robertklamm6727,This is beauty and you’re loved for sharing.,2025-06-15T13:27:33Z,0,0,en
UgztypVup3OO0snj7qt4AaABAg,@danielwonser9531,"This just screams ""Luxury"", so much so that you could use this in a rapper's music video.",2025-06-15T12:36:49Z,0,0,en
