Comment ID,Author,Content,Publish Date,Like Count,Reply Count
UgziJOBNPLZwMbBEqBx4AaABAg,@TealRubyy,Love your vids but you did hotpot and shabushabu dirty. The hotpot base was way too watered down and the shabushabu needed more konbu for flavoring.,2025-11-24T22:20:19Z,0,0
Ugz6QtM9QUQz6I-KUyp4AaABAg,@Ekklesia2680,WHAT ARE YOU EATING THE MEAT WITH WTH??????? ARE THOSE TONGS???? 😭😭😭😭😭😭😭😭,2025-11-16T22:30:31Z,0,0
UgymK7KJikXbmC-CeKZ4AaABAg,@GustavoSilva-ep8of,Tahine in the Japanese cuisine?,2025-11-16T00:40:55Z,0,0
UgzIMLcHUcay8xyZe2x4AaABAg,@Odorico02,"In short, the video summarizes: it's better to have simply eaten a steak.",2025-11-15T18:10:53Z,0,0
UgwpVJZhzBpqYwILV0V4AaABAg,@Mharckky,I usually kept Kombu in Shabu shabu to have more flavor,2025-11-11T06:37:43Z,0,0
UgyklM-D2JFhiFBWmax4AaABAg,@ljkeanlobresco7765,Notice on how the rice was untouched..💔,2025-11-08T13:28:21Z,2,0
UgxRbXMZy-f0Zx8WLER4AaABAg,@julianbryce31,hotpot is all about the sauce ...,2025-11-07T09:54:57Z,0,0
UgzKio1OCcBKqeb3_YJ4AaABAg,@chowaagift,"Wow, Angel's words about talking together is so deep. Love it",2025-11-07T03:46:02Z,0,0
UgzS5CIdY3D2ZCPqa0x4AaABAg,@Korelenos,"Guys, if your hotpot is such a mild flavor, there’s something wrong with it. I lived in Chongqing for years, where the OG Chinese hotpot is from and man, it’s an explosion of flavor. Also, the dip is not optional, you get the dip period, but it’s always like a make your own dip bar type. Another thing about a good Chongqing hotpot, if it’s boiling and the bubbling makes you see the water, you fucked up. Not enough hotpot oil. But yeah, the best part of it as you guys said, it’s the experience. You need tons of beers and a cigarette break in the middle to make it the real Chongqing experience.",2025-11-05T02:25:08Z,0,0
Ugx_bSeif9DYRZSAUOZ4AaABAg,@vvvwy_8636,utter lack of knowledge on the 😊Chinese hotpot. I do think as a food content creator it is unprofessional to publish on something without doing sufficient research.,2025-11-03T20:00:04Z,1,0
UgzdkmyEBL1cVHRNZHl4AaABAg,@pride651,shabu in philippines is the best,2025-11-03T03:34:06Z,0,0
UgzVwpwM9J5FYVnlCIl4AaABAg,@ywdwarner,11:20 I usually use vegetables to flavor broth instead of treating like a crudites no one ordered,2025-11-03T03:17:05Z,1,0
Ugz3t1yAEIU0jNVksDh4AaABAg,@ronnieyuen4309,"Should have went with sukiyaki instead for Japanese, at least you'll get that signature soy sauce base.",2025-11-01T13:57:41Z,0,0
Ugx-3focufwBQyAVkyd4AaABAg,@triad374,Abit of a miss opportunity. Why dont try putting great meat in the chinese side. U got lots of leftover meat anyway...where is the spirit of experimentation brooo,2025-10-31T08:18:28Z,0,0
Ugxzp1AT9mtbRRjk0hl4AaABAg,@yajinvasion,"Try slice beef/cow tongue for hotpot, its next level",2025-10-31T06:06:28Z,0,0
Ugz9jh-pUSXTw4jqyCh4AaABAg,@dihler55,Ponzu goes even harder if you mix some white mirin in FYI. My fave recipe is 3 parts soy sauce 2 parts mirin and 1 part lemon juice,2025-10-28T19:00:26Z,0,0
UgwKPKe1Isl1hgfbZQl4AaABAg,@navalravikant7339,Hotpot without mirepoix and bone broth...no wonder it's so bland.,2025-10-26T07:09:20Z,0,0
UgzkH9yByLg28Zm-AGR4AaABAg,@ssammosov,"Without sauces this is just spicy boiled meat with no or less taste. Tried yesterday. Most delicious were several types of tofu cheese compare to several types of meat, mushrooms, sea food and etc . After that we went to a general stake house and complete the dinner in a  way it should be. Stakes are better! Definitely. And demiglas sauce with addition of porto vine - outstanding!",2025-10-25T10:06:20Z,0,0
