Comment ID,Author,Content,Publish Date,Like Count,Reply Count,Detected Language
Ugz7fNo7LBknin2wXDl4AaABAg,@williamdevlin5439,If it was Michelin star therer would only be 3 chips on the plate .,2025-11-25T05:58:28Z,0,0,en
UgwXRHr3-pukDn97-TV4AaABAg,@Ro_TALK,Can you dry aged coffee grind,2025-11-25T01:40:18Z,0,0,Other
UgzUvK91lcu9rvTw2yF4AaABAg,@lawlznet,man this is the first time i've seen them all collectively hate the appetizer lmao.,2025-11-24T21:52:36Z,1,0,en
UgwXWpSvwv6T3TpWt-l4AaABAg,@eldoctorexxl,Where is Agel??,2025-11-24T21:43:45Z,0,0,Other
Ugx_wu0RkSKBu9Qj5UF4AaABAg,@rupayan_biswas,2:52 caca dry age 😂,2025-11-24T16:16:08Z,0,0,Other
UgwHqjELvHSreQZyxep4AaABAg,@mndfst9433,"I would never joke about cacao nibs, that would be 'crappy' of me.",2025-11-24T09:39:06Z,0,0,en
UgzmYT4tWD-lY8MZft94AaABAg,@Basslevels,hotel Hershey,2025-11-24T07:57:19Z,0,0,en
Ugy4idLZtSz_suNEN0h4AaABAg,@can-i-go-now,Not surprising as non sweeten Dark chocolate is used in alot of savory dishes (such as curry and chili),2025-11-24T01:16:23Z,0,0,en
Ugwi8YzbpSJ3TRCNt0V4AaABAg,@StevenAdjako,your making it warde,2025-11-23T18:11:22Z,0,0,Other
Ugzpthr6Phu4-DeVmI14AaABAg,@AlexPape-m3o,"I wasn‘t thinking about doo-doo until you mentioned it, and now I can‘t unsee it. You just backfired.",2025-11-23T17:48:40Z,0,0,en
UgzpV2Tt9xQC_wT2uTR4AaABAg,@zozo_yado,Love the honesty with the side dish lmao,2025-11-23T16:48:07Z,0,0,en
Ugy4_X2PN5iEXCHG5wR4AaABAg,@heynica199x,caviar next please,2025-11-23T05:06:42Z,0,0,Other
UgxE7rfWXJIiYTgSIml4AaABAg,@springfieldhockey07,that might be the first time i've seen a side dish miss,2025-11-23T02:08:54Z,0,0,en
UgxXE2Na0sgFxqXxMrd4AaABAg,@robertlittle7778,Try cocoa butter next time and see what that does,2025-11-22T23:01:40Z,0,0,en
Ugxw9o-UWR2wlK53vVh4AaABAg,@RondoHunter3.14,What do you do with the meat trimmings?  Looks like a good bit of meat is removed.  Can it be salvaged?,2025-11-22T19:46:39Z,0,0,en
Ugx22w-agXanmZnQo2F4AaABAg,@danielmichaels896,That looks like pure bliss,2025-11-22T06:49:24Z,0,0,Other
Ugwt1xAexVcsAVEJyad4AaABAg,@randomaitonsguy5545,3:05 this legit looks like a fudged covered steak cake and honestly I wanna try it😂,2025-11-22T04:41:58Z,1,0,en
UgzLBwe5KESyYboezmZ4AaABAg,@allenbarbera,Ok do fudge and Carmel dry age,2025-11-21T11:13:08Z,1,0,en
UgyvIlnThDIziFXOvm94AaABAg,@JosephSmith-lm4ri,Taco Bell back blast dry aged steak achieved!,2025-11-21T08:42:51Z,0,0,en
UgxkWflzV_EsMc-xQFB4AaABAg,@diesel_fan3816,2:51 this made me laugh bc i knew what guga was talking about,2025-11-20T21:32:29Z,1,0,en
UgxuFB_LSrA1_PVHo8d4AaABAg,@OmarMOHAMED-b2n,0:27 did he just called thousands of people animals😅,2025-11-20T16:28:44Z,1,0,en
UgyTC74a8CLvaIPPYhV4AaABAg,@DaveCosley,Great episode. Maybe you should do an episode doing aging with dark chocolate vs. Milk chocolate vs. White chocolate.  That would be interesting. 😀,2025-11-20T16:15:16Z,0,0,en
Ugw_eYd5SM6-emkNbzl4AaABAg,@benjaminhortie,Just pointing out it not nut ella its nu tella pronounced new-tella,2025-11-20T14:49:00Z,0,0,en
UgxCeFvUDxy2agP51zd4AaABAg,@averyhelfrich5074,"You gotta make Filipino Dinuguan....they already call it "" chocolate meat"".....do it with cacao🎉 I never seen it before 😮",2025-11-20T04:11:39Z,0,0,en
Ugx0B4OCKQKoIx1mDGd4AaABAg,@Joey-x5y,Did you ferment the beans?,2025-11-20T02:13:06Z,0,0,en
UgxbvOsLZ7mHiNw250J4AaABAg,@angelicbaby92,"next time, dry age in actual high quality chocolate. :D",2025-11-20T00:42:30Z,0,0,en
UgxVyym1m_sFxeUrQLB4AaABAg,@abardarian,what about nibs and pulp dry age test?,2025-11-19T15:20:57Z,0,0,en
UgxSh99QcvH8-jht7rV4AaABAg,@marinoperez1,"Hey Guys, where did you find the cacao fruit?",2025-11-19T15:08:31Z,0,0,en
UgwKoQx_w3R1ET2gAGl4AaABAg,@rasoolcre,"I went to a cocoa farm in Costa Rica earlier this year and got to make my own chocolate from scratch. Being there and seeing these fruit completely shattered any reality I had about chocolate. It tastes NOTHING like the fruit it comes from. The white casing is tangy and kinda sweet on its own. Very slimy, kinda like lychee like Guga said. 

That was the moment I realized that what we all think of as chocolate in the states is simply tons of sugar oil and butter. The fruit and nibs themselves are literally like 1% of what chocolate is. Kinda crazy!",2025-11-19T14:31:00Z,0,0,en
UgxWYdEBXv9vFY1G3kN4AaABAg,@OmegaF.,Side dish fail in a guga vid was not in my bucketlist,2025-11-19T12:01:37Z,1,0,en
UgwLFjYzP_-CrRxAgJl4AaABAg,@tannerthompson3942,Guga try something with pumpkin next for the holidays,2025-11-19T04:00:15Z,0,0,en
UgwX4lVy-G2dM1DHYmx4AaABAg,@425Russia,😂😂 why dude asmring over here…just talk my guy.,2025-11-19T03:17:20Z,0,0,en
Ugy85_QAfyCw5ab2m_N4AaABAg,@beastnsuwoop9974,Your videos are stupid just stop,2025-11-19T02:31:33Z,0,0,Other
UgzKhAbGSn6sLk003fl4AaABAg,@MrCPogue,I feel blending the pulp and peels would of worked better personally!,2025-11-19T00:20:35Z,0,0,en
UgxZuhI4hSwd2z6Mzsx4AaABAg,@alirocksize,Guga ur videos getting repetitive,2025-11-19T00:14:48Z,0,0,Other
UgwiiE4_Otn-7e8Z_ZN4AaABAg,@trihardmccree2074,Wait can you do the experiment again but with cacao juice use the white flesh only,2025-11-18T23:09:05Z,0,0,en
Ugxldtuoy0S4HxrirMZ4AaABAg,@infernalcatfish,Is this the first side dish that didn't work at all?,2025-11-18T22:47:11Z,0,0,en
UgwjI6ctThZYIvOIQdl4AaABAg,@zedhaead,You should do experiment with AMBA souce❤😂🎉😢😮😅😊,2025-11-18T20:46:18Z,0,0,en
UgywPpKi0Z_XeXLiIn54AaABAg,@ennisdelmar807,3:21,2025-11-18T19:05:57Z,0,0,Other
UgyQT5arCtOgWOJQ2Oh4AaABAg,@robotjones8357,Who's Dal and how is he so strong,2025-11-18T18:59:30Z,0,0,en
UgwTGIsM4aEKfR7VIUV4AaABAg,@aitorjara100,"Leo must not know cacao is not sweet, the sweet comes from added sugars, omg",2025-11-18T17:15:09Z,0,0,en
UgwKyu1Y6w0VKnMv36x4AaABAg,@mirandaandrews3399,I would eat all those nachos by myself😋,2025-11-18T16:25:57Z,0,0,en
Ugw3zqLzhWwMeJteD_t4AaABAg,@DeanOkanome-v3i,Hey Guga you should try dry aging steaks in palm oil or roasted red palm fruit (aka Banga palm fruit) if you can find it from Nigeria. Nice video btw,2025-11-18T16:10:41Z,0,0,en
Ugww8QVBttVJWcBYZwN4AaABAg,@ahmedalhmmadi7504,What happened to his hair line,2025-11-18T15:53:25Z,0,0,en
Ugy6wl_8s_wV16m-bjh4AaABAg,@CallMeTonyga,Try ssamjang,2025-11-18T12:51:14Z,0,0,Other
UgxFSR9y8iQbto0rx2t4AaABAg,@naarutv5402,What happened to Emilio's steaks 😔😔,2025-11-18T12:34:57Z,0,0,en
UgywLk9wuKVCtTP_ZpF4AaABAg,@clarewhite3004,The outer husk can also be used! I have tea made from the husks of fermented cocoa pods and it's really good!,2025-11-18T10:38:24Z,0,0,en
UgwtEHVC2M2eiVs2szp4AaABAg,@Yaveshtolethien,"potato chips are delicious, but bacon and chocolate doesn't get greens.  Especially onions.",2025-11-18T06:48:19Z,0,0,en
UgzNpPUv03j4HQ3oMcV4AaABAg,@sethcreech1014,Jesus saves,2025-11-18T03:05:51Z,0,0,Other
UgxhqwbXKN9I1CxdsUl4AaABAg,@themartdog,"""Coh-coh-ah""",2025-11-18T03:00:44Z,0,0,Other
UgyaHc-NJ6PuZGngAaN4AaABAg,@OAnjoExterminador1993,"Cacao is amazing. You should try using it in a marinade. But: it doesn't taste nothing like lychee. It's closer to cupuaçu (people also make chocolate out of its seeds), soursop or atemoya, although a little bit sweeter.",2025-11-18T02:36:35Z,0,0,en
Ugx69GsJ0vDNs6N1QV54AaABAg,@OAnjoExterminador1993,"C'mon, Guga, you deserved that roast. What the hell was that side dish lol",2025-11-18T02:33:44Z,0,0,en
UgwKfAIabZzzu5i7lM14AaABAg,@venomslair137,"The side dish is more like a struggle meal than a side dish per se.

And I'd like to taste those steaks dry aged with cocoa.",2025-11-18T00:21:38Z,0,0,en
UgyZsV49PM5QosUHyyl4AaABAg,@showoffyafresh,Guga with the doo doo dip chips haha,2025-11-17T22:31:28Z,0,0,Other
UgyUdt397NnA2s7J_BZ4AaABAg,@nowyoutalktome8895,This new bacground music when you grilling the steaks are HORRIBLE!!! OMG worst sound ever,2025-11-17T22:13:00Z,0,0,en
UgyyKBoynOyhkph_Fwx4AaABAg,@ulverop,Co-co-a. 😄,2025-11-17T21:51:26Z,0,0,Other
UgyosIZOZ50CBAu0h214AaABAg,@JoeFerrer01,that chocolate lookslike frijoles refritos GUGA PLEASE DRY AGE STEAKS IN FRIJOLES REFRITOS PLEASE,2025-11-17T19:52:33Z,0,0,en
UgxWkNDozm0O3u6Vs6Z4AaABAg,@Misa_Susaki,dry aged in poo poo,2025-11-17T17:29:23Z,0,0,en
UgwONC3JGLiL1-4FWEJ4AaABAg,@sL1NK,"Guga pasting meat with poop, yo",2025-11-17T16:51:00Z,0,0,Other
UgyNCtHy1fP0Jyt_zqJ4AaABAg,@Jay-Janus,"Chocolate isnt sweet, we make it so.",2025-11-17T16:30:52Z,0,1,en
UgzbzWIMtZWPGY8NCcx4AaABAg,@shayanvaziri5249,Use sweet chocolate instead of dark chocolate and no spicy sauce.,2025-11-17T12:48:38Z,0,0,en
Ugyp-CFRiMx1jYNa4Cd4AaABAg,@orenshoff6177,Try making Japanese curry and do another spicy challenge,2025-11-17T12:35:46Z,0,0,en
UgyG1zvHvtMQSN2VSRd4AaABAg,@EUGENECHANKOKYEEMoe,I tried to replicate the side dish and I all I got was a lecture from my parents,2025-11-17T12:34:02Z,0,0,en
Ugw3OkXrnDHNBGzZUuJ4AaABAg,@yungmaianh87,nothign break the internet anymore,2025-11-17T12:26:46Z,0,0,en
UgwJ1j6gmjyN5Z68xV54AaABAg,@AliHussain-es2iy,guga try pakistani nehari you will love it,2025-11-17T11:59:29Z,0,0,Other
UgwuQqDP5SWDnli7F-l4AaABAg,@B.A.T2192,"Guga mix up the control make it the 2nd or 3rd steak, keep them guessing",2025-11-17T09:49:33Z,0,0,en
Ugw4rrY_c1K9fUGBO-x4AaABAg,@JorgeL721,those aren't nachos lmao those are ruffles,2025-11-17T09:13:49Z,0,0,en
UgwMt9ZlzS3b_mf0s794AaABAg,@pharaohcaesar,Try soursop!😀,2025-11-17T07:54:55Z,0,0,en
UgyGTCl1ajK6B1BYVNF4AaABAg,@ruzzodac,HEY Guga . . . Go Pound Steak! 🤪,2025-11-17T05:15:34Z,0,0,en
UgyhdKFsASVnUCsrSPZ4AaABAg,@nehemiahgoated6111,Guga putting doodoo butter on the steak 😂😂😂😂😂,2025-11-17T05:02:51Z,0,0,en
