Comment ID,Author,Content,Publish Date,Like Count,Reply Count
UgwlWy8k0EJF1HlryuV4AaABAg,@angelcs1230,I forgot that Martins Licis is Latvian,2025-11-19T15:30:03Z,0,0
UgzrIfm_IxmkoxrIGQd4AaABAg,@TheJacali,Joshua looks great! Keep it up brother!,2025-11-19T02:54:48Z,0,0
UgxVbtdGg9Cc5JhESqh4AaABAg,@ifiig8220,I know that toilet got destroyed 💀,2025-11-14T02:11:45Z,1,0
UgxLpF5C9MGL0cJTVKJ4AaABAg,@instigator6533,How do you eat all of this in one day It's insane,2025-11-14T01:22:12Z,0,0
Ugwxe6JMK4yEQcwtrp94AaABAg,@ephrambaunsgard2008,I just ate dinner and this guy is making me hungry.,2025-11-11T03:37:44Z,0,0
UgzzYqPs_tylG8707jV4AaABAg,@FrostedUndead,He seems like such a kind man. What a wonderful guest to cook for 😊❤ loved the video!!,2025-11-02T23:11:20Z,2,0
UgyT-Lxu2iCUHUdA2nx4AaABAg,@shanesmith6352,yes my feet are entertainment,2025-11-02T14:49:52Z,0,0
UgwFTGbh5GEreOijisF4AaABAg,@DoubleBendleatherCo,Done already my Guga!,2025-10-31T02:14:55Z,0,0
UgyaUliAlMWHukdSQAt4AaABAg,@carzydarkfire,My man ate more than 10k but still lost 😢,2025-10-21T00:19:26Z,0,0
UgwhSLQiO_gWg7gybsZ4AaABAg,@danielmontgomery6234,As a fellow gamer who lifts.. I love everything about this video. Keep it up!,2025-10-18T17:07:14Z,0,0
UgzP2adMDXZ-cRyUwcB4AaABAg,@kraigshall,"You know, I believe we have basque .Shepherds running around in idaho. Never actually talked to them myself. But I usually see their little shepherd wagons when i'm out hunting.",2025-10-18T00:09:48Z,0,0
Ugy_lxBGRdkOxnU59UF4AaABAg,@amlife6072,Wouldn’t the record for the heaviest lifts be the worlds strongest man?,2025-10-16T04:05:05Z,0,0
Ugxj9BYhcBh8KtrtiYF4AaABAg,@Soulkal1979,That guy was so sweet!,2025-10-14T04:51:18Z,0,0
UgzN_7Ef_fXYP4XfglZ4AaABAg,@Acorn1447,"One of the few people on this planet with a reason to eat that much, and hes honest about it. It's a struggle to consume that much. It's work.",2025-10-13T19:09:45Z,0,0
UgwNWKyMliW8tQfEvs14AaABAg,@user-gx6ht5dg8f,The prep work for all of this must have been insane.,2025-10-08T15:37:50Z,0,0
UgzmzO1XxgPChGjoOtZ4AaABAg,@jaycepero8069,"I had breakfast burritos back in the 90s at Naval Station Long Beach. They consisted of scrambled eggs, cheese, spicy sausage and the seasoned home fries. I still dream about those burritos. A guy in a food truck would pull up early in the AM and sell them hot and fresh. Perfection in a tortilla.",2025-10-06T05:44:03Z,0,0
UgxNuGMpsnnvhCOTTxF4AaABAg,@matthewgarvin2035,I bet he hasn’t dead lifted 500kg’s tho 😂,2025-10-04T16:00:20Z,0,0
UgyOn0PKHHZFDsywfLJ4AaABAg,@HeinrichMuller-mv6hn,That Texas Bread looked so horrible. Thats not ven Bread thats a Sponge.,2025-10-04T07:47:12Z,0,0
Ugz27eyyKKpYXOutINV4AaABAg,@chowdrey911,Omg this guy is literally a space marine!!! I hope he's a salamander...,2025-10-01T20:45:20Z,0,0
UgyS826zTC9I2OfgsKh4AaABAg,@Trav_Hayes,"Hey, that's me with Martins in Shanghai! How crazy. Haha. Didn't know I made a guest appearance on such an awesome channel! 😊",2025-09-29T09:14:41Z,2,0
UgwksFoNb4pu85gojfF4AaABAg,@Oscargg-b6w,How many worlds strongest men are they,2025-09-25T17:11:55Z,0,0
Ugzswe0YKJDwmIrFuwx4AaABAg,@jacobmacaree3063,Wait. How did Josh smoke a brisket in a kitchen?,2025-09-24T22:22:17Z,0,0
UgxzXdDL6-ModH0FfnZ4AaABAg,@olivergodek1153,would kill for one of those,2025-09-23T18:51:25Z,0,0
UgyOOSpRHV_Ga7s5ftp4AaABAg,@SefJo-kc3hx,The biggest guy is always the nicest .,2025-09-21T12:48:48Z,0,0
UgzwvHltqwOjL_wdMP94AaABAg,@anxiousinsomniac494,bitch id ask to take the leftovers.,2025-09-17T22:11:43Z,1,0
Ugzdg0zIkY7YKkBFdhV4AaABAg,@autumnstoptwo,I like that the strongest man in the world looks at other folx and says “they’re just genetically gifted” 😂 and orcs being his body inspo is truly golden,2025-09-13T00:45:42Z,1,0
UgwbqxsmgbxcgggkbD54AaABAg,@YtASmna,"""In 2019 he was crowned""
""Cooking for the world's strongest man""

Dude isn't the world's strongest man anymore, so change your title instead of clickbaiting.",2025-09-12T04:11:18Z,0,0
Ugz-_NB2e2Z87YZPsox4AaABAg,@joshuasouthard6829,For the horde!,2025-09-11T06:35:02Z,0,0
UgzF_iW1y4SxmrJOjFZ4AaABAg,@_ruy_1276,I'm sorry for he's toilet,2025-09-06T11:04:28Z,0,0
