Comment ID,Author,Content,Publish Date,Like Count,Reply Count
UgxBtxFukJquqkmfhrp4AaABAg,@PedroSantos-bw2ww,"Best croissants in the world is in Sydney , almond croissant with roasted almonds and real almond. filling, crunchy hot melted inside, massive, $6.50 but the best full meal no contenders  real and I've tried 100s !! Forget the French !These fancy shops are overrated and overpriced 20 $30 for a croissant? Ye right forget it.",2025-11-22T04:20:50Z,0,0
UgwTFfVJ1HYEliFbc1h4AaABAg,@amberwol9330,thank you for introducing me to panade <3,2025-11-13T10:39:30Z,0,0
UgwOkCRHOwnFBwtPxLB4AaABAg,@adamkrauss303,"You cannot judge that monster 2 lb croissant by just biting a crusty nib on the end. You needed to break into the middle as well. And that raspberry croissant looked great, except I’d probably like it better if it went a little lighter on the filling.",2025-11-04T23:04:50Z,0,0
Ugwsv3VfoKZaDb9yKut4AaABAg,@acbc3543,Costco croissant : employees are well paid and it’s baked daily,2025-11-03T19:18:31Z,0,0
UgzHR-mmDu0onZ4h_b94AaABAg,@crazyjackfr,"French guy here, the BEST croissant is the one you can buy near your home on a Sunday morning, which will stay warm as you're coming back from the bakery..... obviously here we've got a high quality standart for croissants (and other bakeries stuff) that is make quite impossible to have bad croissants in a radius of 10 miles around your place.... so, we don't need to have THE BEST one in Paris because obviously the vast majority of french people don't leave in Paris.... 😉😉",2025-11-02T22:59:47Z,1,0
UgywhiJeMqAIpS3k9rN4AaABAg,@SaraBourbonNight,GO TO HOFFMANS IN BARCELONA,2025-11-02T19:42:15Z,0,0
UgyENN3eax0XT_nMJkp4AaABAg,@fcfdroid,Get a fresh croissant and a smack on the ass. Quality experience 😂,2025-10-22T23:48:51Z,0,0
UgxkLhLGmzlq_aNGpGp4AaABAg,@ErmaMeri,Everything about this video is perfect.,2025-10-21T14:36:29Z,0,0
Ugxddf7RfuS8TU5-JrZ4AaABAg,@bigben7160,most of Asia has better croissants than france,2025-10-20T19:37:31Z,0,0
UgzghEwFpkljcoXS-hh4AaABAg,@kim267,Totally put off by the unbaked cookie dough. Blah!,2025-10-17T03:57:21Z,0,0
UgzVgXDRDLkV9x_1TjN4AaABAg,@zerocrusade2531,"As I'm eating a brioche croissant loaf, I found this video. 
Someday when I can afford it, I'll visit France and try the recommendations here!",2025-10-12T03:28:52Z,0,0
Ugy1rETXwGPgdA3wg8l4AaABAg,@maxhuber5161,Visit Bangkok and understand the Croissant craze 🥐 🥐 🥐.,2025-10-10T07:23:33Z,0,0
UgxY9ldU7L6ALvtlMqV4AaABAg,@Ellinillard,"The most grotesque search, so typically American : tell me the best croissant, the best hotel, the best bourguignon, the best, the best…
The obsession for competition with no limits, no boundaries. 
Why not search for a really good croissant or a really delicious bourguignon ?
It’s subjective anyway. To,everyone his taste.
Plus, your taste may vary on your mood.
Depend on temperature, time of the day, color of the sky…",2025-10-09T18:17:11Z,0,0
UgxpKnl3u2qTca4-4CZ4AaABAg,@wendyshoowaiching4161,Croissants taste good with tuna fillings & salad (cut open half).  Match with a glass of latte coffee (fresh full cream milk),2025-10-09T14:56:41Z,0,0
UgyVJhz3NHjOI6BNXd54AaABAg,@ariobarzan6182,Ispahan sounds a lot like the iranian city Isphahan,2025-10-03T07:06:27Z,0,0
UgzjdJhD7LrIwYweVXR4AaABAg,@heythave,"The best croissants I’ve ever tasted is sold at a counter called Paul in Hanshin Department Store at Osaka Station. (Yes, I’ve been to Paris.) I will stop by Boulom in the future.",2025-09-17T01:13:43Z,0,0
UgzaZuogepoIfAS7dsV4AaABAg,@softdev1,"So are these better than the day old, four pack croissants I get at Giant Eagle?",2025-09-08T16:10:00Z,0,0
Ugz0p5xQGCxglyMJwjR4AaABAg,@heathmcrigsby,Why arent you cooking croissants? Isnt this supposed to be a cooking channel?,2025-09-06T23:07:02Z,0,0
UgwseGJx-LaxHe3TJdp4AaABAg,@prplt,I just want a crookie after watching this 😭,2025-09-06T17:29:11Z,0,0
UgwzbaEgYlrXhJpuEmN4AaABAg,@prplt,6:00 surprised she speaks such good English 👍🏾 as most French people speak terrible English 😬,2025-09-06T15:28:19Z,0,0
UgxWeWFUdJiQm7oZ7Dx4AaABAg,@RackellKangungu,Spent 2 days just waiting for his opinion about Cedrick Grolet ‘s croissants 😭❤️,2025-08-26T20:51:42Z,0,0
UgyYwPH2dy6fyiKUrhZ4AaABAg,@zacharydalton8132,The man bun really allows him to blend in with the locale,2025-08-16T00:17:56Z,0,0
UgylhkXj_EqQ79rLhPN4AaABAg,@axelferis,What?? You didn't go to Carton at Gare du Nord??? What a joke! 😅,2025-08-06T13:56:41Z,0,0
UgwgC0xVG_kGdngES3h4AaABAg,@Deefashnfame,I love thissss 😀 can't wait to try 🥐 when I arrive in Paris this weekend 😋  Thanks Josh 😉,2025-08-04T01:30:18Z,0,0
UgyIIbC_ypozNINBWXd4AaABAg,@Gtrain115,"The best croissant in the world is actually found in Melbourne, Australia at LUNE - won the award multiple times in a row",2025-08-01T10:24:07Z,1,0
UgxoGH-1np8QjFEr6UF4AaABAg,@johannissquiggleforth,Tried the croissant at the brigat' it was amazing 10/10,2025-07-29T16:58:06Z,0,0
UgypmVOeqL9thwrz9UR4AaABAg,@johannissquiggleforth,i tried the croissant at the ritz today it was a 5/10 at best so dry and not crunchy at all.,2025-07-29T16:57:40Z,0,0
Ugz8tjj3V_PkLy_ty3J4AaABAg,@DennisOBrien1,The best is actually in Montreal.  ❤,2025-07-29T02:00:40Z,0,0
