Comment ID,Author,Content,Publish Date,Like Count,Reply Count
UgzOxzqH06UzyML-aTZ4AaABAg,@pinatodaro5652,Pls write recipe,2025-11-14T13:18:02Z,0,0
Ugzd7c153tCJRCJ5QbN4AaABAg,@dirges1239,You really don't need a scale. Baking bread is like jazz and can very a lot on area. I live on the Gulf Coast and use less water due to the natural humidity. Experiment and feel out the ratios!,2025-11-04T23:18:30Z,0,0
UgzOqCLF3Bqi2VRgiJl4AaABAg,@TuRBiNeSaNdK9s,"That’s entirely too hard man, bread isn’t a shell on the outside. It’s a crust. Get the difference !!",2025-11-04T18:19:37Z,0,0
UgzRcDOyE1e4soiOv094AaABAg,@georgenguyen8969,What is the black baking bread you use where can I buy from Australia? Thanks,2025-11-03T23:47:55Z,0,0
UgzfkXYFmBOaw-v5Ew54AaABAg,@CaptainHardtack,I think Josh just came into His pants when cutting into that loaf 😂,2025-10-23T22:06:21Z,0,0
UgxuzGBlsdvJmabyyll4AaABAg,@AngGalactic333,"The lack of recipe and reasonably timed steps, and the amount of high tech equipment makes this video highly disappointing.",2025-10-15T19:29:05Z,0,0
Ugwpdh9_3ap4JDsGhOB4AaABAg,@dwaynemclaren8812,Why does your bread crunch sound like a damn construction site 😭,2025-10-09T10:41:42Z,0,0
UgzewKQdWtjIpe4vJxl4AaABAg,@JPadi93,I've always referred to this as bunny bread 😂,2025-10-03T18:22:55Z,0,0
UgyJIz6380WyS0iaRSx4AaABAg,@ElCactus7567,"Gross, makes me sick. The bread looks good though",2025-10-01T17:17:36Z,0,0
UgzOOqt5zYrQdq4d1zp4AaABAg,@typicalkiller3027,So this is for two loafs?,2025-09-26T17:30:33Z,0,1
UgwBNqDCCO7_8DRTlUV4AaABAg,@bobbyblazini,So funny to Need tech. But this is something people make in mud stoves lol,2025-09-25T14:37:42Z,0,0
Ugxy00WwIPDVc-_7Jd54AaABAg,@xzibit8614,Hate bread that has a Kevlar outer shell.  It isn’t the medieval period anymore.  Stop glorifying it😊,2025-09-19T00:04:51Z,0,0
