Comment ID,Author,Content,Publish Date,Like Count,Reply Count,Detected Language
UgzNZ6LWFGB3iW86icV4AaABAg,@JaxonMontana-sw8rf,First you make watermelon slices then you make rice and then you squish the watermelon on them that's the recipe?,2025-11-10T17:13:00Z,0,0,en
UgyOaicHVbDcko0AQEV4AaABAg,@Thegreatlandeno,For all the vegans watching Joshua weissman 😂,2025-10-11T17:33:31Z,0,0,en
Ugx0GYgrMUa_TypOFWR4AaABAg,@miriammbowe5422,Watermelon sushi :),2025-10-06T19:35:55Z,0,0,en
UgwMaysD2GIe4eWZP5l4AaABAg,@richiemaki6016,Looks good 👍 👌 😋,2025-10-06T16:43:30Z,0,0,Other
UgwE4Gc24Z6GGJeoMW54AaABAg,@ekenegwadia2402,Nice modern concept,2025-10-06T16:41:12Z,0,0,Other
UgyYFQ89NKwHFSUtC_p4AaABAg,@annarich1612,😮,2025-10-06T16:39:05Z,0,0,Other
UgzpQEPPHFE2v450sJ54AaABAg,@flipside2369,Awesome,2025-10-06T16:34:03Z,0,0,Other
Ugz4GduKD0tIeQalbah4AaABAg,@Nana-w9b,"Wow... this man has a talent, definitely 👏🏿",2025-10-06T16:33:43Z,0,0,en
Ugwq2rPGTUrJzw_cDAF4AaABAg,@EvanBlakeSoosay,Haha the last part.😂,2025-10-06T16:33:29Z,0,0,en
UgySaCXg-0rLdkfhOE54AaABAg,@jsharder31,What a great idea,2025-09-20T23:48:48Z,0,0,en
UgyB6s8inc8ryzCwtbZ4AaABAg,@RaymondLawson-d2o,this is so cool. ❤,2025-09-20T16:43:57Z,0,0,en
UgzqAryQ59RHjq5pLbF4AaABAg,@StacyCassandreMOMHATYONE-q8j,Good,2025-09-20T16:39:37Z,1,0,Other
UgxsYxbYh7N_yibOrjN4AaABAg,@hajarahkizito7792,Wondering how this works 🎉,2025-09-20T16:35:42Z,0,0,en
Ugy-QPdkqWvbpRe0azp4AaABAg,@MrGamer-ro1xm,Ooo man I need a watermelon right this minute,2025-09-20T16:34:31Z,0,0,en
Ugw7yVF49jr21yNN4oR4AaABAg,@RobinHood-ng1bx,That's a good idea for kids when they wanna try sushi and you don't wanna waste money even making it at home on top of everything else 😂,2025-09-15T21:36:13Z,0,0,en
UgxNHcb2NqTstv2WXu94AaABAg,@sawtoothcactus3570,😂😂,2025-08-30T23:09:54Z,0,0,Other
Ugz9KFHUH1qQtiPQRTt4AaABAg,@breadboxboi6925,Let's turn this sushi into watermelon,2025-08-05T08:01:12Z,0,0,en
UgxlBgS_kH_g3HwPAMt4AaABAg,@roberttempleiii,"""that's right, mother€u¢|{er!""",2025-07-28T23:44:37Z,0,0,en
UgwBOcNhgnBrSla_zrx4AaABAg,@SilverThunder710,"This honestly sounds REALLY like something that’d be super interesting. The mild, vinagery acid mixed with the fresh sweetness has gotta be insane",2025-07-24T22:26:02Z,0,0,en
