Comment ID,Author,Content,Publish Date,Like Count,Reply Count,Detected Language
UgxsHKD4uojOSttWFBx4AaABAg,@goodmanthirty,Lactose Intolerant Final Boss,2025-11-21T23:30:58Z,0,0,Other
UgxgfBKyhgzHUyCmjLZ4AaABAg,@GatinandGrillin,Very well executed!!!!!!,2025-11-20T00:47:38Z,1,0,en
UgyVJMdvlnlsf63TvhZ4AaABAg,@Kay_UwU.1,CHEEEEEEEESE,2025-11-19T10:36:24Z,0,0,en
Ugw7cBhJfOSg-PP9f7R4AaABAg,@IAmamozzarellastick,You forgot me,2025-11-18T19:53:26Z,0,0,Other
UgyYvSYO2FGf6dUjQT54AaABAg,@thatbrokendude4267,Cheese 🤢🤢,2025-11-18T08:16:05Z,0,0,Other
UgxeogO5aNKRoK6C3rF4AaABAg,@s4nd1055,Gay,2025-11-17T23:11:40Z,0,0,Other
Ugy6ij1sCuUa3VumwZR4AaABAg,@user-jf9sx8cj1v,"...4 ways? I never knew there would be one single option w/o....I mean...something fried w cheese, cheesey feet, cheese at the photographer and so on...",2025-11-17T16:55:24Z,0,0,en
UgyTAltjn_m0dLL8ZlV4AaABAg,@Stormed_the_duck,Bro guys idk if he copied nick or nick copied him,2025-11-17T09:22:59Z,0,0,en
UgyJ9Tm4WrC29d84wBl4AaABAg,@kevin-x4z6v,Use my cream.,2025-11-15T09:32:43Z,0,0,en
UgwAFUETdO8XaJfFDUt4AaABAg,@brycechoff,That black guy came out of nowhere wtf,2025-11-15T05:07:14Z,0,0,en
UgyCFxN3xWzPcDUPfD54AaABAg,@PersonalUse-xh4xj,Brother try kolkata style biriyani❤,2025-11-13T15:47:08Z,0,0,Other
Ugxc6Yk2PWhVEB5J-Rd4AaABAg,@AndronikiPapa,S coups Joshua Jun Hoshi Wonwoo Wozzi Dk Mingyu The8 Seungkwan Vernon Dino,2025-11-12T18:41:31Z,0,0,en
UgypxsXhwO3GGSuS17B4AaABAg,@JaxonMontana-sw8rf,The most easiest way is to eat cheese,2025-11-10T17:14:30Z,0,0,en
UgwB-tSvGWgQWvVUGfl4AaABAg,@maikaylagordon,"Lol Doakes coming in like a whisper, ""Surprise, mothaf-er.""",2025-11-05T10:25:00Z,0,0,en
Ugw1Xc7awgZtjGPhFcF4AaABAg,@De_Vliegende_Hollander,"Nah man, the toast should be crispy and the egg should be soft. Just put a few drops of water in the pan and put a lid on it on medium heat. When you hear the egg start to pop and crackle that’s when you kill the heat and leave it for 30 seconds.",2025-11-04T02:43:28Z,0,0,en
Ugwc6sg4L3_E9VIZtGd4AaABAg,@nathan2853,The last one: 😮😮😮,2025-10-27T18:30:53Z,0,0,en
Ugwnbt6aep25SIFAN-N4AaABAg,@acthecanadian,This video was so cheesy…,2025-10-27T00:17:56Z,0,0,en
UgwCenq9K8PISaq2j-t4AaABAg,@ErinK-o3q,"With the whipped gruyere, can you suggest other cheeses this works with?",2025-10-24T06:11:43Z,0,0,en
UgwcGNgiawPgeETSvzl4AaABAg,@Bob-gd4uu,Parm rind isn’t made from ink,2025-10-23T04:18:23Z,0,0,en
UgzU3hzkTXg3udW3v2F4AaABAg,@quiksilver4345,Instructions unclear. I blew up one of my plates and had a slightly soggy piece of leather attached to the crispiest cheese ever. Not bad to be honest.,2025-10-21T23:53:23Z,0,0,en
UgxI1a6OiyrCYOdnduF4AaABAg,@lulumumford1975,I think 2 mins in microwave it to long it smoked out the kitchen & brunt,2025-10-19T10:39:29Z,0,0,en
UgzX_3v7bcZJyzuhn1t4AaABAg,@ReggieTime,Doakes!!!!!,2025-10-18T22:13:24Z,0,0,Other
Ugwex7ZpTbEILKncIZV4AaABAg,@ReggieTime,"Olvida el queso, di me como prepara esa carne ❤❤❤",2025-10-18T22:13:06Z,0,0,Other
UgyRDMj-jP5X317WFtB4AaABAg,@ryanhahn5979,i microwaved a piece of cheese for 2 minutes as instructed and it turned into a boiling pubble with burns..... did not work..,2025-10-16T12:28:29Z,0,0,en
Ugx5bENTPXtxq2Upgot4AaABAg,@KRKitchenTech,Wow,2025-10-15T10:59:10Z,0,0,Other
Ugy7Oiq6LH6Z60Bxxkp4AaABAg,@charlenegirouard901,Love the micro trick that I’m trying,2025-10-14T19:50:33Z,0,0,en
UgyuxIXkOiB-Yt_IeBh4AaABAg,@EuroSpecMTL,Fk I hate this guy,2025-10-13T02:45:11Z,0,0,en
UgwALt5CuoueT2vPvbl4AaABAg,@ragnaulva_,you can also instead use parm rind to flavor broths or soups,2025-10-12T09:41:00Z,2,0,en
UgxmZ_CFmil-vQ25met4AaABAg,@thegreatphoenix-g8g,WHERES THE GRILLED CHEEEEEEEEEEEEESE,2025-10-09T02:22:44Z,0,0,en
Ugy_6fNUYRN7t-rLiTl4AaABAg,@Deegonbeefon,5th is smoking,2025-10-08T18:04:23Z,1,0,en
Ugw8hvrlkvPWkSwmUWV4AaABAg,@evenseanbean,stay flexy !,2025-10-08T16:50:51Z,0,0,Other
Ugw1QLoowNx-JDNjadR4AaABAg,@BombasticSideKy,"Ooo, you should make things on the ground that the players has to dodge. If they step on the stuff, the villagers or police men gets alerted!",2025-10-08T12:20:30Z,1,0,en
UgwCidQViG-wr4yf4jZ4AaABAg,@Sarendon,"The last one is actually called ""costra"".",2025-10-07T16:34:58Z,0,0,en
UgxqwC-Pyg7qj5tmAFx4AaABAg,@tyrthegots673,Mandari 🍊,2025-10-07T00:59:08Z,0,0,Other
Ugx2GPOoze56ujxnqwR4AaABAg,@longdonggong,Tonight's the night,2025-10-06T22:37:05Z,0,0,en
UgyNsJc61dE7PvwwzP54AaABAg,@filip.simonka,this is the most american video ever,2025-10-06T18:59:37Z,0,0,en
UgyA_7Vo5XG1Y5v1Mw54AaABAg,@crimsonstang,I make those cheesy tortillas every few days,2025-10-06T13:50:14Z,0,0,en
Ugy5KWbkLvpWFcVXvhN4AaABAg,@unowen7591,Today I finally learned what that machine is called -- cream canister,2025-10-06T04:48:20Z,0,0,en
UgzD5goaRicCeJa1TCh4AaABAg,@user-ub9ci6xq1m,"NEPHEW JOSHUA YOU'RE USING METAL ON A NON-STICK PAN
-some random orange polo shirt uncle",2025-10-05T11:08:10Z,1,0,en
UgxujdDZKna2tzsBOiJ4AaABAg,@TransformInProgress,Great practical and concise methods for using cheese👍 THANKS for your video!👍Much appreciated ❤❤❤,2025-10-05T04:55:01Z,1,0,en
