Comment ID,Author,Content,Publish Date,Like Count,Reply Count
UgxgfBKyhgzHUyCmjLZ4AaABAg,@GatinandGrillin,Very well executed!!!!!!,2025-11-20T00:47:38Z,1,0
UgyVJMdvlnlsf63TvhZ4AaABAg,@Kay_UwU.1,CHEEEEEEEESE,2025-11-19T10:36:24Z,0,0
Ugy6ij1sCuUa3VumwZR4AaABAg,@user-jf9sx8cj1v,"...4 ways? I never knew there would be one single option w/o....I mean...something fried w cheese, cheesey feet, cheese at the photographer and so on...",2025-11-17T16:55:24Z,0,0
UgyTAltjn_m0dLL8ZlV4AaABAg,@Stormed_the_duck,Bro guys idk if he copied nick or nick copied him,2025-11-17T09:22:59Z,0,0
UgyJ9Tm4WrC29d84wBl4AaABAg,@kevin-x4z6v,Use my cream.,2025-11-15T09:32:43Z,0,0
UgwAFUETdO8XaJfFDUt4AaABAg,@brycechoff,That black guy came out of nowhere wtf,2025-11-15T05:07:14Z,0,0
Ugxc6Yk2PWhVEB5J-Rd4AaABAg,@AndronikiPapa,S coups Joshua Jun Hoshi Wonwoo Wozzi Dk Mingyu The8 Seungkwan Vernon Dino,2025-11-12T18:41:31Z,0,0
UgypxsXhwO3GGSuS17B4AaABAg,@JaxonMontana-sw8rf,The most easiest way is to eat cheese,2025-11-10T17:14:30Z,0,0
UgwB-tSvGWgQWvVUGfl4AaABAg,@maikaylagordon,"Lol Doakes coming in like a whisper, ""Surprise, mothaf-er.""",2025-11-05T10:25:00Z,0,0
Ugw1Xc7awgZtjGPhFcF4AaABAg,@De_Vliegende_Hollander,"Nah man, the toast should be crispy and the egg should be soft. Just put a few drops of water in the pan and put a lid on it on medium heat. When you hear the egg start to pop and crackle that’s when you kill the heat and leave it for 30 seconds.",2025-11-04T02:43:28Z,0,0
Ugwc6sg4L3_E9VIZtGd4AaABAg,@nathan2853,The last one: 😮😮😮,2025-10-27T18:30:53Z,0,0
Ugwnbt6aep25SIFAN-N4AaABAg,@acthecanadian,This video was so cheesy…,2025-10-27T00:17:56Z,0,0
UgwCenq9K8PISaq2j-t4AaABAg,@ErinK-o3q,"With the whipped gruyere, can you suggest other cheeses this works with?",2025-10-24T06:11:43Z,0,0
UgwcGNgiawPgeETSvzl4AaABAg,@Bob-gd4uu,Parm rind isn’t made from ink,2025-10-23T04:18:23Z,0,0
UgzU3hzkTXg3udW3v2F4AaABAg,@quiksilver4345,Instructions unclear. I blew up one of my plates and had a slightly soggy piece of leather attached to the crispiest cheese ever. Not bad to be honest.,2025-10-21T23:53:23Z,0,0
UgxI1a6OiyrCYOdnduF4AaABAg,@lulumumford1975,I think 2 mins in microwave it to long it smoked out the kitchen & brunt,2025-10-19T10:39:29Z,0,0
UgyRDMj-jP5X317WFtB4AaABAg,@ryanhahn5979,i microwaved a piece of cheese for 2 minutes as instructed and it turned into a boiling pubble with burns..... did not work..,2025-10-16T12:28:29Z,0,0
Ugy7Oiq6LH6Z60Bxxkp4AaABAg,@charlenegirouard901,Love the micro trick that I’m trying,2025-10-14T19:50:33Z,0,0
UgyuxIXkOiB-Yt_IeBh4AaABAg,@EuroSpecMTL,Fk I hate this guy,2025-10-13T02:45:11Z,0,0
UgwALt5CuoueT2vPvbl4AaABAg,@ragnaulva_,you can also instead use parm rind to flavor broths or soups,2025-10-12T09:41:00Z,2,0
UgxmZ_CFmil-vQ25met4AaABAg,@thegreatphoenix-g8g,WHERES THE GRILLED CHEEEEEEEEEEEEESE,2025-10-09T02:22:44Z,0,0
Ugy_6fNUYRN7t-rLiTl4AaABAg,@Deegonbeefon,5th is smoking,2025-10-08T18:04:23Z,1,0
Ugw1QLoowNx-JDNjadR4AaABAg,@BombasticSideKy,"Ooo, you should make things on the ground that the players has to dodge. If they step on the stuff, the villagers or police men gets alerted!",2025-10-08T12:20:30Z,1,0
UgwCidQViG-wr4yf4jZ4AaABAg,@Sarendon,"The last one is actually called ""costra"".",2025-10-07T16:34:58Z,0,0
Ugx2GPOoze56ujxnqwR4AaABAg,@longdonggong,Tonight's the night,2025-10-06T22:37:05Z,0,0
UgyNsJc61dE7PvwwzP54AaABAg,@filip.simonka,this is the most american video ever,2025-10-06T18:59:37Z,0,0
UgyA_7Vo5XG1Y5v1Mw54AaABAg,@crimsonstang,I make those cheesy tortillas every few days,2025-10-06T13:50:14Z,0,0
Ugy5KWbkLvpWFcVXvhN4AaABAg,@unowen7591,Today I finally learned what that machine is called -- cream canister,2025-10-06T04:48:20Z,0,0
UgzD5goaRicCeJa1TCh4AaABAg,@user-ub9ci6xq1m,"NEPHEW JOSHUA YOU'RE USING METAL ON A NON-STICK PAN
-some random orange polo shirt uncle",2025-10-05T11:08:10Z,1,0
UgxujdDZKna2tzsBOiJ4AaABAg,@TransformInProgress,Great practical and concise methods for using cheese👍 THANKS for your video!👍Much appreciated ❤❤❤,2025-10-05T04:55:01Z,1,0
UgzGmvqOm5gjjtRmYmV4AaABAg,@MarwaSteitieh,I can't stop watching this bc of the gruyere whip ..holy 😅,2025-10-05T02:28:17Z,0,0
UgysamyXL4jwhR-m9RN4AaABAg,@Matt_Popovich,How do you measure a pint of cheese,2025-10-05T00:19:36Z,0,0
Ugx5mkZ0U_tcfWv5k754AaABAg,@davida.5766,"Parm rind now has microchips that are ‘technically edible’, but like, not for me lol",2025-10-04T23:08:51Z,0,0
UgyfdKnfyoOPu1uQdzV4AaABAg,@jrodriguezzzzzzz,try oaxaca cheese for the grilled cheese quesadilla method its made for that😱,2025-10-04T22:25:39Z,0,1
UgzcM4RI1ALiLatJFuB4AaABAg,@OffSetPrism2142,Make this man the spokesperson for Crunch Bars,2025-10-04T18:46:42Z,0,0
UgxoaM9b_57YYrFQ4TN4AaABAg,@Dr.David7,"As a doctor who prioritizes diet over medication, I found this 20-30 page guide that I found very informative, it’s called “high off food”",2025-10-04T14:37:36Z,2,0
UgyVhWBRiaf9P89uRTx4AaABAg,@pureearth8592,Everybody wants the fourth one and I want a Mexican sexy YouTuber girlfriend to show me all these little tricks,2025-10-04T09:14:32Z,0,0
UgyUUN1OwIFe9sSNQzp4AaABAg,@odesso2556,"i hope your employees bought all the right kinds of cheese the first time around, would be a shame if you had to have another temper tantrum on them",2025-10-03T23:14:34Z,0,0
UgyKwoZQlxYzDNiI7uh4AaABAg,@l0rdmok0,A pint of cheese?? a PINT of CHEESE?? whats wrong with you people that you have to measure everything by volume? Like cubes of cheese? Really? Im not even gonna start a system debate but please use weight for stuff like that ffs.,2025-10-03T22:42:15Z,0,0
UgxdYp19ssJ-f0qKv_14AaABAg,@cohens8613,And these are actually the only 4! If you try another way they will come after you,2025-10-03T11:34:00Z,0,0
UgzB1Szjiuepph6XG214AaABAg,@Kompoteek,"5th: melt it in soup. Prefferably red cheddar, believe me, it's worth it",2025-10-03T11:06:18Z,0,0
UgxErtktWhRCAddrJ4p4AaABAg,@DarkSorcerer96,How strong is your microwave? It will vary the time,2025-10-03T06:47:55Z,0,0
Ugx6C_EHRnuEOotkFw54AaABAg,@basiickAF,How are you so pretty ??,2025-10-03T03:05:32Z,0,0
Ugyh7ANWZSHgb3rSq2x4AaABAg,@Real-Ninja-IV-XX,Your spose to deep fry the parm rinds,2025-10-02T22:56:06Z,0,0
UgyWAn7_beZqvsPTFlt4AaABAg,@THCLK,what happened to just putting it on a slice of sourdouugh bread?!,2025-10-02T22:52:35Z,0,0
UgySxjUa9e_T3ALhu0R4AaABAg,@9snaps,I need to know how to make that meat,2025-10-02T18:50:45Z,0,0
