Comment ID,Author,Content,Publish Date,Like Count,Reply Count
UgwFm6HT6NDZXuR4gDR4AaABAg,@NullNevermore013,It's always funny how often you use recipe's that aren't yours haha and using nick digiovanni old Video style shows how jealous of him you truly are,2025-11-24T00:57:36Z,0,0
UgzguOE68Y68WN29v_p4AaABAg,@reddeyegaming,Who the hell do you think you are!!! Babish?,2025-11-23T15:18:54Z,0,0
UgyqmGHAZblmH6GI8OV4AaABAg,@Pwnarbullen,What are you Binging with Babish now??,2025-11-21T13:29:14Z,0,0
UgwTUzd5A1v-HPw0jbB4AaABAg,@AndoObeng,Next video you should make beef bacon burgers,2025-11-21T01:30:24Z,0,0
UgyxPYSYf7dKwfyzwW14AaABAg,@harrisonbergeron9764,Josh be going all Hollywood and Sh!t.,2025-11-20T17:05:29Z,0,0
Ugze30lWQZINjRaYrdp4AaABAg,@krishacharya9121,anyone got the recipe measurements? :'),2025-11-20T13:04:55Z,0,0
UgxdeO_CBFvI6TZhVqp4AaABAg,@NARUTOSENSEI2000,An actual good movie,2025-11-20T07:08:05Z,1,0
UgyVxnHyWZKueKctlat4AaABAg,@be4st.999,Peeling a peach should be illegal,2025-11-19T23:35:09Z,0,0
UgykrjBGT5qEcD6dXwd4AaABAg,@schwarzenberg1802,back in the time you just gave Cream with sugar and what ever a soft boil for 30 min. it thinkens by it self without gelatine,2025-11-19T14:46:05Z,0,0
UgzDB8fNaQJIY0K5dp94AaABAg,@Zade-b2q,"WAVERIDER IS SUPER LONG AND NOT SO IMPORTANT, DO THat at last please",2025-11-19T11:22:23Z,0,0
UgyWm7x5g7phh00gnmh4AaABAg,@ekg_blizzard4904,"Ai, bot and sponsored comments are crazy",2025-11-19T06:44:47Z,0,0
UgzcovQqHgbTjbucFj14AaABAg,@calakiduki,"I don’t think they had monsters back then either bro, it’s fiction",2025-11-19T04:33:28Z,0,0
UgzD_7ymVKMylGfrGlh4AaABAg,@Guavamente,"No one wanted the damn panna cotta, we want THE MILK from Frankenstein 😂",2025-11-19T03:03:41Z,4,0
UgzNdSdYFn9tEYC0lDp4AaABAg,@pastashack3517,9.5/10? You mean 19/20. Only cowards afraid to commit to a decision use decimals in rating scales,2025-11-18T23:54:31Z,0,0
UgxxTazfF0ZnakaNAFV4AaABAg,@Arcadiez,"As a European, wtf is a cup? Coffee cup? A tea cup? Espresso cup?",2025-11-18T23:52:51Z,0,1
UgxO5xB3adpmoSQbY2x4AaABAg,@BucksCorner101,Josh violated that peach bruh😂,2025-11-18T23:24:11Z,7,2
UgyQiLRoCvQzutB-rRl4AaABAg,@Blue_Ice2,Flicking the pit HAS TO HURT.,2025-11-18T23:17:05Z,2,0
Ugxg32nsTdNbzaF-I1h4AaABAg,@boston1287,Watched the movie yesterday. Pretty good actually. Probably will with an Oscar for makeup.,2025-11-18T22:15:39Z,3,0
UgzXb65-DSfX9SJtwQZ4AaABAg,@CookDavid2010,I am 15 years old and started my own YouTube cooking channel.  Just wanted to thank you for inspiring and teaching me to cook!,2025-11-18T21:19:32Z,14,2
UgzsN8vncMN456hGqyB4AaABAg,@BiscuitBakesBangers,remove their pits? where's the peach gonna sweat now???,2025-11-18T19:49:11Z,0,0
UgxZAOD9igVgY5m8wPF4AaABAg,@MP-xd1tc,Use coconut or brown sugar so it could have a tan color.,2025-11-18T17:11:50Z,1,0
UgwcniMgwabdn3SIanN4AaABAg,@christopherarcuri1619,How bad is it to eat that amount of sugar that goes into all of that,2025-11-18T17:01:30Z,0,0
UgzxbOQBqmu6CAF1vOl4AaABAg,@organicod2438,Only one person in Frankenstein even looked like they took a bite of the Panna Cotta. Everyone else stood up and left it on the table.,2025-11-18T16:56:57Z,9,1
UgyGpP6isD1F5a_xzJl4AaABAg,@syeda5157,Create a video of which country has the best National dish,2025-11-18T16:19:40Z,0,1
UgwCwra0XKQti2oibch4AaABAg,@doentexd4770,Freaking panna cotta shows up for 0.21 miliseconds on screen and thats more than enough for my man,2025-11-18T15:49:49Z,228,1
UgyCd6I1bnVMSBVCKb54AaABAg,@midnight_rap_battles,"Ah Frankenstein, my second favorite film of the year, was not expecting Josh to do a cooking video about it lmao despite knowing he's a Netflix partner",2025-11-18T15:16:54Z,12,3
UgziTkv02ZLTo6rdrDN4AaABAg,@HoneyedMoon,Freaking dipping his finger in boiling peaches like WHAT,2025-11-18T15:13:46Z,21,0
UgzeicBdTRnk7T8ULfl4AaABAg,@PlaybillsAndPixels,"As someone who’s seen the new Frankenstein, you won’t want to be eating anything while watching it lol",2025-11-18T15:09:32Z,96,3
UgyMV8JYYZ7s9YnO2T94AaABAg,@DonzaDJN,So ... it's basically Peaches and Cream?,2025-11-18T15:03:17Z,4,1
UgwJQNijDCSIxUfb7ax4AaABAg,@hermano_mario,Is the JW Netflix cooking show incoming?,2025-11-18T15:01:48Z,0,0
