Comment ID,Author,Content,Publish Date,Like Count,Reply Count
UgwciakKwUn5_vimm6d4AaABAg,@dinakarm3,"I’m done with 1,500 km/hour. Shoot me into space.",2025-11-23T07:28:36Z,0,0
UgxIlKXUf_t9BdzJZkV4AaABAg,@Victory-v9q,Me at the equator 😊,2025-11-21T21:19:48Z,0,0
UgxKZ7r0jGWzIPVb-xd4AaABAg,@dhruvadityatiwari135,I love this birdie the most out of all of them,2025-11-14T11:00:00Z,0,0
UgxUrIUsSmuzU6E8-UB4AaABAg,@Ceresbecauseeditablehandle,Forget climbing how could a ladder be that stable,2025-09-23T04:52:49Z,0,0
UgxyzoKECLsYSA_Ql614AaABAg,@Ocky-the-rubber-fox,"This only works at Geosynchronous altitude as well, not low earth orbit",2025-09-15T16:37:54Z,0,0
UgyQLtfpO16FQKb5c7V4AaABAg,@awesomesaucemaxlol,"No, you would suffocate (without a spacesuit). And even if you did have a space suit, the ladder would not be stable enough and break apart.",2025-09-13T19:22:15Z,0,0
UgwvGvdXaNyTLiTgaBF4AaABAg,@kelsimcclanaghan7657,Let me try this only works in theory untill you test it!,2025-09-12T00:44:40Z,0,0
UgwDYWV6mf_1mWfQakh4AaABAg,@MarioCasas-m1k,Missed opportunity for turning bird into roasted chicken.,2025-09-11T23:55:30Z,0,0
UgwQ-TXSI9jtM3FcQuJ4AaABAg,@Zack_experimeant9001,It actually matters how far long is it since if it’s not that tall you might fall down to your doom because of earth’s gravity,2025-09-11T16:46:03Z,0,0
UgyiIjUd_jcbE3YJmjp4AaABAg,@mtt9772,"“Hopefully, you bought a magical indestructible space suit with your space ladder”

I’m guessing that’s a @Stargaze reference? 🤔",2025-09-07T08:42:03Z,0,0
Ugx8zfF0Ovh4JTweQO54AaABAg,@BreadCrumbs-v1h,Won't the huge ladder's gravity have a significant effect here?,2025-09-03T13:52:44Z,0,1
Ugy_4r7qSV3I853akKF4AaABAg,@nobleaxiom,Would need a rope to hang Down not a tower to build up,2025-08-31T00:11:06Z,0,0
UgyKj6YxSfYel0LUz2V4AaABAg,@imrip_Zedonutmasteryt-onrblx,Lowkey it would be fun to go on that ladder like just chillin next to it while floating sounds fun ofc with a space suit,2025-08-28T07:39:22Z,0,0
UgzbdtwbT8vK3I5H-SJ4AaABAg,@timothygooding9544,"Should probably mention that the orbit wont work till your at GEO distance, 36,000 km.

If your only about ~400km like the ISS, youll be far too slow while the satellites zip by about 6 km/s faster 

(The lowest orbits around earth require up to 7km/s, going higher allows you to go slower)",2025-08-19T23:16:07Z,0,0
UgwAHvxpaVdTMFifI4N4AaABAg,@Shulkamania,What a thrill...,2025-08-08T15:02:31Z,2,1
Ugy4Ber08rdm61qjFt94AaABAg,@pan_cake_man1,but the earth is spinning,2025-08-06T21:12:25Z,0,0
UgxccCou0ORqg8K7cvF4AaABAg,@rainyrobloxian-xt9cl,imagine spinning like crazy in the space,2025-08-05T22:23:05Z,0,0
UgwrjAte5kFzsbV8qJ14AaABAg,@Manganra7,Is the a place on Earth where you climb the ladder then fall gently?,2025-08-05T18:11:02Z,0,0
Ugwd_227PbohxvyzLnB4AaABAg,@BrandonRasaka,What about if you climb up somewhere between the equator and the pole?,2025-08-04T18:52:24Z,0,0
Ugy-Usf0dUugaMJSY3p4AaABAg,@BrianSu,This is why Russia launches Soyuz from French Guiana if the target is equatorial LEO. It saves much more rocket fuel vs launching from Baikonour than the fuel used to ship the rocket there.,2025-07-31T01:04:42Z,0,0
UgwTkzCYIwtEX8m1b-Z4AaABAg,@chargrillalex,"If you move faster the higher you go on the latter, how high would you have to climb to move at the speed of light?",2025-07-30T21:31:51Z,1,0
Ugwg9w1S0HVITdgv-wF4AaABAg,@WhispersofMinecraft333,Love the quality of these videos.,2025-07-28T16:25:46Z,0,0
UgzACap_Fpk0dLKeQWZ4AaABAg,@Natebaeyay,"Ferb, I know what we’re gonna do today! 👩‍🚀🪜🛰️",2025-07-24T04:38:46Z,1,0
Ugw2TOcSzOaZ4sh4E9d4AaABAg,@iEvadeMyTaxes-l2u,The real answer is that half way through u will probably die to oxygen reduction,2025-07-20T08:54:21Z,0,0
Ugz4FYEoEatvM-WAKiF4AaABAg,@zypperhhh,I saw that actually something like an elevator could not be possible unless its size drastically changes the more it goes into space,2025-07-19T16:05:56Z,0,0
UgwlBJT84sH4pckxvyR4AaABAg,@pedrosso0,"It's not hr, just h.",2025-07-18T08:08:03Z,0,1
UgzLlNTG-rtodit_yM54AaABAg,@AmenKing99G,"There is something suspicious about the space suit.
Almost as if there might be an imposter among us...",2025-07-17T15:35:16Z,1,1
UgyOoJTWvSXPa8-IMtx4AaABAg,@mlzs_,Geostationary orbit,2025-07-15T21:53:26Z,0,0
UgzAS3-i3jXKqYi11u54AaABAg,@melonianmpg,“i’ll book a ticket to mars.”,2025-07-12T12:05:45Z,0,0
UgxxJPd3WvxlAEtDlmt4AaABAg,@thekaz5225,How come there aren't more space elevators in sci-fi,2025-07-10T06:30:20Z,0,0
UgxRAleIp6r6xM1D0Lx4AaABAg,@PhilosopherExplorer,Probably forget how to speak — as God smites those who tries to reach the heavens materially. *Tower of Babel* lol🤪,2025-07-09T20:09:55Z,0,0
UgwVFjuGt7yh-Q95biJ4AaABAg,@Luwis1337,good thing i got a spacesuit ready,2025-07-03T21:37:06Z,0,0
UgynovXriwB1zJz3yqB4AaABAg,@D0ccean,So you js spoke about a ladder to Space  now your saying a whole poem,2025-07-03T17:20:45Z,0,0
UgwNU9_zIOLIx1ndoc14AaABAg,@Mo_WithTheFro,"Looks like tye tower of Babel from the Bible 
 1:51",2025-07-02T12:15:26Z,0,0
Ugwel9lhtFe8CbVY9pF4AaABAg,@sundredre,Why you asking me these hard ahh questions,2025-06-28T17:57:45Z,0,0
UgwzzVBdsfYvrbU3_HV4AaABAg,@tw0tr1ckp0nyficated,the earth in the video is spinning backwards...,2025-06-26T17:19:58Z,0,0
UgzKBAWcdn16o69ksJh4AaABAg,@bluebrotherg4404,Please do not built that tower; it will disbalance the earth.😢,2025-06-26T04:04:08Z,0,0
UgzeHPbJVDbVJSm8mwl4AaABAg,@Lightningstorm42,What if I'm somewhere in between?,2025-06-25T11:42:22Z,0,0
UgzEA20QZellQXmUX614AaABAg,@alphtheor.879,how long would a horizontal straight line need to be to defy earth's curvature and reach into space?,2025-06-23T10:20:22Z,0,0
UgwmQvYf7CoVgNiLX654AaABAg,@Boogan-k6n,"So you're farther than the moon, right?",2025-06-20T05:59:31Z,0,1
UgxgMLBjTtODEmX_q6V4AaABAg,@Mergegaming-clips,Nice (someone is going to be the next Albert ins tine,2025-06-09T05:58:56Z,0,0
UgxmR-w7ehZq83Tsaol4AaABAg,@Yesmynamehas3ks,You are gonna be travelling in a geodesic.,2025-06-08T14:48:43Z,0,0
UgyTtiNQrx7_bzVye1F4AaABAg,@growtocycle6992,"If you are high enough up, the force of gravity from earth dissipates..  it's proportional to the inverse of the radius squared",2025-06-07T12:07:00Z,0,1
UgyZPBYtLi7Ydfx7rAR4AaABAg,@Matt-qv8lm,"This just destroyed my understanding, so now, i think that... the north pole has no gravity?  Huh, that's neat.

Dammit.  I'm dumb.",2025-06-07T00:48:19Z,0,0
UgzQwmH0MTMCy5fTKkh4AaABAg,@Kara-c9h,what is the music name?,2025-06-06T22:19:34Z,0,0
UgzKNcPC9NZgqX7zaM14AaABAg,@InVinoVeritasEst787,Music name?,2025-06-05T11:31:51Z,1,1
UgzGtNFRb7O7OGCulDV4AaABAg,@arturkursa-bl5lv,Did anybody notice that the spacesuit at the end was an among us,2025-06-01T14:08:12Z,0,0
UgxB6skU_SbWlblSpod4AaABAg,@varrekstuff,"I-I CAN'T, I CAN'T LET GO

⬛
🔻

  🟧   🔺
⬛⬛⬛",2025-05-31T10:05:11Z,0,0
UgyPXAKMVSw6CLqHJFB4AaABAg,@IloveGod-234,"JESUS IS KING THE WAY THE WAY THE WAY THE TRUTH AND THE LIFE THE ALPHA AND THE OMEGA THE FIRST AND THE LAST THE BEGINNING AND THE END  MAY GOD FORGIVE, BLESS U AND UR FAMILY AND EVERYONE AND THEIR FAMILIES  do not like the comment",2025-05-28T20:57:07Z,0,0
UgwFE1tXixl-2uyKCK14AaABAg,@PacificOceanShipSinker,The people going to mars when the elevator is 5 meters higher than normal and they are slammed 5 meters away from the landing pad,2025-05-28T09:21:39Z,0,0
Ugw6In80Ry3crvTxjbF4AaABAg,@grahamtek,What if it was even higher though,2025-05-27T22:20:29Z,0,0
UgxBrtMUP3S8Im5Jljd4AaABAg,@ChaseLewis-z9r,"So you could have upside down space hotels here tethered a little outside that zero gravity zone to replicate gravity. 

That’s pretty sweet",2025-05-27T06:57:42Z,0,0
UgyBRGEnw9SlmxR1A2t4AaABAg,@Jackal-bones,"It’s not a space elevator, it’s an orbital lift!!





Sorry I just had to add a Star Trek reference 😔",2025-05-24T05:51:48Z,0,0
UgzeIIyhOwBYEUK_mqR4AaABAg,@TheGiantKirby,Bro forgot the pressure,2025-05-23T05:22:09Z,0,0
UgxxJowgBMznBOZBHpV4AaABAg,@Hoovygaming7634,Wait so if you had a really big wheel its edge could go faster than light?,2025-05-23T02:07:44Z,0,1
UgxjKIZcM2rv9hXoIv54AaABAg,@WongQiHuiChangkatps,Guy standing at the equator is me! Singapore is at the equator (which means I’m faster than all of you haha),2025-05-21T07:46:18Z,0,0
UgzdixqOnXOtlfdyuuJ4AaABAg,@Rposjfvej,Thanks 🙏 steve,2025-05-18T14:07:07Z,0,0
