Comment ID,Author,Content,Publish Date,Like Count,Reply Count
Ugw2QI_b7-pQnry4czN4AaABAg,@kurzgesagt,Are you getting the full story? Go to https://ground.news/KiN to access world-wide sources and compare coverage. Subscribe for 40% off unlimited access.,2025-02-25T12:39:29Z,1968,117
Ugzzlhszo1VQtWT9Zdd4AaABAg,@Ilove_dinosuars,5:46  I know this because my grandparents do this but with hay and more space but still in a room they still give they a happy life at least by letting them wandering every week end,2025-11-24T02:56:04Z,0,0
UgwlM-d95JRuQ427Ab94AaABAg,@beaware9457,Great video. Usefull for people that don't have heart to stop eating animal products alltogether,2025-11-24T01:57:45Z,0,0
UgyiKdTNm9INr9137gF4AaABAg,@Lamatank,"""All animals are equal but some animals are more equal then others""",2025-11-23T21:40:46Z,0,0
UgyI3hP5n5hakdK3qGZ4AaABAg,@tessamifsud,Ah fresh meat,2025-11-23T16:20:13Z,0,0
Ugx6A74JVVL5B6xL1cN4AaABAg,@Mr.Storyteller-u,Chickens feels empathy is horrible when they are in slaughter house.,2025-11-23T14:51:21Z,1,0
UgyJnvWlNpN66a7X2Nd4AaABAg,@leocondoric.2391,If you eat animals you can't love animals. As simple as that,2025-11-23T13:29:45Z,0,0
UgxTvb52ZVjlhvVeNvh4AaABAg,@Anna-y7v5l,That’s why I’m just vegetarian it’s easier and healthier and anyways since they r kept in these horrible conditions they release a lot of stress hormones and also when they’re killed so ur eating all that stress hormones and it unhealthy for u cuz now u have it plus not to mention all those chemicals they inject to make it grow faster,2025-11-23T12:42:26Z,1,0
UgwFb3C1kh2RhVhgT6d4AaABAg,@Sarfarazz.shaikh,Thank you for making this video ❤,2025-11-23T11:30:19Z,0,0
Ugyp5lte8VVkCJZ1bZ94AaABAg,@IaraSantos-q6s,commenting to support the video,2025-11-23T02:15:14Z,0,0
UgyZUvJo-H4E51jO8kB4AaABAg,@beerye3750,"If it wasn't for politicians and corporations getting in the way, all the people would be eating low-cost meat, good quality meat.",2025-11-23T00:47:44Z,0,0
UgyjpOe5Smk9YGksTkZ4AaABAg,@KnotBot52,"If the concern is animal welfare, then the simplest answer is to just not buy these products in the first place. Sure, meat, dairy, and eggs are delicious, but is that 15 minutes of taste pleasure worth the entire life of an animal, even if that life was a little bit better than the worst imaginable torture? Just like the comparisons in this video, could you imagine needlessly killing a perfectly healthy dog to eat it, when you could eat something else? If the animals are really what you care about, then opting for meat that is less torturous than other meat does not really do anything to change the demand; it is still torture and needless killing.",2025-11-22T23:15:45Z,0,0
UgzE97DOmmoRLKMuqRh4AaABAg,@Rahul-yr8qt,What about egg tieyig or cutting femcel? You don't have the nuts to expose that?,2025-11-22T18:23:25Z,0,0
Ugxzs0xbrwtxNioEcJB4AaABAg,@Rahul-yr8qt,Now make a video of how much pesticides and genetical modifications goes in vegetarian foods as well,2025-11-22T18:16:39Z,0,0
UgyNwZ4rvVrIp5Ks4ox4AaABAg,@JustL1P,... ok so does sucking count or no,2025-11-22T18:07:05Z,0,0
UgyEd9ePdc7e6p8v7It4AaABAg,@DiamondsZ1973,"it’s hard to feel empathy for something we are going to slaughter, and it’s really easy to just not think about it",2025-11-22T14:57:18Z,0,1
UgxROFIMCQwv58DzlZV4AaABAg,@donstan9392,so happy this isnt just advocating for us to go vegan and actually has solutions,2025-11-22T13:28:57Z,0,0
UgyM-MHxQtbNFbr2mQp4AaABAg,@Amazedm,"I'm not big on getting emotional and I don't see much difference between dog life and pig life. But I do believe that humanity is ready to aspire higher than to torture other species. I'm a little bit sceptical about the actual values quoted, definitely taking into account interests of all parties other than the consumers and animals into account. But as an overview I think it's very helpful.",2025-11-22T13:19:25Z,0,0
UgxD8KC8cjGr5-_wdlN4AaABAg,@raguusauce,"Lmao ""food's the cheapest it's ever been?"" This is hilarious when people are literally starving because they can't afford food",2025-11-22T12:24:43Z,0,0
Ugy2Zwt0RUlVE-FwuTh4AaABAg,@ronben-ezer8373,"The ""there are as many chicken in the world at any given time as all other birds combined"" is a huge understatement haha. There are multiple times more chicken.",2025-11-22T10:27:08Z,0,0
Ugxmeb0N3_Ys8X7bpRJ4AaABAg,@JamesHerman-u3y,Castration of pigs/cows is actually normally done with a rubber band to stop blood flow and as bad as it sounds they fall off painlessly.   It's not as bad as this video makes it sound.,2025-11-22T08:28:30Z,0,0
Ugzz30RQ66C-3gHQDkV4AaABAg,@JamesHerman-u3y,"A person abused a cat, and you know who moved heaven and earth to find them? 4chan.   They were checking literally everything about the video to find the person and make sure they got arrested.  

Shitty judge let it slide.",2025-11-22T08:23:32Z,0,0
Ugzw4tnVtzrv3uOb2Uh4AaABAg,@HarmonikaV0id,"I have to admit this channel is one of the best in entire Youtube, thank you for your outstanding work",2025-11-22T07:57:05Z,0,0
UgwkKJXDe3kKqdvZ5TN4AaABAg,@bawabro,"Animals have similar lives to us humans, some are tortured, some free, but we all are caged by systems",2025-11-22T04:43:58Z,0,0
UgwP_hc5KDorPuuM1oJ4AaABAg,@SherifEfa,btw eating pigs is forbedin in islam,2025-11-22T02:14:54Z,0,0
UgybO4RkUKATjvwwU8B4AaABAg,@SherifEfa,what about i do it in minecraft,2025-11-22T02:12:04Z,0,0
UgwUaYWcche8v_NcSBx4AaABAg,@NecroblazeTV,thats literally an anti meat ad.,2025-11-21T22:32:46Z,1,0
Ugyk5-Ftv0i8G-iwa5V4AaABAg,@PURp3l_1,Right when I was eating meat bro.,2025-11-21T20:18:52Z,0,0
