Comment ID,Author,Content,Publish Date,Like Count,Reply Count,Detected Language
Ugxme8M4shQMQoG1yX54AaABAg,@kurzgesagt,Go to https://brilliant.org/nutshell/ to dive deeper into these topics and more with a free 30-day trial + 20% off the premium subscription! This video was sponsored by Brilliant. Thanks a lot for the support!,2025-04-22T09:31:51Z,1042,51,en
UgyEXzmFW06QAuxNdKp4AaABAg,@hms3057,we need a part two,2025-11-23T10:09:38Z,0,0,en
UgxHkJZZDPouBZDjt8J4AaABAg,@UmangSukhadia,Worst time in history might be in 1945 in hiroshi-...,2025-11-21T06:43:00Z,0,0,en
UgxPO1NOeWTJObx2NRl4AaABAg,@adamdavis1497,"""your time machine broke, and you're stuck in the worst time in history.""

I dunno about the time machine, but you got that last part right 😮‍💨",2025-11-21T02:19:35Z,0,0,en
Ugw0cvr0TkWtvOSjuVV4AaABAg,@person57324,This isn't a time in history. It's PREhistory.,2025-11-17T03:19:02Z,0,0,en
UgxbKIY-dQddim5en714AaABAg,@drivinmecoco1,I loved this video🩷,2025-11-11T22:36:12Z,0,0,en
UgyRcry25NTtXoIjBe94AaABAg,@israelblaylock5527,Great vid,2025-11-11T16:46:58Z,0,0,en
UgzuUiAprn4OYFGcZl54AaABAg,@ManyHeavens,The only way to travel in time is to stay where you're at. Or Start watching  Lost in space.,2025-11-10T14:48:32Z,1,0,en
UgwPYjs2SZTDYdCgDG14AaABAg,@michaelazarov2065,One of the coolest episodes you've made recently!,2025-11-10T13:05:31Z,0,0,en
Ugwlvy6-n62znWVlYqR4AaABAg,@AverageYoutubeViewer,I would give up all my life savings to see the 19:41 scenery if i could return back to modern time that just looks fantasised,2025-11-09T18:37:26Z,0,0,en
UgzcZRqh0AQybR3_XkV4AaABAg,@Raynlance,"Those prototaxite pillars are so cool, they remind me of the glowing mushrooms from terraria!",2025-11-09T10:05:35Z,0,0,en
UgzglOF5xObIs20D_j54AaABAg,@jackbrown4120,Doesn't history mean human past ie (documented in writing and artifacts).?... Surely this is prehistoric.,2025-11-08T23:08:39Z,0,0,en
UgykqbYqZ2aWZmxorup4AaABAg,@ritwikpriyadarshi961,MAKE A PART 2 PLEWASWE,2025-11-05T18:24:29Z,0,0,Other
