Comment ID,Author,Content,Publish Date,Like Count,Reply Count
UgxIObnNCpBNiq1TPHR4AaABAg,@kurzgesagt,"Go to https://brilliant.org/nutshell/ to dive deeper into these topics and more with a free 30-day trial + 20% off the premium subscription! 
This video was sponsored by Brilliant. Thanks a lot for the support!",2025-06-02T08:13:57Z,942,59
UgxxpKOjO_v8D7vQa6p4AaABAg,@PatrickN-c4d,So more cow farts and no apex predators or natural limiting biological factors. No wonder,2025-11-23T17:27:47Z,0,0
UgzcukCFhEPjOIp_8Wl4AaABAg,@PatrickN-c4d,Mosquito control uses the same genomic process. Warped alleles might create a super fertile strain. Given dropsilias are mutating in a irradiated environment.😮,2025-11-23T17:25:43Z,0,0
Ugxrcy4eO2H2V5lrmlt4AaABAg,@modwhiz,Why not use gentrol?,2025-11-23T13:23:59Z,0,0
UgwXAGBwcqTmqTRlTAt4AaABAg,@argo7155,The amount of corruption you can spot in this whole story is terrifying,2025-11-23T13:18:02Z,0,0
UgwuSLeZZXLfvSWqMhl4AaABAg,@MuhammadJafary-z7g,This is why I hate insects. Now just try to imagine insects from Outer Space. Tyranide phobia is real!,2025-11-23T09:16:25Z,0,0
Ugxafkt3YDhhiW_ia1d4AaABAg,@_SUPERN0VA_,"So...
why don't they do the same to mosquitoes?",2025-11-23T08:43:25Z,0,0
Ugxjk_7w0Qw4hH6OklN4AaABAg,@ThrillaWhale,"Words I never imagined could be combined like that.

Title:",2025-11-23T08:25:21Z,0,0
Ugwns27icAeKTO_vYBp4AaABAg,@crazybunny-4568,These videos are the only way we can get smarter with out school,2025-11-22T18:24:29Z,0,0
Ugwc_SjYqRC5F8qS-M54AaABAg,@SwopD-ft,Some stupid insects really thought they can do whatever 😂,2025-11-22T05:15:21Z,0,0
UgzO9XWFLAvKveHn_Bp4AaABAg,@Dylan-nw8gq,Right instead of building a meat trap covered in honey they used nukes,2025-11-21T14:31:14Z,0,0
Ugzs1mEqKZGyUKM5a1t4AaABAg,@iliatchaplinski,"We should do this with ticks, too.",2025-11-19T15:50:18Z,0,0
Ugw4GJSDcXMW8ueV0C14AaABAg,@Kory-h9x,"Seriously, my country Brasil is a Joke!! We have this HORRIBLE flesh eating fly over here, they attack not only live stock, but also DOGS and Cats that are abandoned on the streets. I have treated quiet a few of Cats and Dogs with this Horrible worms eating them Alive. The Medication to be used to kill the larves is called CAPSTAR! There are others but Capstar is efficient and not too expensive. But dependes on the size of the wound more work needs to be done. So, Why My country Brasil do not START this kind of ´´factory´´ to Kill this HORRIBLE flesh eating fly Monsters?? and it is STUPID of the USA Not to send some of these sterile flies over to south america! because those flies will ALWAYS find a way to go to the USA!!!",2025-11-19T00:24:43Z,0,0
UgwT5hdf7il4oNhWMa54AaABAg,@chrispya1,How about not breeding millions of cattle?,2025-11-17T20:18:06Z,0,0
UgyCPUXjOjes0ch2Jxt4AaABAg,@charliesonthespot,"""Suddenly jumped to Africa""...  Yeah, that's a bioweapon..",2025-11-17T06:27:52Z,0,0
Ugwvw0WzaorVk9CcxW54AaABAg,@VandonSilverwolf,The wall failed....How about our dumbass president and musk doge defunded it,2025-11-15T23:39:03Z,1,0
UgwXhWl-eIqsH8XrqGV4AaABAg,@Kith-png,Why isn't this in my history books ?!?!?!,2025-11-15T01:50:25Z,0,0
Ugw_UKNKl0UPlJlOKAJ4AaABAg,@hamster1235,remove the mosquito,2025-11-14T13:37:52Z,0,0
UgxuQd_EInaBPonKkhN4AaABAg,@IzieSherlock,Imagine they start evolving because of the radiation,2025-11-13T17:46:33Z,1,0
Ugy3utvXqUO-skzblax4AaABAg,@Srj-pt1kh,imagine some the the irradiated flies evolved and made super flies down the line 😊,2025-11-13T05:02:00Z,0,0
Ugy59OZsc5Klba7QS6R4AaABAg,@kalid.alwhsh1135,Libya mention  🇱🇾🇱🇾🇱🇾🇱🇾🇱🇾🇱🇾🇱🇾🇱🇾 0:24,2025-11-11T18:16:05Z,0,0
UgzKh-BbsSc0b_Qc1qt4AaABAg,@theocarracedo2981,so basically screw Brazil and Amazônia lol,2025-11-11T15:55:47Z,0,0
UgwpeJfO5tU1wtJ7KaN4AaABAg,@acecombat5465,6:50 I think we can all relate to this when we're at work.,2025-11-11T14:04:22Z,0,0
UgxlJHQl13DCeNuGt4Z4AaABAg,@Eyethegreatest,Am I the only one who thought that the face on the green stuff in the thumbnail wasn’t a face…,2025-11-11T10:33:59Z,0,0
UgyeHkCUUw3OAySAZSt4AaABAg,@Soviet_man67,I saw this in school during trying to show anti-drugs cartoons,2025-11-11T07:26:17Z,0,0
UgwSzK-eVAwAJM4p34l4AaABAg,@dustintacohands1107,Wait if they’re attracted to open wounds that means you can set a trap perhaps???,2025-11-10T14:21:39Z,0,0
UgzBu5xeZFsXBMSe-iZ4AaABAg,@coalatedioso8446,"what if they use the excuse of low flying air planes to transport drugs, and why is the amazon to expensive but the past locations threated togheter is as big if not bigger then the total area of the amazon, they dont do it because most of the political figures that hold the most power dont have full control over it",2025-11-10T13:44:44Z,0,0
UgzcpNaYxpRLNxjtggl4AaABAg,@daniloventura112,"This strikes me as a wepons program. Akin to the ""Space Race"" masquerading as space program.",2025-11-10T09:57:32Z,0,0
UgwK5XqkPk-v-rNiIIx4AaABAg,@R.O.T.C._SEEM,So how exactly do they keep getting a supply of eggs to grow the next ones they want to radiate?,2025-11-09T23:13:05Z,0,0
UgyVbAeQXt4KCMX9zBZ4AaABAg,@vasilijrappana2335,The… what?,2025-11-09T23:10:54Z,0,0
UgyzeZIZAnma_7YHPy94AaABAg,@Carsaerguida,So... Politics helped the chochlyomia to survive?,2025-11-09T17:56:07Z,0,0
UgzkjPkguNVWVRnbUj94AaABAg,@Factverseteam,Fantastic story — ever think the parasites might be part of a bigger control system? — FactVerse,2025-11-09T17:53:53Z,0,0
Ugx-NeUADiMks3EuDJV4AaABAg,@ProbablyAPerson-vt1ux,The wall of flesh you say...,2025-11-09T14:29:19Z,0,0
UgyStwsuFnbtH-_LoEN4AaABAg,@rationalagent6927,Spare no expense and finish the job,2025-11-08T00:24:33Z,0,0
UgyF5Qpu_39uAd83Hi54AaABAg,@kenziear8395,Does this method works too for human,2025-11-07T10:14:49Z,0,0
UgwbQXK6W_cEj2ug4114AaABAg,@vadymvyshnevskyi1338,The X-flies series,2025-11-07T09:59:56Z,0,0
UgwEQzafZFvQKBgeL_R4AaABAg,@falknas16,Nuclear Flies sounds like a band.,2025-11-06T19:30:40Z,1,0
UgwJbXwlPuFSzJZGSip4AaABAg,@twistedkitty,"How tragic it is to look back on this video seeing how the US decided to slack off on the deal with panama for ”cost” reasons and decided to fight screwworm on the homefront instead, which had proven to be a fruitless endeavor. I hope they realise sooner rather then later that panama was chosen because it was the most cost effective and efficent way of preventing screwworm from spreading to more countries",2025-11-05T23:54:47Z,0,0
UgxboQ4FaQ0u4uQvfiF4AaABAg,@unscsupporter,"I hope the screwworms know what we did, just so they can feel suicidal about the death of their own species",2025-11-05T22:15:35Z,0,0
UgzCywn2GcAEnk_7KSt4AaABAg,@shelbyspider1322,This is why we are not going to want beef from Argentina.,2025-11-05T14:46:36Z,0,0
Ugx-Ty9RZdjiQIqjYHh4AaABAg,@dfpguitar,How do you test the billions of flies to make sure they are sterile?,2025-11-05T10:02:59Z,0,0
Ugzstf16DYFIZzV7hjJ4AaABAg,@levelsbeatbox8975,Wouldn't it be cool if we did this with mosquitos?,2025-11-05T09:54:50Z,0,0
