Comment ID,Author,Content,Publish Date,Like Count,Reply Count
Ugwa76mAsQk9L12FQ954AaABAg,@kurzgesagt,🔒Get 20% off DeleteMe by going to https://joindeleteme.com/nutshell and use code NUTSHELL to protect your privacy!,2025-06-27T12:20:02Z,422,61
UgxyqaNPKBaoiQfhjLd4AaABAg,@JaeSii,35.. got an abscess didnt go away for week  super thirsty and feeling off... went to the hospital  boom sepsis and LADA  5 days in the ICU (112k if you wanted to know) .. 6 shots a day  always sleepy... never thought I would get Diabetes at 35... well I guess type 2 was always an option... but I'm not overweight and so on.,2025-11-24T06:35:25Z,0,0
UgyCY7fw2Lh-AcYdSVZ4AaABAg,@Snow_White315,"4:50 I know this video is a bit of a summary of things but as far as I understand (having ms myself) ms can affect basically anything the brain controls which is why there's such a massive variety of symptoms and severity. It's also one of those diseases that we don't yet know the true cause of, there's some possible links but nothing concrete. 

I say all this because people take things they hear and think that's all there is to it, especially with the ""invisible"" illnesses which aren't always obvious to the people who don't have it. So some people are less likely to believe one's symptoms are actually ms cause that's not what they've heard from other sources. 

Anyways, I love this channel and I'm not as knowledgeable about the other diseases mentioned but yea just my 2 cents about ms. Thanks!",2025-11-23T21:34:03Z,0,0
UgwtkTLDAV_l7vZjw3N4AaABAg,@yourbuddyunit,"Absolutely everyone else: body.

Rheumatoid Arthritis:   *_THE ETERNAL CRUSADE_*",2025-11-22T00:22:47Z,0,0
Ugw0byamGpDUESh-7-J4AaABAg,@soanic0002,"Watching this, Im really thankful its never lupus",2025-11-21T18:44:49Z,0,0
UgyEpVg1C-y27wKCx-l4AaABAg,@Monstry-Official,Fact: crohn disease is not a just autoimmune disease this a sickness from weeding but the real reason unknown,2025-11-21T12:04:38Z,0,0
UgwcuGjGYYrP6Avy7TF4AaABAg,@5Prismatic,"I remember watching this when it came out, and I was like nah, I don't think I have autoimmune disease, but it turns out I do, and it's causing me hyperthyroidism.",2025-11-21T08:51:11Z,0,0
Ugxfw1Kfek4NoK38N7p4AaABAg,@mklbz4877,insanely good thumbnail,2025-11-20T19:40:27Z,0,0
UgzsjEhHgzSmvMrj2hl4AaABAg,@Arkyuu,autoimmune diseases are so weird. Lost all my hair because of alopecia since I was 17 because my sysyem decided that my hair is a foreign body that needs to be destroyed,2025-11-20T18:42:46Z,0,0
UgxlgnzAH_p9uB3Nahh4AaABAg,@darkangelprincess101,So I can't have gluten or eat out at almost any restaurant because my ancestors had a greater chance of survival. It just sounds so goofy when put into terms like that,2025-11-19T15:35:14Z,0,0
UgyKIdqLfXBnIQS56b14AaABAg,@vortex_9633,I'm afraid... It's not Lupus.,2025-11-18T19:09:22Z,1,1
Ugyh3d47M08L1ML6nmV4AaABAg,@Apthealer,I knew it i have bad luck,2025-11-17T11:31:23Z,1,0
